date,open,high,low,close,volume,dividends,stock_splits
2024-05-30,1.4911259432477735,1.4911259432477735,1.4480297565460205,1.4480297565460205,64000,0.0,0.0
2024-05-31,1.4652683734893799,1.5083644598129369,1.4652683734893799,1.4652683734893799,213000,0.0,0.0
2024-06-03,1.4738875433359475,1.525602845260423,1.4652683263485349,1.5169836282730103,31000,0.0,0.0
2024-06-04,1.5256028733023024,1.5428413075939844,1.5083644390106201,1.5083644390106201,50000,0.0,0.0
2024-06-05,1.5083644390106201,1.5428413075939844,1.4997452218647789,1.5083644390106201,59000,0.0,0.0
2024-06-06,1.5083644888094223,1.5342221411006385,1.4566491842269897,1.4566491842269897,265000,0.0,0.0
2024-06-07,1.4566490760857063,1.508364376828807,1.4480297565460205,1.4480297565460205,51000,0.0,0.0
2024-06-11,1.4480298693441955,1.4566491895553064,1.404933782034526,1.41355299949646,129000,0.0,0.0
2024-06-12,1.413552994325786,1.4566491842269897,1.413552994325786,1.4566491842269897,7000,0.0,0.0
2024-06-13,1.4480297565460205,1.4480297565460205,1.4480297565460205,1.4480297565460205,0,0.0,0.0
2024-06-14,1.4221722117561915,1.4566491842269897,1.413552994325786,1.4566491842269897,63000,0.0,0.0
2024-06-17,1.4566492245804656,1.4566492245804656,1.4049338158161873,1.43941068649292,63000,0.0,0.0
2024-06-18,1.4394106233409056,1.4825068125452192,1.42217218875885,1.42217218875885,55000,0.0,0.0
2024-06-19,1.42217218875885,1.456649160672136,1.4135529714678223,1.42217218875885,9000,0.0,0.0
2024-06-20,1.4307913780212402,1.4307913780212402,1.4307913780212402,1.4307913780212402,9000,0.0,0.0
2024-06-21,1.4049337755032034,1.4049337755032034,1.3790761232376099,1.3790761232376099,28000,0.0,0.0
2024-06-24,1.4221722103469323,1.4221722103469323,1.3790761232376099,1.3790761232376099,147000,0.0,0.0
2024-06-25,1.379076031615155,1.4049336821628289,1.3187414109214124,1.3704568147659302,565000,0.0,0.0
2024-06-26,1.3532184709720165,1.4049337755032034,1.3532184709720165,1.3790761232376099,170000,0.0,0.0
2024-06-27,1.3876953406594743,1.3963145580813388,1.3790761232376099,1.3790761232376099,61000,0.0,0.0
2024-06-28,1.396314529746961,1.4480298332287276,1.379076095253039,1.3876953125,124000,0.0,0.0
2024-07-02,1.3876953749641958,1.4307914631388812,1.3876953749641958,1.4049338102340698,57000,0.0,0.0
2024-07-03,1.4221722169583937,1.4394106518822616,1.41355299949646,1.41355299949646,3000,0.0,0.0
2024-07-04,1.404933746993922,1.404933746993922,1.379076095253039,1.3876953125,7000,0.0,0.0
2024-07-05,1.3876953125,1.3876953125,1.3876953125,1.3876953125,0,0.0,0.0
2024-07-08,1.3618377447128296,1.3618377447128296,1.3618377447128296,1.3618377447128296,0,0.0,0.0
2024-07-09,1.370457003843108,1.36183778580472,1.3445992469787598,1.3445992469787598,40000,0.0,0.0
2024-07-10,1.3445992064070225,1.3618377447128296,1.3445992064070225,1.3618377447128296,15000,0.0,0.0
2024-07-11,1.379076180269456,1.379076180269456,1.3532185269345165,1.3618377447128296,54000,0.0,0.0
2024-07-12,1.370456878006078,1.3876953125,1.3618376607591167,1.3876953125,118000,0.0,0.0
2024-07-15,1.370456962491143,1.379076180269456,1.3618377447128296,1.3618377447128296,33000,0.0,0.0
2024-07-16,1.3790760676139562,1.3790760676139562,1.3704568505397392,1.3963145017623901,10000,0.0,0.0
2024-07-17,1.3618377447128296,1.3618377447128296,1.3618377447128296,1.3618377447128296,0,0.0,0.0
2024-07-18,1.3618377447128296,1.3963146158260822,1.3532185269345165,1.3618377447128296,159000,0.0,0.0
2024-07-19,1.3618377447128296,1.3618377447128296,1.3532185269345165,1.3618377447128296,43000,0.0,0.0
2024-07-22,1.3618377447128296,1.3963146158260822,1.3618377447128296,1.3618377447128296,85000,0.0,0.0
2024-07-23,1.3790760676139562,1.3963145017623901,1.3790760676139562,1.3963145017623901,22000,0.0,0.0
2024-07-24,1.4049338102340698,1.4307914631388812,1.3963145925991327,1.4049338102340698,26000,0.0,0.0
2024-07-25,1.4221722169583937,1.4394106518822616,1.3876953471106581,1.41355299949646,89000,0.0,0.0
2024-07-26,1.4135529929250679,1.4135529929250679,1.361837688393881,1.3790761232376099,36000,0.0,0.0
2024-07-29,1.3876953406594743,1.3876953406594743,1.3790761232376099,1.3790761232376099,34000,0.0,0.0
2024-07-30,1.379076180269456,1.4049338336043955,1.3618377447128296,1.3618377447128296,114000,0.0,0.0
2024-07-31,1.3790761232376099,1.3790761232376099,1.3790761232376099,1.3790761232376099,0,0.0,0.0
2024-08-01,1.4307914344203276,1.4307914344203276,1.41355299949646,1.41355299949646,33000,0.0,0.0
2024-08-02,1.448029804207692,1.448029804207692,1.3963145017623901,1.3963145017623901,17000,0.0,0.0
2024-08-05,1.3963144653136044,1.3963144653136044,1.3618375979167057,1.3704568147659302,76000,0.0,0.0
2024-08-06,1.4049337188366071,1.4049337188366071,1.3876952846881732,1.3963145017623901,8000,0.0,0.0
2024-08-07,1.41355299949646,1.41355299949646,1.41355299949646,1.41355299949646,0,0.0,0.0
2024-08-08,1.4049337541767946,1.42217218875885,1.3790761023037115,1.42217218875885,77000,0.0,0.0
2024-08-09,1.4221722117561915,1.4566491842269897,1.3876953420345697,1.4566491842269897,17000,0.0,0.0
2024-08-12,1.4307913780212402,1.4307913780212402,1.4307913780212402,1.4307913780212402,14000,0.0,0.0
2024-08-13,1.4307913780212402,1.4307913780212402,1.4307913780212402,1.4307913780212402,0,0.0,0.0
2024-08-14,1.43941068649292,1.448029904162103,1.4307914688237369,1.43941068649292,45000,0.0,0.0
2024-08-15,1.4566491562246684,1.4652683734893799,1.4566491562246684,1.4652683734893799,84000,0.0,0.0
2024-08-16,1.4652683532814146,1.5600797418856667,1.4566491361355733,1.5083644390106201,94000,0.0,0.0
2024-08-19,1.5169836637033076,1.5428413152694702,1.5169836637033076,1.5428413152694702,46000,0.0,0.0
2024-08-20,1.5342220622478355,1.5514604962226606,1.5169836282730103,1.5169836282730103,61000,0.0,0.0
