date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,UOB KAY HIAN (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CELESTIAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-07-15,0.09317640077029186,0.07032933867534172,0.0455124776778474,0.0,0.01034233805917473,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.2541150803205755
2024-07-30,0.09317640077029186,0.07026427437558783,0.0455124776778474,0.0,0.009691695061635811,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.25339937302328264
2024-08-02,0.09317640077029186,0.07042693512497256,0.0455124776778474,0.0,0.009691695061635811,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.25356203377266734
2024-08-05,0.09317640077029186,0.0704594672748495,0.0455124776778474,0.0,0.009691695061635811,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.2535945659225443
2024-08-07,0.09317640077029186,0.07075225662374202,0.0455124776778474,0.0,0.009691695061635811,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.25388735527143685
2024-08-12,0.09317640077029186,0.07107757812251148,0.0455124776778474,0.0,0.009691695061635811,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.2542126767702063
2024-08-13,0.09317640077029186,0.07091491737312675,0.0455124776778474,0.0,0.009691695061635811,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.25405001602082156
2024-08-14,0.09307880432066104,0.0713053031716501,0.045219688328954885,0.0,0.009691695061635811,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.25405001602082156
2024-08-19,0.09307880432066104,0.07146796392103483,0.045219688328954885,0.0,0.009691695061635811,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.2542126767702063
2024-08-22,0.09307880432066104,0.07163062467041956,0.045219688328954885,0.0,0.009691695061635811,0.0065722848063850935,0.018478261130105304,0.009606382751798507,0.2542777410699602
2024-08-28,0.09307880432066104,0.07153302822078872,0.049351271363327016,0.0,0.009691695061635811,0.0065722848063850935,0.014346678095733168,0.009606382751798507,0.2541801446203294
2024-08-29,0.09307880432066104,0.07156556037066567,0.049351271363327016,0.0,0.009496502162374135,0.0065722848063850935,0.014346678095733168,0.009606382751798507,0.25401748387094464
