date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA MERCHANTS SECURITIES (HK) CO LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,NANYANG COMMERCIAL BANK LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-04-02,0.0,8.72785,0.0,0.0,0.0,0.9223,0.11775,0.31384999999999996,10.08175
2024-04-03,0.0,8.72785,0.0,0.0,0.0,0.9204,0.11775,0.3136,10.0796
2024-04-05,0.0,8.72785,0.0,0.0,0.0,0.9245,0.11804999999999999,0.3131,10.083499999999999
2024-04-08,0.0,8.728,0.0,0.0,0.0,0.9291,0.11804999999999999,0.3117,10.08685
2024-04-09,0.0,8.728,0.0,0.0,0.0,0.93015,0.11804999999999999,0.3117,10.0879
2024-04-10,0.0,8.728,0.0,0.0,0.0,0.93415,0.11904999999999999,0.31075,10.091949999999999
2024-04-11,0.0,8.728,0.0,0.0,0.0,0.9337500000000001,0.11904999999999999,0.3105,10.0913
2024-04-12,0.0,8.728,0.0,0.0,0.0,0.9337500000000001,0.11904999999999999,0.31015000000000004,10.09095
2024-04-15,0.0,8.728,0.0,0.0,0.0,0.9337,0.11904999999999999,0.31,10.09075
2024-04-16,0.0,8.728,0.0,0.0,2.0523,0.9322499999999999,0.11904999999999999,0.30965,12.141250000000001
2024-04-17,0.0,8.728,0.0,0.0,2.0523,0.9322499999999999,0.11904999999999999,0.30929999999999996,12.1409
2024-04-18,0.0,8.728,0.0,0.0,2.0523,0.9353999999999999,0.11904999999999999,0.3085,12.14325
2024-04-19,0.0,8.728,0.0,0.0,2.0523,0.9353999999999999,0.11915,0.3085,12.14335
2024-04-22,0.0,8.728,0.0,0.0,2.0523,0.9364000000000001,0.11915,0.30845,12.1443
2024-04-23,0.0,8.728,0.0,0.0,2.0523,0.93825,0.11915,0.30845,12.14615
2024-04-24,0.0,8.728,0.0,0.0,2.0523,0.93695,0.11915,0.30695,12.14335
2024-04-25,0.0,8.728,0.0,0.0,2.0523,0.93695,0.12815000000000001,0.30695,12.15235
2024-04-26,0.0,8.728,0.0,0.0,2.0523,0.9369999999999999,0.12815000000000001,0.3068,12.15225
2024-04-29,0.0,8.72855,0.0,0.0,2.0523,0.9419000000000001,0.12725,0.3068,12.156799999999999
2024-05-06,0.0,8.72855,0.0,0.0,2.0523,0.94465,0.12725,0.3068,12.15955
2024-05-07,0.0,8.72855,0.0,0.0,2.0523,0.94645,0.12725,0.3068,12.16135
2024-05-08,0.0,8.72855,0.0,0.0,2.0523,0.9464999999999999,0.12725,0.3068,12.1614
2024-05-09,0.0,8.72855,0.0,0.0,2.0523,0.94565,0.7273499999999999,0.3068,12.760650000000002
2024-05-10,0.0,8.72855,0.0,0.0,2.0523,0.94535,0.7273499999999999,0.3068,12.76035
2024-05-13,0.0,8.72855,0.0,0.0,2.0523,0.9502999999999999,0.7273499999999999,0.3063,12.764800000000001
2024-05-14,0.0,8.72855,0.0,0.0,2.0523,0.9488,0.7273499999999999,0.30820000000000003,12.765199999999998
2024-05-16,0.0,8.72855,0.0,0.0,2.0523,0.9499000000000001,0.7273499999999999,0.30820000000000003,12.7663
2024-05-17,0.0,8.73305,0.0,0.0,2.0523,0.9454,0.7273499999999999,0.30820000000000003,12.7663
2024-05-20,0.0,8.73305,0.0,0.0,2.0523,0.9456000000000001,0.7273499999999999,0.30820000000000003,12.7665
2024-05-21,0.0,8.73305,0.0,0.0,2.0523,0.9466499999999999,0.7273499999999999,0.30820000000000003,12.76755
2024-05-22,0.0,8.73305,0.0,0.0,2.0522,0.9464999999999999,0.7273499999999999,0.30820000000000003,12.7673
2024-05-23,0.0,8.73305,0.0,0.0,2.0522,0.9490999999999999,0.7273499999999999,0.30820000000000003,12.7699
2024-05-24,0.0,8.73305,0.0,0.0,2.0522,0.9490500000000001,0.7273499999999999,0.30820000000000003,12.76985
2024-05-28,0.0,8.73305,0.0,0.0,2.0522,0.9478,0.7272500000000001,0.30820000000000003,12.7685
2024-05-29,0.0,8.73305,0.0,0.0,2.0522,0.9482,0.7272500000000001,0.30820000000000003,12.7689
2024-06-05,0.0,8.73305,0.0,0.0,2.0522,0.94795,0.7272500000000001,0.30820000000000003,12.768650000000001
2024-06-06,0.0,8.73305,0.0,0.0,2.0522,0.9478500000000001,0.72755,0.30820000000000003,12.76885
2024-06-07,0.0,8.73305,0.0,0.0,2.0522,0.9480999999999999,0.72755,0.3077,12.7686
2024-06-11,0.0,8.73305,0.0,0.0,2.0522,0.9485499999999999,0.72755,0.3077,12.769050000000002
2024-06-13,0.0,8.73305,0.0,0.0,2.0522,0.9482499999999999,0.72755,0.3077,12.76875
2024-06-14,0.0,8.73505,0.0,0.0,2.0522,0.94755,0.72755,0.3077,12.77005
2024-06-17,0.0,8.73505,0.0,0.0,2.0522,0.94755,0.7276,0.3077,12.770100000000001
2024-06-19,0.0,8.7351,0.0,0.0,2.0522,0.94875,0.7276,0.3077,12.77135
2024-06-20,0.0,8.7351,0.0,0.0,2.0522,0.9488500000000001,0.7271,0.3077,12.770950000000001
2024-06-21,0.0,8.7351,0.0,0.0,2.0522,0.9497500000000001,0.7271,0.3077,12.77185
2024-06-24,0.0,8.7351,0.0,0.0,2.0522,0.94995,0.7271,0.3077,12.772049999999998
2024-06-26,0.0,8.7351,0.0,0.0,2.0522,0.94985,0.7271,0.3077,12.771950000000002
2024-06-27,45.0,8.7351,0.0,0.0,2.0522,0.94985,0.7271,0.3077,57.771950000000004
2024-07-02,45.0,8.7351,0.0,0.0,2.0522,0.94985,0.7272,0.3077,57.77205
2024-07-03,45.0,8.7351,0.0,2.88795,2.0522,0.94985,0.7272,0.3077,60.660000000000004
2024-07-04,45.0,8.7351,0.0,2.88795,2.0522,0.9488,0.7272,0.3077,60.65895
2024-07-05,45.0,8.7351,0.0,2.88795,2.0522,0.94955,0.7272,0.30634999999999996,60.658350000000006
2024-07-08,45.0,8.7351,0.0,2.88795,2.0522,0.9492499999999999,0.7272,0.30885,60.66055
2024-07-11,45.0,8.7351,0.0,2.88795,2.0522,0.9495999999999999,0.7272,0.30885,60.6609
2024-07-12,45.0,8.7351,0.0,2.88795,2.0522,0.9511000000000001,0.7257,0.30885,60.6609
2024-07-15,45.0,8.7351,0.0,2.88795,2.0522,0.9526,0.72375,0.30885,60.66045
2024-07-16,45.0,8.7351,0.0,2.88795,2.0522,0.958,0.7202,0.30885,60.6623
2024-07-19,45.0,8.7351,0.0,2.88795,2.0522,0.95795,0.7203,0.30485,60.658350000000006
2024-07-23,45.0,8.7351,0.0,2.88795,2.0522,0.95885,0.7204,0.30485,60.65935
2024-07-24,45.0,8.7351,0.0,2.88795,2.0522,0.9596,0.7124,0.30515,60.65239999999999
2024-07-25,45.0,8.7351,0.0,2.88795,2.0522,0.9611,0.7109,0.3035,60.650749999999995
2024-07-26,45.0,8.7351,0.0,2.88795,2.0522,0.96075,0.7109,0.3035,60.650400000000005
2024-07-29,45.0,8.7351,0.0,2.88795,2.0522,0.9624499999999999,0.7104,0.3035,60.6516
2024-07-31,45.0,8.7351,0.0,2.88795,2.0522,0.96315,0.7104,0.3035,60.652300000000004
2024-08-01,45.0,8.7351,0.0,2.88795,2.0522,0.96565,0.7099,0.3035,60.654300000000006
2024-08-02,45.0,8.7351,0.0,2.88795,2.0522,0.9655,0.7099,0.3035,60.654149999999994
2024-08-05,45.0,8.7351,0.0,2.88795,2.0522,0.9676,0.7099,0.3035,60.65625
2024-08-06,45.0,8.7351,0.0,2.88795,2.0522,0.96845,0.7099,0.3035,60.6571
2024-08-07,45.0,8.7351,0.0,2.88795,2.0522,0.9722,0.7099,0.3048,60.662150000000004
2024-08-09,45.0,8.7351,0.0,2.88795,2.0522,0.97325,0.7093999999999999,0.3048,60.6627
2024-08-12,45.0,8.7351,0.0,2.88795,2.0522,0.9740000000000001,0.7093999999999999,0.3048,60.66345
2024-08-13,45.0,8.7351,0.0,2.88795,2.0522,0.9764999999999999,0.7093999999999999,0.3048,60.66595
2024-08-14,45.0,8.7351,0.0,2.88795,2.0522,0.9780000000000001,0.7034,0.3048,60.661449999999995
2024-08-15,45.0,8.7351,0.0,2.88795,2.0522,0.9778,0.7029,0.3048,60.66074999999999
2024-08-16,45.0,8.7351,0.0,2.88795,2.0522,0.9778,0.7029,0.3035,60.65945000000001
2024-08-20,45.0,8.7351,0.0,2.88795,2.0522,0.9755,0.7029,0.3035,60.65715
2024-08-21,45.0,8.7351,0.0,2.88795,2.0522,0.97425,0.7029,0.3035,60.655899999999995
2024-08-23,45.0,8.7351,0.0,2.88795,2.0522,0.9750500000000001,0.7029,0.3035,60.656699999999994
2024-08-26,45.0,8.7351,0.0,2.88795,2.0522,0.97725,0.7019,0.3035,60.6579
2024-08-28,45.0,8.7351,0.0,2.88795,2.0522,0.9788,0.7019,0.3035,60.65945000000001
2024-08-29,45.0,8.7351,0.0,2.88795,2.0522,0.9803,0.7019,0.2985,60.655950000000004
2024-09-02,45.0,8.7351,0.0,2.88795,2.0522,0.9803499999999999,0.7020000000000001,0.2985,60.6561
2024-09-03,45.0,8.7351,0.0,2.88795,2.0522,0.9816999999999999,0.7032,0.2985,60.65865
2024-09-04,45.0,8.73525,0.0,2.88795,2.0522,0.98575,0.7032,0.29575,60.66009999999999
2024-09-05,45.0,8.73525,0.0,2.88795,2.0522,0.9868999999999999,0.7032,0.29575,60.66125
2024-09-09,45.0,8.73525,0.0,2.88795,2.0522,0.9868999999999999,0.7032499999999999,0.29575,60.6613
2024-09-10,45.0,8.73525,0.0,2.88795,2.0522,0.9868999999999999,0.7033,0.29575,60.661350000000006
2024-09-11,45.0,8.73525,0.0,2.88795,2.0522,0.98515,0.7033,0.29595,60.6598
2024-09-12,45.0,8.73525,0.0,2.88795,2.0522,0.9855499999999999,0.7033,0.29595,60.660199999999996
2024-09-13,45.0,8.73525,0.0,2.88795,2.0522,0.9856,0.7033,0.29595,60.660250000000005
2024-09-17,45.0,8.73525,0.0,2.88795,2.0522,0.98605,0.7033,0.29595,60.6607
2024-09-19,45.0,8.73525,0.0,2.88795,2.0522,0.9868999999999999,0.7033,0.29595,60.66155
2024-09-20,45.0,8.73525,0.0,2.88795,2.0522,0.9905,0.7033,0.29235,60.66155
2024-09-23,45.0,8.73525,0.0,2.88795,2.0504000000000002,0.9910499999999999,0.7033,0.29235,60.6603
2024-09-24,45.0,8.7325,0.0,2.88795,2.04895,0.9935499999999999,0.7033,0.29235,60.65859999999999
2024-09-25,45.0,8.7325,0.0,2.88795,2.04895,0.9952000000000001,0.7033,0.29235,60.660250000000005
2024-09-26,45.0,8.7325,0.0,2.88795,2.0467,0.9964000000000001,0.7033,0.29235,60.6592
2024-09-27,45.0,8.7305,0.0,2.88795,2.0448500000000003,0.99615,0.70585,0.29235,60.65765
2024-09-30,45.0,8.7312,0.0,2.88795,2.0429,0.99685,0.70585,0.29235,60.6571
2024-10-02,45.0,8.732,0.0,2.88795,2.0409,0.9986999999999999,0.7056,0.29235,60.6575
2024-10-03,45.0,8.73225,0.0,2.88795,2.0409,0.9997,0.70075,0.29235,60.65390000000001
2024-10-04,45.0,8.73225,0.0,2.88795,2.0409,1.00885,0.69185,0.29235,60.654149999999994
2024-10-07,45.0,8.73225,0.0,2.88795,2.0409,1.0185,0.69335,0.29335,60.66629999999999
2024-10-08,45.0,8.73225,0.0,2.88795,2.0409,1.01745,0.69335,0.2925,60.66439999999999
2024-10-09,45.0,8.73295,0.0,2.88795,2.0409,1.0162,0.69335,0.29435,60.6657
2024-10-10,45.0,8.73295,0.0,2.88795,2.04045,1.01785,0.69335,0.2949,60.66745
2024-10-14,45.0,8.73295,0.0,2.88795,2.04025,1.0172,0.69405,0.2949,60.667300000000004
2024-10-16,45.0,8.73295,0.0,2.88795,2.04025,1.0168,0.69405,0.2949,60.6669
2024-10-17,45.0,8.7324,0.0,2.88795,2.04025,1.01685,0.69305,0.2949,60.665400000000005
2024-10-18,45.0,8.7324,0.0,2.88795,2.04025,1.01695,0.69305,0.2944,60.665
2024-10-21,45.0,8.7324,0.0,2.88795,2.04025,1.01785,0.69305,0.2944,60.66589999999999
2024-10-22,45.0,8.7324,0.0,2.88795,2.04025,1.0179,0.69305,0.2944,60.66595
2024-10-23,45.0,8.7299,0.0,2.88795,2.0401,1.0177,0.6920499999999999,0.2979,60.6656
2024-10-24,45.0,8.7299,0.0,2.88795,2.0401,1.0162,0.6920499999999999,0.2974,60.663599999999995
2024-10-25,45.0,8.7299,0.0,2.88795,2.0399000000000003,1.01595,0.6920499999999999,0.2974,60.66315
2024-10-28,45.0,8.7299,0.0,2.88795,2.0394,1.01595,0.6920499999999999,0.2974,60.66265
2024-10-29,45.0,8.7299,0.0,2.88795,2.0394,1.01635,0.6920499999999999,0.2974,60.66305
2024-10-30,45.0,8.7299,0.0,2.88795,2.0389,1.01555,0.6920499999999999,0.2974,60.661750000000005
2024-10-31,45.0,8.7299,0.0,2.88795,2.0383999999999998,1.01475,0.69235,0.2974,60.66074999999999
2024-11-01,45.0,8.7299,0.0,2.8882499999999998,2.0383999999999998,1.0162499999999999,0.6910999999999999,0.2974,60.6613
2024-11-04,45.0,8.7299,0.0,2.8882499999999998,2.0369,1.0162499999999999,0.6910999999999999,0.2974,60.6598
2024-11-05,45.0,8.7299,0.0,2.8882499999999998,2.035,1.0151000000000001,0.6910999999999999,0.30075,60.66009999999999
2024-11-07,45.0,8.7299,0.0,2.8882499999999998,2.035,1.0194,0.6876,0.30075,60.6609
2024-11-12,45.0,8.7299,0.0,2.8882499999999998,2.035,1.01945,0.6876,0.30075,60.66095
2024-11-13,45.0,8.7299,0.0,2.8882499999999998,2.035,1.01885,0.6876,0.30075,60.660349999999994
2024-11-14,45.0,8.73005,0.0,2.8882499999999998,2.035,1.01885,0.6876,0.30075,60.66049999999999
2024-11-15,45.0,8.73005,0.0,2.8882499999999998,2.035,1.01555,0.6876,0.30075,60.6572
2024-11-18,45.0,8.73005,0.0,2.8882499999999998,2.035,1.01555,0.6876,0.30079999999999996,60.65725
2024-11-21,45.0,8.73005,0.0,2.8882499999999998,2.0345,1.01325,0.6876,0.30079999999999996,60.654450000000004
2024-11-22,45.0,8.73005,0.0,2.8882499999999998,2.0345,0.9998,0.6876,0.30075,60.640950000000004
2024-11-25,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.9997499999999999,0.6876,0.30075,60.64079999999999
2024-11-28,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.9995499999999999,0.6876,0.30075,60.6406
2024-11-29,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.9948,0.6901,0.30075,60.638349999999996
2024-12-02,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.9917499999999999,0.6901,0.30075,60.6353
2024-12-03,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.9917499999999999,0.6926,0.30075,60.6378
2024-12-04,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.9913,0.6926,0.30119999999999997,60.6378
2024-12-06,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.99005,0.69275,0.30119999999999997,60.6367
2024-12-10,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.9902,0.69275,0.29764999999999997,60.6333
2024-12-11,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.98385,0.69275,0.29764999999999997,60.62695
2024-12-12,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.98355,0.69275,0.29764999999999997,60.626650000000005
2024-12-13,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.9785999999999999,0.69275,0.2976,60.62165
2024-12-16,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.976,0.69275,0.2976,60.619049999999994
2024-12-17,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.97575,0.6930999999999999,0.2976,60.61915
2024-12-18,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.9757,0.6930999999999999,0.29764999999999997,60.61915
2024-12-20,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.97535,0.6930999999999999,0.29764999999999997,60.61879999999999
2024-12-23,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.9751,0.6930999999999999,0.29764999999999997,60.618550000000006
2024-12-27,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.972,0.6930999999999999,0.2988,60.6166
2024-12-30,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.9721000000000001,0.6930999999999999,0.2988,60.6167
2025-01-02,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.9712500000000001,0.6930999999999999,0.2988,60.61585
2025-01-03,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.9712500000000001,0.6930999999999999,0.29975,60.616800000000005
2025-01-07,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.97095,0.6926,0.29975,60.616
2025-01-08,45.0,8.73005,0.0,2.8882499999999998,2.0344,0.97085,0.6926,0.29975,60.6159
2025-01-09,45.0,8.73005,5.1880999999999995,2.8882499999999998,2.0344,0.9686999999999999,0.6926,0.29975,65.80185
2025-01-10,45.0,8.73005,5.19035,2.8882499999999998,2.0344,0.9610000000000001,0.6926,0.29975,65.7964
2025-01-13,45.0,8.73005,5.197,2.8882499999999998,2.0344,0.9570000000000001,0.6926,0.29975,65.79905000000001
2025-01-14,45.0,8.73005,5.19895,2.8882499999999998,2.0344,0.9551000000000001,0.6926,0.29975,65.7991
2025-01-15,45.0,8.7296,5.199249999999999,2.8882499999999998,2.0344,0.9575999999999999,0.6926,0.29975,65.80144999999999
2025-01-16,45.0,8.7279,5.20225,2.8882499999999998,2.0344,0.9577,0.6926,0.29875,65.80185
2025-01-17,45.0,8.7279,5.2044500000000005,2.8882499999999998,2.0344,0.9575500000000001,0.6922,0.29905000000000004,65.8038
2025-01-20,45.0,8.7279,5.2044500000000005,2.8882499999999998,2.0344,0.9578,0.6922,0.29935,65.80435
2025-01-22,45.0,8.7279,5.2069,2.8882499999999998,2.0344,0.9589000000000001,0.6946,0.2995,65.81045
2025-01-23,45.0,8.7279,5.2069,2.8882499999999998,2.0344,0.959,0.6946,0.2995,65.81055
2025-01-24,45.0,8.7279,5.2073,2.8882499999999998,2.0344,0.959,0.6946,0.2995,65.81095
2025-01-27,45.0,8.7279,5.2086500000000004,2.8882499999999998,2.0344,0.959,0.6946,0.2995,65.81230000000001
2025-02-03,45.0,8.7279,5.21215,2.8882499999999998,2.0344,0.96,0.6946,0.29965,65.81694999999999
2025-02-04,45.0,8.7279,5.21215,2.8882499999999998,2.0344,0.9584,0.6946,0.29965,65.81535
2025-02-05,45.0,8.7279,5.21215,2.8882499999999998,2.0344,0.9587500000000001,0.6946,0.29965,65.81569999999999
2025-02-06,45.0,8.7279,5.21215,2.8882499999999998,2.0344,0.9585,0.6946,0.29965,65.81545
2025-02-07,45.0,8.7279,5.21215,2.8882499999999998,2.0344,0.9587,0.6946,0.29965,65.81565
2025-02-10,45.0,8.7279,5.2122,2.8882499999999998,2.0344,0.9587500000000001,0.6946,0.29965,65.81575
2025-02-11,45.0,8.72785,5.2122,2.8882499999999998,2.0344,0.95905,0.69445,0.29965,65.81585
2025-02-13,45.0,8.72785,5.2122,2.8882499999999998,2.0344,0.95905,0.69575,0.29965,65.81715
2025-02-14,45.0,8.72785,5.2122,2.8882499999999998,2.0344,0.95955,0.69575,0.2996,65.8176
2025-02-17,45.0,8.72785,5.2122,2.8882499999999998,2.0344,0.9577,0.69575,0.2996,65.81575
2025-02-18,45.0,8.7276,5.2122,2.8882499999999998,2.0344,0.9577,0.69575,0.2996,65.8155
2025-02-20,45.0,8.7276,5.2122,2.8882499999999998,2.0344,0.9580500000000001,0.69555,0.2996,65.81565
2025-02-24,45.0,8.7276,5.2122,2.8882499999999998,2.0344,0.958,0.69555,0.2996,65.81559999999999
2025-02-25,45.0,8.727450000000001,5.2122,2.8882499999999998,2.0339,0.95785,0.69555,0.29955,65.81475
2025-02-26,45.0,8.727450000000001,5.2122,2.8882499999999998,2.0339,0.9574499999999999,0.6954,0.29955,65.8142
2025-02-27,45.0,8.727450000000001,5.2122,2.8882499999999998,2.0339,0.95955,0.6935,0.29955,65.81439999999999
2025-02-28,45.0,8.727450000000001,5.2122,2.8882499999999998,2.0339,0.9601500000000001,0.69295,0.29955,65.81445000000001
2025-03-03,45.0,8.72725,5.2122,2.8882499999999998,2.0339,0.9596,0.69295,0.29955,65.8137
2025-03-05,45.0,8.72725,5.2122,2.8882499999999998,2.03325,0.9596,0.69295,0.29955,65.81304999999999
2025-03-06,45.0,8.72725,5.21825,2.8882499999999998,2.0328,0.9587999999999999,0.69555,0.29955,65.82045
2025-03-07,45.0,8.72725,5.21825,2.8882499999999998,2.0313999999999997,0.9589000000000001,0.69555,0.2995,65.81909999999999
2025-03-10,45.0,8.72725,5.21825,2.8882499999999998,2.0313999999999997,0.9585,0.69555,0.2995,65.81869999999999
2025-03-11,45.0,8.72725,5.2184,2.8882499999999998,2.0313999999999997,0.95835,0.69555,0.2995,65.81869999999999
2025-03-13,45.0,8.7263,5.2283,2.88975,2.0313999999999997,0.9443,0.69625,0.30015,65.81645
2025-03-14,45.0,8.72465,5.2283,2.88975,2.0313999999999997,0.9443,0.69625,0.30015,65.81479999999999
2025-03-17,45.0,8.72465,5.2283,2.88975,2.0313999999999997,0.9421499999999999,0.69625,0.3011,65.81360000000001
2025-03-18,45.0,8.72465,5.2283,2.88975,2.0303999999999998,0.93335,0.69625,0.29619999999999996,65.7989
2025-03-19,45.0,8.72465,5.23665,2.88975,2.0303999999999998,0.9327,0.69625,0.2939,65.8043
2025-03-20,45.0,8.72465,5.23665,2.88975,2.0303999999999998,0.9261,0.69625,0.29435,65.79814999999999
2025-03-21,45.0,8.72465,5.2428,2.88975,2.0303999999999998,0.9244,0.6961499999999999,0.29435,65.8025
2025-03-24,45.0,8.72465,5.2428,2.88975,2.0303999999999998,0.9238,0.6961499999999999,0.29435,65.8019
2025-03-25,45.0,8.72465,5.2428,2.88975,2.0303999999999998,0.9237000000000001,0.6961499999999999,0.29435,65.8018
2025-03-26,45.0,8.72465,5.2428,2.88975,2.0303999999999998,0.9138000000000001,0.6961499999999999,0.29435,65.7919
2025-03-28,45.0,8.72465,5.2428,2.88975,2.0303999999999998,0.9113,0.6961499999999999,0.29435,65.7894
2025-03-31,45.0,8.734350000000001,5.2428,2.88975,2.0303999999999998,0.9025,0.69565,0.29145,65.7869
2025-04-01,45.0,8.74,5.2428,2.88975,2.0303999999999998,0.90355,0.69565,0.286125,65.788275
2025-04-02,45.0,8.742949999999999,5.235250000000001,2.88975,2.03055,0.89745,0.6954,0.287325,65.77867499999999
2025-04-03,45.0,8.75195,5.2166,2.88975,2.03055,0.89555,0.69575,0.290425,65.770575
2025-04-07,45.0,8.75715,5.20785,2.88975,2.03055,0.8939499999999999,0.69575,0.29512499999999997,65.77012500000001
2025-04-08,45.0,8.75715,5.20785,2.88975,2.03055,0.89295,0.69575,0.29512499999999997,65.76912499999999
2025-04-09,45.0,8.7531,5.20715,2.88975,2.03055,0.8916000000000001,0.69625,0.297775,65.766175
2025-04-10,45.0,8.75315,5.20715,2.88975,2.03055,0.8907,0.69625,0.29757500000000003,65.765125
2025-04-11,45.0,8.75315,5.20715,2.88975,2.03055,0.88865,0.69625,0.29772499999999996,65.763225
2025-04-14,45.0,8.7533,5.20715,2.88975,2.03055,0.8883,0.69625,0.29772499999999996,65.763025
2025-04-16,45.0,8.7583,5.1875,2.88975,2.03055,0.8857,0.69625,0.29772499999999996,65.745775
2025-04-17,45.0,8.7583,5.1875,2.88975,2.03055,0.8865,0.69625,0.298075,65.746925
2025-04-22,45.0,8.7583,5.1875,2.88975,2.03055,0.8857,0.69625,0.298075,65.746125
2025-04-24,45.0,8.7583,5.1875,2.88975,2.03055,0.8845000000000001,0.69625,0.298075,65.744925
2025-04-25,45.0,8.7583,5.1875,2.88975,2.03055,0.88355,0.69625,0.3035,65.74940000000001
2025-04-28,45.0,8.7583,5.1875,2.88975,2.03055,0.88255,0.69625,0.30585,65.75075
2025-04-29,45.0,8.75865,5.1875,2.88975,2.03055,0.8824500000000001,0.69625,0.30585,65.751
2025-04-30,45.0,8.75865,5.1875,2.88975,2.03055,0.8815999999999999,0.69625,0.30585,65.75014999999999
2025-05-02,45.0,8.7592,5.1875,2.88975,2.03055,0.8828499999999999,0.69625,0.30585,65.75195000000001
