date,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,HUARONG INTERNATIONAL SECURITIES LTD,THE BANK OF EAST ASIA LTD,THE HONGKONG AND SHANGHAI BANKING
2025-02-21,78.29056285777301,11.782990149981254,6.087797073529335,1.9755490645254967,0.9070032117355673,0.4963911181535515,0.4597065243017856
2025-02-25,78.29051673356862,11.78298320813506,6.08779348695662,1.9755479006479424,0.9070026773825112,0.4963908257090403,0.4597651676002028
2025-02-27,78.29057823251988,11.782992463931805,6.087798269054511,1.9755494524849864,0.9070033898533925,0.4963912156351319,0.45968697652029133
2025-02-28,78.29077810477874,11.783022545371653,6.087813810924541,1.9755544959722162,0.9070057053914867,0.49639248289916016,0.4594328546622015
2025-03-05,78.29082329142547,11.783029346112302,6.087817324593695,1.97555563619186,0.9070062288828529,0.4963927693992092,0.4593754033946092
2025-03-07,78.29083866627464,11.78303166007825,6.0878185201268264,1.9755363860296722,0.9070064070018633,0.496392866881438,0.45937549360732166
2025-03-24,78.28960869742363,11.782846545674582,6.087722878960148,1.975505349854045,0.9069921577021076,0.49638506842411506,0.46093930196136956
2025-03-25,78.2852118748053,11.782184809244136,6.0873809863629855,1.975394403500507,0.9069412201166478,0.4963571909428941,0.46652951502753703
2025-03-31,78.28528873809209,11.782196377424492,6.0873869631764785,1.9753963430150456,0.9069421105847381,0.49635767828455435,0.4664317894225967
2025-04-11,78.28530411076757,11.78219869106329,6.087388158540586,1.9753967309184106,0.9069422886785661,0.4963577757530012,0.4664122442785804
