date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG BANK LTD
2024-04-08,180.01997971957937,194.18643089634452,107.56350801201802,48.781374311467204,27.98079043565348,23.51913845768653,23.94523209814722,7.525616925388082,0.0
2024-04-09,0.0,194.817150225338,107.49535703555333,49.067551577366046,27.867795943915873,23.480956184276415,23.82810640961442,7.486433149724587,0.0
2024-04-10,179.82844241362045,195.7708442663996,107.44963845768653,49.50315448172258,27.642457936905355,23.645077366049076,23.610840260390585,7.404309964947421,0.0
2024-04-11,180.61174236354532,195.6153723084627,107.43512669003505,49.22937531296945,27.474220580871307,23.57251577366049,23.765509764646968,7.3601186780170265,0.0
2024-04-12,181.35836229344017,194.97622784176264,107.38286379569355,49.78895343014521,27.436874061091636,23.62981647471207,23.648208813219828,7.332702553830746,0.0
2024-04-15,181.67083099649474,195.47541587381073,107.35819604406609,49.405692288432654,27.367219829744617,23.580115923885828,23.626351026539812,7.301465698547823,0.0
2024-04-16,181.47303430145217,195.01434126189284,107.34104531797696,48.98198322483726,27.29098047070606,23.667314221332,24.572520280420633,7.194054581872809,0.0
2024-04-17,182.11179243865797,195.17087606409615,107.36558212318477,49.90385327991988,27.21136104156234,23.799011767651475,24.558596394591888,7.103669003505258,0.0
2024-04-18,182.66812694041062,195.07931321982974,107.37058963445168,50.278928893340016,27.19421031547321,23.510078367551326,24.529239859789683,6.955822233350024,0.0
2024-04-19,182.85778642964448,195.2427806710065,107.37747496244367,50.880396344516775,27.16629344016024,23.46576114171257,24.55194116174261,6.911881321982974,0.0
2024-04-22,182.98656710065097,195.25215598397597,107.36558212318477,51.41230645968954,27.144548322483725,23.51470881321983,24.613389334001003,6.861305458187281,0.0
2024-04-23,180.2445540811217,194.8240738607912,107.28216199298947,51.414491737606404,26.925715322984477,24.15178067100651,24.63001427140711,6.81422233350025,0.0
2024-04-24,182.08531522283425,191.025840010015,107.19756309464196,51.438139709564346,26.67615798698047,25.866709063595394,24.65655408112168,6.83271256885328,8.488192288432648
2024-04-25,184.01593615423133,188.8072621432148,107.148239108663,51.525166499749616,28.69573735603405,25.91863094641963,24.50720505758638,6.790524286429644,0.0
2024-04-26,185.8050197796695,188.23174887330995,107.12958612919378,52.04567401101653,28.545261642463693,25.823738607911867,24.49869228843265,6.806560841261892,0.0
2024-04-29,187.50888808212318,188.49306584877317,107.04015823735604,51.584370806209314,28.380058838257387,26.212571607411117,23.21617976965448,6.710291437155734,8.529504256384577
2024-04-30,189.5496992989484,186.76287330996496,107.01587180771158,51.467017275913875,28.10912744116174,26.40235628442664,23.1543995993991,6.619367551326991,0.0
2024-05-02,189.8932145718578,186.6030806209314,106.97020655983975,51.67945418127191,28.181632949424134,26.489671507260894,23.194860290435653,6.471020030045067,8.537766649974962
2024-05-03,183.0518149724587,186.85673660490735,106.61241987981973,54.32719679519279,27.317349023535304,26.10436029043565,22.92589434151227,6.274587881822733,0.0
2024-05-06,0.0,187.401013770656,106.56743990986479,57.40479769654482,27.148257886830248,26.092023034551826,22.89860340510766,6.363245868803205,0.0
2024-05-07,0.0,189.1699063595393,106.53805833750627,58.37341887831747,26.768776164246372,25.759023535302955,22.930651477215825,6.254833249874812,0.0
2024-05-08,184.5457308462694,190.16043365047574,106.49918753129694,57.95625913870806,26.687804707060593,25.554692038057087,22.898853780671004,6.4882083124687036,0.0
2024-05-09,184.8461439659489,190.14534702053078,106.48003380070105,55.45182573860791,26.50027341011517,25.628084126189282,24.547076114171258,6.621808713069605,0.0
2024-05-10,186.68582849273912,189.66240610916373,106.43386454682022,54.1418743114672,26.38818027040561,25.39014321482223,24.54065398097146,6.639172258387581,0.0
2024-05-13,186.47354757135705,189.06785628442663,106.37001727591387,55.1980205307962,26.01090335503255,25.37597596394592,24.587985478217327,7.275777165748623,0.0
2024-05-14,186.748172008012,189.06570455683524,106.33588482724086,54.46830671006509,25.905626690035056,25.326935403104656,23.82559188783175,7.141806459689534,0.0
2024-05-16,186.63142188282424,188.39805207811716,106.34193565348022,54.76274611917877,25.65585252879319,24.65935778668002,26.91291036554832,7.273749123685529,8.511477215823735
2024-05-17,188.77483700550826,188.28746720080122,106.3045615923886,50.07550100150225,25.229017776664996,25.02154056084126,26.35432248372559,7.499340010015023,0.0
2024-05-20,188.96562318477714,188.24170555833751,106.32943264897345,51.097006009013526,25.165578617926894,24.912027541311968,26.391038557836755,7.04693640460691,0.0
2024-05-21,190.57396069103655,187.6208490235353,106.31544917376064,51.12951927891838,24.76765673510265,25.02099574361542,25.91716524787181,8.242304456685028,8.43235853780671
2024-05-22,191.71504732098145,186.85591311967954,106.3397356034051,51.01831372058088,24.69191812719079,25.095482473710568,25.350910365548323,8.42986079118678,0.0
2024-05-23,192.19063570355536,185.70942714071106,106.34464772158236,51.81521281922884,24.654432148222334,25.24287506259389,24.841333500250375,8.351605908863295,0.0
2024-05-24,190.87678993490235,185.44702278417626,106.31768002003004,53.2046632448673,24.625841512268405,25.298511767651476,25.012650976464695,8.266478217325988,8.432934401602402
2024-05-27,191.69379043565348,184.4708580370556,106.32519128693039,58.60856184276415,24.527243615423135,25.223310465698546,24.990167250876315,8.170021031547321,0.0
2024-05-28,192.13681747621433,183.99587155733602,106.27097971957937,57.33905983975964,24.411600400600904,25.5536885327992,25.258995493239862,8.563586379569355,0.0
2024-05-29,192.0834499248873,183.01100100150225,106.21365623435153,57.14714496745118,24.10477766649975,23.718773660490736,25.04493690535804,8.815251377065598,0.0
2024-05-30,194.66547295943917,179.76835628442666,106.09444717075614,51.25876439659489,23.85034877315974,26.624179018527794,25.038702553830746,9.234480220330497,0.0
2024-05-31,196.96035277916877,183.01188432648974,106.08951477215824,43.42478517776665,23.72871632448673,26.347064346519776,18.458832749123687,9.230812218327491,8.434561842764147
2024-06-03,197.380132448673,181.52486354531797,106.14309514271407,44.94889083625438,23.53054406609915,25.991942663995992,18.484971957936907,9.189913370055082,0.0
2024-06-04,197.69722058087132,182.60721056584876,106.04990535803707,47.13930295443165,23.46035127691537,26.18967526289434,16.348266900350524,8.877820230345518,0.0
2024-06-05,197.1003252378568,182.23174862293442,106.03240660991486,46.73037781672509,23.294838007010515,23.722724837255885,16.717967951927893,9.179309964947421,0.0
2024-06-06,199.59989959939907,182.98602103154732,105.88352078117175,52.773943665498244,23.24275463194792,23.500766900350527,16.733357035553333,9.54994091136705,0.0
2024-06-07,199.7588505257887,183.22059739609412,105.88189334001001,53.75284451677517,23.179935403104658,23.027449924887332,16.695800701051578,9.300228843264897,0.0
2024-06-11,200.3497118177266,183.10612343515274,105.82306084126189,53.94557661492239,22.9241960440661,22.956687531296947,16.294949424136203,8.756391837756635,8.428703054581872
2024-06-12,202.44558062093137,183.6902336004006,105.72735778668002,66.52559814722083,22.55591562343515,22.551955433149725,16.338264396594894,8.376158988482723,0.0
2024-06-13,199.79934151226843,183.91028668002002,105.66320205307962,68.43489208813219,22.706213069604406,22.12333074611918,16.431153730595895,8.408106910365548,0.0
2024-06-14,200.72114922383577,183.87769504256383,105.62949499248873,69.27080345518277,22.34785478217326,22.58039133700551,15.853286930395594,8.057844016024037,0.0
2024-06-17,201.71211066599898,184.17591512268402,105.63146795192789,67.8643940911367,22.755621432148224,22.429239359038558,15.845900851276914,8.011987731597396,0.0
2024-06-18,203.2126114171257,183.70676990485728,105.5750082623936,64.55040610916375,22.663983975963948,22.124551326990485,18.484446169253882,8.04816700050075,0.0
2024-06-19,202.53540811216828,183.92603530295443,105.58291136705058,64.89730696044066,22.796313720580873,22.378182774161242,18.319091136705058,7.885172508763144,0.0
2024-06-20,202.48036304456684,185.72228017025537,105.52524987481222,65.0121885327992,22.58748798197296,22.061908863294942,17.91248122183275,8.357305708562844,0.0
2024-06-21,202.99174261392085,186.10490610916375,105.52929344016025,64.60934677015523,22.5012336004006,22.255949924887332,18.0871181772659,8.414378818227341,0.0
2024-06-24,203.84860290435654,184.87828993490237,105.47358487731597,64.100553329995,22.409721331997996,22.218215823735605,17.22190811216825,8.741219078617927,0.0
2024-06-25,204.86517776665,184.11395092638958,105.5010600901352,66.38441837756635,22.427438908362543,22.43547070605909,17.272358788182274,8.899656735102655,0.0
2024-06-26,204.6075663495243,181.78658362543817,105.45348873309965,66.97183274912368,22.464394341512268,22.46920881321983,17.13302478718077,8.598848272408613,0.0
2024-06-27,204.70120681021535,181.6970593390085,105.439592889334,67.60286379569354,22.42496019028543,22.197551326990485,17.159814972458687,8.361116675012518,0.0
2024-06-28,204.84867801702555,185.97435753630444,105.40303805708562,66.38877090635954,22.420703805708563,22.290816224336503,17.095305708562844,8.17558838257386,0.0
2024-07-02,203.33115172759142,186.13581722583876,105.41417976965448,66.56000851276916,22.551149474211318,22.007509764646972,17.102691787681522,8.018227341011517,0.0
2024-07-03,202.76442663995994,187.37905708562846,105.39702904356534,67.29031847771657,22.52235628442664,22.007634952428642,17.083988733099652,8.106359539308963,0.0
2024-07-04,202.6695343014522,189.02044066099148,105.35482824236355,67.35924787180771,22.462143465197798,22.39511742613921,17.09037330996495,7.885653480220331,0.0
2024-07-05,202.19075363044567,189.3234817225839,105.40015998998497,67.87308512769154,22.413807210816223,22.31170430645969,17.13944692038057,7.791186780170254,0.0
2024-07-08,202.47718327491236,189.17925863795693,105.41167726589885,68.3676905358037,22.807063345017525,22.296440410615922,16.972821982974462,6.632448673009514,0.0
2024-07-09,202.44450926389584,188.7776802704056,105.44750851276916,69.37439784677015,22.872383825738606,22.296565598397596,16.986592638958438,6.584088632949424,0.0
2024-07-10,205.38201802704054,189.22186229344015,105.48416299449175,66.28167325988984,22.901978718077114,22.326646219328993,17.139071357035554,6.420733600400601,0.0
2024-07-11,203.85042063094642,190.89007736604907,105.48516449674511,65.75955383074611,22.70623510265398,22.549918627941913,17.15852553830746,6.474188783174763,0.0
2024-07-12,203.1712268402604,189.75365448172258,105.49678117175762,66.85739809714572,22.772234852278416,22.469923635453178,16.9279296444667,6.428620430645969,0.0
2024-07-15,201.95139709564347,188.82324862293441,105.57819829744616,65.61409113670506,22.842354531797696,22.4651454682023,16.9329371557336,6.397949424136204,0.0
2024-07-16,196.38954131196795,186.0095035052579,105.50820580871307,71.53836529794691,22.98445518277416,23.09851877816725,16.81813995993991,6.618592388582874,0.0
2024-07-17,196.5577936905358,186.2605643465198,105.39252153229846,73.44154531797696,22.874676264396594,22.476460691036554,16.761481972959437,6.635617926890336,0.0
2024-07-18,197.89214521782674,186.04967376064096,105.37368327491237,74.03645818728091,22.826251126690035,22.446309464196297,16.61611141712569,6.571917376064096,0.0
2024-07-19,198.80595343014522,186.3609454181272,105.48113445167753,73.75758212318478,22.549696294441663,22.6827889334001,16.363109414121183,6.65636529794692,8.430005007511268
2024-07-22,199.58957886830245,194.51757210816226,105.55661016524786,73.48285378067101,22.581506509764647,22.08713395092639,16.358477466199297,6.72612493740611,0.0
2024-07-23,200.71323935903854,194.94974837255882,105.64924912368552,72.28760891337006,22.60328918377566,22.111607411116672,16.40653830746119,6.722244116174261,0.0
2024-07-24,201.8775608412619,194.81328367551328,105.6428470205308,71.50796970455684,22.58280095142714,22.341702553830746,16.360969954932397,6.56077691537306,0.0
2024-07-25,202.8958382573861,193.90846419629443,105.60503780671007,71.08981597396095,22.60058012018027,22.385893840761142,16.395897346019026,6.401913620430647,0.0
2024-07-26,202.759008012018,195.5605335503255,105.58876339509264,71.19210766149224,22.597825988983473,22.44917651477216,16.381,6.41856359539309,0.0
2024-07-29,202.9496564847271,196.20791337005508,105.59139233850776,70.80504056084126,22.58856209313971,22.44002929394091,16.362472208312468,6.391022283425138,0.0
2024-07-30,203.39682724086128,196.567942663996,105.57674536805209,70.15378868302453,22.589413370055084,22.40983900851277,16.36773009514271,6.376600650976465,0.0
2024-07-31,206.3119499248873,195.16271081622435,105.56397621432147,68.92346870305458,22.556877065598396,22.382681772658987,15.673313470205308,6.429479969954932,8.432508763144716
2024-08-01,206.8603975963946,194.893853780671,105.58248647971958,67.61821632448674,22.585337255883825,22.382694291437154,15.527094141211817,6.465984727090636,0.0
2024-08-02,208.52731046569855,194.017513770656,105.54829769654481,67.9446632448673,22.54984651977967,22.397954682023034,15.239037055583374,6.431057336004006,0.0
2024-08-05,210.34791637456183,193.44682248372558,105.54278943415123,68.38056985478217,22.54934576865298,22.578167501251876,15.239412618928391,6.366385327991988,0.0
2024-08-06,210.76641912869303,193.20885603405108,105.54703079619429,69.42385277916875,22.513181522283425,22.40047220831247,15.231650976464698,6.347092889334001,0.0
2024-08-07,211.26266349524286,193.10956534802204,105.56656985478216,69.91628092138207,20.864824236354533,22.281059088632947,15.233278417626439,6.311552078117176,0.0
2024-08-08,210.7775608412619,193.48163845768653,105.566424887331,70.32549824737106,20.86274336504757,22.255457686529795,15.224264897346018,6.345277666499749,0.0
2024-08-09,210.90450125187783,193.1169323985979,105.56415523284927,70.72689459188783,20.79370605908863,22.29669904857286,15.228145718577867,6.366647220831247,0.0
2024-08-12,210.68417075613422,237.67789033550324,105.59432548823236,70.10369779669504,20.663285428142213,22.349118177265897,15.14990335503255,6.32733825738608,0.0
2024-08-13,210.18266850275415,238.69784526790184,105.61736004006008,69.64909789684526,20.239024036054083,22.330089634451678,15.086933900851276,6.352000250375564,0.0
2024-08-14,209.911849774662,238.6644146219329,105.61745893840762,70.63299874812219,20.215765398097147,22.255489734601902,15.082176765147723,6.317823985978968,0.0
2024-08-15,210.17023735603405,238.7036289434151,105.58986705057588,70.48343665498248,20.648797446169254,22.18438257386079,15.014324987481222,6.366271657486229,0.0
2024-08-16,210.73495943915873,238.55757411116673,105.59386304456686,69.97227290936404,20.66883750625939,22.18413244867301,15.026843765648474,6.354629193790686,0.0
2024-08-19,210.69264596895343,238.09031397095643,105.57909088632948,70.57774987481223,20.648306710065096,22.175244116174262,15.048360040060091,6.265144967451176,0.0
2024-08-20,210.77602103154732,237.84218327491237,105.55629419128694,69.95305908863295,20.635650225338008,22.176871557336003,15.023948422633952,6.241972709063595,0.0
2024-08-21,211.05681722583876,236.9656767651477,105.57757611417126,70.36164797195794,20.66396770155233,22.409257886830243,14.967363545317976,6.301311717576365,0.0
2024-08-22,211.00461367050576,236.3914301452178,105.60071031547321,70.34677341011518,20.760137456184278,22.41601802704056,15.625350525788683,6.336489484226339,0.0
2024-08-23,210.83784877315972,235.96421432148222,105.65077265898847,70.37053154732098,20.769539308963445,22.17340410615924,15.625976464697045,6.396955182774161,0.0
2024-08-26,211.27425338007012,235.36835202804207,105.57515923885829,70.47512869303955,20.808184777165746,22.239178517776665,15.789221331997997,6.37141687531297,0.0
2024-08-27,211.7633620430646,235.17312068102152,105.63361442163244,69.39604832248372,20.890315473209814,22.2613367551327,15.150262894341513,6.439143465197797,0.0
2024-08-28,211.7210485728593,234.76665348022033,105.60969103655484,69.65865623435153,20.892418627941915,22.26762118177266,15.150888833249876,6.405467951927892,0.0
2024-08-29,212.49628642964447,234.2105150225338,105.5858928392589,69.62963695543316,20.853247371056586,22.224992989484228,15.15802453680521,6.342748873309965,0.0
2024-08-30,214.750517776665,233.29399298948422,105.58325262894341,68.79687806710065,20.800329243865797,22.18903905858788,15.167163244867302,6.376324236354532,0.0
2024-09-02,215.47422834251378,235.04897095643463,105.61503655483224,68.97203229844767,20.790578367551326,22.44196394591888,15.170918878317478,6.459824486730096,0.0
2024-09-03,216.46734301452176,233.70403380070104,105.61208963445168,69.09103830746119,20.852238357536304,21.789231597396093,14.548109664496744,6.477726339509264,8.430005007511268
2024-09-04,216.68867501251876,234.63631947921883,105.6183264897346,68.38391962944416,20.93125438157236,21.677939659489233,14.568640460691038,6.486113920881322,0.0
2024-09-05,217.63234051076614,233.96005082623935,105.64645368052079,67.62057085628442,21.06847521281923,21.61620205307962,14.54034802203305,6.613530045067602,0.0
