date,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,LONG BRIDGE HK LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD
2024-05-13,5.951948489480659,1.2612498325457617,59.20900476242067,0.0,10.215802187388531,6.237532069626767,10.60926694491887,1.0771113169621576,5.306473692918779,0.13161070373780687
2024-05-14,5.933845844918846,1.2608680151212879,59.20039520626573,0.0,10.21270956356455,6.23564378518982,10.659615027385717,1.0651418046291938,5.300209891618445,0.13157086130640458
2024-05-16,5.935068858928967,1.2606331654343956,59.19635328359143,0.0,10.210807340957139,6.234482332148772,10.659957818089739,1.071928173175724,5.2992226727988845,0.1315463548749531
2024-05-17,5.916180728089316,1.2610735803885438,59.21703412868736,0.0,10.214374589836662,6.3251649754182075,10.558873946187223,1.0606573247925808,5.315048414674811,0.13159231192529824
2024-05-20,5.916153961637891,1.2577485233236425,59.17017827401343,0.0,10.213274074748451,6.4202308052902195,10.536555822589062,0.9853468864376543,5.369023463287649,0.1314881886720063
2024-05-21,5.836820434286105,1.2597127183714736,59.26258289146269,0.0,10.229223894595387,6.46522000662943,10.431805838330831,0.9892165374722053,5.393724148297731,0.1316935305541461
2024-05-22,5.756313743542637,1.2622789528546912,59.275966863831165,0.0,10.231131680581344,6.454769324437024,10.50135892273158,0.9917323234728704,5.394730096691104,0.1317180918575862
2024-05-23,5.923831165949385,1.2616548868289736,59.29594200249444,0.0,10.234579423145734,6.45694448781464,10.539878917044886,0.7588585955159852,5.396548042267258,0.13176247893870058
2024-05-24,0.6433073245176817,0.1364205407616431,6.41181887449342,0.0,1.1066472091133681,0.6996911191836769,1.1091469074878049,0.0840713646763989,0.5857887933758503,0.01424724686327696
2024-05-27,5.22955418420859,1.090183154598712,51.23903547284699,13.87918017984959,8.843595976994436,5.585425432086839,8.63989293716279,0.7282665287836867,4.651011515659071,0.11385461780929246
