date,GET NICE SECURITIES LTD,OSHIDORI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,NANYANG COMMERCIAL BANK LTD,TOTAL_CCASS_PCT
2024-05-21,9.336307250892721,4.15089416593988,2.108546198534654,0.0,0.37373680668606934,0.3052141124100933,0.2577009372816053,0.25602312727867754,0.0,16.7884225990237
2024-05-22,9.336307250892721,4.15089416593988,2.106399632082803,0.0,0.3729318442666254,0.3052141124100933,0.2577009372816053,0.25602312727867754,0.0,16.785471070152404
2024-05-24,9.338990458957534,4.1753113593296804,2.0814863135218182,0.0,0.3729318442666254,0.3052141124100933,0.2577009372816053,0.2544132024397896,0.0,16.786048228207147
2024-05-28,9.338990458957534,4.1753113593296804,2.0814863135218182,0.0,0.3740051274925507,0.3052141124100933,0.2577009372816053,0.2544132024397896,0.0,16.787121511433075
2024-05-29,9.339795421376978,4.1753113593296804,2.081515828810531,0.0,0.3740051274925507,0.3052141124100933,0.2577009372816053,0.2544132024397896,0.0,16.787955989141228
2024-06-03,9.339795421376978,4.17718960497505,2.08124750800405,0.0,0.3740051274925507,0.3052141124100933,0.2577009372816053,0.2544132024397896,0.0,16.789565913980116
2024-06-05,9.339795421376978,4.17718960497505,2.08124750800405,0.5184459741127413,0.37373680668606934,0.3052141124100933,0.2577009372816053,0.2544132024397896,0.0,17.307743567286376
2024-06-07,9.339795421376978,4.17718960497505,2.0812762183303435,0.5184459741127413,0.37373680668606934,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.307743567286376
2024-06-12,9.339795421376978,4.17718960497505,2.0799346142979367,0.5184459741127413,0.3735892302425047,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.306254386810405
2024-06-13,9.339795421376978,4.177994567394494,2.0799346142979367,0.5184459741127413,0.3735892302425047,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.30705934922985
2024-06-17,9.339795421376978,4.177994567394494,2.0799346142979367,0.5184459741127413,0.373052588629542,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.306522707616885
2024-06-18,9.339795421376978,4.177994567394494,2.07967434311565,0.5184459741127413,0.373052588629542,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.3062624364346
2024-06-19,9.339795421376978,4.177994567394494,2.08369915521287,0.5184459741127413,0.373052588629542,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.310287248531818
2024-06-20,9.339795421376978,4.179067850620419,2.0826258719869446,0.5184459741127413,0.373052588629542,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.310287248531818
2024-06-21,9.339795421376978,4.1796044922333815,2.0826258719869446,0.5184459741127413,0.373052588629542,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.310823890144782
2024-06-26,9.339795421376978,4.1796044922333815,2.0826967086798556,0.5184459741127413,0.3733209094360233,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.311163047644172
2024-06-27,9.339795421376978,4.1796044922333815,2.0835016710992993,0.5184459741127413,0.3733209094360233,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.31196801006362
2024-07-03,9.342478629441791,4.206436572881515,2.056401269644685,0.5184459741127413,0.3733209094360233,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.314382897321952
2024-07-04,9.342478629441791,4.216901084334287,2.056885588700384,0.5184459741127413,0.3733209094360233,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.32533172783042
2024-07-08,9.342478629441791,4.221194217237987,2.056885588700384,0.5184459741127413,0.3733209094360233,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.32962486073412
2024-07-09,9.342478629441791,4.221194217237987,2.056856073411671,0.5184459741127413,0.3743941926619486,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.330668628671337
2024-07-10,9.342478629441791,4.221462538044469,2.056856073411671,0.5184459741127413,0.3743941926619486,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.330936949477817
2024-07-16,9.342478629441791,4.22360910449632,2.056856073411671,0.5184459741127413,0.3743941926619486,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.33308351592967
2024-07-18,9.342478629441791,4.226292312561133,2.056856073411671,0.5184459741127413,0.3743941926619486,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.33576672399448
2024-07-22,9.342478629441791,4.226292312561133,2.057057850658145,0.5184459741127413,0.3743941926619486,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.335968501240952
2024-07-23,9.342478629441791,4.226292312561133,2.0578628130775893,0.5184459741127413,0.3743941926619486,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.3367734636604
2024-07-24,9.342478629441791,4.226292312561133,2.0578628130775893,0.5184459741127413,0.37455035537132075,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.33692962636977
2024-07-29,9.342478629441791,4.226292312561133,2.0578628130775893,0.5184459741127413,0.37440277892775603,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.336782049926207
2024-07-30,9.343015271054753,4.226292312561133,2.0578628130775893,0.5184459741127413,0.37440277892775603,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.33731869153917
2024-07-31,9.343015271054753,4.226292312561133,2.0578628130775893,0.5184459741127413,0.3749394205407187,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.33785533315213
2024-08-01,9.343015271054753,4.226292312561133,2.0578628130775893,0.5184459741127413,0.3753419017504407,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.338257814361853
2024-08-02,9.343015271054753,4.226292312561133,2.0578628130775893,0.5184459741127413,0.37654934537960666,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.33946525799102
2024-08-06,9.343015271054753,4.226292312561133,2.0578628130775893,0.5184459741127413,0.3781863706199493,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.34110228323136
2024-08-07,9.347965789934335,4.226292312561133,2.0573261714646263,0.5184459741127413,0.3781863706199493,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.34551616049798
2024-08-08,9.347965789934335,4.226292312561133,2.0573261714646263,0.5184459741127413,0.37872301223291194,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.346052802110943
2024-08-09,9.355478772515811,4.226292312561133,2.057057850658145,0.5184459741127413,0.38315030553985385,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.35772475719288
2024-08-12,9.355478772515811,4.226292312561133,2.059994621885083,0.5184459741127413,0.38315030553985385,0.3052141124100933,0.2577009372816053,0.25438449211349606,0.0,17.36066152841982
2024-08-14,9.361650151064882,4.226292312561133,2.059994621885083,0.5184459741127413,0.38315030553985385,0.3052141124100933,0.2577009372816053,0.2393585269505416,0.0,17.351806941805933
2024-08-15,9.360308547032476,4.226292312561133,2.059994621885083,0.5184459741127413,0.38315030553985385,0.3052141124100933,0.2577009372816053,0.2393585269505416,0.05409105969937777,17.404556397472906
2024-08-20,9.364333359129695,4.226292312561133,2.059457980272121,0.5184459741127413,0.38315030553985385,0.3052141124100933,0.2577009372816053,0.2393585269505416,0.1533697580974698,17.507323266355254
2024-08-26,9.364333359129695,4.226292312561133,2.059457980272121,0.5184459741127413,0.38332739727213155,0.3052141124100933,0.2577009372816053,0.2393585269505416,0.1533697580974698,17.507500358087533
2024-08-28,9.364601679936177,4.226292312561133,2.054896526561938,0.5184459741127413,0.38332739727213155,0.3052141124100933,0.2577009372816053,0.2393585269505416,0.1533697580974698,17.503207225183832
2024-08-29,9.366211604775065,4.226292312561133,2.054628205755457,0.5184459741127413,0.38332739727213155,0.3052141124100933,0.2577009372816053,0.2393585269505416,0.1533697580974698,17.504548829216237
2024-08-30,9.366479925581546,4.226292312561133,2.054628205755457,0.5184459741127413,0.38305907646565024,0.3052141124100933,0.2577009372816053,0.2393585269505416,0.1533697580974698,17.504548829216237
2024-09-02,9.369163133646358,4.226292312561133,2.054628205755457,0.5184459741127413,0.38305907646565024,0.3052141124100933,0.2577009372816053,0.2393585269505416,0.1533697580974698,17.50723203728105
2024-09-03,9.36943145445284,4.226292312561133,2.054091564142494,0.5184459741127413,0.38305907646565024,0.3052141124100933,0.2577009372816053,0.2393585269505416,0.1533697580974698,17.50696371647457
2024-09-04,9.372382983324137,4.226292312561133,2.054091564142494,0.5184459741127413,0.38305907646565024,0.3052141124100933,0.2577009372816053,0.2393585269505416,0.1533697580974698,17.509915245345866
2024-09-05,9.37506619138895,4.226292312561133,2.0538232433360126,0.5184459741127413,0.38305907646565024,0.3052141124100933,0.2577009372816053,0.2393585269505416,0.1533697580974698,17.512330132604195
2024-09-09,9.380432607518575,4.226292312561133,2.0538232433360126,0.5184459741127413,0.38305907646565024,0.3052141124100933,0.2577009372816053,0.2393585269505416,0.1533697580974698,17.51769654873382
2024-09-10,9.380432607518575,4.226292312561133,2.054091564142494,0.5184459741127413,0.38305907646565024,0.3052141124100933,0.2577009372816053,0.2393585269505416,0.1533697580974698,17.517964869540304
2024-09-11,9.385799023648202,4.226292312561133,2.054091564142494,0.5190258153755475,0.38305907646565024,0.3052141124100933,0.2577009372816053,0.2393585269505416,0.15390639971043246,17.524447768545702
2024-09-13,9.387945590100053,4.226292312561133,2.054091564142494,0.5348022738342302,0.38432501403062913,0.3052141124100933,0.2577009372816053,0.2393585269505416,0.15390639971043246,17.543636731021213
2024-09-17,9.387945590100053,4.226292312561133,2.0536072450867953,0.5348022738342302,0.38432501403062913,0.3052141124100933,0.2577009372816053,0.23962684775702295,0.15390639971043246,17.543420732771995
2024-09-19,9.390628798164865,4.226292312561133,2.0533389242803137,0.5348022738342302,0.38432501403062913,0.3052141124100933,0.2577009372816053,0.23962684775702295,0.15390639971043246,17.545835620030324
2024-09-23,9.390628798164865,4.226292312561133,2.0536515180198647,0.5348022738342302,0.38432501403062913,0.3052141124100933,0.2577009372816053,0.23962684775702295,0.15390639971043246,17.54614821376988
2024-09-24,9.393312006229678,4.226292312561133,2.0505424848351654,0.5348022738342302,0.38808150532136776,0.3052141124100933,0.2577009372816053,0.23962684775702295,0.15390639971043246,17.54947887994073
2024-09-25,9.393252975652254,4.226292312561133,2.0505424848351654,0.5348022738342302,0.38808150532136776,0.3052141124100933,0.2577009372816053,0.23962684775702295,0.15390639971043246,17.549419849363304
2024-09-26,9.39056976758744,4.226292312561133,2.051347447254609,0.5348022738342302,0.38271508919174113,0.3052141124100933,0.2577009372816053,0.23962684775702295,0.15390639971043246,17.542175187588306
2024-09-27,9.391106409200404,4.226292312561133,2.048932559996277,0.5348022738342302,0.38271508919174113,0.3052141124100933,0.2577009372816053,0.23962684775702295,0.15390639971043246,17.54029694194294
2024-09-30,9.393789617265217,4.226292312561133,2.048932559996277,0.5348022738342302,0.382523239815107,0.3052141124100933,0.2577009372816053,0.23962684775702295,0.15390639971043246,17.542788300631116
