date,BOCI SECURITIES LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,BOOM SECURITIES (H.K.) LTD
2024-07-23,11.214508053699753,16.307187820829974,17.582271573282917,12.249161419283682,13.410303728512988,12.70512998006384,6.001676464349277,10.52976095997757
2024-07-29,11.214744951034774,16.307532296871006,17.58053056599759,12.249420172827092,13.41058701024054,12.705398365571163,6.001803244869052,10.529983392588784
2024-07-30,12.229739170754154,16.308910346582937,16.55951927096139,12.250455296329113,13.411720256842777,12.706472020998538,6.0023104205153786,10.530873217015719
2024-07-31,1.7346288355987862,2.2509912775021066,2.2855808663128805,1.690834484429183,1.8511148000011406,1.7537749045928772,0.8284519391125964,1.4534940257949003
2024-08-02,14.045609003112562,15.971496990200043,16.216921092507793,11.997006895981567,13.134246566046635,12.443589137882515,5.878129242128899,10.31300107213999
2024-08-05,14.187638048339707,15.945106058427303,16.190124627631715,11.977183319602771,13.112543841172217,12.42302763934876,5.868416357489748,10.295960107987783
2024-08-08,14.270256890483726,15.945106058427303,16.190124627631715,11.977183319602771,13.029924999028195,12.42302763934876,5.868416357489748,10.295960107987783
2024-08-21,14.271435980000128,15.946423533475976,16.183199780645374,11.97817294238227,13.031001605292802,12.424054100313263,5.8689012393147975,10.29681081857539
2024-08-29,14.273204979656484,15.9484001543143,16.172810364261984,11.979657683220443,13.032616848313483,12.425594109844527,5.8696287123098125,10.298087148078965
2024-08-30,14.249654316523511,15.92208543382374,16.146125368891635,11.95989135302705,13.01111314472531,12.405091988455176,6.024943000021491,10.281095394532086
2024-09-02,14.238788398838253,15.909944222124242,16.216249970683467,11.944588720036183,13.001191663032927,12.395632621551917,6.020348745786095,10.273255657946915
2024-09-03,14.238788398838253,15.909944222124242,16.216249970683467,11.944588720036183,13.001191663032927,12.478069274239663,5.93791209309835,10.273255657946915
2024-09-09,14.227060086726881,15.896839399839868,16.20289284818084,11.934750111537584,12.990482743890885,12.467791244473624,6.015389859739609,10.264793705610709
2024-09-27,14.145499786598064,15.805706658103563,16.11000557592664,12.439606924402481,12.916011443077412,12.396316407814192,5.980905082184622,10.205948121893025
2024-09-30,2.0145506508698308,2.2509912775021066,2.2937452525916195,1.771603591543849,1.8394513910315138,1.7654383135625042,0.8517787570518501,1.4534940257949003
2024-10-02,17.118763534973645,15.24451785310244,15.534063060610498,11.997933021704181,10.403714399807932,12.035168330808785,7.032370745827428,10.633469053165093
2024-10-03,17.005928228413524,15.14403630595087,15.384592145975216,11.918850765101595,10.335140153702598,11.955840644242226,7.064486251656805,11.191125504957165
2024-11-14,17.005794787112322,15.143917474453819,15.385256102095346,11.918757240835612,10.335059056421011,11.955746829725834,7.0644308183852385,11.191037690970818
2024-11-18,16.86157838717296,15.015490589001828,15.25478256204823,11.817681091055938,11.095456035541236,11.85435699244071,7.004521429085756,11.096132913653344
2024-12-11,16.940659501803566,15.085913517700305,15.326327774527988,11.873106234039037,10.678492079320876,11.909954146079928,7.037372764194898,11.148173982333404
2024-12-30,17.04726213492802,15.25950363193507,15.422771888567302,11.947820231317607,10.745688717877542,12.063558873578422,7.08165690005523,10.431737621740805
2025-01-02,17.007129294369008,15.223579550905345,15.386463439721798,11.919692549548182,10.720391106531038,12.192106073811635,7.143458867806107,10.407179117306887
2025-01-06,17.007129294369008,15.223579550905345,15.386463439721798,11.919692549548182,10.720391106531038,12.270579751366355,7.064985190251388,10.407179117306887
2025-01-07,17.02048589558896,15.314070742955394,15.398547246035763,11.929053716697153,10.7288103986087,12.35875179595522,6.83492777677187,10.415352427386942
2025-01-14,17.02048656394353,15.31407134430304,15.398547850700606,11.92905418512312,10.728806893138417,12.358752281254423,6.8349280451634575,10.41535283637341
2025-01-17,17.02048656394353,15.31407134430304,15.398547850700606,11.92905418512312,10.650271582956142,12.515822901618975,6.7563927349811825,10.41535283637341
2025-02-03,17.022491863961445,15.315875599864464,15.388580374572738,11.930459628644448,10.651526364346548,12.5172974763789,6.757188751853064,10.416579940378393
2025-02-17,17.009132115477254,15.303855253638742,15.376502967517647,11.921096255689816,10.643166735548508,12.58595645485121,6.7518855128850905,10.408404704391732
2025-02-18,16.99579332078905,15.291853760453764,15.364444502999069,11.911747568506167,10.63482021822158,12.576086375180703,6.825011963180224,10.400242290669441
2025-02-19,16.9991417046959,15.295572209681337,15.132859281143563,11.914644092972003,10.613874105916246,12.81446576647371,6.826671569717158,10.402771269400086
2025-02-20,16.736576811908936,15.059320265488132,15.362493769561105,11.730613198753279,11.06776555107508,12.61653643047865,7.18460155233113,10.242092420403681
2025-02-21,16.15996200265805,14.054215193375748,14.242291248228181,13.020877570248665,11.297649187960277,12.41094183054869,8.738872049633573,10.075190917346816
2025-02-24,16.209218818891312,14.097053530184272,14.13329898150015,13.06056621392048,11.713094982818749,12.6011752167526,8.07969137605915,10.105900879873285
2025-02-25,16.209218818891312,14.097053530184272,14.361904792385538,12.831960403035092,11.713094982818749,12.6011752167526,8.07969137605915,10.105900879873285
2025-02-28,2.4809703755652097,2.157684005745092,2.163231706221495,1.9640498395426924,1.792797171982558,1.9287260391372802,1.2366712530495367,1.5468012975519152
2025-03-03,16.698386703631364,14.265656472843357,14.187090131588938,12.378725889946837,11.942854692880655,11.9930386701177,8.362462231629236,10.171785207361912
2025-03-05,16.685589069181805,14.254723281514,14.176217153460607,12.369238841185632,11.933701695566825,12.060487157214432,8.356053245142215,10.163989556734482
2025-03-10,16.69518545494254,14.205408585512577,14.184370323712404,12.376352763684533,11.940565127510961,12.06742350730331,8.360859063507101,10.169835173826577
2025-03-17,16.568134334957367,14.097304780645766,14.076426620973926,12.282168156738932,11.849696884279975,11.975589866037325,9.058237090356961,10.092442266009748
2025-03-20,2.4396943836619163,2.0758592731557703,2.0727849180194093,1.8085763952290108,1.7448940449303976,1.7609107236123749,1.333845423295139,1.4861344202083622
2025-04-15,16.55836856482173,14.088995393768736,14.068129540329089,12.274928667454198,11.842712306921454,11.951418573811502,9.128953484091754,10.086493468801537
2025-04-24,16.558494501442635,14.088341987512184,14.06823653714401,12.275022025868836,11.842802378063695,11.951509471732049,9.129022915421881,10.086570182814711
2025-05-02,16.558494501442635,14.088341987512184,13.459787121803055,12.275022025868836,12.223083262651793,11.038835348720614,10.269865569186175,10.086570182814711
