date,UOB KAY HIAN (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,ID: 1066
2024-04-10,49.366097491979694,0.0,13.553512881284657,13.307673741043507,5.291398946780074,0.0,8.315666644328088,5.488171389695981,4.6774789048880026,0.0
2024-04-11,49.365112163792176,0.0,13.55324235841653,13.30740812502941,5.29129333250634,0.0,8.327310104369314,5.488061847920492,4.667572067965741,0.0
2024-04-12,42.9132812940213,13.085955379065368,11.74718361619821,11.568180910213556,4.599741583359971,0.0,7.2422882068927095,4.770793208316429,4.072575801932456,0.0
2024-04-15,42.92085259708903,13.088264168585024,11.749256202695175,11.552867885641634,4.60055312786346,0.0,7.248916808500907,4.771490314998334,4.067798894626437,0.0
2024-04-16,42.90813185216835,13.067036224921768,11.74577399574637,11.549443883633678,4.599189630651908,0.0,7.2758277814850585,4.770076155970358,4.084520475422506,0.0
2024-04-17,42.913405392207686,13.06864220345668,11.735361058129858,11.553755181791171,4.599754885059844,0.0,7.276722002870812,4.7706624128525235,4.081696863631423,0.0
2024-04-18,42.91334334302478,13.06862330729677,11.73519949817458,11.553738476030768,4.59974823420029,0.0,7.276711481341458,4.7706555148750285,4.081980145056326,0.0
2024-04-19,42.96278298069346,13.067300711881119,11.748469547903607,11.543894574354326,4.599282721821163,0.0,7.272794356443573,4.7701727060155745,4.03530240088717,0.0
2024-04-23,42.980285518403086,13.06822650056121,11.749301900380651,11.54471243315751,4.599608570592403,0.0,7.237307400247074,4.770510661955417,4.050047014702654,0.0
2024-04-24,42.99047955148011,13.07132601308417,11.752088591319525,11.518526297548895,4.600699502431138,0.0,7.236131509372623,4.771642128228749,4.059106406534798,0.0
2024-04-25,42.99134999783859,13.07159067373107,11.752326540810335,11.518759518005504,4.6007926547330005,0.0,7.236278022377074,4.771738741678003,4.057163850826429,0.0
2024-04-26,42.98214991924381,13.06879337470317,11.749811562149455,11.519186392098476,4.599808092628672,0.0,7.2347294707139405,4.77071759739062,4.074803591071855,0.0
2024-04-29,42.97043690994427,13.061541097682476,11.74329122886799,11.5127940398458,4.597255517071516,0.0,7.274068670991264,4.76807017887142,4.072542356725265,0.0
2024-04-30,42.98362273774622,13.071571769043725,11.752309544098582,11.515850374490704,4.5718611548964985,0.0,7.279654825929048,4.771731840587595,4.053397753207632,0.0
2024-05-02,43.09930083494998,13.107323474627128,11.778652179421904,11.548797266063758,4.584365529799992,0.0,7.0196770244004645,4.784782876446317,4.077100814290459,0.0
2024-05-03,43.09005244776613,13.104510862819305,11.80512241197582,11.546174099174888,4.583381801837113,0.0,7.01817071943102,4.783756142281846,4.068831514713878,0.0
