date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,CHINA INTERNATIONAL CAPITAL CORPORATION
2024-05-16,45.39019172830561,18.754075703506533,13.096487573948853,7.206881751777434,3.475327139117691,4.007404153254272,2.0737726215609587,1.9311444461988083,2.1462798980060263,1.9184349843238149
2024-05-17,45.452983369095264,18.7595520658209,13.101936550999522,7.224364962246185,3.4614186201732267,3.949010901223708,2.0419870114649257,1.945335004408231,2.1454389852949673,1.9179725292730745
2024-05-20,45.74659963756773,18.615699220526114,13.052959249110529,7.194629450582099,3.4918159946762395,3.8886061493443558,2.033177982111115,1.9198782931078784,2.1477084851247548,1.908925537849184
2024-05-21,45.65897106516985,18.816746807060113,13.02076653033168,7.166499287737444,3.4587761832567407,3.9189822608129505,2.0129662361283085,1.9065035648806512,2.1337910960445803,1.905996968577681
2024-05-22,45.72799654210153,18.94914875976059,13.014647861046036,7.148748006187939,3.4384930957059847,3.8307513540930995,1.9521890914134599,1.9034894276136547,2.130394848548762,1.9041410135289445
2024-05-23,45.5528178535555,19.143641884008282,12.999500081634435,7.107323989888031,3.4390230911782704,3.880281489367928,1.9291177063698612,1.9011886063989487,2.142724218818488,1.9043810787802546
2024-05-24,45.516594860029244,19.301430736422418,12.951354587875189,7.078501150502777,3.4304746191696953,3.9196529204520574,1.874207805700578,1.8920364230990163,2.1357442089184273,1.9000026878305942
2024-05-27,45.47860036991811,19.407437149842195,12.959026624197763,7.094486350433378,3.4346609980307883,3.8522001528032632,1.790740424752686,1.9336853157356226,2.1490983472404634,1.9000642670457293
2024-05-28,45.51899086038893,19.384824221658068,12.942012438877457,7.094757240780039,3.438567392316256,3.841380654106362,1.7910782660051299,1.9365361240067454,2.152076886224692,1.8997759156363252
2024-05-29,45.42309987585875,19.457633556766186,12.957717589995847,7.087114278783535,3.43621214801523,3.850624165417442,1.7891961804216312,1.937957178254451,2.165347982442141,1.8950970440447845
