date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,OCBC BANK (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,TOTAL_CCASS_PCT
2024-07-31,4.6897042635260355,2.190546938421428,3.5527187654924326,1.8850755280288134,1.5985923218572582,1.4504924491350624,0.2823279091479186,0.5973985970593916,0.5506149012840537,0.33007539489607884,17.12754706884847
2024-08-01,4.697733355336671,2.196753824998444,3.5616102016938997,1.8867838454353314,1.5980798266353031,1.452058406757704,0.2809612552227041,0.5973985970593916,0.5506149012840537,0.33149899273484396,17.153493207158345
2024-08-02,4.7047944006169455,2.197778815442355,3.5664219623889255,1.904087805289327,1.6014395175347886,1.4520868787144794,0.2795091854271637,0.5973985970593916,0.5506149012840537,0.33149899273484396,17.185631056492273
2024-08-05,4.723358116434443,2.205950267036867,3.56827263957932,1.892075486725827,1.6007846625289566,1.4520868787144794,0.2784841949832528,0.5973985970593916,0.5507572610679302,0.33149899273484396,17.20066709686531
2024-08-06,4.701036102322606,2.2197306941161132,3.565083780420487,1.8312593870537814,1.6021797884109463,1.4559590648359204,0.278313363242601,0.5973985970593916,0.6114879448696499,0.33149899273484396,17.19394771506634
2024-08-07,4.717122757900651,2.2345645835960455,3.531600759252731,1.8313732748808826,1.5994749525172929,1.4599166668276875,0.27908210607553413,0.5973985970593916,0.6192038451557568,0.3336343894929916,17.203371932758966
2024-08-08,4.728436132633253,2.2244855108975883,3.5478887685090914,1.8278346662050207,1.5997312001282706,1.4595180594328332,0.2777154521503197,0.5973985970593916,0.6182642705821718,0.3336343894929916,17.214907047090932
2024-08-09,4.727553501973218,2.2301229583390985,3.5415537581265872,1.8269662715233743,1.5998450879553716,1.456101424619797,0.2791105780323095,0.5973985970593916,0.6182642705821718,0.3336343894929916,17.21055083770431
2024-08-12,4.7267178073339275,2.262979596457797,4.5551490700809865,1.8219490571882573,1.596770116623639,1.4606854096606205,0.28526052069577473,0.5973985970593916,0.6182642705821718,0.3340614688446211,18.25923591452719
2024-08-13,4.74143780898676,2.267962188893475,4.549483150682701,1.8224900243669881,1.597054836191392,1.4625360868510153,0.28013556847622034,0.5973985970593916,0.6184066303660484,0.3340614688446211,18.270966360718614
2024-08-14,4.693661865517802,2.2809169292262377,4.503722936337565,1.840524432272054,1.597908994894651,1.4714193373649094,0.28042028804397334,0.5973985970593916,0.6251687201001827,0.3340614688446211,18.22520356966139
2024-08-15,4.717350533554853,2.304406293565862,4.52846129424103,1.833964664262765,1.596770116623639,1.4801032841813766,0.28215707740726675,0.5973985970593916,0.6280159157777129,0.3340614688446211,18.30268924551852
2024-08-16,4.719343570529125,2.412485841484909,4.507078854702778,1.8167187444926562,1.596770116623639,1.4807296672304333,0.2810181991362547,0.5973985970593916,0.631475258525912,0.3340614688446211,18.37708031862972
2024-08-19,4.7533675588756115,2.421055900474275,4.4998185057250755,1.834292091765681,1.596770116623639,1.4814984100633666,0.28315359589440237,0.5973985970593916,0.631475258525912,0.3340614688446211,18.432891503851977
2024-08-20,4.771504195341478,2.426209324650605,4.492387325006721,1.8054373580034915,1.596770116623639,1.4796762048297472,0.28355220328925657,0.5973985970593916,0.6313328987420356,0.3340614688446211,18.41832969239099
2024-08-21,4.761111931118493,2.4164434434766764,4.485924190818729,1.8186296683435872,1.596770116623639,1.4789359339535892,0.2839792826408861,0.5973985970593916,0.6315606743962379,0.3340614688446211,18.40481530727585
2024-08-22,4.778252049097225,2.4162726117360247,4.480372159247544,1.8116540389336384,1.5969124764075155,1.4775123361148244,0.2826411006724469,0.5973985970593916,0.5709723503783948,0.3340614688446211,18.346049188491627
2024-08-23,4.778906904103057,2.413425416058494,4.489710961069844,1.794573996783702,1.596770116623639,1.4775123361148244,0.28340984350538007,0.5973985970593916,0.5709723503783948,0.3340614688446211,18.33674199054135
2024-08-26,4.791804700522269,2.4141087430211017,4.486208910386481,1.7815964788855192,1.5965992848829873,1.47899287786714,0.2837230350299084,0.5973985970593916,0.5709723503783948,0.3340614688446211,18.335466446877813
2024-08-27,4.809827449161035,2.4211697883013765,4.575724742488031,1.6851050173740203,1.5968840044507402,1.4786512143858364,0.2815022224014348,0.5939819622463552,0.5709723503783948,0.3340614688446211,18.347880220031847
2024-08-28,4.761311234815921,2.4453140076468327,4.514965586729536,1.7698469707190339,1.5970263642346167,1.4696256040880655,0.2746974247321376,0.5939819622463552,0.5723390043036093,0.3340614688446211,18.33316962836073
2024-08-29,4.813585747455376,2.387202743868441,4.501526823131593,1.7877551197317796,1.5943215283409629,1.4514320237086475,0.2742988173372834,0.5939819622463552,0.57287997148234,0.33497257146143083,18.31195730876421
2024-08-30,4.810937855475272,2.387288159738767,4.532020288837942,1.7639952718027898,1.5948340235629184,1.4517167432764004,0.2729036914552936,0.5939819622463552,0.573164691050093,0.33497257146143083,18.31581525890726
2024-09-02,4.838925788985394,2.260701839915773,4.659439128677046,1.787171444617886,1.6000443916527989,1.4518875750170521,0.2747543686456882,0.5939819622463552,0.5733355227907448,0.33497257146143083,18.37521459401017
2024-09-03,4.875142118003579,2.1700186575864353,4.655680830382706,1.8651877380974593,1.6000443916527989,1.4510334163137932,0.2898729776933737,0.5939819622463552,0.5742466254075546,0.33639616930019595,18.411604886684252
2024-09-04,4.908938330695863,2.13750368294904,4.7451681905274805,1.8668519239709758,1.6002436953502257,1.4357155035686806,0.28944589834174417,0.5939819622463552,0.5742466254075546,0.33639616930019595,18.488491982358116
2024-09-05,4.962494081390205,2.0098639007253603,4.95412966110865,1.946842776124873,1.6091269458641204,1.431615541793037,0.2952257055671305,0.5939819622463552,0.574388985191431,0.33639616930019595,18.714065729311358
2024-09-09,5.000561087598785,1.9395666394471391,4.630887535838643,1.9295417915903605,1.6120310854552011,1.4389328346842896,0.2913819914024647,0.5939819622463552,0.574388985191431,0.33639616930019595,18.347670082754867
2024-09-10,5.037403799666026,1.9495887682320454,4.6603844830578565,1.92948484767681,1.5941791685570865,1.4384488114191094,0.2907840803101834,0.5939819622463552,0.574474401061757,0.33639616930019595,18.405126491527426
