date,HAITONG INTERNATIONAL SECURITIES CO LTD,HAO TIAN INTERNATIONAL SECURITIES LTD,SHANGHAI COMMERCIAL BANK LTD,HANG SENG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,KINGSTON SECURITIES LTD,HANG SENG SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,TOTAL_CCASS_PCT
2024-04-29,42.685955200727584,14.97224004729306,0.0,0.0,1.7772507550097894,1.5243318373400752,0.0,1.3566944198606123,0.9798286498043204,63.29630091003544
2024-04-30,42.68587391948381,14.972402609780614,0.0,0.0,1.7771694737660115,1.5243318373400752,0.0,1.3566944198606123,0.9798286498043204,63.29630091003544
2024-05-02,42.68587391948381,14.9771982031635,0.0,0.0,1.7771694737660115,1.5243318373400752,0.0,1.3566944198606123,0.9798286498043204,63.30109650341833
2024-05-06,42.68587391948381,14.9771982031635,13.92340257841215,0.0,1.7771694737660115,1.5243318373400752,0.0,1.3566944198606123,0.9798286498043204,77.22449908183047
2024-05-07,42.68579263824003,14.977279484407276,13.73645571772337,0.0,1.7771694737660115,1.5243318373400752,0.0,1.3566944198606123,0.9798286498043204,77.0375522211417
2024-05-08,42.68579263824003,14.978011015601279,13.468227613256861,0.0,1.776681786303345,1.5243318373400752,0.0,1.3566944198606123,0.9798286498043204,76.76956796040652
2024-05-09,42.68571135699625,14.978011015601279,13.305665125701399,0.0,1.776681786303345,1.5243318373400752,0.0,1.3566944198606123,0.9798286498043204,76.60692419160728
2024-05-10,42.68563007575247,14.978092296845055,13.23657606849033,0.0,1.7749748801840128,1.5237407465884496,0.0,1.3566944198606123,0.9798286498043204,76.53553713752525
2024-05-13,42.68563007575247,14.978092296845055,13.110590140634848,0.0,1.7749748801840128,1.5237407465884496,0.0,1.3566944198606123,0.9798286498043204,76.40955120966977
2024-05-14,42.68563007575247,14.978092296845055,13.110590140634848,0.0,1.7748123176964572,1.5221760826457282,0.0,1.3566944198606123,0.9798286498043204,76.4078239832395
2024-05-16,42.68554879450869,14.98150610908372,13.021180772479344,0.0,1.7747310364526796,1.5221760826457282,0.0,1.3566944198606123,0.9798286498043204,76.3216658648351
2024-05-17,42.68554879450869,14.98150610908372,13.021180772479344,0.0,1.7721300366517923,1.5221760826457282,0.0,1.3566944198606123,0.9798286498043204,76.31906486503422
2024-05-20,42.68546751326492,14.98150610908372,13.021180772479344,0.0,1.7786325361540105,1.5221760826457282,0.0,1.3566944198606123,0.9798286498043204,76.32548608329265
2024-05-21,42.68538623202114,14.98150610908372,12.989887493624918,0.0,1.7786325361540105,1.5222465263903358,0.0,1.3566944198606123,0.9798286498043204,76.29418196693905
2024-05-22,42.685304950777365,14.98150610908372,12.989887493624918,0.0,1.7786325361540105,1.5221544076473876,0.0,1.3566944198606123,0.9798286498043204,76.29400856695233
2024-05-24,42.685304950777365,14.98150610908372,12.989887493624918,0.0,1.7786325361540105,1.5216667201847212,0.0,1.3566944198606123,0.9798286498043204,76.29352087948966
2024-05-27,42.68506110704603,14.98150610908372,12.989887493624918,0.0,1.7786325361540105,1.5216667201847212,0.0,1.3566944198606123,0.9798286498043204,76.29327703575834
2024-05-29,42.68489854455847,15.739860113529943,12.228688645646473,0.0,1.7786325361540105,1.5216667201847212,0.0,1.3579136385172783,0.9798286498043204,76.29148884839522
2024-05-30,42.68489854455847,15.739860113529943,11.976229102472843,0.0,1.7786325361540105,1.5216667201847212,0.0,1.3579136385172783,0.9798286498043204,76.03902930522159
2024-05-31,42.684492138339586,15.748232081639049,11.976229102472843,0.0,1.788572582018077,1.5216667201847212,0.0,1.3579136385172783,0.9798286498043204,76.05693491297588
2024-06-03,42.684492138339586,15.74961386278327,11.976229102472843,0.0,1.788572582018077,1.5216667201847212,0.0,1.3579136385172783,0.9798286498043204,76.0583166941201
2024-06-04,42.684410857095806,15.74961386278327,11.976229102472843,0.0,1.788572582018077,1.521991845159832,0.0,1.3579136385172783,0.9798286498043204,76.05856053785143
2024-06-07,42.684410857095806,15.753108956265713,11.976229102472843,0.0,1.788572582018077,1.5236174700353866,0.0,1.3579136385172783,0.9782030249287657,76.06205563133386
2024-06-11,42.68400445087692,15.753840487459714,11.976229102472843,0.0,1.788572582018077,1.5239425950104977,0.0,1.3579136385172783,0.9782030249287657,76.06270588128409
2024-06-12,42.68400445087692,15.755547393579045,11.976229102472843,0.0,1.788572582018077,1.5239425950104977,0.0,1.3579136385172783,0.9782030249287657,76.06441278740343
2024-06-13,42.68400445087692,15.755547393579045,11.976229102472843,0.0,1.788572582018077,1.523733973151468,0.0,1.3579136385172783,0.9782030249287657,76.0642041655444
2024-06-14,42.68392316963314,15.7557099560666,11.976229102472843,0.0,1.7885861288920397,1.5258201917417633,0.0,1.3579136385172783,0.9782030249287657,76.06638521225243
2024-06-17,42.683516763414254,15.756604049748155,11.976229102472843,0.0,1.7885861288920397,1.5258201917417633,0.0,1.3579136385172783,0.9782030249287657,76.0668728997151
2024-06-18,42.683516763414254,15.756604049748155,11.976229102472843,0.0,1.7885861288920397,1.52557634801043,0.0,1.3579136385172783,0.9782030249287657,76.06662905598377
2024-06-20,42.683516763414254,15.756929174723266,11.976229102472843,0.0,1.7885861288920397,1.5253446964656634,0.0,1.3579136385172783,0.9782030249287657,76.06672252941411
2024-06-21,42.683435482170474,15.757173018454598,11.976229102472843,0.0,1.7873669102353738,1.5253446964656634,0.0,1.3579136385172783,0.9782030249287657,76.06566587324501
2024-06-25,42.683435482170474,15.757335580942156,11.976229102472843,0.0,1.7873669102353738,1.5252634152218856,1.5205795293616982,1.3579136385172783,0.9782030249287657,77.58632668385047
2024-06-28,42.683435482170474,15.757416862185933,11.976229102472843,0.0,1.7873669102353738,1.5252634152218856,1.5205795293616982,1.3579136385172783,0.9782030249287657,77.58640796509425
2024-07-03,42.68302907595158,15.760261705718154,11.976229102472843,0.0,1.7873669102353738,1.524531884027886,1.5205795293616982,1.3579136385172783,0.9782030249287657,77.58811487121359
2024-07-04,42.68302907595158,15.76034298696193,11.976229102472843,0.0,1.7873669102353738,1.524531884027886,1.5205795293616982,1.3579136385172783,0.9782030249287657,77.58819615245737
2024-07-05,42.68302907595158,15.764976017857263,11.976229102472843,0.0,1.7846846291907088,1.5258323839283299,1.5205795293616982,1.3579136385172783,0.9782030249287657,77.59144740220847
2024-07-08,42.682622669732694,15.76505729910104,11.976229102472843,0.0,1.7846846291907088,1.5258323839283299,1.5205795293616982,1.3579136385172783,0.9782030249287657,77.59112227723335
2024-07-10,42.68221626351381,15.766682923976594,11.976229102472843,0.0,1.7846846291907088,1.5258323839283299,1.5205795293616982,1.3579136385172783,0.9782030249287657,77.59234149589003
2024-07-12,42.68180985729492,15.793343171935689,11.976229102472843,0.0,1.7846846291907088,1.525751102684552,1.5205795293616982,1.3579136385172783,0.9782030249287657,77.61851405638646
2024-07-15,42.68172857605114,15.796513140443022,11.976229102472843,0.0,1.7823274731211547,1.525751102684552,1.5205795293616982,1.3579136385172783,0.9782030249287657,77.61924558758045
2024-07-16,42.68132216983226,15.796756984174355,11.976229102472843,0.0,1.7786460830279738,1.525751102684552,1.5205795293616982,1.3579136385172783,0.9782030249287657,77.61540163499971
2024-07-17,42.68091576361336,15.79943926521902,11.976229102472843,0.0,1.7786460830279738,1.525751102684552,1.5205795293616982,1.3579136385172783,0.9782030249287657,77.6176775098255
2024-07-18,42.68050935739448,15.800739765119461,11.976229102472843,0.0,1.7786460830279738,1.524613165271664,1.5205795293616982,1.3579136385172783,0.9782030249287657,77.61743366609416
2024-07-19,42.680102951175584,15.800821046363241,11.976229102472843,0.0,1.7786460830279738,1.524613165271664,1.5205795293616982,1.3579136385172783,0.9782030249287657,77.61710854111905
2024-07-22,42.6796965449567,15.801308733825909,11.976229102472843,0.0,3.8301169416080714,1.524531884027886,1.5205795293616982,1.3579136385172783,0.9782030249287657,79.66857939969914
2024-07-23,42.67335660794204,15.804885108552128,11.976229102472843,0.0,3.8301169416080714,1.524531884027886,1.5205795293616982,1.3579136385172783,0.9782030249287657,79.6658158374107
2024-07-24,42.670267920678484,15.806835858402794,11.976229102472843,0.0,3.8301169416080714,1.524531884027886,1.5205795293616982,1.3579136385172783,0.9782030249287657,79.66467789999781
2024-07-25,42.66978023321582,15.806835858402794,11.976229102472843,0.0,3.8301169416080714,1.524531884027886,1.5205795293616982,1.3579136385172783,0.9782030249287657,79.66419021253515
