date,UBS SECURITIES HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,GOLDMAN SACHS (ASIA) SECURITIES LTD,BOCI SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-09-26,59.52831605153936,12.126673268757909,4.240983762853703,5.040078486972916,2.8140212425361257,0.2840556420969431,2.4328121371861253,0.6195696133624686,0.8532127529028954,0.42674216014479494,88.36646511835326
2024-09-27,59.52816227612221,12.135899793787166,4.23695330917009,4.998135626842422,2.871471738384958,0.27928860416516094,2.427429997585726,0.6347406346926567,0.8522901003999699,0.42674216014479494,88.39111424129516
2024-09-30,59.52477921694482,12.12833327438609,4.21694712739832,5.015855629487359,2.844791703508694,0.27928860416516094,2.5497429643902265,0.6651118946822923,0.8492145920568847,0.4258195076418694,88.49988451466172
2024-10-02,59.53246798780253,12.106081971523869,4.271099140549193,4.968971811428282,2.915389997524216,0.27928860416516094,2.473900928649744,0.6281058405441189,0.8499527140592251,0.4253581813904066,88.45061717763674
2024-10-03,59.53000758112806,12.216508098582345,4.302133018811347,5.117185171744074,3.0579090541427867,0.27928860416516094,2.0347183372571696,0.6136278850190451,0.85121367247989,0.4248968551389438,88.42748827846883
2024-10-04,59.52600942028206,12.22034325748617,4.312182242322378,5.08203749352221,3.0579090541427867,0.28005748125093227,2.0347183372571696,0.6125514570989653,0.8513059377301825,0.4248968551389438,88.4020115362318
2024-10-07,59.52717811345243,12.287835288075177,4.319594217429213,4.888020126126597,3.0579090541427867,0.27928860416516094,2.0347183372571696,0.6131088929861495,0.8531512427360338,0.4247430797217895,88.2855469560925
2024-10-08,59.52717811345243,12.301242966696858,4.329174425917924,4.856209682007815,3.0579090541427867,0.2872849258571826,2.0347183372571696,0.612397681681811,0.8521824576079619,0.4247430797217895,88.28304072434372
2024-10-09,59.53254487551111,12.272025637437547,4.405616185785307,4.804575126211174,3.0579090541427867,0.28713115044002835,2.0347183372571696,0.6134007587279082,0.850813856395289,0.4260655483093162,88.28480053021764
2024-10-10,59.52931559175087,12.249682069325035,4.4384779924311735,4.851245196440407,3.12890716424291,0.27936579942457235,1.9928914237912099,0.6125549939335598,0.8502448873518182,0.4259117728921619,88.35859689158372
2024-10-14,59.52931559175087,12.262660714532855,4.425791520515947,4.905358765736992,3.0921394620013256,0.280273535712034,1.962120962818642,0.6125549939335598,0.851321315271898,0.42588101780873105,88.34741788008286
2024-10-15,59.52931559175087,12.255802330927773,4.423423379091772,4.946808468104672,3.090924636205807,0.2812618503180844,1.9629821051547056,0.612708769350714,0.8497835611003554,0.42588101780873105,88.37889170981349
2024-10-16,59.52931559175087,12.25715555459873,4.4067424369405455,4.935812603125639,3.1276923384473907,0.2794165453122333,1.9806816556691613,0.6124076770839261,0.8505524381861267,0.42588101780873105,88.40565785892336
2024-10-17,59.52808538841364,12.263767897536363,4.407825784754397,4.925393088410101,3.131075397624785,0.27939424787674594,1.9892930790298,0.6124012185164055,0.8505524381861267,0.42588101780873105,88.4136695581571
2024-10-18,59.52808538841364,12.276823430452762,4.4030433692808995,4.9184933392178065,3.1212491484686278,0.2793061345627165,1.9897544052812628,0.6124032175968286,0.8520901923576694,0.42588101780873105,88.40712964344094
2024-10-21,59.52810076595535,12.285742404647708,4.39349391587562,4.915352168771596,3.1190962926284675,0.2793061345627165,1.984064714846555,0.6124012185164055,0.8522132126913927,0.42588101780873105,88.39565184630455
2024-10-22,59.5286202193145,12.287095628318665,4.396622784288458,4.931176735624689,3.0271693482536497,0.2796136853970251,1.8807737671440368,0.6124012185164055,0.8511060296878821,0.42588101780873105,88.22046043435404
2024-10-23,59.53015797348604,12.294015522090609,4.397372746997919,4.891367816958046,3.0560022389700734,1.9306234516737686,1.886155906744436,0.6124012185164055,0.8526437838594247,0.42588101780873105,89.87662167710545
2024-10-24,59.529081545565965,12.28784912786272,4.430342042660376,4.900595264639804,3.0568172486809915,1.9327763075139281,1.8838338979454066,0.6124012185164055,0.8526437838594247,0.42588101780873105,89.91222145505375
2024-10-25,59.52812613889918,12.276542790316453,4.450821698941564,4.843280244933484,3.104610648332536,1.9312713075062395,1.8797434718491033,0.6124012185164055,0.8524900084422703,0.42588101780873105,89.90516854554598
2024-10-28,59.53308355079741,12.283924010339858,4.494462854779109,4.776566625506113,3.122448596722431,1.9307180235553185,1.8768063613814567,0.6124012185164055,0.8524900084422703,0.42588101780873105,89.90878226784909
2024-10-29,59.530872414074146,12.28576931534571,4.550173381782841,4.6878789602936495,3.172948443715891,1.9306225290212655,1.8510182239246868,0.6124053704526687,0.850890744103866,0.42588101780873105,89.89846040052345
2024-10-30,59.52871955823398,12.29158202611414,4.543684212954348,4.707506546988386,3.206117801196065,1.9306225290212655,1.7816655107881143,0.6124013722918227,0.850890744103866,0.42741877198027367,89.88060907367228
2024-10-31,59.52871863558148,12.30742089408103,4.526243005140712,4.708736904101037,3.204503159315945,1.9306234516737686,1.778651512611891,0.6124012185164055,0.850890744103866,0.42741877198027367,89.87560829710641
2024-11-01,59.52871863558148,12.307882220332493,4.525935454306404,4.674819429216407,3.2078862184933397,1.9307310944657767,1.7849563047152155,0.6434738481836817,0.8524284982754087,0.42741877198027367,89.88425047555047
2024-11-04,59.52871863558148,12.30772844491534,4.526396780557866,4.727518879776841,3.205456566902302,1.931192420717239,1.781865418830415,0.6124012185164055,0.8524284982754087,0.428187649066045,89.90189451313934
2024-11-05,59.52856486016432,12.307328628830739,4.535174281369032,4.6750422497958635,3.2195116400302015,1.9313461961343936,1.790169291356745,0.6408427507961723,0.8524284982754087,0.428187649066045,89.90859604581892
2024-11-06,59.52853410508089,12.300547132934234,4.535451077119909,4.699624019105058,3.2128070318422757,1.931499971551548,1.7935523505341389,0.6211664172941985,0.8524284982754087,0.428187649066045,89.90379825280371
2024-11-07,59.53007185925243,12.300085806682771,4.562266280587853,4.70680056404823,3.20865509557911,1.9313461961343936,1.7723159654251353,0.61935555798179,0.851967172023946,0.42695744572881095,89.90982194344448
2024-11-08,59.529918083835284,12.298701827928383,4.561758821711243,4.715630963602897,3.2353812630805217,1.9330377257230906,1.7498339994371819,0.6129086773930146,0.851967172023946,0.42695744572881095,89.91609598046438
2024-11-11,59.53099451175537,12.293288933244554,4.575367946129396,4.712478567551234,3.2350429571627823,1.9341141536431703,1.7381932003586045,0.6127549019758604,0.8504140403106878,0.42711122114596517,89.90976043327763
2024-11-12,59.53191716425829,12.288368119895617,4.570908459031922,4.742699896509144,3.211084747170148,1.9350368061460959,1.7387775469437907,0.6127549019758604,0.850567815727842,0.42726499656311945,89.90938045422183
2024-11-13,59.53283981676122,12.287768395768715,4.567033318519634,4.693822226391245,3.2418244530592855,1.9325763994716278,1.7486345511833787,0.6127549019758604,0.850567815727842,0.42726499656311945,89.89508687542192
2024-11-14,59.52970279825126,12.285154213677094,4.5244750491696895,4.680428695107943,3.2797300933878106,2.0230046486308604,1.7503260807720755,0.6127549019758604,0.850567815727842,0.42726499656311945,89.96340929326357
2024-11-15,59.52861099278947,12.285000438259939,4.555460795726274,4.680582470525097,3.289264169251375,1.9773333497360446,1.7489421020176872,0.6153690840674828,0.850567815727842,0.4277263228145822,89.95885754091579
