date,CHINA INTERNATIONAL CAPITAL CORPORATION,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,UOB KAY HIAN (HONG KONG) LTD,CHINA SUNRISE SECURITIES (INTL) LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIC SECURITIES BROKERAGE (HK) LTD,CITIBANK N.A.,TIGER BROKERS (HK) GLOBAL LTD,TOTAL_CCASS_PCT
2024-07-29,57.36750000000001,6.6575,8.86,0.01,3.7074999999999996,2.5125,5.235,2.2225,0.0525,1.7175,88.3425
2024-07-30,57.36750000000001,6.6575,8.86,0.01,3.7074999999999996,2.5125,5.244999999999999,2.2225,0.0525,1.7175,88.3525
2024-08-02,57.36750000000001,6.6575,9.11,0.01,3.7074999999999996,2.5125,5.2275,2.2225,0.0525,1.745,88.61250000000001
2024-08-05,57.36750000000001,6.6575,9.11,0.01,3.7074999999999996,2.5125,5.2275,2.21,0.0525,1.745,88.6
2024-08-06,57.36750000000001,6.6575,9.11,0.01,3.7074999999999996,2.5125,5.2275,2.21,0.0525,1.7500000000000002,88.605
2024-08-07,57.36750000000001,6.6575,9.105,0.01,3.7074999999999996,2.5125,5.19,2.21,0.057499999999999996,1.7500000000000002,88.5675
2024-08-08,57.36750000000001,6.6575,9.105,0.01,3.7074999999999996,2.5125,5.19,2.21,0.057499999999999996,1.745,88.5625
2024-08-12,57.36750000000001,6.6575,9.105,0.01,3.7074999999999996,2.5125,5.2,2.21,0.057499999999999996,1.745,88.5725
2024-08-13,57.36750000000001,6.6575,8.355,0.01,3.7074999999999996,2.5125,5.2,2.21,0.057499999999999996,1.745,87.8225
2024-08-15,57.36750000000001,6.6575,8.355,0.01,3.7074999999999996,2.5125,5.2,2.21,1.9853725,1.745,89.7503725
2024-08-20,57.36750000000001,6.6575,8.355,0.01,3.7074999999999996,2.5125,5.2,2.21,1.9853725,1.7425,89.7478725
2024-08-21,57.36750000000001,6.6575,8.355,0.01,3.7074999999999996,2.5125,5.2,2.21,1.9853725,1.7399999999999998,89.7453725
2024-08-22,57.36750000000001,6.675000000000001,8.355,0.01,3.7074999999999996,2.5125,5.2,2.21,1.9853725,1.7399999999999998,89.7628725
2024-08-27,57.36750000000001,6.675000000000001,8.355,0.01,3.7475,2.5125,5.2,2.21,1.9853725,1.7399999999999998,89.80287249999999
2024-08-28,57.36750000000001,6.675000000000001,8.355,0.01,3.7475,2.5125,5.2,2.21,1.9853725,1.73,89.7928725
2024-08-29,57.36750000000001,6.675000000000001,8.355,0.01,3.7475,2.5125,5.27,2.21,1.9903725,1.725,89.86287250000001
2024-08-30,57.36750000000001,6.675000000000001,8.355,0.01,3.7475,2.5125,5.257499999999999,2.21,1.9903725,1.7225000000000001,89.84787250000001
2024-09-03,57.36750000000001,6.675000000000001,8.355,0.01,3.8275000000000006,2.5125,5.257499999999999,2.21,1.9903725,1.7225000000000001,89.92787249999999
2024-09-05,57.36750000000001,6.772499999999999,8.355,0.01,3.8275000000000006,2.5125,5.255,2.21,1.9903725,1.7225000000000001,90.02287249999999
2024-09-09,57.36750000000001,7.7725,8.355,0.01,3.8275000000000006,2.5125,4.4174999999999995,2.21,1.9903725,1.7225000000000001,90.1853725
2024-09-11,57.36750000000001,7.822500000000001,8.352500000000001,0.01,3.8275000000000006,2.5125,4.4174999999999995,2.21,1.9903725,1.7225000000000001,90.2328725
2024-09-12,57.36750000000001,7.822500000000001,8.352500000000001,0.01,3.8275000000000006,2.5125,4.4174999999999995,2.21,0.0625,1.7225000000000001,88.305
2024-09-13,57.36750000000001,8.04,8.33,0.01,3.8275000000000006,2.5125,4.324999999999999,2.21,0.0625,1.72,88.405
2024-09-17,57.36750000000001,8.04,8.33,0.01,3.8275000000000006,2.5125,4.33,2.21,0.0625,1.72,88.41
2024-09-19,57.36750000000001,8.04,8.33,0.01,3.8275000000000006,2.5125,4.3475,2.21,1.9903725,1.72,90.3553725
2024-09-23,57.36750000000001,8.04,8.33,0.01,3.8275000000000006,2.5125,4.3374999999999995,2.21,1.9903725,1.7175,90.3428725
2024-09-24,57.36750000000001,8.04,8.33,0.01,3.8275000000000006,2.5125,4.1975,2.21,1.9903725,1.7175,90.2028725
2024-09-25,57.36750000000001,8.645,8.317499999999999,0.01,3.8275000000000006,2.5125,4.1825,2.21,1.9903725,1.7175,90.7803725
2024-09-26,57.36750000000001,8.645,8.282499999999999,0.01,3.8275000000000006,2.5125,4.1825,2.21,1.9528725,1.72,90.7103725
2024-09-27,57.36750000000001,9.2,8.275,0.01,3.8275000000000006,2.5125,3.6824999999999997,2.21,1.9528725,1.72,90.7578725
2024-09-30,57.36750000000001,9.700000000000001,8.275,0.01,3.8275000000000006,2.5125,3.1574999999999998,2.21,1.9528725,1.72,90.7328725
2024-10-02,57.36750000000001,9.89,8.2725,0.01,3.8275000000000006,2.5125,3.1574999999999998,2.21,0.025,1.72,88.99249999999999
2024-10-03,57.36750000000001,10.1175,8.27,0.01,3.8275000000000006,2.5125,3.1574999999999998,2.21,0.025,1.7175,89.215
2024-10-04,57.36750000000001,10.1175,8.27,0.01,3.94,2.5125,3.1399999999999997,2.21,0.025,1.7175,89.31
2024-10-07,57.36750000000001,10.1175,8.27,0.01,4.0625,2.5125,3.15,2.21,0.025,1.7175,89.4425
2024-10-08,57.36750000000001,10.1175,8.27,0.01,4.1775,2.5125,3.15,2.21,0.025,1.7175,89.5575
2024-10-09,57.36750000000001,10.345,8.315,0.01,4.1775,2.5125,3.1850000000000005,2.21,0.0525,1.6925,89.8675
2024-10-10,57.36750000000001,10.345,8.260000000000002,0.01,4.3575,2.5125,3.1649999999999996,2.21,1.9803749999999998,1.6925,91.900375
2024-10-14,49.555,10.345,8.260000000000002,7.822500000000001,4.64,2.5125,3.145,2.21,1.9803749999999998,1.6875,92.157875
2024-10-15,49.555,10.345,8.260000000000002,7.822500000000001,4.64,2.5125,3.145,2.21,1.9803749999999998,1.66,92.130375
2024-10-16,49.555,10.717500000000001,8.260000000000002,7.822500000000001,4.64,2.5125,3.1300000000000003,2.21,1.9803749999999998,1.6775000000000002,92.505375
2024-10-17,49.555,10.9675,8.260000000000002,7.822500000000001,4.64,2.5125,3.1300000000000003,2.2075,1.9803749999999998,1.6775000000000002,92.752875
2024-10-18,49.555,10.9675,8.260000000000002,7.822500000000001,4.645,2.5125,3.1300000000000003,2.2075,1.9803749999999998,1.6775000000000002,92.757875
2024-10-21,49.555,10.9675,8.260000000000002,7.822500000000001,4.77,2.5125,3.1274999999999995,2.2075,1.9803749999999998,1.6775000000000002,92.880375
2024-10-23,49.555,10.9675,8.260000000000002,7.822500000000001,4.77,2.5125,3.1274999999999995,2.2075,1.9803749999999998,1.6725,92.875375
2024-10-24,49.555,11.0775,8.2125,7.822500000000001,4.77,2.5125,3.1274999999999995,2.2075,1.9803749999999998,1.6725,92.937875
2024-10-25,49.555,11.0775,8.2125,7.822500000000001,4.77,2.5125,3.1225,2.2075,1.9803749999999998,1.6725,92.93287500000001
2024-10-28,49.555,11.0775,8.2125,7.822500000000001,4.77,2.5125,3.0974999999999997,2.2075,1.9803749999999998,1.6625,92.897875
2024-10-30,49.555,11.0775,8.2125,7.822500000000001,4.77,2.5125,3.0974999999999997,2.2075,1.9803749999999998,1.66,92.895375
2024-10-31,49.555,11.0775,8.2125,7.822500000000001,4.77,2.5125,3.0974999999999997,2.2075,1.9803749999999998,1.6475,92.882875
2024-11-01,49.555,11.0775,8.2125,7.822500000000001,4.77,2.5125,3.075,2.2075,1.9803749999999998,1.6475,92.86037499999999
2024-11-05,49.555,11.0775,8.2125,7.822500000000001,4.77,2.5125,3.0725,2.2075,1.9803749999999998,1.6475,92.857875
2024-11-06,49.555,11.0775,8.2125,7.822500000000001,4.77,2.5125,3.0475,2.2075,1.9803749999999998,1.6475,92.832875
2024-11-07,49.555,11.0775,8.2125,7.822500000000001,4.77,2.5100000000000002,3.0475,2.2075,1.9803749999999998,1.6475,92.830375
2024-11-08,49.555,11.0775,8.2125,7.822500000000001,4.77,2.5100000000000002,3.045,2.2075,1.9803749999999998,1.6475,92.827875
2024-11-11,49.555,11.235000000000001,8.2125,7.822500000000001,4.77,2.475,3.02,2.2075,1.9803749999999998,1.6475,92.925375
2024-11-15,49.555,11.485,8.16,7.822500000000001,4.77,2.475,3.02,2.2075,1.9803749999999998,1.6475,93.12287500000001
2024-11-18,49.555,11.540000000000001,8.1175,7.822500000000001,4.77,2.475,3.02,2.2075,1.9803749999999998,1.6475,93.135375
2024-11-20,49.555,11.5425,8.1175,7.822500000000001,4.77,2.475,3.02,2.2075,1.9803749999999998,1.6475,93.13787500000001
2024-11-21,49.555,11.584999999999999,8.1175,7.822500000000001,4.77,2.475,3.01,2.2075,1.9803749999999998,1.6475,93.170375
2024-11-22,49.555,11.62,8.1175,7.822500000000001,4.77,2.475,3.01,2.17,1.9803749999999998,1.6475,93.167875
2024-11-27,49.559999999999995,11.62,8.1175,7.822500000000001,4.77,2.475,3.01,2.17,1.9803749999999998,1.6475,93.172875
2024-11-29,49.572500000000005,11.62,8.1175,7.822500000000001,4.77,2.475,3.01,2.17,1.9803749999999998,1.6475,93.18537500000001
2024-12-02,49.65,11.62,8.1175,7.822500000000001,4.77,2.5,3.01,2.17,1.9803749999999998,1.6475,93.287875
2024-12-03,49.6575,11.7225,8.115,7.822500000000001,4.77,2.5,3.01,2.17,1.9803749999999998,1.6475,93.395375
2024-12-09,49.6575,11.78,8.115,7.822500000000001,4.77,2.5,3.0025,2.17,1.9803749999999998,1.6475,93.445375
2024-12-10,49.6575,11.78,8.115,7.822500000000001,4.8950000000000005,2.5,3.0025,2.17,1.9803749999999998,1.6475,93.570375
2024-12-12,49.682500000000005,11.78,8.115,7.822500000000001,4.8950000000000005,2.5,3.0025,2.17,1.9803749999999998,1.645,93.59287499999999
2024-12-16,49.682500000000005,11.78,8.115,7.822500000000001,4.8950000000000005,2.5,3.0124999999999997,2.17,1.9803749999999998,1.645,93.602875
2024-12-17,49.682500000000005,11.78,8.115,7.822500000000001,4.8950000000000005,2.5,3.0124999999999997,2.1675,1.9803749999999998,1.645,93.600375
2024-12-19,49.682500000000005,11.78,8.115,7.822500000000001,4.8950000000000005,2.5,3.0124999999999997,2.1675,0.0525,1.645,91.6725
2024-12-27,49.682500000000005,11.8025,8.115,7.822500000000001,4.8950000000000005,2.5,3.0124999999999997,2.1675,0.0525,1.645,91.69500000000001
2024-12-30,49.682500000000005,11.8275,8.115,7.822500000000001,4.8950000000000005,2.5,3.0124999999999997,2.1675,0.0525,1.645,91.72
2025-01-02,49.682500000000005,11.9525,8.115,7.822500000000001,4.8950000000000005,2.5,3.0124999999999997,2.1675,0.0525,1.6424999999999998,91.8425
2025-01-03,49.682500000000005,12.3575,8.0925,7.822500000000001,4.8950000000000005,2.5,3.0,2.1675,0.0525,1.6150000000000002,92.18499999999999
2025-01-06,49.682500000000005,12.3575,8.0925,7.82,4.8950000000000005,2.5,2.945,2.1675,0.0525,1.6075,92.12
2025-01-14,49.685,12.3575,8.0925,7.82,4.8950000000000005,2.5,2.945,2.1675,0.0525,1.6075,92.1225
2025-01-17,49.685,12.3575,8.0925,7.82,4.8950000000000005,2.5250000000000004,2.945,2.1675,0.0525,1.6075,92.14750000000001
2025-01-20,49.685,12.3575,8.0925,7.82,4.8950000000000005,2.55,2.945,2.1675,0.0525,1.6075,92.1725
2025-01-21,49.685,12.3575,8.0925,7.82,4.8950000000000005,2.55,2.945,2.1675,1.9803749999999998,1.6075,94.100375
2025-01-23,49.685,12.3575,8.0925,7.82,4.8950000000000005,2.5749999999999997,2.945,2.1675,0.0525,1.6075,92.1975
2025-01-24,49.685,12.3575,8.0925,7.82,4.8950000000000005,2.5749999999999997,2.945,2.1675,1.9803749999999998,1.6075,94.125375
2025-01-27,49.685,12.3575,8.0925,7.82,4.8950000000000005,2.5749999999999997,2.945,2.1675,1.51016,1.6075,93.65516000000001
2025-02-03,49.71,12.3575,8.0925,7.82,4.8950000000000005,2.5749999999999997,2.945,2.1675,1.51016,1.6075,93.68016
2025-02-04,49.71,12.389999999999999,8.09,7.82,4.8950000000000005,2.5749999999999997,2.945,2.1675,1.51016,1.6075,93.71016
2025-02-06,49.71,12.389999999999999,8.09,7.82,4.8950000000000005,2.5749999999999997,2.945,2.1675,0.0525,1.6075,92.2525
2025-02-18,49.71,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.5749999999999997,2.945,2.1675,0.0525,1.6075,92.2375
2025-02-20,49.76,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.5749999999999997,2.945,2.1675,1.9803749999999998,1.6075,94.215375
2025-02-24,49.902499999999996,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.62,2.945,2.1675,1.9803749999999998,1.6075,94.402875
2025-02-25,49.915,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.6275,2.945,2.1675,1.975375,1.6075,94.417875
2025-02-26,49.9175,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.635,2.945,2.1675,0.0475,1.6075,92.5
2025-02-27,49.919999999999995,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.6374999999999997,2.945,2.1725000000000003,0.0475,1.6075,92.51
2025-03-03,49.9225,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.6374999999999997,2.945,2.1725000000000003,0.0475,1.6075,92.5125
2025-03-04,49.9475,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.6374999999999997,2.945,2.1725000000000003,0.0475,1.6075,92.5375
2025-03-05,49.9475,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.64,2.945,2.1725000000000003,0.0475,1.6075,92.54
2025-03-06,50.005,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.64,2.945,2.1725000000000003,0.0475,1.6075,92.5975
2025-03-07,50.0625,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.665,2.945,2.1725000000000003,0.0475,1.6075,92.67999999999999
2025-03-10,50.0625,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.8025,2.945,2.1725000000000003,0.0475,1.6075,92.8175
2025-03-11,50.082499999999996,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.83,2.945,2.1725000000000003,1.975375,1.6075,94.792875
2025-03-12,50.12,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.855,2.945,2.1725000000000003,0.0475,1.6075,92.9275
2025-03-13,50.12,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.905,2.945,2.2225,1.9753699999999998,1.6075,94.95536999999999
2025-03-14,50.12,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.9075,2.945,2.2225,0.0475,1.6075,93.03
2025-03-17,50.12,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.91,2.945,2.2225,0.0475,1.6075,93.0325
2025-03-20,50.12,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.9125,2.945,2.2225,1.975365,1.6075,94.962865
2025-03-21,50.12,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.9125,2.945,2.2225,0.0475,1.6075,93.035
2025-03-24,50.12,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.9125,2.945,2.2225,1.9753725,1.6075,94.96287249999999
2025-03-27,50.12,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.9125,2.945,2.2225,0.0475,1.6075,93.035
2025-03-28,50.12,12.389999999999999,8.075000000000001,7.82,4.8950000000000005,2.965,2.945,2.2225,1.975375,1.6075,95.015375
2025-03-31,50.12,12.389999999999999,8.0725,7.82,4.8950000000000005,2.965,2.9025,2.2225,1.975375,1.6075,94.97037499999999
2025-04-03,50.12,12.389999999999999,8.0725,7.82,4.8950000000000005,3.1475000000000004,2.7199999999999998,2.2225,1.975375,1.6075,94.97037499999999
2025-04-07,50.12,12.389999999999999,8.0725,7.82,4.8950000000000005,3.1475000000000004,2.7199999999999998,2.2225,0.0475,1.6075,93.04249999999999
2025-04-08,50.12,12.389999999999999,8.0725,7.82,4.8950000000000005,3.1475000000000004,2.7199999999999998,2.2225,1.975375,1.6075,94.97037499999999
2025-04-09,50.12,12.389999999999999,8.0725,7.82,4.8950000000000005,3.4450000000000003,2.6025,2.2225,1.975375,1.5925000000000002,95.135375
2025-04-10,50.12,12.389999999999999,8.0725,7.82,4.8950000000000005,3.5225,2.5275,2.2225,0.0475,1.5925000000000002,93.21000000000001
2025-04-14,50.12,12.389999999999999,8.0725,7.82,4.8950000000000005,3.54,2.5275,2.2225,0.0475,1.5925000000000002,93.22749999999999
2025-04-15,50.12,12.389999999999999,8.0725,7.82,4.8950000000000005,3.54,2.6149999999999998,2.2225,0.0475,1.5925000000000002,93.315
2025-04-16,50.12,12.389999999999999,8.0725,7.82,4.8950000000000005,3.54,2.6149999999999998,2.2225,0.0475,1.59,93.3125
2025-04-17,50.12,12.389999999999999,8.0725,7.82,4.8950000000000005,3.5275,2.6149999999999998,2.2225,1.975375,1.59,95.227875
2025-04-25,50.12,12.389999999999999,8.0725,7.82,4.8950000000000005,3.52,2.6149999999999998,2.2225,1.975375,1.59,95.220375
2025-04-28,50.12,12.389999999999999,8.0725,7.82,4.8950000000000005,3.535,2.6149999999999998,2.2225,1.975375,1.59,95.235375
2025-04-29,50.12,12.389999999999999,8.0725,7.82,4.8950000000000005,3.565,2.6149999999999998,2.2225,1.975375,1.59,95.26537499999999
2025-04-30,50.12,12.389999999999999,8.0725,7.82,4.8950000000000005,3.5900000000000003,2.6149999999999998,2.2225,1.975375,1.59,95.29037500000001
