date,DBS BANK LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,DEUTSCHE BANK AG,CITIBANK N.A.,VALUABLE CAPITAL LTD,UOB KAY HIAN (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,TOTAL_CCASS_PCT
2024-08-01,52.33637668832635,16.67741724429717,0.37191008592155517,0.0,5.173777618617823,1.013946429658211,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.55186403300846
2024-08-02,52.33637668832635,16.67638471229141,0.37191008592155517,0.0,5.171791980145204,1.013946429658211,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.54884586253009
2024-08-05,52.33637668832635,16.668005317936956,0.37191008592155517,0.0,5.171791980145204,1.0139067168887586,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.54042675540617
2024-08-07,52.33637668832635,16.666615371006124,0.37191008592155517,0.0,5.171990543992465,1.0139067168887586,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.53923537232261
2024-08-08,52.33637668832635,16.666615371006124,0.37191008592155517,0.0,5.170878586447799,1.0139067168887586,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.53812341477794
2024-08-12,52.33637668832635,16.666615371006124,0.37191008592155517,0.0,5.170878586447799,1.0271310691164017,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.55134776700558
2024-08-14,52.33637668832635,16.666615371006124,0.37191008592155517,0.0,5.159481021614965,1.0271310691164017,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.53995020217275
2024-08-15,52.33637668832635,16.666615371006124,0.37191008592155517,0.0,5.159481021614965,1.047344868767664,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.560164001824
2024-08-16,52.33637668832635,16.666615371006124,0.37191008592155517,0.0,5.159481021614965,1.0496879221653548,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.5625070552217
2024-08-20,52.33637668832635,16.666615371006124,0.37191008592155517,0.0,5.159481021614965,1.0496482093959023,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.56246734245225
2024-08-21,52.33637668832635,16.66816416901477,0.37191008592155517,0.0,5.159481021614965,1.0508395924794738,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.56520752354446
2024-08-22,52.33637668832635,16.66816416901477,0.37191008592155517,0.0,5.159481021614965,1.050879305248926,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.56524723631391
2024-08-27,52.33637668832635,16.66816416901477,0.37191008592155517,0.0,5.107260715423556,1.050879305248926,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.51302693012249
2024-09-11,52.33637668832635,16.66816416901477,0.37191008592155517,0.0,5.108253534659866,1.050879305248926,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.51401974935881
2024-09-12,52.33637668832635,16.66816416901477,0.37191008592155517,0.0,5.109206641126723,1.050879305248926,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.51497285582568
2024-09-13,52.33637668832635,16.66816416901477,0.37191008592155517,0.0,5.109206641126723,1.05211040110195,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.5162039516787
2024-09-26,52.33637668832635,16.66816416901477,0.37191008592155517,0.0,5.109206641126723,1.052308964949212,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.51640251552595
2024-09-27,52.33637668832635,16.66816416901477,0.37191008592155517,0.0,5.109206641126723,1.0573921994391167,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.52148575001587
2024-09-30,52.33637668832635,16.66816416901477,0.37191008592155517,0.0,5.107062151576295,1.0573921994391167,1.9524187409721707,1.5488774341817935,0.4771397910333928,79.51934126046544
2024-10-02,52.33637668832635,16.66816416901477,0.37191008592155517,0.0,5.107062151576295,1.0734758710673313,1.9524187409721707,1.5488774341817935,0.47801347196134514,79.5362986130216
2024-10-03,52.33637668832635,16.66816416901477,0.37191008592155517,0.0,5.10765784311808,1.101433660761808,1.9524187409721707,1.5488774341817935,0.47801347196134514,79.56485209425786
2024-10-04,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.107062151576295,1.1013939479923556,1.9524187409721707,1.5487185831039838,0.47801347196134514,79.56203248762674
2024-10-07,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.107062151576295,1.1034192992344272,1.9524187409721707,1.5487185831039838,0.47801347196134514,79.56405783886882
2024-10-08,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.107062151576295,1.1061197675571892,1.9524187409721707,1.5487185831039838,0.47801347196134514,79.56675830719158
2024-10-09,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.107062151576295,1.1139828959087608,1.9524187409721707,1.5487185831039838,0.47801347196134514,79.57462143554315
2024-10-10,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.107062151576295,1.1552047506003331,1.9524187409721707,1.5487185831039838,0.47801347196134514,79.61584329023472
2024-10-14,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.107062151576295,1.1573492401507617,1.9524187409721707,1.5487185831039838,0.47801347196134514,79.61798777978515
2024-10-15,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.107062151576295,1.1589774636983092,1.9524187409721707,1.5487185831039838,0.47801347196134514,79.6196160033327
2024-10-16,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.107062151576295,1.1642989748049284,1.9524187409721707,1.5487185831039838,0.4778149081140832,79.62473895059206
2024-10-17,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.107062151576295,1.1676348474389284,1.9524187409721707,1.5487185831039838,0.4778149081140832,79.62807482322606
2024-10-18,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.107062151576295,1.1677142729778334,1.9524187409721707,1.5487185831039838,0.4778149081140832,79.62815424876496
2024-10-21,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.107062151576295,1.1677539857472856,1.9524187409721707,1.5487185831039838,0.4778149081140832,79.62819396153441
