date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,MERRILL LYNCH FAR EAST LTD,CHINA RENAISSANCE BROKING SERVICES (HONG,DBS BANK (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD
2024-08-27,64.15830225522781,7.453457280991041,5.05686294325867,5.17090301561672,3.4583478351340466,7.91480459599905,0.0,2.9764049698955066,2.354988693595478,1.4559284102816872
2024-08-28,64.15085612235048,7.461774912961289,5.054873141961777,5.170302887034812,3.459859520030563,7.916564292639112,0.0,2.9755493836443305,2.35395015395207,1.4562695854255667
2024-08-29,64.14676557622703,7.466910391181428,5.056973870916957,5.169973205348393,3.459638903879777,7.916059497016175,0.0,2.975359649278616,2.351121947286892,1.4571969588647367
2024-08-30,64.14774725972026,7.467024662612115,5.0602395342799475,5.170052325118666,3.4543355507150717,7.919241384080176,0.0,2.9754051833196216,2.3511579281751795,1.4547961719789704
2024-09-02,64.14987434370288,7.470460641333024,5.056453737967863,5.170223759595476,3.4547051637929274,7.917208346687539,0.0,2.974228493740866,2.3512358905446047,1.4556096226348314
2024-09-03,64.15609278270999,7.4273084560660925,5.08538698510742,5.170724940952902,3.466519325146341,7.909175032006006,0.0,2.9745168038688408,2.352356642749196,1.4579190313932069
2024-09-04,64.15606627791523,7.43223541070913,5.08038023281741,5.170691965509251,3.4647115642730646,7.909507232632232,0.0,2.974497834379577,2.352341640983524,1.459567840780584
2024-09-05,64.14914429636148,7.433167973452417,5.09105499414935,5.170134084758734,3.461787087972085,7.911332044856209,0.0,2.9741769072976068,2.349792247321984,1.459410363830134
2024-09-09,64.15282601548519,7.4221159633930505,5.085607874290287,5.170430814851407,3.461985770711563,7.909617916544474,0.0,2.97434760457061,2.361023111171206,1.4620449289822204
2024-09-10,64.13622071743958,7.4209598685855305,5.109665457826629,5.169092502106088,3.456881932447501,7.911905839595954,0.0,2.9735777253379605,2.3600294629449117,1.4616664937158466
2024-09-11,64.12027790810878,7.419880039597778,5.126879264872806,5.167807582987803,3.4585721409193395,7.912998532379155,0.0,2.9728385613807595,2.359442813165397,1.461303156588185
2024-09-12,64.11324923874342,7.419066694970613,5.138171198102262,5.167241103676895,3.4607422542062163,7.908179824905326,0.0,2.97251268788167,2.3596940245220157,1.4611429729915864
2024-09-13,64.10752936625929,7.418404801899363,5.1494382137950385,5.166780107540235,3.458394300410765,7.906709594340901,0.0,2.9722474947471147,2.359483504090091,1.4610126169172053
2024-09-16,64.1212587751938,7.417443993833597,5.134223909466748,5.167886636487339,3.459134957710718,7.905343452721208,0.0,2.972884037782127,2.3604987262244785,1.4613255105799998
2024-09-17,64.1166162694538,7.4273338603109345,5.132450030604621,5.167512471291087,3.458119699920533,7.902604129743359,0.0,2.97266879510796,2.3602003531911078,1.4624943903765988
2024-09-19,64.1106506558718,7.427280079607028,5.129678275868458,5.1670316695211636,3.4576704890774503,7.904672887266575,0.0,2.9723922085634613,2.359853296250521,1.4707704379735498
2024-09-20,64.10125502303443,7.42874034108697,5.108409030322878,5.166274423542075,3.4597125102781074,7.896505355789614,0.0,2.9719565944251767,2.3574684481522774,1.50967827336848
2024-09-23,64.09586399048747,7.426459019362115,5.0892476336345895,5.165839930433417,3.4418366150477184,7.891763581022689,0.0,2.9708146583956143,2.3568878997290943,1.5612866718873002
2024-09-24,64.10525804289576,7.427674905717467,5.067435640617813,5.16659704903699,3.442341059352383,7.886547933713441,0.0,2.983994636922489,2.357743113933821,1.5624076178098472
2024-09-25,64.10084657972934,7.429202753954522,5.071164901541374,5.166241504838693,3.432801276742522,7.889063699484019,0.0,2.9830246690644313,2.3577083005544353,1.5699463140906618
2024-09-26,64.09790594157954,7.42159836706364,5.06112006872225,5.166004502557588,3.422831604156614,7.88755490762578,0.0,2.9828878222580055,2.3519931732832426,1.608103612753338
2024-09-27,64.10208828243611,7.421787520324881,5.064689787308967,5.166136167806893,3.421134760983026,7.881129352262896,0.0,2.982963846711444,2.351925683895878,1.6081445982698968
2024-09-30,64.1185770943007,7.416486197877744,5.026880563930398,5.166437956711281,3.4157271751483615,7.885815965886818,0.0,2.982118567699294,2.380864913424722,1.6070915650206699
2024-10-02,64.08525517255656,7.4582323475725,5.032292791851671,5.163752999416669,3.404016757249477,7.891653060433877,0.0,2.9798045308887025,2.3744051999052314,1.6105871401253125
2024-10-03,64.07841256402075,7.444706696577503,5.030476140232928,5.16241156701094,3.398802823671901,7.919146424034426,0.0,2.975974222956242,2.372896983223731,1.6171725782715844
