date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-05-16,69.46447191004282,8.397276879224286,5.986509975572606,3.9033576837991935,1.6945232145348286,0.6665753722966574,0.3770284498054808,0.27614263762747154,0.3248978603272853
2024-05-17,69.46392395042525,8.400437478065498,6.049235235324803,3.8694228670123927,1.6981977672644026,0.6626751891363202,0.3768028193747175,0.2829760163877316,0.31990175793181214
2024-05-20,69.46959694411302,8.371901900788108,6.15757007500987,3.8846027989003677,1.6850145035240893,0.6599676239671606,0.3702273039639012,0.2766905972450395,0.31941826415160507
2024-05-21,69.46034609645172,8.367614922603606,6.312545948025579,3.870678210263322,1.6836607209395096,0.6648347946879118,0.3700339064518184,0.2845231964843942,0.31400313381328576
2024-05-22,69.47900895636772,8.460253942537216,6.384457589601713,3.8288656681510136,1.692847102763444,0.6710219034286284,0.3709041952561911,0.2789146686339921,0.3190314691274394
2024-05-23,69.47027383540531,8.61697039316167,6.17945622679391,3.8948997981703566,1.6997449473610653,0.658902326004771,0.37561020138354,0.26495781484534775,0.3018835563894283
2024-05-24,69.47072509626683,8.632152097860173,6.123113084940445,3.9170519037664295,1.6940397207546216,0.6600304781585875,0.3756424343022205,0.27543351341650113,0.3045588886399075
2024-05-27,69.48471418297416,8.641950905139035,6.099454122628979,3.930372802069508,1.7012921274577277,0.6708285059165456,0.38418415775254555,0.0,0.3064928637607358
2024-05-28,69.48542330718513,8.621483001776935,5.9922152021790485,3.9761476079435325,1.7037418292774436,0.6788222697493027,0.39320937498307773,0.27311274327150714,0.31284274874078877
2024-05-29,69.50727722605049,8.610718818583592,5.9090865049021115,3.985782027337125,1.7177309159847685,0.670925204672587,0.395755775558835,0.265247911113472,0.31484118969897806
2024-05-30,69.52523096175551,8.588996248861855,5.857965095874882,4.044122353064951,1.7244353630703066,0.6700549158682143,0.40091304254771054,0.2655380073815963,0.31435769591877094
2024-05-31,69.55749611335466,8.594346913362815,5.872888937223941,4.037863010353472,1.7343308691052117,0.6697970525187705,0.40839107968158006,0.29325831744680214,0.3169685623318892
2024-06-03,69.55907552637001,8.623001978069754,5.824765189633997,4.101154570253967,1.7417122074830396,0.6729881114681372,0.41873784657801155,0.28410416854154813,0.31961166166368793
2024-06-04,69.55841839385687,8.656278824287531,5.812226584267293,4.190377287602471,1.7468372415532347,0.6690879283078002,0.42792422840194605,0.2867150349546663,0.3211588417603506
2024-06-05,69.56963544955768,8.693811801786632,5.745278812167953,4.20493592998288,1.7457413223180986,0.6732137418989006,0.42889121596236024,0.2860059107436959,0.3210943759229896
2024-06-06,69.57290538245906,8.71623150507359,5.837851754618268,4.18192098138665,1.7477397632762879,0.6699904500308533,0.4280853929953484,0.2667950912101346,0.3224803914262499
2024-06-07,69.5608663873319,8.723467795317356,5.8682473969339535,4.171767547536464,1.748771216674063,0.6702483133802971,0.432565768691934,0.26579587073104,0.3222869939141671
2024-06-11,69.52869793448878,8.73191282001164,5.891648495895975,4.173778237003751,1.7547987724673115,0.6690879283078002,0.43466090840616467,0.26750421542110503,0.324672229896522
