date,CHINA GALAXY INTERNATIONAL SECURITIES,PUBLIC FINANCIAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,SHANGHAI COMMERCIAL BANK LTD,KINGSWAY FINANCIAL SERVICES GROUP LTD,HANG SENG SECURITIES LTD
2024-09-24,35.205669193395515,20.595391783310397,15.353961866307648,14.864941680027993,0.0,0.0,7.393326661640774,6.586708815317671
2024-09-26,35.209999461181674,20.59792499922777,15.343550474604154,14.86677005538841,0.0,0.0,7.394236034619869,6.587518974978125
2024-10-04,31.354688694063366,18.342559953926713,13.663511955552742,13.238936498333095,10.976878761924272,0.0,6.584605866056173,5.838818270143636
2024-10-07,31.393659396111346,18.365357897983387,13.556204446163056,13.255391155393886,10.990521910348473,0.0,6.592789864175663,5.846075329824192
2024-10-09,31.377600910388743,18.36692479307279,13.549270176003446,13.28880161707559,10.984900038206893,0.0,6.589417520079993,5.843084945172543
2024-10-10,31.38104063131123,18.36893823876843,13.550755493770152,13.250063115702401,11.015337161359911,0.0,6.5901398747742075,5.843725484313669
2024-10-17,31.403991390898263,18.382372499612107,13.560665940501801,13.259753648806589,11.0233933108653,0.0,6.594959623032012,5.7748635862839315
2024-10-22,31.289572074042333,18.315396984384876,13.875604555452375,13.211442211725563,10.983229972506054,0.0,6.570931124062978,5.753823077825816
2024-10-23,31.285012641160474,18.312728113648735,13.873582639412232,13.209517075648458,10.996201258509574,0.0,6.569973625527665,5.752984646092861
2024-10-24,31.281593938413543,18.310726970973036,13.872066589039386,13.208073591740362,11.005927242473037,0.0,6.56925568473159,5.752355982629041
2024-10-25,31.27020365681505,18.30405965290468,13.867015479907499,13.20326425632479,11.0383318428045,0.0,6.566863681552693,5.750261429690788
2024-10-29,31.262235393891324,18.29939541849526,13.881683296501576,13.20718036685805,11.035519058745653,0.0,6.565190315527541,5.7487961499805955
2024-10-30,31.25995949317437,18.29806321666682,13.880672705525948,13.206218879911033,11.04199570135955,0.0,6.564712367576675,5.748377635785609
2024-10-31,31.25995949317437,18.29806321666682,13.880672705525948,13.195298832024438,11.052915749246143,0.0,6.564712367576675,5.748377635785609
2024-11-12,31.26564986640348,18.30139408499681,13.883199458907788,13.179497431264625,11.054927754920586,0.0,6.5659073679579585,5.74942403554875
2024-11-14,31.26564986640348,18.30139408499681,13.883199458907788,13.183138109833228,11.054927754920586,0.0,6.5659073679579585,5.745783356980148
2024-11-18,31.25768392380589,18.296731208793695,13.92333927352827,13.161580521100966,11.052111152025956,0.0,6.564234489210268,5.744319431534955
2024-12-03,31.14432633129699,18.230377175472896,13.87284557016947,13.476504499262667,11.012030104582122,0.0,6.540428956459516,5.723487362756342
2024-12-19,31.143196907302222,18.2297160654782,13.875968902290364,13.476015784644629,11.011630762149768,0.0,6.540191773053432,5.723279805081391
2025-01-03,28.52803936001965,16.698929752969754,12.710775588685031,12.344407347289597,10.08696174434663,8.397203264220389,5.990998576000315,5.242684366468629
2025-02-06,28.52803936001965,16.698929752969754,12.714097490578839,12.344407347289597,10.08696174434663,8.397203264220389,5.990998576000315,5.239362464574823
2025-02-13,28.528987064981248,16.6994844934614,12.71451985445467,12.341495417765797,10.087296834451207,8.397482220341299,5.991197597706775,5.239536516837603
2025-02-14,28.529934832910687,16.700039270811363,12.714942246393395,12.33858329476626,10.087631946819993,8.397761194996738,5.991396632636725,5.239710580664841
2025-02-20,28.530882663814243,16.70059408502332,12.71536466639781,12.3356709782717,10.087967081455206,8.398040188188553,5.991595680791483,5.239884656057692
2025-02-24,28.53467461729518,16.702813710564545,12.717054627128302,12.324019776957499,10.089307842704722,8.399156346356524,5.992392005684963,5.240581073308268
2025-03-11,28.52803936001965,16.698929752969754,12.714097490578839,12.32115403403295,10.110215057603273,8.397203264220389,5.990998576000315,5.239362464574823
2025-03-12,28.527091718019626,16.698375049332757,12.713675154763099,12.324066542526888,10.109879217334091,8.396924326632162,5.990799567516028,5.23918842387535
2025-03-31,28.529934832910687,16.700039270811363,12.675076775084026,12.35519390781183,10.11088680508379,8.397761194996738,5.991396632636725,5.239710580664841
2025-04-08,28.530882663814243,16.70059408502332,12.67217563768684,12.3556043761383,10.111222712299574,8.398040188188553,5.991595680791483,5.239884656057692
2025-04-23,28.53277851456881,16.7017038240479,12.666372784558778,12.356425394616966,10.111894593693311,8.398598230188698,5.991993816780697,5.240232841544839
2025-04-24,28.533006033590873,16.701837002641735,12.666473785614372,12.355726528911541,10.111975225461016,8.398665200212491,5.992041596655087,5.240274626912881
