date,BNP PARIBAS,NANYANG COMMERCIAL BANK LTD,EVERBRIGHT SECURITIES INVESTMENT,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,UBS SECURITIES HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD,DBS BANK LTD,TOTAL_CCASS_PCT
2024-06-28,11.924849694794842,7.63835431107162,6.625291939892403,3.7839259588363303,2.2745913216977436,0.0,2.1326756675439666,1.9966151346838268,1.0426640647242882,0.0,37.41896809324502
2024-07-02,11.92739526135911,7.63835431107162,6.625291939892403,3.7837986805081174,2.2745913216977436,0.0,2.1326756675439666,1.992669506509211,1.0426640647242882,0.0,37.41744075330646
2024-07-03,11.92739526135911,7.676537809535644,6.625291939892403,3.740014935602703,2.2745913216977436,0.0,2.1326756675439666,1.992669506509211,1.0426640647242882,0.0,37.41184050686507
2024-07-04,11.92739526135911,7.676537809535644,6.625291939892403,3.740014935602703,2.274336765041317,0.0,2.1326756675439666,1.992669506509211,1.0426640647242882,0.0,37.41158595020864
2024-07-08,11.92739526135911,7.679974324397406,6.625291939892403,3.740014935602703,2.274336765041317,0.0,2.1326756675439666,1.9897421049603026,1.0426640647242882,0.0,37.41209506352149
2024-07-10,11.92739526135911,7.679974324397406,6.625291939892403,3.740014935602703,2.2679728486306465,0.0,2.1326756675439666,1.9897421049603026,1.0426640647242882,0.0,37.40573114711083
2024-07-15,11.92739526135911,7.679974324397406,6.625291939892403,3.740014935602703,2.2679728486306465,0.0,2.1326756675439666,1.992287671524571,1.0426640647242882,0.0,37.40827671367509
2024-07-16,11.92739526135911,7.679974324397406,6.625291939892403,3.7451060687312387,2.2679728486306465,0.0,2.1326756675439666,1.992287671524571,1.0426640647242882,0.0,37.41336784680363
2024-07-17,11.92739526135911,7.679974324397406,6.625291939892403,3.7451060687312387,2.2679728486306465,0.0,2.1326756675439666,1.9925422281809977,1.0426640647242882,0.0,37.41362240346005
2024-07-18,11.92739526135911,7.679974324397406,6.625291939892403,3.7451060687312387,2.264154498784244,0.0,2.1326756675439666,1.9925422281809977,1.0426640647242882,0.0,37.409804053613655
2024-07-19,11.917976665071317,7.7610506194693505,6.625291939892403,3.7451060687312387,2.264154498784244,0.0,2.1326756675439666,1.9925422281809977,1.0426640647242882,0.0,37.481461752397806
2024-07-23,11.917976665071317,7.7610506194693505,6.625291939892403,3.7451060687312387,2.264154498784244,0.0,2.1326756675439666,1.992669506509211,1.0426640647242882,0.0,37.48158903072602
2024-07-26,11.917976665071317,7.7610506194693505,6.625291939892403,3.7578339015525803,2.264154498784244,0.0,2.1326756675439666,1.9927967848374244,1.0426640647242882,0.0,37.494444141875576
2024-07-31,11.921285901604866,7.8246897835760585,6.625291939892403,3.7451060687312387,2.264154498784244,0.0,2.1326756675439666,1.9869419817396075,1.0426640647242882,0.0,37.542809906596666
2024-08-02,11.924976973123055,7.939876670609197,6.625291939892403,3.694703850758727,2.2705184151949145,0.0,2.1326756675439666,1.9869419817396075,1.0426640647242882,0.0,37.617649563586156
2024-08-06,11.924976973123055,7.969659799411137,6.625291939892403,3.6921582841944587,2.2705184151949145,2.1424760988163993,2.1326756675439666,1.9869419817396075,1.0426640647242882,0.0,39.787363224640224
2024-08-12,11.925613364764121,7.969659799411137,6.625291939892403,3.6921582841944587,2.2705184151949145,2.1424760988163993,2.1326756675439666,1.9869419817396075,1.0426640647242882,0.0,39.7879996162813
2024-08-13,11.925613364764121,7.969659799411137,6.625291939892403,3.6921582841944587,2.274336765041317,2.1424760988163993,2.1326756675439666,1.9869419817396075,1.0426640647242882,0.0,39.791817966127695
2024-08-16,11.925613364764121,7.969659799411137,6.625291939892403,3.690758222584111,2.274336765041317,2.1424760988163993,2.1326756675439666,1.9869419817396075,1.0426640647242882,0.0,39.79041790451735
2024-08-21,11.925613364764121,7.969659799411137,6.628983011410591,3.690758222584111,2.274336765041317,2.1424760988163993,2.1326756675439666,1.9869419817396075,1.0426640647242882,0.0,39.79410897603554
2024-08-22,11.925613364764121,7.969659799411137,6.630128516364511,3.690758222584111,2.273063981759183,2.1424760988163993,2.1326756675439666,1.9870692600678208,1.0426640647242882,0.0,39.79410897603554
2024-08-26,11.924849694794842,7.999061093228435,6.630128516364511,3.690758222584111,2.273063981759183,2.1424760988163993,2.1326756675439666,1.9870692600678208,1.0426640647242882,0.0,39.82274659988356
2024-08-27,11.924849694794842,7.999061093228435,6.630128516364511,3.687448986050563,2.273063981759183,2.1424760988163993,2.1326756675439666,1.9910148882424366,1.0426640647242882,0.0,39.823382991524625
2024-08-30,11.924467859810202,7.999061093228435,6.630128516364511,3.6878308210352024,2.273063981759183,2.1424760988163993,2.1326756675439666,1.9910148882424366,1.0426640647242882,0.0,39.823382991524625
2024-09-04,11.924467859810202,7.999061093228435,6.630128516364511,3.6878308210352024,2.2720457551334756,2.1424760988163993,2.1326756675439666,1.9921603931963572,1.0426640647242882,0.0,39.82351026985284
2024-09-05,11.924467859810202,7.999061093228435,6.630128516364511,3.6878308210352024,2.2720457551334756,2.1424760988163993,2.1326756675439666,1.9920331148681438,1.0426640647242882,0.0,39.823382991524625
2024-09-20,11.924467859810202,7.999061093228435,6.630128516364511,3.688339934348056,2.2720457551334756,2.1424760988163993,2.1326756675439666,1.9917785582117171,1.0426640647242882,0.0,39.823637548181054
2024-09-23,11.925104251451268,8.017771007475808,6.630128516364511,3.6887217693326964,2.252954005901463,2.1424760988163993,2.1326756675439666,1.99114216657065,1.0426640647242882,0.0,39.823637548181054
2024-09-26,11.925104251451268,8.017771007475808,6.630128516364511,3.6887217693326964,2.252954005901463,2.1424760988163993,2.1326756675439666,1.9910148882424366,1.0426640647242882,0.0,39.82351026985284
2024-09-30,11.925486086435908,8.01713461583474,6.630128516364511,3.689103604317337,2.2465900894907924,2.1424760988163993,2.1326756675439666,1.99114216657065,1.0426640647242882,0.0,39.81740091009859
2024-10-03,11.925486086435908,8.01713461583474,6.630128516364511,3.689103604317337,2.2465900894907924,2.1424760988163993,2.1326756675439666,1.991396723227077,1.0426640647242882,0.0,39.81765546675502
2024-10-04,11.925486086435908,8.027444160420027,6.630128516364511,3.6488836526018984,2.252954005901463,2.1424760988163993,2.1326756675439666,1.992669506509211,1.0426640647242882,0.0,39.79538175931767
2024-10-07,11.925486086435908,8.046281352995612,6.630128516364511,3.6457016943965628,2.2605907055942684,2.1424760988163993,2.1326756675439666,2.017488780510827,1.0426640647242882,0.0,39.843492967382346
2024-10-08,11.925486086435908,8.056463619252686,6.630128516364511,3.642519736191227,2.2599543139532012,2.1424760988163993,2.1326756675439666,2.0172342238544,1.0426640647242882,0.0,39.849602327136594
2024-10-09,11.925486086435908,8.05773640253482,6.630128516364511,3.656520352294703,2.240862564721189,2.1424760988163993,2.1326756675439666,2.036325973086412,1.0420276730832212,0.0,39.86423933488113
2024-10-10,11.925486086435908,8.05773640253482,6.630128516364511,3.6530838374329404,2.231316690105183,2.1424760988163993,2.1326756675439666,2.026143706829339,1.0420276730832212,0.0,39.84107467914629
2024-10-15,11.925486086435908,8.05773640253482,6.630128516364511,3.654993012356142,2.231316690105183,2.1424760988163993,2.1326756675439666,2.026270985157552,1.0420276730832212,0.0,39.8431111323977
2024-10-16,11.925486086435908,8.05773640253482,6.630128516364511,3.654993012356142,2.231316690105183,2.1424760988163993,2.1326756675439666,2.0266528201421927,1.0420276730832212,0.0,39.843492967382346
2024-11-18,11.925486086435908,8.05773640253482,6.630128516364511,3.7239778662478122,2.231316690105183,2.1424760988163993,2.1326756675439666,2.0266528201421927,1.0420276730832212,0.0,39.91247782127402
2024-11-20,11.925486086435908,8.05773640253482,6.630128516364511,3.7239778662478122,2.231316690105183,2.1424760988163993,2.1326756675439666,2.0143068223054916,1.0420276730832212,0.0,39.90013182343731
2024-11-22,11.925486086435908,8.05773640253482,6.623255486640987,3.7239778662478122,2.231316690105183,2.1424760988163993,2.1326756675439666,2.0143068223054916,1.0420276730832212,0.0,39.893258793713784
2024-11-25,11.925486086435908,8.05773640253482,6.623255486640987,3.7235960312631726,2.1994971080518297,2.1424760988163993,2.1326756675439666,2.0244890885625644,1.0420276730832212,0.0,39.87123964293287
2024-11-26,11.925486086435908,8.056463619252686,6.623255486640987,3.724868814545306,2.1994971080518297,2.1424760988163993,2.1326756675439666,2.025252758531845,1.0420276730832212,0.0,39.87200331290215
2024-11-28,11.925486086435908,8.056463619252686,6.623255486640987,3.724868814545306,2.1969515414875613,2.1424760988163993,2.1326756675439666,2.0255073151882717,1.0420276730832212,0.0,39.86971230299431
2024-12-03,11.925486086435908,8.056463619252686,6.623255486640987,3.724868814545306,2.1969515414875613,2.1412033155342654,2.1326756675439666,2.0255073151882717,1.0420276730832212,0.0,39.868439519712176
2024-12-05,11.925486086435908,8.056463619252686,6.623255486640987,3.724868814545306,2.1966969848311346,2.1412033155342654,2.1326756675439666,2.025761871844699,1.0420276730832212,0.0,39.868439519712176
2024-12-09,11.919504005009879,8.056463619252686,6.63598331946233,3.724868814545306,2.1966969848311346,2.1412033155342654,2.1326756675439666,2.0253800368600583,1.0420276730832212,0.0,39.874803436122846
