date,THE HONGKONG AND SHANGHAI BANKING,DEUTSCHE BANK AG,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS,GOLDMAN SACHS (ASIA) SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,MERRILL LYNCH FAR EAST LTD
2024-09-19,979946865,947921203,156943530,93755879,24944783,35226800,23777609,19526036,36136418,44861646
2024-09-20,987678296,940849871,153719132,94196332,24959133,36372244,24840421,19563459,35381976,45432683
2024-09-23,990479801,937966699,156765241,93967496,24908789,35221969,23798094,19201009,37106824,45899191
2024-09-24,995017704,935297875,153916001,94048551,24817934,35496804,23285888,18932179,37115439,46571598
2024-09-25,994161407,931431534,155341715,94253730,24763882,34862870,25259113,19404576,38361047,45577480
2024-09-26,1000740045,930294380,157051884,95922886,24474071,35569584,21117277,18980156,39896756,45848658
2024-09-27,1008189704,930257444,149290251,97203404,24230236,36227433,23112768,18804542,38719873,47612457
2024-09-30,1012916022,929785392,147407170,98449536,23539022,35018089,23104421,17827572,38493498,48209080
2024-10-02,1005535450,931697760,148235212,99193926,23026499,33739531,22736092,17271179,46310099,50402109
2024-10-03,1007601675,929436722,149267188,100174284,22606881,33785131,23570273,17863617,49554678,49312334
2024-10-04,1004546376,925777986,146855383,102010600,22342345,36460298,22026286,22462280,50379460,49313953
2024-10-07,1005621734,922560597,148557884,103244741,22426390,38550620,22548169,18386236,51969009,47593194
2024-10-08,1010934140,897212054,167159793,105084261,22240454,39758989,21734845,19435704,52489126,47702013
2024-10-09,1014640617,891535926,155832928,105580254,21911079,35065405,21085298,39212065,50637656,46555550
2024-10-10,1028595030,889376108,153421273,106706918,22248595,33370039,23815532,26727681,50214811,47970173
2024-10-14,1035662389,888054792,164121482,106656889,22625269,33367596,22653144,19541667,46702616,45518925
2024-10-15,1042416398,888165209,154861034,107512944,22854330,33303202,23231036,23317092,44590798,46001428
2024-10-16,1042932772,888526596,153812778,107434528,22968722,33251667,24588729,22961882,46021981,44967241
2024-10-17,1035606645,888621871,155928295,107792984,23006519,33150749,29272442,23310312,46622623,45300103
2024-10-18,1036096879,888463777,159938821,108428762,23031338,33102591,25212881,24138912,46557462,45425937
2024-10-21,1033790615,888546045,161672857,107699075,22956190,33270570,26100855,25070592,45214159,45190943
2024-10-22,1030225878,888308440,162972670,110657064,23212812,32492070,25842638,24169184,44988253,45479157
2024-10-23,1034369981,888226588,166899077,112106025,23272317,32240973,23961650,18724461,45249523,46184636
2024-10-24,1036432003,888198188,158708384,112443114,23234190,32209593,24373951,23279094,45518187,48530237
2024-10-25,1037001845,887148088,160563695,112971644,23092937,33265505,23666951,23127842,45398267,47691485
2024-10-28,1036885204,887065053,160643525,112982470,23110898,33345842,23952946,23557037,45178256,48545253
2024-10-29,1035394348,887005998,163767932,112956728,23321727,33186773,23433863,22970227,45137530,48599641
2024-10-30,1035685300,887006110,168622912,108330981,23330768,33217996,23404085,22857964,45109242,48536926
2024-10-31,1037327066,886993646,168120646,108582025,23221732,33518540,23823938,22732710,46075967,48266259
2024-11-01,1036647163,883757256,170039625,108736931,23309348,33335224,24669782,22778164,46289893,48405953
2024-11-04,1037308587,883741596,174352602,108893417,23316450,33288275,23962628,18082161,45780594,48523849
2024-11-05,1037083955,881010946,169941963,108804671,23196524,33992578,28102251,22882190,45412583,47587023
2024-11-06,1037543776,880946665,177104252,109520651,23227183,33926687,21771131,23369057,45750229,45948988
2024-11-07,1038012305,880953665,176609019,109758948,23266243,33790292,21931775,23459033,44914527,45590301
2024-11-08,1038732104,881971365,176070314,107857796,23494456,32673403,23209026,18909902,47112918,46281341
2024-11-11,1039029501,881223525,173480234,106491255,23509399,32913565,23200569,19271091,46614711,46472274
2024-11-12,1040379749,881343669,175262515,106426616,23382268,32721641,20487155,20015538,46371617,45417321
2024-11-13,1039255852,881464308,176569773,105986141,23548166,32328083,20690777,19837728,45067889,44311417
2024-11-14,1040641720,880485995,172805114,105970697,25666141,32481652,22449247,22543614,42787975,45471623
2024-11-15,1041914892,881550222,175752910,104832518,25629330,32644306,21996680,21096384,39645362,45621651
2024-11-18,1049395989,882734592,176583341,103846080,26013363,32514141,22562475,21962439,39952930,45166701
2024-11-19,1048710523,882694449,176385245,103565965,26236366,33330344,23264809,21125523,40028210,46362642
2024-11-20,1048889098,882588751,173817020,103332796,27616458,32759513,22947875,22932822,39181519,48721095
2024-11-21,1051188360,883832982,172787132,104281649,27623535,32427514,21048532,22398894,37862772,48464026
2024-11-22,1050192716,887247732,172436067,103129307,27645062,32185217,21175991,22647678,38081112,48506688
2024-11-25,1051548539,887651742,171832409,102927409,27572243,31803030,22315956,22408431,37713133,48578171
2024-11-26,1051359495,887302566,173534672,103080017,27540301,32053678,22428377,20641786,37050638,48941095
2024-11-27,1050490248,887920426,174200073,102972259,27417534,31574925,22320464,20776185,36451971,50202388
2024-11-28,1048147943,887908262,173890595,103795269,27494624,32340680,22335818,20305890,37226759,51942610
2024-11-29,1049349668,887840226,171390122,103906682,27390725,32465577,22241952,21366215,36937713,51304691
2024-12-02,1049955537,887828896,170004640,104379195,27352331,32383792,22269917,21899970,36720315,51933620
2024-12-03,1050367364,887715515,171394133,103350471,27336763,32460480,22433323,20266175,36911507,51959949
2024-12-04,1051452705,888196743,171579669,102809984,27274657,32585493,22306379,21045089,36844884,50801995
2024-12-05,1053705545,888189243,171050396,102820480,27269330,32585176,22753381,19049955,36849817,50871460
2024-12-06,1050234705,888181243,169810641,103516274,27328270,32526116,22639190,20758335,36470632,51183215
2024-12-09,1056237318,887173163,167469114,102792210,27320143,33415568,22602952,18517475,36290658,50781389
2024-12-10,1054789843,887046618,168963963,102624163,27474103,33711121,22902844,16961095,37400091,50339482
2024-12-11,1053886645,887046772,168969891,102769194,27265487,33416570,22575141,16013152,38209024,51123871
2024-12-12,1055033304,887036343,168329061,102565270,27161034,32415606,22930752,15606454,39271621,51544076
2024-12-13,1052181003,887617975,166204451,102116971,27202541,32145753,23750925,17617267,41425986,52518003
2024-12-16,1053680327,887620435,165399549,98958432,26993710,32271633,24918058,18589065,41427478,53094969
2024-12-17,1057740958,885856341,172626791,92518423,27005748,32223281,24034459,19329787,40834838,53439641
2024-12-18,1059950247,884232351,175551375,91387251,26993292,32159973,24170675,18396042,38755476,52996465
2024-12-19,1059249025,884345703,178951199,89703866,26949024,32217248,24301078,19172077,39401842,51688046
2024-12-20,1057815442,884388683,178246643,89495187,26921205,32247848,23189576,19562952,41447107,51686086
2024-12-23,1058377096,884660985,179742641,89447847,26922844,32272471,23163781,21233640,40433283,51132676
2024-12-27,1052517437,884751762,182896009,90970946,27017210,32248340,23355470,22385885,38059828,52011479
2024-12-30,1051332335,886239795,181006759,89847199,26865116,32233674,23310723,24253532,38969187,51859954
2025-01-02,1051261419,886192035,178936178,92925053,26971538,32102949,23555958,22941422,39390814,50914149
2025-01-03,1054344226,886508002,176140369,92280094,26889145,33761939,24703225,22793335,41665204,3583661
2025-01-06,1058944290,886443924,169574939,91717193,26922674,32359614,23537426,24255373,40943746,9347597
2025-01-07,1061126337,886205024,165802670,91974358,26793549,32714409,23991453,24838771,41419910,9884284
2025-01-08,1062069937,886231868,162914154,94758009,26740503,32578068,23296760,25301516,40815545,9504058
2025-01-09,1061032423,889333439,164038903,91698153,26686454,32705638,23665176,25237741,42162979,9063735
2025-01-10,1062402653,889338602,161718313,92993811,27301667,32979513,24109531,25617376,38099362,8992581
2025-01-13,1060535509,886812409,168380334,92067663,27314987,32963577,24899105,23100921,40583075,9447582
2025-01-14,1060059111,886750662,164731131,94888662,27800553,33522739,24370798,23562336,41131265,9951485
2025-01-15,1060592360,890001279,166341791,90903026,27227375,33397423,23663750,24589900,40669181,9668066
2025-01-16,1061772245,890593969,165161258,90324597,27204072,32965106,24474104,23605223,41572782,9243546
2025-01-17,1060373426,890593879,166336760,90389077,27151900,32628495,24770123,20980048,42157996,11433877
2025-01-20,1060187645,890510741,168883789,90558149,27078884,32590034,24590918,20299267,43123204,9040707
2025-01-21,1061406808,890503995,165468932,90269175,26856384,32762422,24721000,20389204,42768316,11757843
2025-01-22,1063684482,890299077,165145862,90256953,26535644,34974133,23810251,19203484,42744687,11761894
2025-01-23,1065591359,890228660,163585713,91573600,26404752,34072545,24030304,19528330,41789802,11792860
2025-01-24,1072882832,891014355,163471482,90238721,26433996,32988039,23964561,17701149,40288432,10686200
2025-01-27,1074023946,890896753,163757504,90374482,26329780,32310193,23778677,17117229,39735439,9987119
2025-02-03,1071138847,889810079,163781197,90859843,26099991,35482614,24064120,16700299,40256827,9848442
2025-02-04,1072678069,889939355,162099854,91112768,25985028,34310239,24193368,16399623,41202927,9279323
2025-02-05,1071208789,889157013,164140179,89127719,26052485,34627081,24974600,17379413,41862263,9931728
2025-02-06,1070635245,889095138,164927145,89017685,25867016,34474243,24633410,17324308,41478896,10569376
2025-02-07,1073750978,889048848,165003414,89603289,25785394,34381368,23300010,17172992,41180903,10038031
2025-02-10,1072265276,888675978,166295247,90332819,25928215,35023049,23100252,17049447,41096858,9666429
2025-02-11,1071947784,889112124,166296592,90376579,25933018,34097547,22983887,17719072,39971827,9788234
2025-02-12,1075194350,888278145,166547227,91160581,25739452,34176585,23444555,18108767,39008959,8633061
2025-02-13,1075702250,888158758,167311639,91124604,25574112,33462686,23631958,19189553,38600260,8611677
2025-02-14,1073896645,888304837,167271830,92552137,25490430,33957633,24103342,19581252,35223988,10317221
2025-02-17,1072521913,888414732,167830313,92584660,25734257,33700921,24918796,17950307,34155184,11231598
2025-02-18,1077304195,890867204,169980366,91878582,25900343,33533990,23424180,17119432,31958013,10167853
2025-02-19,1074299122,890497489,171405490,91545549,26043362,33607219,25449389,17909077,30339771,8617039
2025-02-20,1074824598,889936070,172857897,89951677,26073466,33636837,25413509,18728694,29120491,9044610
2025-02-21,1074213404,889910315,174001932,90315878,26084793,33460658,24713998,19232219,27411909,10034226
2025-02-24,1076101807,889832397,172603720,90090086,26050227,33277197,24967586,18601919,26721899,10245491
2025-02-25,1077421247,889536936,174304491,90405903,25523065,33307914,25873766,18510544,25214540,9292663
2025-02-26,1078129742,889911677,174311733,89671055,25404366,33040542,26019360,20321189,23391000,9446131
2025-02-27,1079135711,889042324,174407436,89404466,25467333,32913672,25951473,20293896,23208130,9518163
2025-02-28,1083899948,888831357,174935690,89935389,25192095,33873568,25311494,18811721,20299595,9652328
2025-03-03,1095570552,880256371,171854569,89780029,25395263,33495120,25355286,17902684,20603056,9779915
2025-03-04,1102156840,880251685,170483045,87072914,25392061,33013707,24818592,18155887,20527010,10227356
2025-03-05,1101811105,880304743,172182433,87063444,25492610,33432598,24313038,18209004,21370360,8453927
2025-03-06,1102102652,880296234,171137005,87439320,25632826,33025315,24364481,19157399,21683814,7624517
2025-03-07,1101222121,880610224,171945805,87083993,25652100,33230655,24630849,17903074,21093863,6532628
2025-03-10,1099030828,880609851,169590421,87076168,25217982,33437863,25805219,18502279,24105562,7047120
2025-03-11,1103691501,879481394,161155537,87100778,25347979,33123870,25969173,18428613,23677324,8606494
2025-03-12,1106650897,877261429,159848374,87382269,26361215,33153847,26152413,17866938,23021350,8744804
2025-03-13,1100542042,875512483,162495096,87870359,26662422,33385786,27477590,17779857,22821231,9957436
2025-03-14,1098745515,875346355,162467232,87460612,27106350,33516958,28423400,17729032,20958291,12528533
2025-03-17,1099810505,874148030,160318090,87367583,27434815,33639780,27077679,18003514,23925201,12713183
2025-03-18,1103920384,874172607,161032151,87155346,27006658,33310021,26285810,18228338,22530751,11296021
2025-03-19,1107409915,874169824,161317604,86687277,26887614,33731924,25963965,17948725,20116248,11522609
2025-03-20,1109654906,873199554,160733537,86550942,27173517,33823342,26035536,17468163,21245793,11416876
2025-03-21,1112040498,871731130,162404230,85532545,27110804,33762549,26724637,17138629,20607738,11410416
2025-03-24,1110221080,872915404,163656132,84128397,27141392,33600752,26077480,18373254,20439677,11980620
2025-03-25,1110001972,872896616,164735615,84288602,27319864,33478540,27177975,17128779,20743673,13049509
2025-03-26,1109075227,872748040,163064667,84152731,27019886,33509662,27422977,19471212,20948949,12818039
2025-03-27,1109477759,872490660,163426918,83975915,27222347,33614641,27315602,19537802,19519638,13486706
2025-03-28,1108770950,872386794,163412172,83373583,27317403,33540580,27310455,18210464,19731912,14447702
2025-03-31,1109207040,871884070,164466248,83472341,27316246,33767160,27342892,17709467,19863260,13970211
2025-04-01,1093781462,872602078,163803849,81540826,27392518,33959984,35602420,17922721,19381060,17050246
2025-04-02,1092731845,872597153,164118840,80366057,27478931,33934094,35168384,17547380,20402594,17092942
2025-04-03,1097783876,872568226,160053721,80014614,27502649,33920468,35157285,16583510,24013823,21730809
2025-04-07,1095722661,872295118,151197336,80529056,27544045,39735003,39066584,17048317,23996417,25233080
2025-04-08,1093129148,869231623,152495826,80623863,27762591,40152592,37609211,17013823,25331410,27693102
2025-04-09,1093811290,869105927,156961355,81606775,27631789,37554280,37239632,19037496,22907395,30682812
2025-04-10,1102216574,868302763,157314911,87556176,27616102,33320102,27655680,27824440,23333405,23503908
2025-04-11,1106694072,868763621,156597877,89097589,27841350,32933265,25276803,30059549,20947111,23281184
2025-04-14,1103644153,868135843,165184094,88757767,27995282,33629854,26626286,25634466,24242451,16874684
2025-04-15,1109363044,864355834,166440389,88523474,27900555,34093986,25559947,25802359,20299392,17084913
2025-04-16,1115606292,859544487,164558897,90118140,27663169,33163460,25995560,23136617,22095736,16916729
2025-04-17,1119975138,855652167,167870312,90380996,27769017,33189151,25303166,23111712,19805602,17031574
2025-04-22,1119239953,852083736,173739055,89432396,28020580,33262265,26043816,23557950,17696989,18632216
2025-04-23,1122182943,851414480,173746876,88720801,28113676,33315318,25417625,22975355,16111690,18394742
2025-04-24,1126155253,849921904,167410494,88566625,28382426,33343525,22541034,22899320,16719174,17529788
2025-04-25,1123819913,840740302,167456795,88117683,28829637,33471708,22359624,22658008,17936558,25459918
2025-04-28,1107160979,838092006,179792247,88132039,34280714,33476155,22840222,23086139,18088110,18152937
2025-04-29,1105225217,837812588,178209831,88242122,34400516,33706105,23672289,23182388,18406877,19893275
2025-04-30,1105839392,835839217,184503309,88230556,34310897,33511795,24908327,23475990,18771160,16410747
2025-05-02,1108447606,834986071,184010547,88320369,34302323,33619533,23081601,22539209,19456540,15775131
