date,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,UBS SECURITIES HONG KONG LTD,TOTAL_CCASS_PCT
2024-06-24,17.97090316779736,16.55559575305336,6.564460410661743,5.6018547761206765,3.942037645106125,2.770867208672725,2.2185656479182634,1.5376430855465746,57.16192769487684
2024-06-25,17.97090316779736,16.59435338267398,6.641247596970044,5.604000708348153,3.942299344158256,2.7207937120379584,2.2185656479182634,1.5202400985798554,57.212403658483865
2024-06-26,17.97090316779736,16.54884391750838,6.693221028723283,5.613552723750938,3.9415142470018627,2.7113725461612384,2.2185656479182634,1.5229879386272323,57.22096121748855
2024-06-27,17.97090316779736,16.556616379356672,6.723211740097508,5.6189175543196255,3.940859999371535,2.706243244739469,2.2185656479182634,1.521941142418708,57.257258876019144
2024-06-28,17.972290172773654,16.57040791940398,6.727425094836819,5.605649412376578,3.940859999371535,2.5986535304273266,2.2185656479182634,1.5208943462101834,57.15474612331835
2024-07-02,17.98417130974041,16.624082394996073,6.712743778012263,5.559668888917142,3.9433461403667804,2.522556130480633,2.2185656479182634,1.5342759346923296,57.09941022512389
2024-07-03,17.98835849457451,16.63735053693912,6.697146514505249,5.562966296973994,3.9453612230681903,2.5497728319022683,2.2185656479182634,1.5436447607586232,57.14316630664021
2024-07-04,17.979277537465556,16.675014264521828,6.703451839127486,5.546583936310586,3.9444976161961574,2.574347864581977,2.2185656479182634,1.5428073237918036,57.18454602991366
2024-07-05,17.979277537465556,16.67192621570668,6.6962899473377195,5.535723425647145,3.9400487323099287,2.6316512947600645,2.2185656479182634,1.5185478216592498,57.192030622804616
2024-07-08,17.979277537465556,16.679149109545502,6.6983398621829675,5.533001755504982,3.9400487323099287,2.6303603071659962,2.2185656479182634,1.5182076128914792,57.196950564984675
2024-07-09,17.978492440309164,16.708197704332054,6.682314014138278,5.524182497448163,3.9400487323099287,2.6282667147489476,2.2185656479182634,1.5202587315523672,57.20032648275717
2024-07-10,17.97718394504851,16.794244352672763,6.667847656915144,5.527558415220655,3.9400487323099287,2.6213885047316907,2.2185656479182634,1.5328298380700636,57.27966709288701
2024-07-11,17.97718394504851,16.798667066653778,6.612877771015004,5.524025478016885,3.9399178827838632,2.5750783713160956,2.2185656479182634,1.5332485565534733,57.17956471930587
2024-07-12,17.97718394504851,16.80261872234096,6.684616416229022,5.520178501950557,3.9403104313620596,2.565474016102884,2.2185656479182634,1.5335102556056044,57.242457936557855
2024-07-15,17.97718394504851,16.805471242009187,6.669512350755655,5.519995312614066,3.94015757294571,2.5606064137332454,2.2185656479182634,1.531764278039501,57.223256763064136
2024-07-16,17.93792908722884,16.80824525196178,6.66569154459454,5.520989769012164,3.9390846068319725,2.6188329088080096,2.2185656479182634,1.531764278039501,57.24110309439507
2024-07-17,17.93798142703927,16.850012420681903,6.660981092505707,5.517718530860525,3.9389799272111197,2.589653464495391,2.2185656479182634,1.5317644350589326,57.2456569457711
2024-07-18,17.93798142703927,16.84671501262505,6.724435444865273,5.51743066190318,3.938980319759698,2.52901933814102,2.2185656479182634,1.53165975543808,57.24478760768983
2024-07-19,17.937719727987137,16.858674659307443,6.711083376036207,5.512222850765772,3.938980319759698,2.5257480999893813,2.2185656479182634,1.5323140030684077,57.23530868483231
2024-07-22,17.937693558081925,16.85707829508944,7.011513887882721,5.5112807341781,3.938980319759698,2.5461344561503947,2.2185656479182634,1.5330991002248011,57.55434599928535
2024-07-23,17.937693558081925,16.90222138158206,6.97759769072653,5.518660647448197,3.938980319759698,2.5373937078092155,2.2185656479182634,1.5324448525944734,57.56355780592036
2024-07-24,17.92931918841373,16.883850108122456,6.977493011105677,5.515049200528788,3.9386924508023538,2.538885392406363,2.2185656479182634,1.5330991002248011,57.53495409952243
2024-07-25,17.9292668486033,16.89290489532619,6.9755040983094805,5.509998408822657,3.9386927125014055,2.539722829373183,2.2185656479182634,1.5338318575707683,57.53848729842525
2024-07-26,17.9292668486033,16.911092979449304,6.999384346175687,5.500001505031249,3.938195484302357,2.5376421125494986,2.2185656479182634,1.5348786537792927,57.56902757780895
2024-07-29,17.92874345049904,16.95916709532579,6.994605328935194,5.4861314552683,3.9374103871459636,2.5321726023599584,2.2185656479182634,1.50339625780792,57.56019222526043
2024-07-30,17.923509469456416,16.959559643903983,7.001699100461691,5.480897474225678,3.936101891885308,2.5288751943031063,2.2185656479182634,1.5025588208411005,57.55176724299555
2024-07-31,17.923509469456416,16.960632610017722,7.013503585776075,5.483462124936563,3.936101891885308,2.524845028900287,2.2185656479182634,1.5003343788979862,57.56095473778863
2024-08-01,17.923509469456416,16.97146695077595,7.027473342877885,5.48495380953371,3.936101891885308,2.520082106151501,2.2185656479182634,1.5022447819785432,57.58439800057757
2024-08-02,17.92403286756068,16.958879226368445,7.017476439086477,5.495264752187675,3.936363590937439,2.515607052360059,2.2185656479182634,1.5011718158648057,57.56736139228384
2024-08-05,17.92403286756068,16.964244056937133,7.018209196432444,5.510338617590428,3.936363590937439,2.512806872502256,2.2185656479182634,1.5039981656278216,57.58855901550647
2024-08-06,17.92403286756068,16.97047249437785,7.017764308043821,5.509056292234985,3.936101891885308,2.509430954729765,2.2185656479182634,1.5040505054382478,57.58947496218892
2024-08-07,17.9238758481294,17.05356194342948,7.015696885531986,5.507538437732625,3.9334849013639968,2.479735963284448,2.2185656479182634,1.4965807508835538,57.62904037827376
