date,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,PO KAY SECURITIES & SHARES CO LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,SHANGHAI COMMERCIAL BANK LTD,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-08-30,14.200363964280799,11.69293196317294,8.131353280165165,2.109549862691369,1.8312647613185438,0.4281015489259968,1.4324842265117936,1.1927082120709795,1.0212516208503448,0.6601630712452885,42.70017251123322
2024-09-02,14.18722090467586,11.692583059053012,8.131353280165165,2.0992572228720223,1.8246038644835376,0.4281015489259968,1.4347743062807816,1.1956897563685538,1.0212516208503448,0.6666019381857945,42.68143750186107
2024-09-03,14.193025400489221,11.69730912395023,8.131353280165165,2.092310859029802,1.818228434655746,0.4281015489259968,1.43613820420414,1.1956897563685538,1.0212516208503448,0.6666019381857945,42.68001016682499
2024-09-04,14.200288949895015,11.6962941301468,8.131353280165165,2.089265877619513,1.816801099619673,0.4281015489259968,1.436518826880426,1.1956897563685538,1.0212516208503448,0.667616931989224,42.683182022460706
2024-09-05,14.186863626857052,11.69305883739837,8.131353280165165,2.0883604079911846,1.816801099619673,0.4281015489259968,1.4446599018663961,1.1956897563685538,1.0212516208503448,0.6730090865699434,42.67914916661268
2024-09-09,14.197016292687191,11.692369498013058,8.131353280165165,2.0873944827944397,1.8168328181760303,0.4281015489259968,1.4457066142261827,1.1956897563685538,1.0212516208503448,0.6742778288242303,42.689993741031195
2024-09-10,14.215009024403477,11.693828551605488,8.131353280165165,2.088282602372441,1.8186724944447463,0.4281015489259968,1.4461506740151833,1.1956897563685538,1.0213784950757736,0.6744364216060161,42.71290284898284
2024-09-11,14.198804933798732,11.68516938571998,8.131353280165165,2.087741261771093,1.8183553088811744,0.4281015489259968,1.45268444287631,1.1956897563685538,1.0182383579964136,0.6750707927331596,42.69120906923658
2024-09-12,14.325091033755447,11.686247816636126,8.131353280165165,2.110412068208826,1.8183553088811744,0.4291799798421406,1.46020174073296,1.1956897563685538,1.0182066394400562,0.6803677916448074,42.855105415675254
2024-09-13,14.35832472211269,11.682695338324121,8.131353280165165,2.1070181826786083,1.7819424061831401,0.42949716540571237,1.4605506448528889,1.1956897563685538,1.0187458548981283,0.6902639812282454,42.85608133221725
2024-09-16,14.364419410998163,11.683742050683907,8.131384998721522,2.1049818513604777,1.7839723937899992,0.42994122519471273,1.4626821318400909,1.1956897563685538,1.0201097528214866,0.6908031966863172,42.86772676846523
2024-09-17,14.365995442626438,11.684439858923765,8.131416717277878,2.1016514029429745,1.7839723937899992,0.4304487220964275,1.464172903988878,1.1956897563685538,1.0194753816943432,0.6908031966863172,42.868065776395575
2024-09-19,14.375539968575543,11.684883918712766,8.131416717277878,2.0993042297725437,1.7830208370992842,0.4304487220964275,1.4654353025318934,1.1956897563685538,1.0194753816943432,0.6928966214058907,42.87811145553513
2024-09-20,14.372146083045326,11.687897181566697,8.131416717277878,2.0970839308275417,1.7827036515357122,0.4304487220964275,1.4658159252081795,1.1956897563685538,1.0220445847592743,0.6928966214058907,42.878143174091484
2024-09-23,14.3701574247174,11.693416210372845,8.131416717277878,2.0952442545588257,1.7853045731570008,0.4304487220964275,1.4652132726373934,1.1956897563685538,1.0220445847592743,0.694799734787321,42.883735250732926
2024-09-24,14.370551210594575,11.694684952627131,8.131448435834237,2.0974328349474707,1.782132717521283,0.4304487220964275,1.4641665602776066,1.1956897563685538,1.0220445847592743,0.6951169203508928,42.88371669537746
2024-09-25,14.364716518715563,11.69975992164428,8.131448435834237,2.0961323741368267,1.7795952330127096,0.43095621899814224,1.4694635591892542,1.1956897563685538,1.0220445847592743,0.6986376801065389,42.88844428276538
