date,ASIA PACIFIC SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,YUANTA SECURITIES (HONG KONG) CO LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-11-08,28.732666345739556,18.923987620765573,16.888042684482993,12.645619078469739,6.0834916515105935,4.7390687047588065,4.977250148758042,3.6390445842368453,3.3708291812778555
2024-11-11,28.720374768701284,18.80745569998524,16.875960430861905,12.796282608322903,6.08088918832822,4.737041373658613,4.9751209257717015,3.637487833592313,3.369387170777822
2024-11-12,28.687289371012437,18.785789821445682,16.8673194482528,12.781541501967405,6.0738841043514995,4.835982884370797,4.969389668582166,3.6332975076466405,3.3655056923705704
2024-11-18,28.58724043467752,18.720273060153268,17.15725050992632,12.736964978356058,6.052701006980299,4.819117054439716,4.952058573122246,3.6206261274291816,3.353768254915394
2024-11-20,28.59321655006327,18.72418650230995,17.160837204801048,12.718722785046346,6.053966314126536,4.820124482898598,4.953093792785984,3.6213830133397207,3.354469354628543
2024-11-21,28.593439587798663,18.724332557936368,17.160971065720855,12.718821995819715,6.054013537317899,4.820162081664273,4.9523523915281285,3.621411261475598,3.3544955207385008
2024-11-22,28.594153331935107,18.72479995125332,17.161399434698158,12.719139480695715,6.054164656481123,4.820282401656274,4.949667807092841,3.6215016584719297,3.3548912777155313
2024-12-12,28.58920246574193,18.721557890613283,17.17574232578739,12.716937255753773,6.053116422641927,4.819447805404835,4.948810808715267,3.6208746222410846,3.3543104031005075
2024-12-13,28.58920246574193,18.721557890613283,17.17589831011614,12.716937255753773,6.052960438313177,4.819447805404835,4.948810808715267,3.6208746222410846,3.3543104031005075
2024-12-16,28.597276381540375,18.72013585103998,17.17762841145662,12.720528663409869,6.05466986315526,4.820808872255947,4.931797060250403,3.6218971983990498,3.3552576984924984
