date,EVERBRIGHT SECURITIES INVESTMENT,HSBC BROKING SECURITIES (HONG KONG) LTD,EAST ASIA SECURITIES CO LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,J.P. MORGAN BROKING (HONG KONG) LTD,CELESTIAL SECURITIES LTD
2024-06-20,39.278471905353626,41.95664948675001,10.16308489589376,7.391156382460902,0.5093296208427868,0.701307708698914
2024-06-21,39.27385575041708,41.9517185822302,10.161890491625035,7.402040124874905,0.509269762494701,0.7012252883580883
2024-06-24,39.24848628039985,41.92461931106349,10.219922614573704,7.39725867850489,0.5089407929111595,0.7007723225469041
2024-06-27,39.136714140375155,41.80522605888452,10.426801754378346,7.424989961185201,0.5074914274206499,0.6987766577561257
2024-06-28,35.85649668005912,37.98873409286912,9.474915856888668,6.747146131452197,9.297723454540593,0.6349837841902961
2024-07-02,35.937145190577155,37.914759837433195,9.45646565414914,6.778263724468271,9.279618292938803,0.6337473004334399
2024-07-03,36.07859079296841,37.831047114035535,9.435586542768254,6.763297866350857,9.259129646229093,0.6323480376478472
2024-07-04,36.40006438633369,38.16813574164596,9.519661110115377,5.932524351929855,9.341631917337429,0.6379824926376955
2024-07-08,36.23861465374616,38.44238629911606,9.477437373249433,5.9062110888536585,9.300197815491403,0.6351527695432893
2024-07-09,36.40006438633369,38.16813574164596,9.519661110115377,5.932524351929855,9.341631917337429,0.6379824926376955
2024-07-10,36.38385470594467,38.151138703540475,9.51542181365785,5.974414489789857,9.337471900858208,0.6376983862089353
2024-07-11,36.38061450215175,38.14774111234706,9.523480016281233,5.973882431802963,9.336640342132121,0.6376415952848719
2024-07-12,36.40893036185143,38.130762229625326,9.519241284299095,5.9712235627259105,9.332484769173888,0.6373577923243517
2024-07-15,36.38061450215175,38.14774111234706,9.523480016281233,5.973882431802963,9.336640342132121,0.6376415952848719
2024-07-18,36.359243622779395,38.12533217877637,9.51788568684458,6.029115715899416,9.331155766975122,0.6372670287251229
2024-07-24,36.19815500069403,38.39946618125231,9.47571695785872,6.002403885665991,9.289814339728705,0.6344436348002436
2024-07-31,36.16987524066466,38.41648649922075,9.479917008839651,6.005064412826105,9.29393199056228,0.6347248478865501
2024-08-01,37.007505853757564,37.91235423783878,9.355513857097058,5.9262610922193675,9.171969484917014,0.6263954741702196
2024-08-02,37.206714568562994,37.6766520408485,9.307362819901016,5.958161725038225,9.221341530159544,0.6297673154897208
2024-08-06,37.0438027236134,37.94953858074308,9.26660997014829,5.932073554384369,9.180965329814839,0.6270098412960153
2024-08-07,37.206714568562994,37.6766520408485,9.307362819901016,5.958161725038225,9.221341530159544,0.6297673154897208
2024-08-12,40.974281128938124,41.49180465461696,10.249830042071881,6.561487526223793,0.029058846440317948,0.6935378017089217
2024-08-13,41.14530608022878,41.371583605119575,10.220131518831325,6.542475846128578,0.028974649451410886,0.69152830024034
2024-08-14,41.14689570273411,41.37318196971192,10.216662931207129,6.542728610485839,0.028975768868404955,0.6915550169925981
2024-08-16,40.94914023227904,41.65494742936221,10.167560782674755,6.511283701888749,0.028836508865760623,0.6882313449294868
2024-08-19,41.14689570273411,41.37318196971192,10.216662931207129,6.542728610485839,0.028975768868404955,0.6915550169925981
2024-08-23,41.279610241172236,41.279884890239394,10.193624219460602,6.527974669839296,0.028910428121520358,0.6899955511669525
2024-08-29,41.4072205639927,41.190176026615184,10.171471579079663,6.513788167358585,0.028847600386884786,0.6884960625669835
2024-08-30,41.39925876883753,41.18225596486115,10.169515804892546,6.531763729550563,0.02884205355998188,0.6883636782982342
2024-09-02,42.01329232760763,40.84455095664797,9.95263065378394,6.478201600127237,0.02860554136058539,0.6827189204726379
2024-09-03,42.19161391648375,40.68549411009387,9.913873120413362,6.500464430829203,0.028494145664067223,0.6800602765157377
2024-09-04,42.383150588132494,40.550690759677316,9.881025459558611,6.478926425608761,0.028399735939255235,0.6778070310835583
2024-09-05,42.59400467550442,40.40229182811977,9.844864950491539,6.455216206591818,0.028295804529186817,0.6753265347632587
2024-09-09,42.383583934751364,40.011321817261425,9.796300228888269,6.392749553434592,0.7472530161817174,0.668791449482637
2024-09-10,40.852271411264866,41.08272351545125,10.058620297921337,6.552422231106483,0.7672625563356538,0.6866999879204101
2024-09-26,40.90169859964086,41.01143946629555,10.070790228823414,6.5603500108050845,0.7681908677757711,0.6875308266593151
2024-10-02,42.15124220804115,39.24272144093547,10.335365879333116,6.768713543673682,0.7925894079243188,0.7093675200922653
2024-10-10,42.154583335665876,39.24583202401221,10.328258592090114,6.769250067263973,0.7926522327006994,0.709423748267126
2024-10-15,44.084115713340346,37.305487872662475,10.192247428426152,6.845322529800056,0.8299875756047355,0.7428388801662382
2024-10-16,43.235537187680926,37.99854241277131,10.381597139607912,6.782277121539453,0.8454069331928268,0.7566392052075799
2024-10-17,42.73479849966269,38.98911573019536,10.299870971667643,6.767279327641325,0.45255520255462156,0.7563802682783622
2024-10-18,43.59840057574444,37.79253731375463,10.510613132035509,6.864777889723293,0.46181478078957455,0.7718563079525562
2024-10-21,43.032185056545934,38.508558410293205,10.421274522514887,6.815799754323633,0.45751402941922165,0.7646682269031214
2024-10-22,43.32474669159981,38.313587302380085,10.07583009200306,6.806105771031682,0.453311828635124,1.026418314350238
2024-10-23,42.32844173359905,39.64542387119763,9.886547509281089,6.688568980355364,0.4445159026278833,1.0065020029389857
2024-10-24,42.43588172523322,39.74605370387284,9.911641997482976,6.65977456631885,0.4456441932736901,0.8010038138184186
2024-10-25,42.47388003212715,39.67752384391303,9.920517166305476,6.680314666143569,0.4460432358794536,0.8017210556313199
2024-10-28,42.03620071765843,40.299127050191366,9.81828951135049,6.611476228466073,0.4414469075582487,0.7934595847753859
2024-10-29,41.971325619090514,40.75137113247836,9.803136798000029,6.601272638115888,0.44076561592980923,0.4321281963853917
2024-10-30,41.88513634088888,40.82170163926953,9.783005785403484,6.639054933713154,0.4398604915447025,0.4312408091802543
2024-10-31,42.445417630147496,40.07295052342984,9.889626043844423,6.7114107892000465,0.4446543187502867,0.4359406946279028
2024-11-01,41.789319824826855,40.49325186499576,9.993352448801375,6.834244810704214,0.44931803340724863,0.4405130172645442
2024-11-04,41.97414200375628,40.20412747197933,10.052183153140284,6.874477899439765,0.4519631614073816,0.4431063102769647
2024-11-05,41.98034258865915,40.21006658339258,10.053668101065954,6.875493424280621,0.4520299271784372,0.4283993754232554
2024-11-06,42.417296020188836,39.606242324534016,10.131134795965222,6.954748665245404,0.4572405700503077,0.4333376240162115
2024-11-07,42.84189191854142,39.343369164834726,10.000277785494042,6.929793851355921,0.45420578900728587,0.430461490766601
2024-11-08,42.9315867241339,38.87492469598357,10.260342825151225,7.135731081633157,0.4677037204278207,0.32971095267032025
2024-11-11,42.583429329517784,39.46067039378458,10.134867719378692,7.048467271106524,0.4619841090277968,0.31058117718462047
2024-11-12,42.489696661681656,39.534000422224565,10.15370141203219,7.061565485107725,0.46284261719594916,0.2981934017579149
2024-11-13,42.474303582968425,39.529729587247694,10.152604513598634,7.082408511508049,0.46279261657832377,0.2981611880988746
2024-11-14,42.85483611060487,39.28495269819153,9.879595996191497,7.206345277150807,0.4708911356017419,0.303378782259552
2024-11-18,42.74280821759394,39.36196727262394,9.898964044997774,7.220472661215554,0.4718142748171808,0.30397352875160055
2024-11-19,42.67967828839157,39.405366505625636,9.909878322835787,7.228433721018182,0.47233448198834405,0.3043086801404848
2024-11-20,42.36352248192492,39.79430944428181,9.869615223365379,7.199065131773858,0.4704154220753908,0.3030722965786432
2024-11-22,42.583982257258704,39.48634414810602,9.908146356844853,7.243288081564993,0.4733051247257527,0.30493403149968545
2024-11-26,42.554128806295296,39.50991616162219,9.909639213516908,7.2476120798546235,0.47358767189586964,0.3051160668151123
2024-11-27,42.088839632187145,40.17131805000318,9.80128667582649,7.168366292583496,0.46840943836353066,0.301779911036157
2024-11-28,41.86181084371233,40.49403621704825,9.748418165814025,7.1296998544262316,0.4658828201856201,0.3001520988135509
2024-11-29,42.46951140522455,39.5667312315747,9.92500003875223,7.258846525441726,0.4743217750559195,0.3055890239508719
2024-12-03,42.46742050776845,39.618492943077875,9.909159020826973,7.223996439886838,0.47494228896030105,0.305988799479553
2024-12-04,42.6717296021466,39.550966438665604,9.78602017987595,7.2116837245048275,0.4741327883915356,0.30546726641548994
2024-12-05,42.68495742835513,39.56322685827616,9.758054712861435,7.21391927717326,0.47427976500071184,0.3055619583333057
2024-12-06,42.76829191726,39.64046674530651,9.581873996249337,7.2280031210419855,0.4752057085694877,0.3061585115726808
2024-12-09,42.13929714437848,40.07612815071721,9.687181855475501,7.3074411866494975,0.4804283712637679,0.3095232915155404
2024-12-10,42.22737998938678,40.1598983990044,9.478174463590841,7.342944266670923,0.4814326001102678,0.31017028123678825
2024-12-11,42.226430903593375,40.158995781104714,9.466723634826305,7.356264590879985,0.48142177962267513,0.3101633099729416
2024-12-12,42.44633496101556,40.006138233053136,9.430690359223773,7.328264374582005,0.47958933955836514,0.30898273256716063
2024-12-13,42.172916817289455,39.69282405218871,9.369942550150437,7.281059346306358,1.1762648143307621,0.3069924197342736
2024-12-16,41.46269048439217,39.02436450524635,9.212145071600807,7.1584403654675794,2.8405371564172803,0.3018224168758099
2024-12-17,42.172914471861006,39.69282184468954,9.369942029045152,7.281058941373406,1.1762703103698753,0.30699240266102346
2024-12-18,42.172914471861006,39.69282184468954,9.369942029045152,7.281058941373406,1.1762703103698753,0.30699240266102346
2024-12-20,42.028476534560106,39.79196482000185,9.393345855936024,7.299245248451712,1.179208346340155,0.30775919471015467
2024-12-23,41.85601653780894,39.910342287305625,9.421290203418337,7.320959837556558,1.182716383656097,0.30867475025444696
2024-12-27,41.8755182333448,39.89695621883088,9.418130269713048,7.3185043620063635,1.1823196964419447,0.3085712196629631
2025-01-02,42.506909604828245,40.21506365130616,9.4932231470339,7.3768564483005585,0.09691562092176109,0.3110315276093728
2025-01-03,42.506909604828245,40.21506365130616,9.4932231470339,7.3768564483005585,0.09691562092176109,0.3110315276093728
2025-01-06,42.34447585709921,40.32868223502021,9.52004410592134,7.39769809085483,0.09718943412977625,0.3119102769746308
2025-01-07,42.644469598785264,40.07956356563511,9.461236810747803,7.408157407845739,0.09658907475359818,0.30998354223247787
2025-01-08,42.7385234960067,40.068762994256126,9.380089384818728,7.406161070417086,0.09656304609700869,0.3099000084043535
2025-01-09,40.62547969525785,38.05372394943173,8.90836914835767,7.033708750606558,5.0844031720576215,0.29431528428857034
2025-01-10,40.62288057903041,38.05128936768221,8.90779921325814,7.039656500590167,5.084077884703713,0.2942964547353659
