date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG)
2024-08-20,28.2640160533635,21.637859709721095,14.155648678304141,9.208967589886464,6.925708816814911,7.575835345454178,4.2353494137823064,3.4274731441537085,2.602685427343619,1.9664558211760768
2024-08-21,28.19011737778584,21.59243181741809,14.096581420050686,9.19202345219438,6.9156994626459465,7.763025169936491,4.270766850824697,3.4198155433748387,2.597215717350828,1.9623231884182075
2024-08-22,28.118490325213557,21.59669836404891,14.115188175341448,9.208297184319383,6.924249222696502,7.780261288885569,4.276202558980613,3.420173034752628,2.5977289129955836,1.9627109327658068
2024-08-23,28.13670779361987,21.594946232107525,14.10567289683023,9.211701962378388,6.923015420329902,7.7677332131108185,4.270804135439395,3.419563608741411,2.607493531746823,1.9623612056956345
2024-08-26,28.140160896018063,21.6055698432645,14.104198159089536,9.220413636351028,6.919671479278888,7.7532786454803135,4.2673774743021555,3.4217088567841643,2.6063750639499244,1.9612459454814257
2024-08-27,28.2244894506642,21.672725917450595,14.117129435145603,9.22210493208482,6.925200779873957,7.585044421167083,4.265493598742964,3.420603245331133,2.6055541975986545,1.9616540219409906
2024-08-28,28.280409779633338,21.635829028871623,14.10255423602226,9.227135196791963,6.922724433372932,7.576809757870439,4.2648167681769245,3.4188405947141947,2.610184939216641,1.9606952653296867
2024-08-29,28.259605827502206,21.616142878309876,14.110635729566297,9.230270941279336,6.923168759603801,7.608349084265951,4.261593170181423,3.4190600286336017,2.610352470605053,1.9608211100524562
2024-08-30,28.32024425251892,21.571226448778738,14.123505445688577,9.226177650947584,6.915898927017936,7.595951092089978,4.25460089862628,3.4221159667444696,2.610231311480275,1.960048006107239
2024-09-02,28.354827245194148,21.630482419868784,14.114123318485808,9.226687752562045,6.9129974163124555,7.534039523356769,4.249617650596662,3.426554298776461,2.5927300532506523,1.9579403215962174
2024-09-03,28.619049631379095,21.425987030944906,14.063291285258378,9.23214490448184,6.930831158070623,7.497735509998861,4.252769254203432,3.456796724137818,2.596267085870327,1.9251274156547233
2024-09-04,28.850845104873635,21.231876061849977,14.428650173964344,9.262137297553735,6.940159094974778,7.125473485031872,4.175343536170471,3.465317669247831,2.5934893622313147,1.926708214102039
2024-09-05,29.148886649749446,21.0720988638926,14.443421192710346,9.290445181822575,6.952067548879535,6.974660369236258,4.128124533233654,3.470038926058918,2.591758374450436,1.9284983599662364
2024-09-09,29.322387210188683,20.951760097103698,14.491654612443531,9.32439403433837,6.973808677948758,6.785132029049734,4.148415603149606,3.478783869959195,2.5928372836554896,1.9308265821629356
2024-09-10,29.445515444561433,20.968412825277227,14.457065590171144,9.323324663912471,6.969212722675415,6.756136508092406,4.065129992826126,3.4891464538735413,2.59700575403636,1.9290500445738774
2024-09-11,29.672156284771013,20.793389717765784,14.740591862467522,9.362033026457059,6.987963212049272,6.507898826170562,3.8569636703441996,3.504663392591392,2.6412672383845814,1.9330727689986147
