date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,UBS SECURITIES HONG KONG LTD,DBS BANK (HONG KONG) LTD
2024-07-08,38.10731554738197,20.374279257260934,24.97309012813811,7.718846798740935,4.0437110601938,1.4114485441031939,1.0005841506466924,1.7070904841180794,0.6473489732172653,0.01628505619901884
2024-07-09,38.6412213736124,20.56836718529233,24.174459147854506,7.649828590063961,4.141928216221875,1.3995651155777584,0.9943308286472843,1.7070544488767614,0.7069694084203754,0.01627568543274961
2024-07-10,38.866117121181546,20.827556162514284,23.95154979805784,6.882112914297375,4.143435992625645,1.4168320019412415,1.4945629503542521,1.7179211953176021,0.6835778423948706,0.016334021315347017
2024-07-11,39.11734629244633,20.704787097016762,23.620637043208497,7.0670520883210255,4.090239880257863,1.3969408073607952,1.5892681582029597,1.7227864922034721,0.6745618603488508,0.01638028063344374
2024-07-12,39.38260745549182,20.81194969234961,23.395797252223122,7.018853533222851,4.064500822793569,1.3978549645681062,1.5902460793687905,1.7034610119099254,0.618351586392582,0.01637760167962589
2024-07-15,39.2694716348842,20.76189500550591,23.596492121994224,7.096902716892704,3.9553792162718002,1.3856800625029146,1.5942243159378966,1.7038678286803304,0.6196596720759281,0.01642742525409287
2024-07-16,39.13924684141564,20.9211101688247,22.935310828144434,7.245618977302675,3.9117482881636065,1.39254608805705,1.599280804567256,1.703291310353551,1.1354340262029754,0.016412666968112652
2024-07-17,39.3477118496411,20.882169419172453,22.763583361788797,7.20372366365076,3.919351221934613,1.4257613593027834,1.6008285411381824,1.7034151689607486,1.1370415539589533,0.016413860451610574
2024-07-18,39.33563661409136,20.87261186853678,22.632166021027285,7.373927939829785,3.907424571384799,1.4300578643822826,1.5980583310248417,1.700467434205271,1.133263899008734,0.01638545650886872
2024-07-19,39.53651421097312,20.519294137555082,22.208042627014404,7.436099158524506,4.10321831623392,1.4118138919935577,1.5936711704485895,1.7210887938615436,1.4539025954646592,0.016355097930617984
2024-07-22,39.581790078918424,20.353338060478407,22.540028411915046,7.740776455271228,3.7492617372692,1.3930062775203877,1.5815940891445996,1.7080725716744412,1.3359098726217375,0.016222445186526997
2024-07-23,40.03887662213075,20.287575993916164,22.333823673945453,7.292164033710632,4.036438399645281,1.3714652926390285,1.5784802014674308,1.6966118661033913,1.3483608492031307,0.016203067238744217
2024-07-24,41.426554690513484,20.766316253586208,22.700240666495787,4.9030287421094325,4.33307916419219,1.4061879730954745,1.4874060431031362,1.7292732090971208,1.231352289434966,0.0165609683721996
2024-07-25,41.03851713233603,20.114257661589722,22.141025641025642,6.815962603225575,4.2599239777322975,1.3704813487262406,1.4435561988112333,1.6923152304601663,1.1076589513676092,0.016301254725479334
2024-07-26,41.22103217036472,20.12203077612711,22.13495260486081,6.65326186081742,4.263207867539166,1.3669171476289153,1.4458949013481552,1.6936198022704538,1.0827690480080108,0.016313821035233215
2024-07-29,41.47912056097633,20.43370366772551,22.511886376029654,5.78626463362308,4.328430656900634,1.285241798402204,1.5966032014833247,1.7082684081163182,0.8540257727672206,0.01645492397573068
2024-07-30,41.687991036023284,20.92951143360072,22.510200616726824,5.420724215198137,4.321385239942755,1.2657143984630148,1.601391966247209,1.7144134307224528,0.5322490043849465,0.016418658690660462
2024-07-31,35.7848012748041,17.915170623627407,18.91841286239653,5.1118158161475185,3.338449280729796,1.098111834496381,1.3625199797278857,1.4261952100632853,0.46219608072459817,0.013969565838888672
2024-08-01,42.17936748232305,20.996030115454733,22.274387946524254,5.555462737921048,3.8997248496332975,1.2978163286888813,1.5963368159110665,1.6659737600973687,0.5185817694407872,0.016318194005509535
2024-08-02,42.72659456221618,20.896778807212453,21.35633260903205,6.064906313018673,3.8882107883826067,1.2713241307639076,1.59155987589601,1.6624704907937617,0.5251598482891536,0.016662574395199435
2024-08-05,42.728995997277266,20.806875200253504,21.27613022797616,6.265674844785497,3.8686518936118865,1.2696144291287663,1.5880004410619035,1.6587524683271089,0.5206791881003667,0.01662530947753822
2024-08-06,43.197066331629294,20.713288944461024,20.737586158738168,5.9807868494073855,4.145596435923704,1.2690786297462104,1.5831991342753717,1.6354975664874045,0.7217792856388439,0.016120663692597913
2024-08-07,43.26487972389066,19.79401929416328,21.829295287906515,5.460436038110935,4.675236712691421,1.2049993326333805,1.588599389008273,1.6224668687880348,0.5458859287674908,0.014181424040010424
2024-08-08,43.767407127042226,19.31811153739136,21.731210239498715,5.325184636971865,4.9333903037714135,1.172894145224578,1.5964223073884485,1.6271119403050711,0.5131100778560432,0.015157684550283008
2024-08-09,43.582259485747976,18.90150442423682,22.163768649290336,5.585041052550621,4.879484710790521,1.180892998318061,1.5838079746475275,1.6077672215042365,0.500487390285382,0.014986092628520499
2024-08-12,42.9791226305032,18.688674448842736,23.328327971569756,5.274201538029125,4.825888222528966,1.1717646215387407,1.5783051377917294,1.626703689637525,0.512190254871989,0.014821484686236168
2024-08-13,42.984463228992745,18.641067673959476,23.32857446822738,5.472520390477242,4.694310654080768,1.1711700947048322,1.5759047480088935,1.6242296921684614,0.4929601061782153,0.014798943201984856
2024-08-14,42.89702821089598,18.770269653503295,23.371718949068434,5.328912490289913,4.785194244745442,1.1521690323730989,1.576905035151655,1.6197760838726638,0.4832179634410871,0.014808336658429544
2024-08-15,42.79118941098337,18.69939451321001,23.590454447917864,5.284103076300632,4.791443996398518,1.1518439465102834,1.5734641002914762,1.6162416009022642,0.4870888838204493,0.014776023665133566
2024-08-16,42.450403529441544,18.976312322892607,23.74532730550684,5.200500856669801,4.752885216487796,1.1642399354282669,1.5810645470081368,1.6202916993224328,0.49416153671829705,0.014813050524279578
2024-08-19,42.29055913951502,18.856879529093128,23.936134280762715,5.385789910101839,4.713588887981326,1.1576641943084325,1.5751841616886937,1.615199545461701,0.45423385411395567,0.01476649697318259
2024-08-20,42.165796342386756,18.927143681480363,23.963924615786915,5.388744794391984,4.701600434796043,1.1686993879915757,1.5819051055631819,1.6150817279660972,0.47233848977645065,0.014765419860638134
2024-08-21,42.11005252866521,18.900714515375196,24.077886997044857,5.342288175488795,4.721063941382553,1.1647145021156684,1.5827647446784634,1.6137279215018625,0.4706676081658057,0.0161190655815931
2024-08-22,42.610387600210004,18.583446949954105,23.771910248927355,5.315036468357366,4.8823812927232435,1.1508669539924539,1.5884265428415534,1.626455170939049,0.45490832211915405,0.016180449935713336
2024-08-23,42.52771343881671,18.51082884184718,24.049628679328954,5.184906319074402,4.881739453644833,1.1727248700130088,1.5736233755257332,1.626241920997858,0.4564238602156183,0.016169240535705027
2024-08-26,42.20325966299827,18.43156314317513,24.18656522906761,5.590772272339672,4.7017463500811925,1.2231251964450407,1.5268179066454504,1.6390624222920387,0.48182329406228613,0.015264522893306405
2024-08-27,42.46617028385739,18.714010862082624,24.203199641262565,5.031164248795377,4.6981994920581345,1.2044288873303681,1.5524978365357405,1.6502524641883638,0.4647332173311752,0.01534306655825948
2024-08-28,41.98865386213315,18.647602520167624,23.64022772974195,6.021254651651367,4.6724208056348875,1.1972720484560635,1.68962403270349,1.6411976463021893,0.4864878229658501,0.015258880243428663
2024-08-29,42.12390603572519,18.710632729253682,24.133814702609374,5.824799860617767,4.151228514547911,1.2291820505279625,1.6929586599204647,1.643547911009155,0.47464880418072763,0.01528073160775687
2024-08-30,42.16582557773001,18.68048017352516,23.90147995995711,5.368450686782218,4.829284369320599,1.2321988953971144,1.6918706920452269,1.6419592268487337,0.47327587036705393,0.01517454802677262
