date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-08-20,23.87120506983451,19.16206065868424,21.152109278053256,2.572770929832737,4.089264707933152,7.15226420270092,6.6677984690279875,5.702583145986815,7.296262263074266,2.333681274872119
2024-08-21,23.4603918784238,19.19587663344962,20.79587574502177,3.425726813891167,4.146646602122502,7.094876149753014,6.675705159161155,5.612220878803255,7.251684223627272,2.3409959157464484
2024-08-22,23.836578889059105,19.297370404221656,20.744096412478438,3.138392021627108,4.1409087393527955,7.016141740253492,6.768519764599406,5.572264331365714,7.145566100702159,2.3401615963401263
2024-08-23,23.838381115436476,19.46747271084493,21.004382055975654,2.7286167500685936,4.1279313194475735,7.043008316026472,6.842849918920534,5.629820429070852,7.222383938624026,2.0951534455848884
2024-08-26,23.82968092491501,19.88523305791668,21.363196239702724,2.0092121449691653,3.6952107214839254,7.117025672311225,6.887496951318825,5.692295196579132,7.370164526094195,2.1504845647091186
2024-08-27,24.128819147416987,19.7881459242155,21.232575835629433,1.8645348544206792,3.6472292087859244,7.0788292886719075,6.946250241636497,5.679526184097615,7.288291536337904,2.345797778787555
2024-08-28,23.90207305473733,19.632568286472747,21.15996147343581,2.5547475919699867,3.647114738710032,7.0488485228899815,6.835431517578776,5.628511339863835,7.276963766904543,2.313779707436961
2024-08-29,23.85157066378142,19.62079552368559,21.244864866375444,2.324520455330723,3.66027887529475,7.079924981568013,6.881122832208036,5.68597556672603,7.320042553493835,2.3309036815361615
2024-08-30,25.04241303321485,19.572267372982473,21.116713706349877,2.0116980718536963,2.930030182090093,7.068975173408922,7.055489849746459,5.742274953410777,7.190070786566355,2.270066870376497
2024-09-02,24.26775237221614,19.578902737197353,21.000149956658532,1.860399915493189,4.087141411249355,7.060635499960485,6.933684928919802,5.69796165798403,7.195901225457073,2.3174702948640404
2024-09-03,22.92448506264262,19.545206711057222,20.75533109294119,3.969302127632507,4.265335187521464,6.980056858232721,6.426212618151,5.493685327639354,7.237567806427172,2.40281720775475
2024-09-04,24.494548005549753,19.4703332153848,20.842532213095907,1.9616473352794312,4.1826619763553605,6.933332464602067,6.8779874924112026,5.515657377109711,7.274386224387603,2.4469136958241617
2024-09-05,24.524172135281724,19.47739940336823,20.83295145704175,1.9415680706226752,4.175379228536491,6.949025321688309,6.806138729367278,5.522965915147241,7.278022802665597,2.4923769362807016
2024-09-09,24.664563649656056,19.170549070039932,21.022189679627722,1.522597922242257,4.201977729223795,7.026870285652626,6.880510548075819,5.59520027964381,7.424353861783449,2.491186974054532
2024-09-10,24.399729289275022,19.06332739022408,21.245334795401256,1.5231226558110427,4.197440488526958,7.018858429495688,6.968395763892181,5.613166493718292,7.419500782311818,2.5511239113436623
2024-09-11,25.352836649027854,18.899784505600746,21.101892622236072,1.5167845073600017,3.4204564413946446,7.134560867610845,7.250703630560329,6.151314702381223,7.316059095326411,1.85560697850187
2024-09-12,24.383246753596342,18.804227039057672,21.638908726199347,2.5263325994294075,3.337970964698225,7.026351916899543,7.030626151039476,5.573275005976081,7.28478314328165,2.394277699822258
2024-09-13,24.38085995861608,18.76859704642823,21.66742388817917,2.088098231302728,3.3357163751104,7.001986249044792,7.037116443006031,5.5887771997839755,7.28962682239999,2.8417977861286032
2024-09-16,24.04296417433826,18.67413763853968,21.47733426879073,2.7275831161336233,3.4296600366510437,7.077589016867238,6.8392981000006845,5.5424529563546,7.252670326883738,2.9363103654403986
2024-09-17,24.07393014990586,19.12785118596115,21.24783682177916,2.883601670780704,3.442546276706821,6.978632492264461,6.647318813910326,5.510052881670504,7.1697097090878295,2.91851999793319
2024-09-19,23.67137889756469,19.219279123494,21.39988592889582,2.2177040682703697,4.130500545925643,7.003063572929212,6.687812534808536,5.571452650378847,7.201116759534838,2.897805918198043
2024-09-20,23.314877287169956,19.545372190353504,21.510253135062325,1.9171114726423526,4.238998967216088,7.10625266643661,6.507112243833267,5.586197472513664,7.313377015622224,2.96044754915001
2024-09-23,22.789297616123978,19.209726401780312,21.12231599742121,3.4167267153943,4.381238188732289,7.127880997746071,6.243102055389655,5.348663722742861,7.275279244731,3.0857690599383236
2024-09-24,22.83937170386079,19.20596054750088,21.31126672919499,2.8497630410032513,4.469646964390775,7.151908023658077,6.278503288445783,5.319145955401453,7.344792178026912,3.2296415685170903
2024-09-25,23.005256174103433,19.57346997469191,21.506214240204237,1.7299550451943269,4.6822157965689275,7.277579183486367,6.363022844297069,5.3929593039450845,7.287053824480444,3.1822736130282006
2024-09-26,21.629009934950094,20.103224471210574,18.618919679059793,5.365504457846529,4.718452617542799,7.15868479126213,5.822671109426718,5.127905289911561,7.072008585342579,4.383619063447224
2024-09-27,22.339896332933037,21.218883589050357,18.50256310652737,2.548480996687794,4.77423079162273,7.185851964134902,6.061379617338218,5.180299064858522,7.947604848241322,4.240809688605754
2024-09-30,21.533452913100177,21.37454168441345,17.548376979528506,2.3381773097032696,5.549211171602396,6.945743269068092,5.514517564593108,4.837062528380284,7.522705693141539,6.836210886469181
2024-10-02,23.146823165707296,19.76408693455269,17.39787854735908,2.6399723882793578,5.688073402836958,7.100173021218652,5.403921873954716,4.765342243155025,7.4274192639870025,6.666309158949221
2024-10-03,24.387759122271156,19.767973421617967,16.400068124069893,2.7309636288684214,5.839389880706488,6.967099427526213,4.858427171621385,4.373951917370421,7.385164125453573,7.289203180494478
2024-10-04,26.944343794827187,19.24181997315325,15.527965659869555,2.854817165820352,5.978016979163263,6.820405247983752,4.541693851741607,4.381179379096794,7.652387244673344,6.0573707036708955
2024-10-07,28.404256756638404,19.533577760750305,14.677814089817836,2.2067931137836267,6.203478111596196,6.642655628663702,4.828571913444313,4.4265706390896655,6.307231652786068,6.769050333429889
2024-10-08,27.34592715133319,21.05710343710207,13.825541305375042,3.102801543612433,6.568221530461041,6.230730983042242,4.699919459965105,4.227943697165458,5.949887675174223,6.9919232167692
2024-10-09,29.51764881304732,18.62108308107222,13.718482333704745,3.0633992753004238,6.698038162152319,6.432694795934248,4.869100794918603,4.296627953543829,6.373556731160066,6.409368059166227
2024-10-10,30.47293300432073,18.553467817124634,13.404012062482677,2.319609688752442,6.492555789205989,6.489123670535682,5.520865791663959,4.5535413450669635,6.37238613417193,5.821504696674994
2024-10-14,29.5962744366654,18.833921144373342,13.527453813567316,2.3977050955536017,6.623754209432292,6.515872333091696,5.45138005179148,4.606251524449392,5.989034071821495,6.458353319253988
2024-10-15,29.207429113585963,19.42967743747047,14.016522254210791,2.4911416625962386,6.862859411161717,6.709377965725191,5.332698987912099,4.616375165441985,5.1218080236704715,6.212109978225069
2024-10-16,29.205477095603538,19.103668890377616,13.855579742453244,2.594076492725083,6.873996897484361,6.668064822544925,5.46071774103322,4.640276035324716,5.605134472214254,5.993007810239049
2024-10-17,29.20291631179283,19.242878386850613,14.283759033554311,2.5727623273810387,6.420909493295299,6.716904545468459,5.884157937488841,4.827215618783143,5.782630081471135,5.065866263914328
2024-10-18,29.229967178993775,19.13774271195013,14.509136245148765,2.479477849552553,6.34569622593863,6.654844809460074,5.741149300128074,4.848086671916112,5.872424502400018,5.181474504511868
2024-10-21,29.223879236601906,19.095106464622237,14.467352679187043,2.9023976446281847,6.325364760290231,6.595993211332112,5.710862017430663,4.854223328786364,5.953457940829825,4.8713627162914355
2024-10-22,28.532211501757754,19.166136319670677,14.1154608003884,4.811378424062839,5.913550346290684,6.411349874832549,5.22680175728061,4.683164975879815,6.045922882767895,5.094023117068775
2024-10-23,28.860116599297243,19.2073852902132,14.255563788436179,3.451905138594496,5.959767245362034,6.473278276531384,5.5115033153183335,4.829746128065468,6.234629291065678,5.216104927115987
2024-10-24,28.804896581318168,19.629633759709233,14.498016612578922,2.549367184117348,6.054280017289454,6.516596032849602,5.553839750152938,4.93958905880146,6.098830903313228,5.354950099869648
2024-10-25,28.33338714319391,19.842690532131098,14.209680583745635,3.743136917288798,6.138341689674408,6.507268560313271,5.282267918364981,4.813231089066325,5.663586023415573,5.466409542806001
2024-10-28,29.34297899347505,19.304059792153378,14.721355642923085,2.5539630742275907,5.927778476263276,6.397918955742328,5.663929586790737,4.945970231836838,5.805461609054323,5.336583637533397
2024-10-29,28.9850522599234,19.312922555025033,14.640567345875224,2.876253363113924,5.983555310723026,6.532744842251294,5.511743783949106,4.9432446050578225,5.811387460353561,5.402528473727611
2024-10-30,28.46729623818,19.480248542467002,14.41987864689945,3.5416475443673745,5.993490789523856,6.5488803493760335,5.4466298934871835,4.903791524359361,5.829394612741671,5.368741858598067
2024-10-31,28.214885038883754,19.476751956365966,14.129258767611288,3.6969818813577486,6.249394432082786,6.630789653841437,5.281930623942014,4.853434490749496,6.020591162919823,5.44598199224569
2024-11-01,29.263288294507245,19.277585182665714,14.593167325850304,2.529043775612322,6.186945961201431,6.656952075639384,5.730261854973637,4.931571325362317,6.271030150301346,4.560154053886305
2024-11-04,29.323398638451874,19.093209134480553,14.42705363844827,2.850148307315564,6.134203468611079,6.570974810919093,5.592980816915898,4.894215535828458,6.055783736058213,5.0580319129709945
2024-11-05,29.226801739538516,19.441653578145953,14.554451129538876,2.654065465869029,6.155595524372364,6.549328759675216,5.574556465453188,4.885914369592072,5.997848142771986,4.9597848250428
2024-11-06,28.528317851959134,19.51419966785347,14.663673241975502,2.7642734793448627,6.147113555473059,6.665809399777867,5.5790701398554905,4.950771582173036,6.078715205943956,5.108055875643623
2024-11-07,27.802032288253848,19.353876320957696,14.031395169013091,3.8233353265581362,6.514110781987012,6.587550510778399,5.259228251816986,4.627903260593484,5.992847695508183,6.007720394533164
2024-11-08,29.13975886317698,19.56352543542729,13.770566629029613,2.6335629203539974,6.391222861264828,6.797898509129293,5.605336645521153,4.541875518084234,6.24148436689367,5.314768251118938
2024-11-11,28.69053512801431,20.089672696162808,14.0291733616286,2.554848771204097,6.387861672959332,6.7523942965625405,5.286692559871022,4.72745678444976,6.031916033938604,5.449448695208924
2024-11-12,27.88899394896577,19.12869090984658,13.983659827215863,4.238435549778872,6.500070164037247,6.844051529194398,5.423395191288627,4.627346140694575,5.9859866888582,5.379370050119868
2024-11-13,27.323823366243268,19.031175131978888,14.021294748880086,5.497382254772034,6.434311821948036,6.799162589545273,5.491416054459925,4.672277532416126,5.671839252510189,5.057317247246183
2024-11-14,28.959619167268563,18.642867066866756,14.944921640922363,4.116377071035524,4.607051976712979,6.902297527424374,6.063875037550797,4.989267096078839,6.260335337174386,4.513388078965421
2024-11-15,29.04534354336879,18.67926629286186,15.180324961794453,3.5706912317242976,4.692952910451579,6.988598242701287,5.87989440398034,5.0988299436136355,6.168859740103527,4.695238729400228
2024-11-18,29.356575919618255,19.29153599815304,15.857206793552045,2.326559283415758,3.9709058809691133,7.106779916759096,6.247844329639031,5.281105451426234,6.173905222411212,4.387581204056209
2024-11-19,29.144073534259796,19.269779329568287,15.836740990631762,2.388040525220639,4.014737373272805,7.226852854207463,6.090257786907207,5.329932225869636,6.1032090834741854,4.596376296588221
2024-11-20,28.886539680432392,19.223197948689922,15.778326235863807,2.377182561805138,3.848200962590478,7.174930276442852,5.995879238330242,5.281966423349989,6.106286677360888,5.327489995134294
2024-11-21,28.61702473130563,19.19296892820883,15.683069400151622,2.366746750758991,3.8588679566592075,7.113408836697853,5.8809148070300274,5.283220435903909,6.068085070521737,5.93569308276219
2024-11-22,28.454334738609692,19.508474310576567,15.649661221868302,2.347204993199685,3.8739084963556834,7.058807302911266,5.818516976924899,5.269854718902297,6.076019114988513,5.943218125663095
2024-11-25,28.560180804674307,19.22406435600274,15.435211348074382,3.0474812405966003,3.8084850523221787,6.9101280106121346,5.884995751006821,5.216739315121416,6.03356056252337,5.879153559066053
2024-11-26,29.442929012977803,19.653888852131576,16.246699654491643,2.529098535683771,2.737070479681717,7.21024735632241,6.271449240023841,5.508422958564637,5.909527478462337,4.490666431660267
2024-11-27,29.35236524419944,19.499584896416398,16.243285153895965,2.60246750767866,2.6614826820224176,7.122140838829201,6.27211319137293,5.520706528239609,5.9300945203473665,4.7957594369980105
2024-11-28,28.827081706649558,19.193945643624915,16.004715583927194,2.6556038772410133,3.2527027468242444,7.032066595268785,6.210559258702405,5.419613738351452,5.847124099615358,5.556586749795069
2024-11-29,28.040719988570057,19.399044697719148,15.504126074007122,4.436913011092555,3.7396477350534965,6.923551300849836,5.930195764339022,5.242905423894323,6.154001111993579,4.628894892480866
2024-12-02,28.77316216585428,18.76982428264039,15.652644906367112,3.7655825329154027,3.7213234517701395,6.959421662650844,6.018173808045618,5.284387805753086,6.425239347149338,4.630240036853792
2024-12-03,27.982241927161063,18.711461284212287,15.505750488000519,4.310203337951574,3.7357613232026616,6.933321192444228,5.897202926772742,5.237489261325949,6.756433615179852,4.930134643749125
2024-12-04,28.39827394846483,18.8224541495472,15.688236863610078,4.0623336029929025,4.14181226240231,6.990277190308951,5.933891502527054,5.240046986153913,5.811539976994462,4.911133516998297
2024-12-05,28.25669775657806,18.225919143651083,15.225763234075277,4.716263354266744,5.333315213236473,6.807242117957317,5.6999296182616295,5.067412035225994,5.674742027639633,4.992715499107798
