date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,ZHESHANG INTERNATIONAL FINANCIAL,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,HANG SENG BANK LTD
2024-05-02,32.47302208179401,31.726406092757344,0.0,4.6790586320734215,1.224114158168,2.6494372589630846,1.158547856823,1.1040725682346815,0.0
2024-05-03,32.58673200024171,31.65486350132518,0.0,4.696330410619503,1.2384668767631766,2.6371060500292005,1.1730016509012413,1.1039708862987183,0.0
2024-05-06,0.0,31.503740492821112,0.0,4.723813390379932,1.2493830289341559,2.6389254087243637,1.1645360232794222,1.1168074726479258,0.0
2024-05-07,0.0,31.316398601093077,0.0,4.716426895153052,1.2673744649196588,2.6490329570308258,1.1612005323382897,1.1118547739777591,0.0
2024-05-08,33.08791882603697,30.60869136657343,3.8559748454658207,4.396786747726576,1.2942605434148486,2.632456577808228,1.0262685022398907,1.133712347190484,0.0
2024-05-09,33.30426078998849,30.49980360780952,0.0,4.494661524006734,1.2981014117713043,2.632658728774357,1.027582483519731,1.1173631351160733,0.0
2024-05-10,33.705756866837106,30.179382045823473,0.0,4.2941067419060435,1.3007293743309845,2.627503879138061,1.1199588040589146,1.2373144646430152,0.0
2024-05-13,33.98644348330757,29.999114275541906,0.0,4.487511646485708,1.29122827892291,2.6247748410953164,1.0615371748475622,1.284786788924943,0.0
2024-05-14,34.45241156778379,29.83551430725737,3.8488995616512964,4.51276287958007,1.281019655133383,2.610927499915463,1.014452373967704,1.3328570252269396,0.0
2024-05-16,34.39648043847515,29.82498507203556,3.8478888068206505,4.9055118335865355,1.2802110512688658,2.6057726502791674,1.0237096753106267,1.3417491913872914,0.0
2024-05-17,34.31743941071861,29.822676811228817,0.0,5.030650963357252,1.2812218060995122,2.6021339328888407,1.0258750153843204,1.3582358155809282,0.0
2024-05-20,34.49492795898009,29.819086155230686,0.0,4.9019465475346555,1.29931431756808,2.5904091768533446,1.0280481382702096,1.3336478398064373,0.0
2024-05-21,34.65584012801897,29.80596109945281,0.0,4.840380763271612,1.2974949588729165,2.5850521762509193,1.0230914976562036,1.320305876041907,0.0
2024-05-22,34.761969385236824,29.79939442746907,0.0,4.792342113058073,1.2960799021100118,2.5831317420726916,1.0449591784172347,1.3412086902416032,0.0
2024-05-23,35.014660114408045,29.638069516695094,3.8475855803714563,4.708133196927926,1.2970906569406582,2.5809080814452696,1.0296491233842118,1.3866728468260032,0.0
2024-05-24,35.14120661920495,29.555120152697157,3.847282353922263,4.708584448422068,1.2969895814575936,2.5799984020976883,1.0305385876351805,1.3859590012268592,0.0
2024-05-27,35.26308950121326,29.392875859329227,0.0,4.821300542182536,1.2963831285592058,2.5792908737162357,1.0275015220577963,1.3981890336021956,0.0
2024-05-28,35.37629404224564,29.45301577175268,0.0,4.685156920268642,1.2964842040422704,0.0,1.0239032348606956,1.3937012821541264,0.0
2024-05-29,35.36895596217514,29.451970802871013,0.0,4.5393756499690525,1.294664845347107,2.5771682885718787,1.0253182916236003,0.0,0.0
2024-05-30,35.434958252616354,29.46111697172031,0.0,4.482959762643635,1.2947659208301718,2.5476542475170088,1.0328402279977864,1.4028852532340856,0.0
2024-05-31,35.54391762336001,29.46539974208872,0.0,4.521639379040546,1.294968071796301,2.4615379359459495,1.0147495358879142,1.39900678479793,0.0
2024-06-03,35.581113401127794,29.411829736064472,0.0,4.517598179076656,1.2959788266269472,2.442030367714477,1.0221262267929365,1.4276111465052184,0.0
2024-06-04,35.78235468790946,29.140093202006163,0.0,4.7689325763406325,1.296282053076141,2.213389336832688,1.048449567536164,1.367675406557558,0.0
2024-06-05,35.86200216856439,29.106867214373484,0.0,4.680515230859865,1.294664845347107,2.205833742322641,1.0468121447105172,1.368787236871269,0.0
2024-06-06,35.911428079782986,29.072294850768643,0.0,4.694653113515788,1.28991429764307,2.2057326668395763,1.05903217061303,0.0,0.0
2024-06-07,35.98470780500483,29.053575064852176,0.0,4.6624465732053,1.2903185995753284,2.2028014778307026,1.0573391562716976,1.3681807839728812,0.0
