date,FUTU SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,ROOFER SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,WESTOCK SECURITIES INTERNATIONAL (HK),TOTAL_CCASS_PCT
2024-05-02,6.510000000000001,2.63,0.015,1.1395,1.1405,2.7365,0.0,1.0105,0.0,0.5740000000000001,15.756
2024-05-03,6.571000000000001,2.63,0.015,1.147,1.1405,2.6655,0.0,1.0105,0.0,0.5740000000000001,15.7535
2024-05-06,6.595,2.63,0.017499999999999998,1.147,1.1405,2.6395,0.0,1.0105,0.0,0.5740000000000001,15.754000000000001
2024-05-07,6.662,2.63,0.025,1.1495,1.1655,2.4995,0.0,1.0105,0.0,0.584,15.726
2024-05-08,6.755,2.63,0.025,1.1440000000000001,1.1655,2.4125,0.0,1.0105,0.0,0.5835,15.726
2024-05-09,6.819999999999999,2.63,0.025,1.1440000000000001,1.1655,2.3465,0.0,0.9979999999999999,0.0,0.5780000000000001,15.706999999999999
2024-05-10,6.876,2.63,0.0245,1.1440000000000001,1.1655,2.308,0.0,0.9979999999999999,0.0,0.567,15.713
2024-05-13,6.9415000000000004,2.63,0.0245,1.1440000000000001,1.1655,2.2415000000000003,0.0,0.9979999999999999,0.0,0.567,15.712000000000002
2024-05-14,6.984,2.63,0.0245,1.1440000000000001,1.1655,2.2190000000000003,0.0,0.9979999999999999,0.0,0.5525,15.717500000000001
2024-05-16,7.061000000000001,2.63,0.0245,1.105,1.1655,2.1875,0.0,0.9979999999999999,0.0,0.5525,15.723999999999998
2024-05-17,7.126499999999999,2.63,0.029500000000000002,1.114,1.1655,2.1270000000000002,0.0,0.9979999999999999,0.0,0.5525,15.742999999999999
2024-05-20,7.292999999999999,2.63,0.0475,1.2035,1.1655,1.8735000000000002,0.0,1.018,0.0,0.542,15.773000000000001
2024-05-21,7.3294999999999995,2.63,0.0475,1.2035,1.1555,1.8704999999999998,0.0,1.0175,0.0,0.547,15.801000000000002
2024-05-22,7.4695,2.63,0.0475,1.216,1.1405,1.7319999999999998,0.0,1.0125,0.0,0.547,15.795
2024-05-23,7.548000000000001,2.63,0.0505,1.216,1.1405,1.66,0.0,1.0125,0.0,0.547,15.804499999999999
2024-05-24,7.5755,2.63,0.0505,1.216,1.1655,1.6049999999999998,0.0,1.0125,0.0,0.547,15.802
2024-05-27,7.6155,2.63,0.05550000000000001,1.2385,1.1655,1.5254999999999999,0.0,1.0125,0.0,0.557,15.8
2024-05-28,7.6545000000000005,2.6065,0.05550000000000001,1.2494999999999998,1.1655,1.4569999999999999,0.0,1.0625,0.0,0.557,15.808
2024-05-29,7.686999999999999,2.6065,0.05550000000000001,1.2494999999999998,1.1655,1.3984999999999999,0.0,1.0875,0.0,0.557,15.806999999999999
2024-05-30,7.686999999999999,2.6065,0.05550000000000001,1.2494999999999998,1.1655,1.3925,0.0,1.0935000000000001,0.0,0.557,15.806999999999999
2024-05-31,7.697,2.6065,0.05550000000000001,1.2494999999999998,1.1655,1.3775000000000002,0.0,1.0935000000000001,0.0,0.557,15.802
2024-06-03,7.731000000000001,2.6065,0.05550000000000001,1.2494999999999998,1.1655,1.349,0.0,1.0935000000000001,0.0,0.5519999999999999,15.8025
2024-06-04,7.763000000000001,2.6065,0.05550000000000001,1.2494999999999998,1.1655,1.3390000000000002,0.0,1.0935000000000001,0.0,0.5519999999999999,15.8245
2024-06-05,7.7780000000000005,2.6065,0.05550000000000001,1.2494999999999998,1.1655,1.3155000000000001,0.0,1.0935000000000001,0.0,0.5475,15.8115
2024-06-06,7.822500000000001,2.6065,0.05550000000000001,1.2494999999999998,1.17,1.2555,0.0,1.0935000000000001,0.0,0.5575,15.8105
2024-06-07,7.843999999999999,2.6065,0.05550000000000001,1.2494999999999998,1.17,1.192,0.0,1.0935000000000001,0.0,0.555,15.766
2024-06-11,7.8935,2.6065,0.05550000000000001,1.2494999999999998,1.17,1.1445,0.0,1.089,0.0,0.555,15.7635
2024-06-12,7.958,2.6065,0.058,1.2494999999999998,1.17,1.077,0.0,1.089,0.0,0.555,15.763
2024-06-13,7.997999999999999,2.6065,0.059500000000000004,1.2494999999999998,1.17,1.0295,0.0,1.089,0.0,0.555,15.756999999999998
2024-06-14,8.02,2.6065,0.059500000000000004,1.2494999999999998,1.17,1.0095,0.0,1.089,0.0,0.555,15.759
2024-06-17,8.0245,2.6065,0.059500000000000004,1.2494999999999998,1.17,0.9764999999999999,0.0,1.089,0.0,0.555,15.7305
2024-06-18,8.037999999999998,2.6065,0.059500000000000004,1.2494999999999998,1.17,0.967,0.0,1.089,0.0,0.555,15.7345
2024-06-19,8.0605,2.6065,0.059500000000000004,1.2494999999999998,1.17,0.9445,0.0,1.089,0.0,0.555,15.7345
2024-06-20,8.0545,2.6065,0.062,1.2494999999999998,1.17,0.9445,0.0,1.089,0.0,0.555,15.731
2024-06-21,8.057,2.6065,0.062,1.2494999999999998,1.17,0.9445,0.0,1.089,0.0,0.555,15.7335
2024-06-24,8.06,2.6065,0.0625,1.2515,1.17,0.941,0.0,1.089,0.0,0.555,15.7355
2024-06-25,8.0115,2.6065,0.0625,1.2705,1.17,0.9365,0.0,1.1145,0.0,0.555,15.726999999999999
2024-06-27,8.0295,2.6065,0.0625,1.2705,1.1325,0.9365,0.0,1.1044999999999998,0.0,0.555,15.6975
2024-07-02,8.027,2.6065,0.0625,1.2705,1.1325,0.9365,0.0,1.1044999999999998,0.0,0.555,15.695
2024-07-03,7.9945,2.6065,0.0625,1.2705,1.139,0.9365,0.0,1.1044999999999998,0.0,0.555,15.669
2024-07-04,7.982,2.6065,0.0625,1.273,1.1325,0.9504999999999999,0.0,1.1119999999999999,0.0,0.555,15.674
2024-07-05,7.968999999999999,2.6065,0.0625,1.273,1.1325,0.9504999999999999,0.0,1.1225,0.0,0.555,15.6715
2024-07-08,7.9159999999999995,2.6065,0.0625,1.273,1.1325,0.9504999999999999,0.0,1.1225,0.0,0.555,15.6185
2024-07-09,7.8955,2.6065,0.0625,1.273,1.1325,0.964,0.0,1.1225,0.0,0.555,15.6115
2024-07-10,7.915,2.6065,0.0625,1.273,1.1325,0.964,0.0,1.1275,0.0,0.5665,15.6475
2024-07-11,7.926,2.6065,0.0625,1.273,1.1325,0.968,0.0,1.1235,0.0,0.5645,15.656500000000001
2024-07-12,7.861999999999999,2.6065,0.0625,1.298,1.1325,0.9775,0.0,1.1485,0.0,0.567,15.654499999999999
2024-07-15,7.8365,2.6065,0.0645,1.298,1.1325,0.984,0.0,1.165,0.0,0.567,15.654000000000002
2024-07-16,7.810499999999999,2.6065,0.0645,1.298,1.0765,0.992,0.0,1.165,0.0,0.5680000000000001,15.581
2024-07-17,7.7635,2.5985,0.0655,1.298,1.0795000000000001,0.992,0.0,1.165,0.0,0.5930000000000001,15.555
2024-07-19,7.763000000000001,2.5985,0.0655,1.298,1.0795000000000001,0.992,0.0,1.1785,0.0,0.5930000000000001,15.568000000000001
2024-07-22,7.763000000000001,2.5985,0.0645,1.298,1.0795000000000001,0.997,0.0,1.1785,0.0,0.5930000000000001,15.572
2024-07-23,7.757,2.5985,0.0645,1.2975,1.0795000000000001,0.997,0.0,1.1785,0.0,0.5950000000000001,15.5675
2024-07-24,7.750500000000001,2.5985,0.065,1.2975,1.0795000000000001,1.012,0.0,1.1785,0.0,0.5950000000000001,15.5765
2024-07-25,7.738,2.5985,0.0655,1.2975,1.0795000000000001,1.012,0.0,1.1785,0.0,0.5950000000000001,15.5645
2024-07-26,7.753500000000001,2.5985,0.0655,1.2965,1.072,1.012,0.0,1.191,0.0,0.596,15.584999999999999
2024-07-29,7.7665,2.5985,0.0655,1.3005,1.072,1.012,0.0,1.191,0.0,0.596,15.601999999999999
2024-07-30,7.735,2.5985,0.0655,1.3005,1.072,1.012,0.0,1.191,0.0,0.596,15.570500000000001
2024-08-01,7.7345,2.5985,0.0655,1.3005,1.072,1.012,0.0,1.191,0.0,0.596,15.57
2024-08-02,7.732500000000001,2.5985,0.0655,1.3005,1.072,1.012,0.0,1.191,0.0,0.596,15.568000000000001
2024-08-06,7.733,2.5985,0.0655,1.2970000000000002,1.072,1.012,0.0,1.191,0.0,0.592,15.561
2024-08-07,7.744,2.5985,0.0655,1.2930000000000001,1.077,1.012,0.0,1.191,0.0,0.596,15.577
2024-08-08,7.742,2.5985,0.0655,1.2930000000000001,1.077,1.012,0.0,1.191,0.0,0.596,15.575
2024-08-09,7.7455,2.5985,0.0655,1.2930000000000001,1.077,1.008,0.0,1.191,0.0,0.597,15.5755
2024-08-12,7.7445,2.5985,0.0655,1.2930000000000001,1.077,1.0085,0.0,1.191,0.0,0.597,15.575
2024-08-13,7.749499999999999,2.5985,0.0655,1.295,1.077,1.0085,0.0,1.191,0.0,0.597,15.581999999999999
2024-08-14,7.741499999999999,2.598,0.0655,1.295,1.077,1.005,0.0,1.191,0.0,0.5985,15.571499999999999
2024-08-15,7.747999999999999,2.598,0.0655,1.295,1.077,1.005,0.0,1.191,0.0,0.5985,15.578
2024-08-16,7.671500000000001,2.598,0.0655,1.3155000000000001,1.147,1.012,0.0,1.2409999999999999,0.0,0.5780000000000001,15.6285
2024-08-19,7.669,2.598,0.0655,1.318,1.147,1.012,0.0,1.2409999999999999,0.0,0.5780000000000001,15.6285
2024-08-20,7.660500000000001,2.598,0.0655,1.321,1.1545,1.0125,0.0,1.2409999999999999,0.0,0.5780000000000001,15.631
2024-08-21,7.600999999999999,2.598,0.0655,1.3365,1.167,1.014,0.0,1.2485,0.0,0.5780000000000001,15.6085
2024-08-22,7.6035,2.598,0.0655,1.349,1.167,1.022,0.0,1.2189999999999999,0.0,0.5780000000000001,15.601999999999999
2024-08-23,7.5755,2.598,0.0655,1.3765,1.167,1.022,0.0,1.2189999999999999,0.0,0.5785,15.601999999999999
2024-08-26,7.585999999999999,2.598,0.0655,1.3265,1.167,1.031,0.0,1.2189999999999999,0.0,0.5635,15.556500000000002
2024-08-27,7.5905000000000005,2.598,0.0655,1.3265,1.167,1.0210000000000001,0.0,1.2165000000000001,0.0,0.565,15.55
2024-08-28,7.5885,2.598,0.0655,1.3265,1.167,1.0185,0.0,1.2189999999999999,0.0,0.565,15.548
2024-08-29,7.595000000000001,2.598,0.0655,1.3265,1.167,1.011,0.0,1.2189999999999999,0.0,0.5665,15.5485
2024-08-30,7.580000000000001,2.598,0.0655,1.324,1.167,1.011,0.0,1.2189999999999999,0.0,0.5665,15.531
2024-09-02,7.5795,2.598,0.0655,1.324,1.167,1.012,0.0,1.2215,0.0,0.5665,15.534
2024-09-04,7.577,2.598,0.0655,1.3114999999999999,1.167,1.014,0.0,1.2215,0.0,0.5815,15.536
2024-09-05,7.5885,2.598,0.0645,1.314,1.167,1.014,0.0,1.2215,0.0,0.5785,15.546
2024-09-10,7.5885,2.598,0.0645,1.353,1.167,1.014,0.0,1.2215,0.0,0.5785,15.584999999999999
2024-09-11,7.5805,2.638,0.0645,1.353,1.1925,1.0135,0.0,1.209,0.0,0.5735,15.6245
2024-09-12,7.568,2.638,0.0645,1.3390000000000002,1.1925,1.0135,0.0,1.209,0.0,0.5735,15.598
2024-09-13,7.568,2.638,0.0645,1.3390000000000002,1.1925,1.0135,0.0,1.2055,0.0,0.5735,15.5945
2024-09-16,7.542999999999999,2.638,0.0645,1.3390000000000002,1.2175,1.0135,0.0,1.2055,0.0,0.5735,15.5945
2024-09-17,7.5475,2.638,0.0645,1.3390000000000002,1.2085000000000001,1.0135,0.0,1.2055,0.0,0.5785,15.595
2024-09-19,7.5634999999999994,2.638,0.0645,1.327,1.2085000000000001,1.0135,0.0,1.1965,0.0,0.5785,15.590000000000002
2024-09-23,7.5625,2.638,0.0645,1.327,1.2085000000000001,1.0135,0.0,1.1965,0.0,0.5785,15.589
2024-09-24,7.566000000000001,2.638,0.0645,1.327,1.205,1.0135,0.0,1.1965,0.0,0.5785,15.589
2024-09-25,7.593999999999999,2.638,0.0645,1.3125,1.205,1.0135,0.0,1.1965,0.0,0.5785,15.6025
2024-09-26,7.5925,2.638,0.0645,1.3125,1.205,1.015,0.0,1.1965,0.0,0.5785,15.6025
2024-09-27,7.535500000000001,2.638,0.0645,1.3125,1.2550000000000001,1.015,0.0,1.1965,0.0,0.5785,15.595500000000001
2024-09-30,7.528,2.638,0.0645,1.3225,1.2550000000000001,1.015,0.0,1.203,0.0,0.5825,15.6085
2024-10-02,7.535500000000001,2.638,0.0645,1.3225,1.2550000000000001,1.015,0.0,1.203,0.0,0.5825,15.616
2024-10-03,7.666,2.638,0.0785,1.3765,1.2550000000000001,1.0045,0.0,1.0205,0.0,0.5825,15.6215
2024-10-04,7.628,2.638,0.0785,1.4829999999999999,1.2550000000000001,1.0959999999999999,0.0,1.018,0.89,0.5680000000000001,16.6545
2024-10-07,7.6265,2.638,0.0785,1.5095,1.2555,1.027,0.0,1.0285,0.89,0.5680000000000001,16.6215
2024-10-08,7.641000000000001,2.638,0.0785,1.5685,1.2605,1.032,0.0,1.0285,0.89,0.5715,16.7085
2024-10-09,7.567,2.638,0.0785,1.5625,1.2855,1.032,0.0,1.0285,0.89,0.6515,16.7335
2024-10-10,7.563000000000001,2.638,0.0785,1.564,1.2855,1.032,0.0,1.0265,0.89,0.6515,16.729
2024-10-14,7.5515,2.638,0.0785,1.564,1.2855,1.032,0.0,1.0265,0.89,0.6605,16.7265
2024-10-15,7.5520000000000005,2.638,0.0785,1.564,1.2855,1.032,0.0,1.0265,0.89,0.6605,16.727
2024-10-16,7.5425,2.638,0.0785,1.564,1.2850000000000001,1.057,0.0,1.0265,0.89,0.6645,16.746
2024-10-17,7.5520000000000005,2.638,0.0785,1.564,1.2850000000000001,1.0555,0.0,1.0265,0.89,0.6565,16.746
2024-10-18,7.55,2.6205,0.0785,1.564,1.2850000000000001,1.0555,0.0,1.026,0.89,0.659,16.7285
2024-10-21,7.559,2.6205,0.0785,1.564,1.2850000000000001,1.0555,0.0,1.026,0.89,0.652,16.7305
2024-10-22,7.5615000000000006,2.6205,0.0785,1.564,1.2850000000000001,1.053,0.0,1.026,0.89,0.652,16.7305
2024-10-23,7.563000000000001,2.6205,0.0785,1.564,1.2825,1.053,0.0,1.026,0.89,0.6535,16.730999999999998
2024-10-24,7.492999999999999,2.6205,0.0785,1.7025,1.2825,1.042,0.0,1.0285,0.89,0.6305,16.768
2024-10-25,7.478,2.6205,0.0785,1.7025,1.2825,1.0455,0.0,1.0285,0.89,0.6455,16.7715
2024-10-28,7.517,2.6205,0.0785,1.7014999999999998,1.2825,1.0495,0.0,1.0115,0.8055,0.6575,16.724
2024-10-29,7.5155,2.6205,0.0785,1.7014999999999998,1.2825,1.051,0.0,1.0115,0.8055,0.6575,16.724
2024-10-30,7.5185,2.6205,0.0785,1.7014999999999998,1.2825,1.048,0.0,1.0115,0.8055,0.6575,16.724
2024-10-31,7.534000000000001,2.6205,0.0785,1.7014999999999998,1.2825,1.0525,0.0,1.0115,0.8055,0.6575,16.744
2024-11-04,7.5344999999999995,2.6205,0.0785,1.7014999999999998,1.2825,1.0525,0.0,1.0115,0.8055,0.6575,16.744500000000002
2024-11-05,7.537000000000001,2.6205,0.0785,1.7014999999999998,1.2825,1.0515,0.0,1.0115,0.8055,0.6575,16.746
2024-11-06,7.5375,2.6205,0.0785,1.7014999999999998,1.3074999999999999,1.0515,0.0,1.0115,0.8055,0.6575,16.7715
2024-11-07,7.5445,2.6205,0.0785,1.7014999999999998,1.3074999999999999,1.0515,0.0,1.0115,0.8055,0.6575,16.778499999999998
2024-11-08,7.536,2.6205,0.0785,1.7014999999999998,1.3074999999999999,1.053,0.0,1.0115,0.8055,0.6575,16.7715
2024-11-11,7.4995,2.6229999999999998,0.0785,1.7014999999999998,1.3074999999999999,1.0505,0.0,1.0115,0.8055,0.6575,16.735
2024-11-12,7.4944999999999995,2.6229999999999998,0.0785,1.7014999999999998,1.3074999999999999,1.0505,0.0,1.0165,0.8055,0.6295000000000001,16.707
2024-11-13,7.5015,2.6229999999999998,0.0785,1.7014999999999998,1.3074999999999999,1.0485,0.0,1.0165,0.8055,0.637,16.7195
2024-11-15,7.5015,2.6229999999999998,0.0795,1.701,1.3074999999999999,1.0485,0.0,1.016,0.8055,0.6375,16.72
2024-11-18,7.5015,2.6229999999999998,0.0795,1.701,1.3905,1.0485,0.0,1.016,0.8055,0.6375,16.803
2024-11-19,7.5295000000000005,2.6229999999999998,0.0795,1.7000000000000002,1.3905,1.0485,0.0,1.016,0.8055,0.635,16.8275
2024-11-20,7.5425,2.6229999999999998,0.0795,1.7000000000000002,1.39,1.0485,0.0,1.016,0.8055,0.635,16.84
2024-11-21,7.5395,2.6229999999999998,0.0795,1.7000000000000002,1.39,1.0485,0.0,1.016,0.8055,0.635,16.837
2024-11-22,7.5445,2.6229999999999998,0.0795,1.7000000000000002,1.39,1.0485,0.0,1.011,0.8055,0.635,16.837
2024-11-25,7.549,2.6229999999999998,0.0725,1.7000000000000002,1.39,1.0485,0.0,1.0135,0.8055,0.635,16.837
2024-11-27,7.5535000000000005,2.6229999999999998,0.062,1.7035000000000002,1.3895,1.0485,0.0,1.0135,0.8055,0.6365,16.8355
2024-11-28,7.598000000000001,2.6229999999999998,0.062,1.71,1.3965,1.0485,0.0,1.0135,0.8055,0.6515,16.9085
2024-11-29,7.5840000000000005,2.6229999999999998,0.062,1.706,1.3965,1.0485,0.0,1.0135,0.8055,0.657,16.896
2024-12-02,7.5915,2.6229999999999998,0.062,1.6920000000000002,1.396,1.0485,0.0,1.0135,0.8055,0.6645,16.8965
2024-12-03,7.638,2.6229999999999998,0.062,1.6920000000000002,1.396,1.0485,0.0,1.0135,0.8055,0.6545,16.933
2024-12-05,7.628500000000001,2.6229999999999998,0.07150000000000001,1.6920000000000002,1.396,1.0485,0.0,1.0135,0.8055,0.6545,16.933
2024-12-06,7.628500000000001,2.6229999999999998,0.07150000000000001,1.6920000000000002,1.396,1.0475,0.0,1.0135,0.8055,0.6545,16.932
2024-12-10,7.625500000000001,2.6229999999999998,0.07150000000000001,1.6920000000000002,1.396,1.0475,0.0,1.0135,0.8055,0.658,16.9325
2024-12-11,7.6265,2.6229999999999998,0.07150000000000001,1.6920000000000002,1.3955,1.0475,0.0,1.0135,0.8055,0.658,16.933
2024-12-16,7.613,2.6229999999999998,0.07200000000000001,1.6920000000000002,1.393,1.0475,0.0,1.0135,0.8055,0.658,16.9175
2024-12-18,7.6125,2.6229999999999998,0.07200000000000001,1.7135,1.393,1.0475,0.0,1.0135,0.8055,0.658,16.9385
2024-12-19,7.614999999999999,2.6229999999999998,0.07200000000000001,1.7135,1.393,1.0475,0.0,1.0135,0.8055,0.658,16.941
2024-12-20,7.6155,2.6229999999999998,0.07200000000000001,1.7135,1.393,1.049,0.0,1.0135,0.8055,0.658,16.943
2024-12-27,7.613499999999999,2.6229999999999998,0.07200000000000001,1.7135,1.393,1.049,0.0,1.0135,0.8055,0.66,16.943
2024-12-30,7.613499999999999,2.6229999999999998,0.07200000000000001,1.7185,1.393,1.049,0.0,1.0135,0.8055,0.66,16.948
2025-01-06,7.6055,2.6229999999999998,0.07200000000000001,1.7185,1.393,1.049,0.0,1.0035,0.8049999999999999,0.65,16.919500000000003
2025-01-07,7.5105,2.6229999999999998,0.07200000000000001,1.8355,1.391,1.024,0.0,1.0025,0.8049999999999999,0.65,16.9135
2025-01-08,7.430499999999999,2.6229999999999998,0.07200000000000001,1.831,1.39,1.024,0.05,1.0025,0.8049999999999999,0.625,16.853
2025-01-09,7.4285000000000005,2.6229999999999998,0.07200000000000001,1.8375,1.39,1.024,0.05,1.0025,0.8049999999999999,0.6224999999999999,16.855
2025-01-10,7.4285000000000005,2.6229999999999998,0.07200000000000001,1.8375,1.389,1.024,0.08750000000000001,1.0025,0.8049999999999999,0.6235,16.8925
2025-01-13,7.3774999999999995,2.6229999999999998,0.07100000000000001,1.8375,1.389,1.024,0.372,0.9924999999999999,0.8049999999999999,0.6345,17.126
2025-01-14,7.313,2.6229999999999998,0.07100000000000001,1.8375,1.3885,1.024,0.5884999999999999,0.9924999999999999,0.8049999999999999,0.634,17.277
2025-01-15,7.315,2.6229999999999998,0.07100000000000001,1.8375,1.3935,1.024,0.5884999999999999,0.9924999999999999,0.8049999999999999,0.6335000000000001,17.2835
2025-01-16,7.315,2.6229999999999998,0.07100000000000001,1.8124999999999998,1.3935,1.024,0.5884999999999999,0.9924999999999999,0.8049999999999999,0.6335000000000001,17.258499999999998
2025-01-17,7.3045,2.6229999999999998,0.07100000000000001,1.8124999999999998,1.393,1.1245,0.5884999999999999,0.9924999999999999,0.8049999999999999,0.636,17.3505
2025-01-20,7.321,2.6229999999999998,0.07100000000000001,1.8124999999999998,1.393,1.1245,0.5884999999999999,0.9924999999999999,0.8049999999999999,0.636,17.366999999999997
2025-01-21,7.3755,2.6229999999999998,0.07100000000000001,1.8124999999999998,1.391,1.1245,0.5884999999999999,0.9924999999999999,0.8049999999999999,0.6385,17.422
2025-01-22,7.3774999999999995,2.6229999999999998,0.07100000000000001,1.8124999999999998,1.391,1.1245,0.5895,0.9924999999999999,0.8049999999999999,0.6385,17.424999999999997
2025-01-23,7.3935,2.6229999999999998,0.07100000000000001,1.8145000000000002,1.391,1.1395,0.5895,0.9924999999999999,0.8049999999999999,0.6385,17.458000000000002
2025-01-24,7.438000000000001,2.6229999999999998,0.07100000000000001,1.8145000000000002,1.3905,1.1245,0.5895,0.9825,0.8049999999999999,0.6385,17.477
2025-01-27,7.4405,2.6229999999999998,0.07100000000000001,1.8145000000000002,1.3905,1.1245,0.6839999999999999,0.9825,0.8049999999999999,0.6375,17.573
2025-02-03,7.5805,2.6229999999999998,0.07100000000000001,1.8145000000000002,1.3905,0.9585,0.734,0.9825,0.8049999999999999,0.6375,17.596999999999998
2025-02-04,7.563000000000001,2.6229999999999998,0.07100000000000001,1.817,1.4175,0.9545,0.734,0.9775,0.8049999999999999,0.633,17.5955
2025-02-05,7.5249999999999995,2.6229999999999998,0.07100000000000001,1.817,1.4195,0.9395,0.734,0.9775,0.8049999999999999,0.6165,17.528
2025-02-06,7.481,2.6229999999999998,0.07100000000000001,1.8159999999999998,1.425,0.9395,0.734,0.9775,0.8049999999999999,0.6165,17.488500000000002
2025-02-07,7.466,2.6229999999999998,0.07100000000000001,1.8185,1.425,0.9395,0.734,0.9785,0.8049999999999999,0.6165,17.477
2025-02-10,7.4665,2.6229999999999998,0.07100000000000001,1.82,1.425,0.9395,0.734,0.9785,0.8049999999999999,0.6195,17.482
2025-02-11,7.4665,2.6229999999999998,0.07100000000000001,1.82,1.423,0.9395,0.734,0.9785,0.8049999999999999,0.6195,17.48
2025-02-12,7.469,2.6229999999999998,0.07100000000000001,1.82,1.423,0.9395,0.734,0.9785,0.8049999999999999,0.6195,17.4825
2025-02-14,7.494000000000001,2.5745,0.07100000000000001,1.87,1.4224999999999999,0.9395,0.734,0.9785,0.8049999999999999,0.6195,17.508499999999998
