date,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,USMART SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,TIGER BROKERS (HK) GLOBAL LTD,BANK OF CHINA (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,MIRAE ASSET SECURITIES (HK) LTD,ORIENT SECURITIES (HONG KONG) LTD
2024-08-07,148910.0,38442.0,28400.0,33100.0,10900.0,26100.0,0.0,0.0,0.0,0.0
2024-08-08,151310.0,41642.0,31000.0,17800.0,12300.0,27900.0,19500.0,0.0,0.0,0.0
2024-08-09,151610.0,42742.0,31500.0,214500.0,0.0,28600.0,0.0,0.0,0.0,0.0
2024-08-12,155110.0,42442.0,32500.0,212800.0,0.0,28700.0,0.0,0.0,0.0,0.0
2024-08-13,160610.0,42942.0,34300.0,201200.0,14200.0,30500.0,0.0,0.0,0.0,0.0
2024-08-14,162310.0,44742.0,36700.0,195100.0,14300.0,0.0,0.0,0.0,0.0,0.0
2024-08-15,164810.0,48442.0,37700.0,185100.0,14400.0,32600.0,0.0,0.0,0.0,0.0
2024-08-16,164910.0,49642.0,37800.0,177800.0,0.0,0.0,25400.0,0.0,0.0,0.0
2024-08-19,165210.0,51342.0,39300.0,171600.0,14700.0,34900.0,0.0,0.0,0.0,0.0
2024-08-20,165710.0,53142.0,40500.0,167900.0,14800.0,34400.0,0.0,0.0,0.0,0.0
2024-08-22,165810.0,55742.0,44700.0,159500.0,0.0,34900.0,0.0,0.0,0.0,0.0
2024-08-23,166910.0,56142.0,46400.0,155600.0,15500.0,0.0,0.0,0.0,0.0,0.0
2024-08-27,168210.0,57242.0,49300.0,151400.0,17200.0,31400.0,0.0,0.0,0.0,0.0
2024-08-28,170710.0,57542.0,50400.0,145600.0,15600.0,34400.0,0.0,0.0,0.0,0.0
2024-08-29,169810.0,59542.0,50800.0,143700.0,16000.0,0.0,0.0,0.0,0.0,0.0
2024-08-30,172710.0,60242.0,51600.0,137900.0,17000.0,34500.0,0.0,0.0,0.0,0.0
2024-09-02,175610.0,61342.0,53800.0,129700.0,17300.0,0.0,0.0,0.0,0.0,0.0
2024-09-03,178110.0,62542.0,55000.0,123400.0,0.0,35500.0,0.0,0.0,0.0,0.0
2024-09-05,178310.0,67242.0,56400.0,116300.0,18000.0,0.0,0.0,0.0,0.0,0.0
2024-09-09,180510.0,70842.0,60600.0,103600.0,20000.0,0.0,0.0,0.0,0.0,0.0
2024-09-10,183810.0,75942.0,64200.0,90900.0,20500.0,35600.0,0.0,0.0,0.0,0.0
2024-09-11,186910.0,81442.0,70600.0,72100.0,23000.0,0.0,0.0,0.0,0.0,0.0
2024-09-12,187410.0,82842.0,71300.0,66300.0,25300.0,0.0,0.0,0.0,0.0,0.0
2024-09-16,188610.0,85342.0,73100.0,60600.0,25400.0,0.0,0.0,0.0,0.0,0.0
2024-09-17,189510.0,88342.0,73500.0,55300.0,25600.0,0.0,0.0,0.0,0.0,0.0
2024-09-23,191810.0,91242.0,77700.0,43500.0,26900.0,0.0,0.0,0.0,0.0,0.0
2024-09-24,190610.0,92542.0,78900.0,39800.0,28800.0,0.0,0.0,0.0,0.0,0.0
2024-09-25,188310.0,95442.0,81500.0,35800.0,29000.0,35800.0,0.0,0.0,0.0,0.0
2024-09-27,190810.0,99642.0,82800.0,225700.0,30000.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,191610.0,99842.0,83200.0,222300.0,0.0,37800.0,0.0,0.0,0.0,0.0
2024-10-02,192110.0,100542.0,84200.0,224400.0,32600.0,0.0,0.0,0.0,0.0,0.0
2024-10-03,192810.0,103942.0,87100.0,218800.0,31000.0,38000.0,0.0,0.0,0.0,0.0
2024-10-04,196610.0,108742.0,89300.0,201100.0,33000.0,0.0,0.0,0.0,0.0,0.0
2024-10-08,205510.0,108942.0,91000.0,187600.0,34200.0,38200.0,0.0,0.0,0.0,0.0
2024-10-10,207910.0,108342.0,92000.0,184200.0,34600.0,0.0,0.0,0.0,0.0,0.0
2024-10-15,210110.0,112042.0,93600.0,165100.0,35500.0,0.0,0.0,0.0,0.0,0.0
2024-10-16,210710.0,112342.0,95000.0,160700.0,36000.0,38700.0,0.0,0.0,0.0,0.0
2024-10-17,214710.0,113242.0,95600.0,154900.0,36500.0,39100.0,0.0,0.0,0.0,0.0
2024-10-18,215410.0,115342.0,97700.0,146000.0,37800.0,0.0,0.0,0.0,0.0,0.0
2024-10-21,215810.0,115742.0,98100.0,144200.0,0.0,39600.0,0.0,0.0,0.0,0.0
2024-10-22,215010.0,117142.0,98800.0,149700.0,38800.0,0.0,17500.0,0.0,0.0,0.0
2024-10-25,221010.0,119742.0,102200.0,139800.0,39100.0,0.0,0.0,0.0,0.0,0.0
2024-10-28,221210.0,124142.0,104100.0,132200.0,40200.0,0.0,0.0,0.0,0.0,0.0
2024-10-29,221710.0,123142.0,105600.0,131000.0,0.0,39900.0,0.0,0.0,0.0,0.0
2024-10-31,220810.0,121642.0,108000.0,128700.0,0.0,0.0,0.0,0.0,0.0,2400.0
2024-11-01,217510.0,129242.0,113000.0,117100.0,41300.0,0.0,0.0,0.0,0.0,0.0
2024-11-04,218710.0,130342.0,115400.0,111300.0,41500.0,40200.0,0.0,0.0,0.0,0.0
2024-11-05,223210.0,134842.0,117300.0,98000.0,43400.0,0.0,0.0,0.0,0.0,0.0
2024-11-06,223510.0,137942.0,118800.0,92300.0,44000.0,0.0,0.0,0.0,0.0,0.0
2024-11-07,225710.0,138842.0,118500.0,87800.0,0.0,40500.0,0.0,0.0,0.0,0.0
2024-11-08,213110.0,140842.0,121200.0,91400.0,45100.0,0.0,0.0,0.0,0.0,0.0
2024-11-11,209610.0,142442.0,121300.0,92900.0,45200.0,0.0,0.0,0.0,0.0,0.0
2024-11-12,210710.0,144742.0,122300.0,73600.0,47700.0,40200.0,0.0,0.0,0.0,0.0
2024-11-13,215410.0,148442.0,126000.0,171300.0,48100.0,0.0,0.0,0.0,0.0,0.0
2024-11-14,213110.0,153542.0,127300.0,160300.0,50700.0,40400.0,0.0,0.0,0.0,0.0
2024-11-15,212810.0,153242.0,128900.0,155500.0,51300.0,41000.0,0.0,0.0,0.0,0.0
2024-11-18,216110.0,160942.0,131400.0,140800.0,52300.0,41100.0,0.0,0.0,0.0,0.0
2024-11-19,217710.0,161642.0,132500.0,137600.0,52900.0,40000.0,0.0,0.0,0.0,0.0
2024-11-20,221410.0,162842.0,133900.0,124900.0,54200.0,41900.0,0.0,0.0,0.0,0.0
2024-11-21,221710.0,163642.0,134400.0,121300.0,55200.0,0.0,0.0,0.0,0.0,0.0
2024-11-22,219610.0,164742.0,135600.0,124000.0,55400.0,0.0,0.0,0.0,0.0,0.0
2024-11-25,223910.0,170242.0,139500.0,108900.0,55700.0,42100.0,0.0,0.0,0.0,2700.0
2024-11-26,224010.0,172742.0,140800.0,97200.0,57100.0,0.0,0.0,0.0,0.0,8300.0
2024-11-27,202310.0,173542.0,141200.0,117400.0,57200.0,0.0,0.0,0.0,0.0,0.0
2024-11-28,202810.0,175442.0,142100.0,109800.0,59700.0,42300.0,0.0,0.0,0.0,0.0
2024-11-29,206610.0,178142.0,144700.0,94100.0,60500.0,42400.0,17700.0,0.0,0.0,0.0
2024-12-03,208710.0,180642.0,147100.0,85700.0,62000.0,0.0,0.0,0.0,0.0,0.0
2024-12-04,209210.0,187242.0,149200.0,77800.0,62300.0,0.0,0.0,0.0,0.0,0.0
2024-12-05,210410.0,189742.0,150700.0,169800.0,64100.0,0.0,0.0,0.0,0.0,0.0
2024-12-06,211110.0,193442.0,153700.0,157800.0,65200.0,44700.0,0.0,0.0,0.0,0.0
2024-12-09,217410.0,200842.0,155400.0,139000.0,67500.0,0.0,0.0,0.0,0.0,0.0
2024-12-10,215510.0,207142.0,155900.0,128800.0,69100.0,45100.0,0.0,0.0,0.0,0.0
2024-12-11,220010.0,207742.0,158300.0,114100.0,69700.0,0.0,18700.0,0.0,0.0,0.0
2024-12-12,230110.0,210942.0,165000.0,184700.0,70100.0,0.0,19500.0,0.0,0.0,14500.0
2024-12-13,233510.0,215942.0,167300.0,165500.0,71200.0,47200.0,0.0,0.0,0.0,18300.0
2024-12-16,234510.0,217442.0,167900.0,131400.0,0.0,0.0,0.0,0.0,0.0,48300.0
2024-12-17,234610.0,218342.0,168800.0,128100.0,71900.0,47500.0,0.0,0.0,0.0,0.0
2024-12-18,238510.0,220842.0,169900.0,112900.0,77600.0,47700.0,20500.0,0.0,0.0,0.0
2024-12-19,234610.0,224642.0,172100.0,110200.0,78000.0,0.0,0.0,0.0,0.0,46000.0
2024-12-20,235010.0,227442.0,174200.0,196600.0,83300.0,50200.0,0.0,0.0,0.0,0.0
2024-12-23,243610.0,233542.0,179000.0,174000.0,0.0,51300.0,0.0,0.0,0.0,0.0
2024-12-27,249810.0,237642.0,184300.0,146400.0,86600.0,54300.0,0.0,0.0,0.0,0.0
2024-12-30,251710.0,237442.0,192400.0,126500.0,95900.0,54400.0,0.0,0.0,0.0,0.0
2025-01-02,259910.0,244042.0,195900.0,108500.0,97400.0,0.0,0.0,0.0,0.0,0.0
2025-01-03,281710.0,251142.0,204300.0,266600.0,98700.0,56100.0,0.0,0.0,0.0,0.0
2025-01-06,290210.0,257742.0,208500.0,240000.0,98900.0,56300.0,21500.0,0.0,0.0,0.0
2025-01-07,292610.0,262942.0,210600.0,226700.0,100000.0,57100.0,0.0,0.0,0.0,0.0
2025-01-08,291610.0,265742.0,212400.0,219400.0,100200.0,0.0,0.0,0.0,0.0,0.0
2025-01-09,288110.0,267042.0,212800.0,221000.0,100400.0,57400.0,0.0,0.0,0.0,0.0
2025-01-10,294410.0,272242.0,214200.0,202500.0,101800.0,57600.0,0.0,0.0,0.0,0.0
2025-01-13,297210.0,273442.0,216900.0,191100.0,103200.0,60200.0,0.0,0.0,0.0,0.0
2025-01-15,310010.0,279142.0,220300.0,165900.0,103500.0,62700.0,21800.0,0.0,0.0,0.0
2025-01-16,313910.0,280742.0,221200.0,158400.0,103900.0,63000.0,0.0,0.0,0.0,0.0
2025-01-17,316110.0,285042.0,221300.0,150500.0,104100.0,63200.0,0.0,0.0,0.0,0.0
2025-01-20,318210.0,285542.0,222300.0,144800.0,105300.0,63600.0,0.0,0.0,0.0,0.0
2025-01-21,318310.0,286442.0,222700.0,143400.0,105400.0,63700.0,0.0,0.0,0.0,0.0
2025-01-22,318110.0,289542.0,226100.0,134100.0,106800.0,63900.0,0.0,0.0,0.0,0.0
2025-01-23,318610.0,290142.0,227100.0,127800.0,110600.0,0.0,0.0,0.0,0.0,0.0
2025-01-24,319110.0,291242.0,228300.0,123000.0,111800.0,0.0,0.0,0.0,0.0,0.0
2025-01-27,312510.0,291742.0,228700.0,123800.0,115700.0,0.0,0.0,0.0,0.0,0.0
2025-02-03,312910.0,294742.0,229200.0,119200.0,116800.0,0.0,0.0,0.0,0.0,0.0
2025-02-04,316710.0,298542.0,235300.0,102900.0,119000.0,65300.0,0.0,0.0,0.0,0.0
2025-02-05,319310.0,302442.0,244000.0,94200.0,113200.0,65500.0,0.0,0.0,0.0,0.0
2025-02-06,321810.0,306442.0,245700.0,83600.0,113400.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,321510.0,312242.0,246700.0,75600.0,113900.0,65700.0,0.0,0.0,0.0,0.0
2025-02-10,323710.0,313142.0,248600.0,69100.0,114100.0,0.0,0.0,0.0,0.0,0.0
2025-02-11,329910.0,315242.0,249000.0,54800.0,113800.0,66200.0,0.0,0.0,0.0,0.0
2025-02-12,339910.0,316842.0,250300.0,45500.0,112800.0,66300.0,22100.0,0.0,0.0,0.0
2025-02-13,341910.0,321242.0,250600.0,36800.0,113200.0,67800.0,0.0,0.0,0.0,0.0
2025-02-14,342710.0,325342.0,255000.0,124300.0,115100.0,68500.0,0.0,0.0,0.0,0.0
2025-02-17,348610.0,328042.0,255600.0,111100.0,115500.0,0.0,0.0,0.0,0.0,0.0
2025-02-18,351110.0,329142.0,256200.0,109500.0,0.0,65400.0,0.0,0.0,0.0,0.0
2025-02-19,352910.0,330742.0,258900.0,100000.0,116300.0,0.0,0.0,0.0,0.0,0.0
2025-02-20,353410.0,332442.0,259400.0,96700.0,117100.0,0.0,0.0,0.0,0.0,0.0
2025-02-21,359910.0,335842.0,263100.0,81800.0,117500.0,66100.0,0.0,0.0,0.0,0.0
2025-02-24,362210.0,340042.0,269200.0,68000.0,118000.0,0.0,0.0,0.0,0.0,0.0
2025-02-25,363310.0,343042.0,272500.0,153200.0,121500.0,0.0,24100.0,0.0,0.0,0.0
2025-02-26,373410.0,351542.0,281900.0,118100.0,125500.0,66800.0,25100.0,0.0,0.0,0.0
2025-02-27,386210.0,357342.0,284200.0,190000.0,129700.0,66900.0,26100.0,0.0,0.0,0.0
2025-02-28,401810.0,366742.0,291000.0,131600.0,138300.0,73400.0,27500.0,0.0,0.0,0.0
2025-03-03,404610.0,371642.0,293700.0,115700.0,141400.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,421010.0,377042.0,296100.0,281600.0,147600.0,74400.0,28400.0,0.0,0.0,0.0
2025-03-05,429010.0,390842.0,303000.0,241800.0,148500.0,74500.0,35600.0,0.0,0.0,0.0
2025-03-06,447410.0,391442.0,313400.0,204900.0,151000.0,74600.0,38200.0,0.0,0.0,0.0
2025-03-07,449210.0,392942.0,316900.0,194600.0,151500.0,74800.0,39100.0,0.0,0.0,0.0
2025-03-10,451910.0,397042.0,321700.0,281300.0,151900.0,0.0,0.0,0.0,0.0,0.0
2025-03-11,459210.0,401342.0,318500.0,267000.0,155200.0,0.0,0.0,0.0,0.0,0.0
2025-03-13,480510.0,418342.0,326400.0,194400.0,167500.0,75000.0,40100.0,0.0,0.0,0.0
2025-03-14,487610.0,423242.0,329400.0,258700.0,169800.0,78600.0,41800.0,0.0,0.0,53700.0
2025-03-17,490410.0,426242.0,332300.0,247300.0,171600.0,0.0,38100.0,0.0,0.0,0.0
2025-03-18,505910.0,430442.0,335700.0,221100.0,174600.0,76200.0,0.0,0.0,0.0,0.0
2025-03-19,506410.0,432842.0,337300.0,215000.0,176900.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,510210.0,432642.0,338900.0,204800.0,177000.0,76300.0,0.0,0.0,0.0,0.0
2025-03-21,515410.0,431342.0,342200.0,194500.0,178100.0,0.0,39300.0,0.0,0.0,0.0
2025-03-26,521910.0,439742.0,348000.0,273800.0,178400.0,76400.0,0.0,0.0,0.0,0.0
2025-03-27,520710.0,441042.0,349300.0,272700.0,178800.0,76100.0,0.0,0.0,0.0,0.0
2025-03-28,522010.0,450742.0,350900.0,252100.0,179200.0,76200.0,0.0,0.0,0.0,0.0
2025-03-31,538410.0,463842.0,353300.0,208300.0,183000.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,544510.0,465942.0,355000.0,287800.0,183600.0,76900.0,0.0,0.0,0.0,0.0
2025-04-02,551410.0,474742.0,358700.0,262000.0,185100.0,77200.0,42100.0,0.0,0.0,0.0
2025-04-03,553410.0,476742.0,362300.0,252500.0,185700.0,0.0,0.0,0.0,0.0,0.0
2025-04-07,553710.0,477242.0,363300.0,249100.0,185800.0,0.0,0.0,0.0,0.0,0.0
2025-04-08,565910.0,469442.0,370000.0,229800.0,191300.0,0.0,0.0,0.0,0.0,0.0
2025-04-09,573010.0,475442.0,375000.0,204400.0,199300.0,80700.0,0.0,0.0,0.0,0.0
2025-04-10,577210.0,501342.0,375200.0,270600.0,199500.0,0.0,0.0,0.0,0.0,0.0
2025-04-11,590510.0,508942.0,383800.0,234000.0,200700.0,81700.0,0.0,0.0,0.0,0.0
2025-04-14,592910.0,510142.0,384100.0,229300.0,201000.0,0.0,0.0,0.0,0.0,0.0
2025-04-15,594610.0,512342.0,387700.0,219500.0,202900.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,595110.0,513242.0,394600.0,205900.0,203600.0,85800.0,0.0,0.0,0.0,0.0
2025-04-17,595610.0,516342.0,395700.0,198400.0,205700.0,0.0,0.0,0.0,0.0,0.0
2025-04-22,598210.0,519942.0,398400.0,186800.0,206100.0,86900.0,0.0,0.0,0.0,0.0
2025-04-23,600110.0,520942.0,400300.0,179500.0,207200.0,87200.0,0.0,0.0,0.0,0.0
2025-04-24,604010.0,528142.0,403700.0,153200.0,208300.0,87400.0,0.0,0.0,0.0,0.0
2025-04-25,604610.0,0.0,404000.0,150000.0,208600.0,87500.0,0.0,0.0,0.0,0.0
2025-04-28,603610.0,527142.0,407100.0,148100.0,210900.0,0.0,0.0,0.0,0.0,0.0
2025-04-29,603910.0,531542.0,407500.0,244300.0,210700.0,0.0,0.0,0.0,0.0,0.0
2025-04-30,604110.0,538942.0,408600.0,234700.0,211100.0,88100.0,0.0,0.0,0.0,0.0
2025-05-02,605910.0,549242.0,410400.0,218200.0,211400.0,89100.0,0.0,0.0,0.0,0.0
