date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,LIVERMORE HOLDINGS LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,QUAM SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,EVERBRIGHT SECURITIES INVESTMENT,REALINK FINANCIAL TRADE LTD,TOTAL_CCASS_PCT
2024-08-16,2.987,2.5,2.4185000000000003,0.9035,0.0,0.67,0.611,0.4915,10.5815
2024-08-20,2.987,2.5,2.4185000000000003,0.8875,0.0,0.67,0.627,0.4915,10.5815
2024-08-23,2.987,2.516,2.4185000000000003,0.8875,0.0,0.67,0.627,0.4915,10.5975
2024-08-26,2.987,2.516,2.4185000000000003,0.8875,0.0,0.66,0.627,0.4915,10.5875
2024-08-28,2.987,2.616,2.4185000000000003,0.8855,0.0,0.6385,0.627,0.49100000000000005,10.663499999999999
2024-08-29,2.987,2.616,2.4185000000000003,0.8855,0.0,0.6395,0.627,0.49100000000000005,10.6645
2024-09-02,2.9749999999999996,2.616,2.4185000000000003,0.8855,0.0,0.604,0.627,0.49100000000000005,10.617
2024-09-11,2.9749999999999996,2.616,2.4185000000000003,0.885,0.0,0.6045,0.627,0.49100000000000005,10.617
2024-09-12,2.9749999999999996,2.616,2.4185000000000003,0.885,0.0,0.601,0.627,0.49100000000000005,10.6135
2024-09-19,2.9749999999999996,2.616,2.4185000000000003,0.885,0.0,0.603,0.627,0.49100000000000005,10.6155
2024-09-24,2.9749999999999996,2.616,2.4185000000000003,0.885,0.0,0.6015,0.627,0.49100000000000005,10.613999999999999
2024-09-26,2.9749999999999996,2.6134999999999997,2.4185000000000003,0.885,0.0,0.602,0.627,0.49100000000000005,10.612
2024-09-27,2.9749999999999996,2.6134999999999997,2.4185000000000003,0.885,0.0,0.602,0.63,0.49100000000000005,10.615
2024-09-30,2.9749999999999996,2.6155,2.4185000000000003,0.885,0.0,0.6094999999999999,0.634,0.49100000000000005,10.6285
2024-10-02,2.9749999999999996,2.6100000000000003,2.4145,0.885,0.0,0.5895,0.638,0.49100000000000005,10.603
2024-10-04,2.971,2.6100000000000003,2.4145,0.8875,0.0,0.59,0.638,0.49100000000000005,10.602
2024-10-07,2.9739999999999998,2.618,2.4145,0.8875,0.0,0.5925,0.626,0.49100000000000005,10.6035
2024-10-08,2.9575,2.618,2.4105000000000003,0.8710000000000001,0.0,0.6335000000000001,0.626,0.49100000000000005,10.6075
2024-10-09,2.9575,2.6255,2.4105000000000003,0.8710000000000001,0.8234999999999999,0.6295000000000001,0.626,0.49049999999999994,11.434
2024-10-10,2.9595,2.6310000000000002,2.4105000000000003,0.8710000000000001,0.8234999999999999,0.6265,0.626,0.49049999999999994,11.4385
2024-10-14,2.9535,2.6310000000000002,2.4105000000000003,0.8710000000000001,0.8234999999999999,0.632,0.626,0.49049999999999994,11.437999999999999
2024-10-15,2.9795,2.64,2.4105000000000003,0.8534999999999999,0.8234999999999999,0.6174999999999999,0.626,0.4855,11.436
2024-10-16,2.9795,2.64,2.4105000000000003,0.8534999999999999,0.8234999999999999,0.6255000000000001,0.618,0.4855,11.436
2024-10-22,2.9795,2.6470000000000002,2.4105000000000003,0.8534999999999999,0.8234999999999999,0.6195,0.618,0.4855,11.437
2024-10-23,2.9795,2.6470000000000002,2.4105000000000003,0.8534999999999999,0.8234999999999999,0.6215,0.618,0.4985,11.452
2024-10-29,2.9795,2.645,2.4105000000000003,0.8524999999999999,0.8234999999999999,0.625,0.618,0.4985,11.4525
2024-10-31,2.9855,2.654,2.4105000000000003,0.852,0.8234999999999999,0.6204999999999999,0.612,0.4945,11.4525
2024-11-08,2.9855,2.6545,2.4105000000000003,0.852,0.8234999999999999,0.62,0.612,0.4945,11.4525
2024-11-11,2.9855,2.6545,2.4105000000000003,0.852,0.8234999999999999,0.6224999999999999,0.612,0.4945,11.455
2024-11-14,2.9855,2.6505,2.4105000000000003,0.852,0.8234999999999999,0.6265,0.612,0.4945,11.455
2024-11-15,2.9855,2.6505,2.4105000000000003,0.852,0.8234999999999999,0.6275000000000001,0.612,0.4945,11.456
2024-11-18,2.9855,2.6505,2.4105000000000003,0.852,0.8234999999999999,0.639,0.612,0.49950000000000006,11.4725
2024-11-26,2.9855,2.651,2.4105000000000003,0.852,0.8234999999999999,0.657,0.612,0.5085000000000001,11.5
2024-12-04,2.9855,2.657,2.4105000000000003,0.852,0.8234999999999999,0.654,0.612,0.5085000000000001,11.503
2024-12-10,2.9855,2.6599999999999997,2.4105000000000003,0.852,0.8234999999999999,0.651,0.612,0.5085000000000001,11.503
2024-12-11,2.9855,2.6605,2.4105000000000003,0.852,0.8234999999999999,0.6459999999999999,0.612,0.5085000000000001,11.4985
2024-12-16,2.9855,2.6605,2.4105000000000003,0.8645,0.8234999999999999,0.64,0.612,0.5085000000000001,11.505
2024-12-18,2.9855,2.6575,2.4105000000000003,0.8645,0.8234999999999999,0.6435,0.612,0.5085000000000001,11.5055
2025-01-06,2.9855,2.6575,2.4105000000000003,0.861,0.8234999999999999,0.6459999999999999,0.612,0.5085000000000001,11.5045
2025-01-08,2.9755,2.6615,2.4105000000000003,0.861,0.8234999999999999,0.6455,0.612,0.5085000000000001,11.498
2025-01-10,2.9755,2.6615,2.4105000000000003,0.861,0.8234999999999999,0.649,0.612,0.5085000000000001,11.5015
2025-01-13,2.9755,2.6615,2.4105000000000003,0.861,0.8234999999999999,0.647,0.612,0.5085000000000001,11.4995
2025-01-14,2.9755,2.6615,2.4105000000000003,0.857,0.8234999999999999,0.652,0.612,0.5085000000000001,11.500499999999999
2025-01-15,2.9755,2.6615,2.4105000000000003,0.857,0.8234999999999999,0.6575,0.612,0.5085000000000001,11.506
2025-01-20,2.9555000000000002,2.7615,2.4105000000000003,0.857,0.8234999999999999,0.6375,0.586,0.5245,11.556
2025-01-21,2.9555000000000002,2.7415,2.4105000000000003,0.857,0.8234999999999999,0.6505000000000001,0.586,0.5285,11.552999999999999
2025-01-22,2.9555000000000002,2.7575,2.395,0.857,0.8234999999999999,0.6525000000000001,0.586,0.5285,11.5555
2025-01-23,2.9555000000000002,2.7575,2.391,0.857,0.8274999999999999,0.652,0.586,0.5285,11.555
2025-01-24,2.9555000000000002,2.7575,2.391,0.857,0.8274999999999999,0.653,0.586,0.5285,11.556
2025-01-27,2.9555000000000002,2.7575,2.387,0.857,0.8274999999999999,0.653,0.586,0.5285,11.552
2025-02-03,2.9555000000000002,2.7575,2.387,0.857,0.8274999999999999,0.653,0.586,0.5315000000000001,11.555
2025-02-04,2.959,2.7575,2.379,0.847,0.8274999999999999,0.658,0.586,0.541,11.555
2025-02-05,2.959,2.7575,2.3765,0.847,0.8274999999999999,0.6605,0.586,0.541,11.555
2025-02-06,2.959,2.7635,2.3765,0.847,0.8274999999999999,0.6649999999999999,0.586,0.5345,11.559
2025-02-10,2.954,2.7635,2.3725,0.847,0.8274999999999999,0.655,0.586,0.5305,11.536
2025-02-11,2.954,2.7635,2.3605,0.847,0.8314999999999999,0.655,0.586,0.5305,11.527999999999999
2025-02-12,2.954,2.7635,2.3565,0.847,0.8314999999999999,0.655,0.586,0.5305,11.524
2025-02-13,2.954,2.7425,2.3565,0.847,0.8314999999999999,0.6555,0.586,0.5305,11.503499999999999
2025-02-14,2.926,2.7365,2.3565,0.847,0.8314999999999999,0.6725,0.586,0.5305,11.4865
2025-02-17,2.926,2.7365,2.3475,0.847,0.8314999999999999,0.6705,0.586,0.5305,11.4755
2025-02-18,2.926,2.7365,2.3435,0.847,0.8314999999999999,0.672,0.586,0.5305,11.472999999999999
2025-02-19,2.926,2.7365,2.3435,0.8435,0.8314999999999999,0.6669999999999999,0.586,0.5305,11.4645
2025-02-20,2.926,2.7445,2.3435,0.8435,0.8314999999999999,0.658,0.586,0.5305,11.4635
2025-02-21,2.926,2.7445,2.3355,0.8435,0.8314999999999999,0.659,0.586,0.5305,11.4565
2025-02-24,2.926,2.7445,2.3355,0.8435,0.8314999999999999,0.654,0.586,0.5245,11.445500000000001
2025-02-25,2.926,2.7445,2.3314999999999997,0.8435,0.8314999999999999,0.654,0.586,0.5245,11.4415
2025-02-26,2.926,2.7445,2.3314999999999997,0.8435,0.8314999999999999,0.6675,0.586,0.5245,11.455
2025-02-28,2.926,2.727,2.3314999999999997,0.8435,0.8314999999999999,0.6635,0.586,0.526,11.434999999999999
2025-03-03,2.926,2.7369999999999997,2.3234999999999997,0.8435,0.8314999999999999,0.6625,0.586,0.526,11.436
2025-03-05,2.924,2.7369999999999997,2.3234999999999997,0.8435,0.8314999999999999,0.6685,0.586,0.526,11.44
2025-03-06,2.924,2.7369999999999997,2.3234999999999997,0.8435,0.8314999999999999,0.668,0.586,0.526,11.439499999999999
2025-03-07,2.924,2.7369999999999997,2.3175,0.8435,0.8314999999999999,0.6635,0.586,0.526,11.429
2025-03-13,2.924,2.7279999999999998,2.3175,0.8435,0.8314999999999999,0.6695000000000001,0.586,0.526,11.426
2025-03-17,2.924,2.7275,2.3175,0.8435,0.8314999999999999,0.6995,0.586,0.5329999999999999,11.4625
2025-03-18,2.924,2.7275,2.3175,0.8435,0.8314999999999999,0.6945,0.586,0.5329999999999999,11.4575
2025-03-20,2.924,2.7275,2.3175,0.8415,0.8314999999999999,0.74,0.586,0.5329999999999999,11.501
2025-03-21,2.924,2.778,2.3165,0.8415,0.8314999999999999,0.74,0.586,0.5329999999999999,11.5505
2025-03-25,2.924,2.778,2.3165,0.8415,0.8314999999999999,0.7425,0.586,0.5329999999999999,11.552999999999999
2025-04-07,2.924,2.778,2.314,0.8415,0.8314999999999999,0.743,0.586,0.5329999999999999,11.551
2025-04-09,2.924,2.778,2.314,0.8415,0.8314999999999999,0.742,0.586,0.5329999999999999,11.55
2025-04-14,2.924,2.776,2.31,0.8415,0.8314999999999999,0.748,0.586,0.5329999999999999,11.55
2025-04-15,2.924,2.876,2.31,0.8415,0.8314999999999999,0.6825,0.5780000000000001,0.5105000000000001,11.554
2025-04-16,2.924,2.876,2.3085,0.8415,0.8314999999999999,0.6839999999999999,0.5780000000000001,0.5105000000000001,11.554
2025-04-17,2.924,2.8819999999999997,2.3085,0.8410000000000001,0.8314999999999999,0.6785,0.5780000000000001,0.5105000000000001,11.554
