date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,BNP PARIBAS,DBS BANK (HONG KONG) LTD,HANG SENG BANK LTD
2024-04-29,2030623137.0,1602493739.0,733253649.0,405210366.0,305475055.0,257280304.0,146243976.0,107749196.0,118593392.0,565564993.0
2024-04-30,2032807450.0,1597182539.0,732196900.0,403334318.0,304588323.0,257808346.0,146042677.0,112364880.0,118551392.0,565572979.0
2024-05-02,2028125680.0,1597360139.0,730572142.0,405533377.0,305744773.0,259825296.0,146041877.0,112446175.0,118316056.0,565552979.0
2024-05-03,2024712465.0,1598492539.0,727159680.0,404219878.0,303635931.0,256137693.0,146318277.0,111239917.0,118064695.0,565539877.0
2024-05-06,2021979586.0,0.0,722688615.0,405490196.0,304632231.0,258260846.0,146364677.0,107021316.0,117958714.0,565550479.0
2024-05-07,2020966790.0,0.0,720905454.0,403837836.0,305421722.0,257832389.0,146410677.0,107802958.0,117906657.0,565550331.0
2024-05-08,2024242175.0,1592517339.0,720717978.0,403190798.0,305172634.0,257249887.0,0.0,109838935.0,117919745.0,565547310.0
2024-05-09,2022048799.0,1587443739.0,720146271.0,391768449.0,305291788.0,279333644.0,0.0,127032683.0,117894345.0,565549974.0
2024-05-10,2037207392.0,1575559739.0,719317326.0,390814593.0,304315529.0,279688498.0,146714677.0,125301325.0,117782105.0,565670318.0
2024-05-13,2057562354.0,1562214139.0,720312152.0,391382388.0,304287884.0,284898603.0,146781077.0,124324803.0,117692902.0,565465518.0
2024-05-14,2060751239.0,1553178939.0,718712670.0,392561506.0,312041474.0,294057823.0,146871242.0,126558786.0,117413557.0,565463491.0
2024-05-16,2063941106.0,1553209339.0,717348247.0,395059083.0,315345095.0,294861274.0,146786042.0,128351169.0,117390357.0,565756107.0
2024-05-17,2063094328.0,1553371097.0,715642390.0,415971916.0,316691127.0,288389517.0,146803207.0,111728915.0,117036254.0,565816237.0
2024-05-20,2056923101.0,1553651097.0,713378761.0,418061868.0,317201326.0,288307938.0,146662407.0,113547724.0,116978745.0,565817817.0
2024-05-21,2042112594.0,1551691493.0,712368359.0,418478956.0,317023054.0,291281090.0,146167207.0,112685802.0,118056705.0,565362683.0
2024-05-22,2046341280.0,1550829893.0,711252571.0,420751075.0,317007173.0,293003314.0,146008407.0,110714102.0,118046575.0,564328970.0
2024-05-23,2048202199.0,1550540693.0,710761513.0,426103563.0,316997769.0,293082477.0,146176407.0,109713009.0,118032462.0,564125799.0
2024-05-24,2047211193.0,1550596293.0,710108560.0,430527438.0,316647320.0,293280030.0,146176807.0,113411663.0,117871661.0,564028124.0
2024-05-27,2049363162.0,1550551093.0,709795792.0,424223895.0,328448195.0,292069110.0,0.0,112548902.0,117883052.0,564048382.0
2024-05-28,2054750403.0,1550301493.0,708112239.0,425720690.0,316689845.0,290201207.0,146174859.0,111923166.0,117851535.0,563973766.0
2024-05-29,2057666560.0,1550642693.0,709197356.0,426011806.0,316798535.0,289986366.0,0.0,110898977.0,117789816.0,563600939.0
2024-05-30,2061516989.0,1550557093.0,708984848.0,428626126.0,312958566.0,288990712.0,146096459.0,111201631.0,117781288.0,563396839.0
2024-05-31,2066477717.0,1550409893.0,708835609.0,432334060.0,314001090.0,289064478.0,146384859.0,107680260.0,117783595.0,563563260.0
2024-06-03,2069396095.0,1550293093.0,711634908.0,424040462.0,312735442.0,290868009.0,146382859.0,107953363.0,117794395.0,563566034.0
2024-06-04,2034797155.0,1550365493.0,711436267.0,420824409.0,313630390.0,290845793.0,0.0,110215428.0,117794204.0,563609031.0
2024-06-05,2036257101.0,1550545093.0,710882432.0,423897092.0,314553289.0,291564181.0,146219799.0,109930049.0,117770604.0,563405142.0
2024-06-06,2039491008.0,1550747093.0,710768711.0,424962987.0,315820460.0,292112692.0,0.0,109977367.0,117782554.0,563221243.0
2024-06-07,2042718092.0,1550370293.0,710844796.0,424954837.0,314552424.0,292745522.0,146103999.0,110138298.0,117712326.0,563622539.0
2024-06-11,2044704467.0,1550163093.0,710549174.0,421156020.0,314390957.0,272761390.0,146019599.0,118224015.0,117700020.0,563676238.0
2024-06-12,2032271273.0,1549490693.0,710167784.0,428307056.0,319527747.0,273180349.0,142727999.0,116649363.0,117696020.0,563674473.0
2024-06-13,2035873398.0,1549528693.0,710169634.0,419970153.0,320031326.0,272115790.0,142751918.0,116892189.0,117690017.0,563281869.0
2024-06-14,2040063964.0,1549697093.0,710666406.0,419376140.0,320173053.0,270510610.0,142626718.0,117372184.0,117705440.0,563227064.0
2024-06-17,2045066940.0,1549429093.0,710795998.0,422967272.0,314282424.0,269950415.0,142458318.0,117515684.0,117708640.0,563288812.0
2024-06-18,2022787778.0,1549323493.0,710847835.0,416671878.0,314186080.0,269689286.0,142372318.0,116745541.0,117717040.0,563268486.0
2024-06-19,2026382542.0,1549484693.0,710860343.0,418975046.0,313139430.0,268757095.0,142371918.0,116411141.0,117711850.0,563275405.0
2024-06-20,2029291951.0,1549631493.0,710742886.0,416340503.0,311980994.0,268075499.0,142407918.0,116524921.0,117670237.0,563224195.0
2024-06-21,2031167793.0,1549933893.0,710377733.0,414157046.0,313506390.0,270553263.0,142677518.0,116922382.0,117636237.0,563247168.0
2024-06-24,2034245159.0,1549037893.0,710251152.0,414087742.0,312405927.0,268755898.0,142593118.0,116753892.0,117590621.0,563238062.0
2024-06-25,2038698143.0,1547805493.0,710405138.0,416285324.0,311697707.0,269846445.0,0.0,115849661.0,117591821.0,563262078.0
2024-06-26,2037137248.0,1545534693.0,710966167.0,421113215.0,311815080.0,267942209.0,142589870.0,116653343.0,0.0,563243918.0
2024-06-27,2033638266.0,1543244693.0,711008791.0,417752696.0,311746812.0,267730945.0,0.0,119234277.0,117548812.0,563249365.0
2024-06-28,2041528572.0,1541481427.0,710829171.0,415845356.0,311761710.0,268670317.0,142468270.0,114402038.0,117513208.0,563244215.0
2024-07-02,2042559985.0,1539875827.0,710870499.0,414956826.0,311974081.0,269338888.0,0.0,111686552.0,117515208.0,563265815.0
2024-07-03,2015620185.0,1538197927.0,710644198.0,402593001.0,311869040.0,268068649.0,142344660.0,119141293.0,117503383.0,563224715.0
2024-07-04,2013502424.0,1535391927.0,710438444.0,403487114.0,311676505.0,267218654.0,0.0,118418498.0,117486330.0,563224049.0
2024-07-05,2014335631.0,1533473127.0,710399804.0,404406932.0,311393183.0,266851083.0,142335860.0,118082235.0,117507930.0,563134338.0
2024-07-08,2015927719.0,1531055026.0,709962800.0,410803854.0,311370294.0,277325128.0,142447860.0,119422148.0,117396023.0,563148577.0
2024-07-09,2010388410.0,1528161026.0,710443929.0,414992614.0,311359961.0,276462702.0,142724660.0,116871223.0,117416456.0,563175036.0
2024-07-10,2010257489.0,1524799426.0,711423370.0,412257176.0,311613073.0,269952872.0,142725780.0,119461024.0,117453130.0,563133245.0
2024-07-11,2006542151.0,1520252626.0,711812729.0,409082013.0,311815701.0,270779916.0,0.0,120777530.0,117487463.0,563136152.0
2024-07-12,2007559583.0,1517873026.0,711982385.0,415740275.0,311430635.0,270194886.0,142640980.0,117812285.0,117487082.0,563111551.0
2024-07-15,2009659107.0,1515909826.0,712149606.0,411950750.0,311396355.0,270157093.0,142468980.0,118446087.0,117479482.0,563117418.0
2024-07-16,1981677343.0,1512218226.0,711988028.0,412009519.0,311298516.0,270361553.0,142303056.0,120889125.0,118668687.0,563194674.0
2024-07-17,1985013049.0,1510979426.0,712060109.0,411865187.0,311401121.0,270335811.0,142263856.0,120916574.0,118685087.0,563214923.0
2024-07-18,1988074619.0,1509939026.0,711922575.0,412711324.0,311395090.0,270314116.0,142309456.0,120087441.0,118779955.0,563637283.0
2024-07-19,1990412188.0,1508965826.0,712086439.0,412593916.0,310877002.0,270794472.0,142285456.0,120317626.0,118799955.0,563709411.0
2024-07-22,2027533845.0,1507977426.0,711902114.0,410395008.0,310870657.0,270943771.0,142229056.0,122194432.0,118680515.0,563748557.0
2024-07-23,2033836261.0,1504650626.0,711438874.0,406875595.0,310561401.0,269237415.0,142239456.0,121018563.0,118718515.0,563754557.0
2024-07-24,2038180326.0,1503400226.0,710140509.0,407332896.0,310393773.0,269030017.0,0.0,120305113.0,118711915.0,563692422.0
2024-07-25,2041431622.0,1502053026.0,710289021.0,409113322.0,308857658.0,270334217.0,0.0,119636509.0,118740715.0,563625475.0
2024-07-26,2042246690.0,1500631426.0,710420642.0,407656133.0,308669544.0,270263317.0,0.0,113599315.0,118709115.0,563649059.0
2024-07-29,2044357509.0,1498063026.0,710409599.0,406544329.0,308484935.0,269949187.0,0.0,113305651.0,118701516.0,563646357.0
2024-07-30,2048008560.0,1496589426.0,710317851.0,407897248.0,308384908.0,269863235.0,0.0,112496738.0,118709516.0,563696914.0
2024-07-31,2016782295.0,1494505426.0,710054582.0,408814451.0,308282197.0,273102043.0,142102256.0,113844505.0,118653162.0,563657265.0
2024-08-01,2013798901.0,1492546626.0,710280878.0,405106584.0,308101398.0,272492823.0,141667856.0,115829914.0,118659742.0,563655740.0
2024-08-02,2005130053.0,1486303026.0,707268806.0,419776588.0,308763856.0,274592542.0,141508256.0,117502966.0,118544851.0,0.0
2024-08-05,2004559462.0,1482211026.0,706846586.0,420911525.0,310348501.0,278555944.0,141661856.0,112494675.0,118552982.0,0.0
2024-08-06,2013359485.0,1474569426.0,710518384.0,406359103.0,311965999.0,273378141.0,141450656.0,111534749.0,118694578.0,564522133.0
2024-08-07,2025570764.0,1464222684.0,713160920.0,404603056.0,307852604.0,271300114.0,140611456.0,108608025.0,118758978.0,564563629.0
2024-08-08,2029163852.0,1460755484.0,713806458.0,405422322.0,307283602.0,266898234.0,140527456.0,108727456.0,118806804.0,564574518.0
2024-08-09,2037272874.0,1457995484.0,714370818.0,405003176.0,307264104.0,261958403.0,140171856.0,108425457.0,118825661.0,564609300.0
2024-08-12,2063533650.0,1455323084.0,714725247.0,406606400.0,305438360.0,261532564.0,140264828.0,107313081.0,118842461.0,564578708.0
2024-08-13,2062670391.0,1453809478.0,714692924.0,402353753.0,305863774.0,262023312.0,140446828.0,109082475.0,118846061.0,564609241.0
2024-08-14,2065789921.0,1452499878.0,713162463.0,399151159.0,306968926.0,261585210.0,140498828.0,110112202.0,118833904.0,564625896.0
2024-08-15,2064491549.0,1451759878.0,713717581.0,400057276.0,306956535.0,265898770.0,0.0,112141132.0,118831582.0,564610646.0
2024-08-16,2062750265.0,1450233478.0,713616437.0,394271436.0,304097015.0,271223579.0,0.0,110649196.0,118820925.0,564615056.0
2024-08-19,2067652162.0,1448235078.0,713276793.0,404475942.0,304046605.0,272669807.0,0.0,108027480.0,118794879.0,564607047.0
2024-08-20,2041243227.0,1447205878.0,712425755.0,405494141.0,304498746.0,275284631.0,140749228.0,107592116.0,118774913.0,564607242.0
2024-08-21,2041795642.0,1447341878.0,711990379.0,408818912.0,304463371.0,276819721.0,140748028.0,107957959.0,118760981.0,564694167.0
2024-08-22,2045127314.0,1448223478.0,711517113.0,405975037.0,304420274.0,276780538.0,140535228.0,108460768.0,118728181.0,564298559.0
2024-08-23,2046393903.0,1448360278.0,711468213.0,405792480.0,304247079.0,277370632.0,0.0,108638193.0,118748911.0,564285726.0
2024-08-26,2047487350.0,1448885478.0,711257269.0,405246684.0,304806868.0,276836605.0,140476571.0,108150266.0,118750911.0,564278504.0
2024-08-27,2047500267.0,1449396678.0,711102989.0,405268252.0,305754206.0,276908287.0,0.0,108397594.0,118733602.0,564283798.0
2024-08-28,2049630030.0,1449611078.0,710445571.0,403701423.0,305615231.0,276868492.0,140457199.0,108917697.0,118474672.0,563939393.0
2024-08-29,2054329823.0,1450101878.0,709411594.0,402543935.0,304068024.0,277134097.0,0.0,109080348.0,118404452.0,564063777.0
2024-08-30,2052912733.0,1450539478.0,707201633.0,408670019.0,303887761.0,278064150.0,140455199.0,108497177.0,118336743.0,564062577.0
2024-09-02,2059567475.0,1450590278.0,706040091.0,409146788.0,304374802.0,279181369.0,0.0,107668211.0,118061603.0,564072393.0
2024-09-03,2035703741.0,1451058678.0,706844029.0,404338679.0,304159241.0,278909115.0,0.0,107758824.0,117821213.0,564073599.0
2024-09-04,2044120172.0,1451129478.0,706582922.0,406964474.0,303482028.0,276189226.0,140459497.0,108217736.0,117805548.0,564082661.0
2024-09-05,2048000897.0,1451063078.0,706308822.0,409009682.0,302568082.0,276098185.0,0.0,107805675.0,117778840.0,564119993.0
2024-09-09,2052622785.0,1450431878.0,706323116.0,408537494.0,303139065.0,275158485.0,140458297.0,107066852.0,117767240.0,564118326.0
2024-09-10,2052653838.0,1450271078.0,706189948.0,408445467.0,303141767.0,275053897.0,140462297.0,107576390.0,117765240.0,564123654.0
2024-09-11,2056160830.0,1448049078.0,706353882.0,408268014.0,304007738.0,271292226.0,137958697.0,109195015.0,117768290.0,563966650.0
2024-09-12,2057556769.0,1447733878.0,706133259.0,408708226.0,303442468.0,271405151.0,137907097.0,109489822.0,117765866.0,563990513.0
2024-09-13,2057493864.0,1448235878.0,706244389.0,411032673.0,303687655.0,270952707.0,0.0,112489502.0,117821152.0,563871987.0
2024-09-16,2055472132.0,1448305478.0,705996977.0,413092264.0,304743558.0,273568758.0,137802297.0,111310703.0,117808112.0,563869500.0
2024-09-17,2024469354.0,1448100278.0,705629521.0,416225323.0,304460022.0,274857562.0,0.0,108562341.0,117775312.0,563894156.0
2024-09-19,2023899922.0,0.0,705578626.0,417575143.0,304413916.0,274895391.0,137774232.0,108268514.0,117783712.0,563972819.0
2024-09-20,2024044576.0,0.0,704573402.0,417049611.0,303973886.0,274843391.0,138379543.0,109271098.0,117776912.0,563992158.0
2024-09-23,2026745899.0,1448012266.0,703093861.0,416137242.0,303554806.0,275694448.0,138193905.0,108810241.0,117723792.0,563954328.0
2024-09-24,2031996153.0,1447087329.0,700952518.0,420121292.0,302883774.0,273057758.0,137975905.0,109336102.0,117663839.0,563940445.0
2024-09-25,2040664362.0,1447429729.0,700163416.0,417479519.0,302558228.0,269512055.0,137967905.0,109833347.0,117647159.0,563671791.0
2024-09-26,2039438215.0,1447391724.0,695741945.0,425580165.0,304174519.0,269986776.0,136863105.0,112843908.0,117325610.0,563698281.0
2024-09-27,2044188511.0,1447264924.0,693921998.0,428856948.0,303527012.0,269469250.0,136506305.0,111466309.0,117255868.0,563407876.0
2024-09-30,2042427147.0,1448083397.0,692544595.0,434786907.0,301280042.0,276251714.0,135656088.0,109228223.0,117216416.0,563417661.0
2024-10-02,2020894965.0,1448596592.0,689386422.0,433201102.0,304370882.0,275607810.0,134489988.0,108751832.0,117102081.0,563516476.0
2024-10-03,2028829283.0,1449065792.0,684979917.0,434134370.0,305314936.0,273542081.0,134337188.0,109506569.0,118714699.0,563531676.0
2024-10-04,2028244326.0,0.0,684635964.0,439989790.0,304124600.0,272497444.0,131748444.0,109621009.0,118140344.0,563651366.0
2024-10-07,2034382310.0,0.0,683930811.0,437706827.0,302788475.0,272962696.0,131667664.0,111343021.0,118029443.0,563753227.0
2024-10-08,2034617823.0,0.0,683405518.0,442488989.0,299405587.0,272093426.0,132058028.0,111815304.0,117690156.0,563704558.0
2024-10-09,2039327586.0,0.0,683535658.0,441938633.0,299473370.0,271266847.0,131956028.0,111093067.0,117677623.0,563724408.0
2024-10-10,2037332652.0,1449069792.0,684773028.0,432800687.0,302241504.0,275865090.0,0.0,107274735.0,117659554.0,563776758.0
2024-10-14,2055041031.0,1449429792.0,685523136.0,408247756.0,303214560.0,271968750.0,129667645.0,114013488.0,117713154.0,563779571.0
2024-10-15,2058564502.0,1450551392.0,685904351.0,411411054.0,304549477.0,271752128.0,126911245.0,108559627.0,117705809.0,563768165.0
2024-10-16,2025958923.0,1450424992.0,686123722.0,411955268.0,304228028.0,271308294.0,125693245.0,108517034.0,117684479.0,563809919.0
2024-10-17,2033293278.0,1451329344.0,686493131.0,408378558.0,304433982.0,271289185.0,121324445.0,109201940.0,117703279.0,563862677.0
2024-10-18,2034372119.0,1451469344.0,686632549.0,401197597.0,304943682.0,271142399.0,121284045.0,111544912.0,117702479.0,563847310.0
2024-10-21,2033519079.0,1451601344.0,686726303.0,400052546.0,304575876.0,271051444.0,121283645.0,112654836.0,117703679.0,563862910.0
2024-10-22,2033437220.0,1451976144.0,686401426.0,399931152.0,304521850.0,271574423.0,121307245.0,113468002.0,117672419.0,563832281.0
2024-10-23,2032111475.0,1450636544.0,686402671.0,400895470.0,304620972.0,271797370.0,121654445.0,115231987.0,117616227.0,563855244.0
2024-10-24,2018801419.0,1450004944.0,686613715.0,416464799.0,304695583.0,271623191.0,122665500.0,113121977.0,117647905.0,563856462.0
2024-10-25,2020005936.0,1450600144.0,686453395.0,417934070.0,303339448.0,271350924.0,122666916.0,112250009.0,117637668.0,563869419.0
2024-10-28,2020225249.0,1450792144.0,686402206.0,417763204.0,303388100.0,271482084.0,122589716.0,110619436.0,117629061.0,563987388.0
2024-10-29,2010317769.0,1450680544.0,686150517.0,426869656.0,303378711.0,271669723.0,122584616.0,110570630.0,117563548.0,564017931.0
2024-10-30,2001336663.0,1450932544.0,686198491.0,428153611.0,303321443.0,270953580.0,122511907.0,118948100.0,117583148.0,564023391.0
2024-10-31,1979884623.0,1451558544.0,679386939.0,439075447.0,301825703.0,269048772.0,122554307.0,119391204.0,117342254.0,564063010.0
2024-11-01,1978638695.0,1451968944.0,677953834.0,439789752.0,300968862.0,272588584.0,122865645.0,118808377.0,117316287.0,564067100.0
2024-11-04,1989989535.0,1452611344.0,676325089.0,437144806.0,300773642.0,270848160.0,0.0,118494236.0,117207154.0,564065100.0
2024-11-05,1990308591.0,1452515744.0,674089300.0,435664372.0,300652601.0,270601303.0,122943750.0,117836036.0,117225730.0,564058899.0
2024-11-06,1992278782.0,1451985744.0,673877167.0,435099095.0,300473194.0,267073914.0,0.0,118511456.0,117310407.0,564099593.0
2024-11-07,1980864214.0,1451962144.0,671305929.0,406394300.0,297713398.0,273270349.0,122932150.0,156962591.0,117558141.0,564110290.0
2024-11-08,1989756714.0,1452330544.0,671387196.0,383656989.0,297486676.0,272852612.0,122991350.0,152871134.0,117650275.0,564116767.0
2024-11-11,2016144111.0,1453032144.0,670279795.0,385935634.0,297234485.0,258100200.0,123600550.0,152508791.0,117609635.0,563557167.0
2024-11-12,2020158289.0,1452962544.0,670152300.0,433569371.0,298678280.0,257948821.0,123376950.0,112906866.0,117633722.0,563512107.0
2024-11-13,2006196526.0,1453432544.0,672362512.0,435293676.0,299925679.0,264358388.0,0.0,106582866.0,117644861.0,563425536.0
2024-11-14,2013334000.0,1453386544.0,672954451.0,423150155.0,303486530.0,259633642.0,123374846.0,107126557.0,117637261.0,563426565.0
2024-11-15,2017754104.0,1454364144.0,673649515.0,424173045.0,301042150.0,265845346.0,0.0,107042261.0,117634311.0,563417586.0
2024-11-18,2030537255.0,1455280944.0,673744380.0,421231928.0,299585760.0,264885972.0,123372846.0,106205227.0,117652589.0,563441326.0
2024-11-19,2031932379.0,1455190144.0,673421971.0,420157722.0,299671918.0,267364418.0,0.0,108010652.0,117637036.0,563432610.0
2024-11-20,2034172663.0,1455407344.0,672377367.0,421541367.0,298301097.0,265682174.0,0.0,108725030.0,117665036.0,563483290.0
2024-11-21,2033930123.0,1455358544.0,670783624.0,417252315.0,296307186.0,266567549.0,123453246.0,118191727.0,117654898.0,563702301.0
2024-11-22,2036713287.0,1455363744.0,670969338.0,416550135.0,296254564.0,265530597.0,0.0,117438207.0,117898898.0,563712975.0
2024-11-25,2037389262.0,1455363344.0,670808133.0,414300216.0,296027683.0,265404577.0,0.0,111603239.0,117889858.0,563725147.0
2024-11-26,2006327994.0,1454994944.0,670395930.0,420421829.0,295924993.0,263653187.0,123724045.0,111199075.0,117836786.0,563743442.0
2024-11-27,2008177918.0,1454848544.0,670031670.0,417990154.0,295813835.0,264770952.0,123745245.0,113141530.0,117838755.0,563762526.0
2024-11-28,2009015994.0,1454918944.0,669664595.0,417021586.0,295770902.0,264649733.0,124140845.0,114906441.0,117845864.0,563748422.0
2024-11-29,2006321518.0,1455568944.0,668932695.0,419069716.0,296646994.0,267327173.0,0.0,114466211.0,117817864.0,563248374.0
2024-12-02,2005846260.0,1455934944.0,668540018.0,414675661.0,296142289.0,269851263.0,124116845.0,117466564.0,117796331.0,563275858.0
2024-12-03,2003086340.0,1456720144.0,667159429.0,417578686.0,295787009.0,267163635.0,124100527.0,115974991.0,117707532.0,563279878.0
2024-12-04,2009527052.0,1457030944.0,666990198.0,416401472.0,295582583.0,268585448.0,124078927.0,111710403.0,117696093.0,563218413.0
2024-12-05,2012822828.0,1457415744.0,664283833.0,421470713.0,295642052.0,268316880.0,124086137.0,110908610.0,117597331.0,563223713.0
2024-12-06,2019981464.0,1457607744.0,663768347.0,409526255.0,295629328.0,267396106.0,124064522.0,112501400.0,117579331.0,563219838.0
2024-12-09,2008963710.0,1458067344.0,663079225.0,421653770.0,295302610.0,267276695.0,124002370.0,109833647.0,117560178.0,563211118.0
2024-12-10,1992013566.0,1459726144.0,657837378.0,422370639.0,294439630.0,268738274.0,125573970.0,111832844.0,117498364.0,563126737.0
2024-12-11,1996918133.0,1459103744.0,657720225.0,411137031.0,296414384.0,271496602.0,125561170.0,111804716.0,117393308.0,563076516.0
2024-12-12,1996260283.0,1459000144.0,656841272.0,410276290.0,296256191.0,271338990.0,126022318.0,114303746.0,117362856.0,563001453.0
2024-12-13,1999630498.0,1459749344.0,656809129.0,410520983.0,296139278.0,271397989.0,126305672.0,109003187.0,117356056.0,562976655.0
2024-12-16,2001422451.0,1459709344.0,656033300.0,411834147.0,296926064.0,270831422.0,126404472.0,108522675.0,117318466.0,562977830.0
2024-12-17,2004569980.0,1459355344.0,655813703.0,410817420.0,294890777.0,270769750.0,126873272.0,110074242.0,117308061.0,562915830.0
2024-12-18,2008220890.0,1460049344.0,655530152.0,418444624.0,292682149.0,270920768.0,127009325.0,107475404.0,117278320.0,562716112.0
