date,BNP PARIBAS,BANK CONSORTIUM TRUST CO LTD,ABN AMRO CLEARING HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,PHILLIP SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD
2024-04-08,38.23226103937145,54.97412702219776,4.147395495884761,1.711656283168668,0.0,0.0,0.5928137821156583,0.3417463772617036,0.0
2024-04-11,38.2519639021055,54.9747501539293,4.242656506879438,1.711675684792692,0.0,0.0,0.4772035013361698,0.3417502509569007,0.0
2024-04-15,38.252180696340204,54.9750617250925,4.242113799057875,1.711685385769643,0.0,0.0,0.4772062059023493,0.3417521878374307,0.0
2024-04-17,37.96599990864787,54.56376997174609,4.210376746518775,1.6988795414213265,0.7481424130146629,0.0,0.47363602387845577,0.33919539477281335,0.0
2024-04-18,37.97112612998823,54.571137246747725,4.192942387956454,1.6991089264653363,0.7482434282286029,0.0,0.4782006872137688,0.33924119339988534,0.0
2024-04-19,37.49307786083977,53.565815599735025,5.466971318101203,1.6678075633164506,0.7344591211097689,0.0,0.469391167626544,0.33299161656330123,0.2694857527079453
2024-04-22,37.6193606516784,53.565815599735025,5.34068852726257,1.6678075633164506,0.7344591211097689,0.0,0.469391167626544,0.33299161656330123,0.2694857527079453
2024-04-26,37.61105274769492,53.55398606182978,5.361593201271781,1.6674392427267613,0.7342969222910682,0.0,0.46928750672737446,0.33291807830189035,0.269426239156422
2024-04-29,37.58710480136991,53.55369039032579,5.423398788825321,1.6674300367963542,0.7342928682384877,0.0,0.43174212252819355,0.33291624026150984,0.2694247516544226
2024-04-30,37.61063744881786,53.55339472208659,5.400180778593482,1.6674208309675982,0.7342888142306718,0.0,0.43173973889352285,0.3329144022414249,0.269423264168848
2024-05-02,37.61063744881786,53.55339472208659,5.405701747121533,1.6618998624395482,0.7342888142306718,0.0,0.43173973889352285,0.3329144022414249,0.269423264168848
2024-05-07,37.61022215911212,53.552803395402314,5.4437363205712765,1.6618815120484975,0.7342807063493307,0.0,0.43173497170314035,0.3329107262621402,0.23243020855117916
2024-05-09,35.12817953327867,53.55398606182978,7.925073446255318,1.661918213235851,0.7342969222910682,0.0,0.4317445061891845,0.3323659753527993,0.2324353415673231
2024-05-10,36.33155409515243,55.3894379993472,4.769967092963577,1.718877017403247,0.759463428238472,0.0,0.446541654798861,0.343757130676361,0.24040158141984713
2024-05-13,36.33155409515243,55.3894379993472,4.771109143231604,1.718877017403247,0.759463428238472,0.0,0.446541654798861,0.3426150804083332,0.24040158141984713
2024-05-14,36.33010191706031,55.38722407455372,4.776057462018068,1.7188083136109134,0.7594330723624375,0.0,0.44652380645671136,0.3414593814080734,0.24039197252976405
2024-05-17,37.60781375457618,57.33516553667134,1.4270781810495574,1.7792579576481091,0.7861419604512667,0.0,0.4622278293781133,0.35346834011267486,0.2488464401127694
2024-05-20,37.60759146205226,57.33482663958098,1.4276608265530466,1.7792474407979493,0.7861373137179661,0.0,0.4622250972386838,0.3534662508295817,0.24884496922952162
2024-05-21,37.60759146205226,57.33482663958098,1.4317983913620886,1.7792474407979493,0.7861373137179661,0.0,0.4622250972386838,0.3493286860205398,0.24884496922952162
2024-05-22,38.14815401499788,57.33313221422212,0.8930374171388474,1.7791948584119879,0.7861140808754167,0.0,0.4622114370259969,0.3493183622536626,0.24883761507409805
2024-05-24,38.14815401499788,57.33313221422212,0.8918552907014408,1.7791948584119879,0.7872962073128233,0.0,0.4622114370259969,0.3493183622536626,0.24883761507409805
2024-06-03,38.20602372118518,56.95207523968017,1.2391479875602578,1.767369678386347,0.7820635486521029,0.0,0.45913941069515346,0.34699666460464923,0.24718374923613762
2024-06-04,38.335177437928195,56.94338254493948,1.1192368600503073,1.7670999216646912,0.7819441809263855,0.0,0.45906933144476986,0.3469437018975179,0.24714602114865486
2024-06-11,38.317182304155075,56.91665242772407,1.165653041719789,1.766270417235442,0.7815771240590562,0.0,0.4588538370977342,0.3467808410802569,0.24703000692857557
2024-06-12,38.31673264226767,56.915984496320526,1.1785481424735007,1.7545144350671937,0.7815679520525665,0.0,0.4588484523311614,0.34677677151881886,0.24702710796856645
2024-06-13,38.15798976764863,56.6801865467649,1.5879567809487258,1.7472456350997374,0.7783299843328952,0.0,0.4569474832945376,0.34534010566121703,0.24600369624936105
2024-06-17,37.274351251285445,55.36762274944883,3.8669204368402688,1.706784029283422,0.7603059123944933,0.0,0.44636578340277305,0.3373429386074666,0.24030689873729855
2024-06-18,37.267969481569274,55.35814321710939,3.8833794537052975,1.706491809505895,0.7601757398473166,0.0,0.4462893607812324,0.33728518186919226,0.2402657556124026
2024-06-19,38.138601297118186,56.6513867558636,1.637960961237369,1.7463578414630216,0.7779345067918588,0.0,0.4567153035369621,0.34516463477026166,0.24587869921874816
2024-06-24,38.17836886614801,56.649732484778745,1.5941117917644605,1.7521470248611732,0.777911790409539,0.0,0.45670196704223687,0.34515455565468284,0.2458715193411531
2024-06-25,38.15274469915953,56.61171089694894,1.6601588489590215,1.7509710367483542,0.7773896795333608,0.0,0.45639544248880487,0.3449228983515137,0.2457064978104691
2024-06-26,38.15207670297301,56.61071971250625,1.6618806291190134,1.7509403799244614,0.7773760686294673,0.0,0.45638745170288547,0.34491685927929067,0.24570219586561992
2024-06-27,38.15051813616645,56.60840708377764,1.6658978817017351,1.750868851509962,0.7773443117071321,0.0,0.45636880762385684,0.34490276893311944,0.24569215858010707
2024-07-02,38.14690844030418,53.693581469271166,4.584124535492157,1.7509710367483542,0.7773896795333608,0.0,0.45639544248880487,0.3449228983515137,0.2457064978104691
2024-07-03,39.0587360161164,53.184293017009885,4.096122781378375,1.7928245903136224,0.7959716662770469,0.0,0.46730468695844646,0.353167608685987,0.2515796332602378
2024-07-04,39.05509409282015,53.187471374383385,4.1083198113649555,1.7929317316693265,0.7960192345020075,0.0,0.45538037289078803,0.3531887144074223,0.25159466796197083
2024-07-05,39.05509409282015,53.187471374383385,4.120272052123243,1.7929317316693265,0.7960192345020075,0.0,0.4434281321324997,0.3531887144074223,0.25159466796197083
2024-07-10,39.06022952276078,53.19446509797584,4.107664641053312,1.793167487734193,0.7961239046124025,0.0,0.4434864393561581,0.35323515587532267,0.25162775063199805
2024-07-11,39.05906226100561,53.19287545384282,4.110530252880125,1.7931139013663038,0.7961001135339171,0.0,0.4434731863679929,0.3532245999238326,0.2516202310794137
2024-07-16,40.47595099277437,55.122475948019876,0.6320875736349569,1.85816008359788,0.8249790782332863,0.0,0.4595604174542781,0.3660380144413455,0.26074789184400415
2024-07-17,40.47219100281631,55.11735537763316,0.6413182981445145,1.8579874708961786,0.8249024422809815,0.0,0.4595177268562225,0.3660040115525977,0.26072366982003997
2024-07-18,40.40681934152191,55.087333849792564,0.7387644740422293,1.8569754553122881,0.8244531313249852,0.0,0.4592674350173717,0.36580465511491467,0.2605816578737379
2024-07-19,40.17664785255174,55.08562906302935,0.9707573296071516,1.8569179875251474,0.8244276169882594,0.0,0.45925322207604247,0.3657933345646106,0.2605735936577006
2024-07-24,40.31979570958357,55.22234626222896,0.6815430290040172,1.8615266782257172,0.8264737665313369,0.0,0.4603930441188077,0.3667011982132283,0.26122031209436397
2024-07-25,40.29125382275141,55.22234626222896,0.7100849158361805,1.8615266782257172,0.8264737665313369,0.0,0.4603930441188077,0.3667011982132283,0.26122031209436397
2024-07-26,39.89935552784522,54.686060842605286,0.7038034585431117,1.9048936896832718,0.818447562273598,0.9103078554867385,0.455921990395653,0.36252557187794515,0.2586835012891778
2024-07-29,39.89688505555988,54.69278203992278,0.6989737544702131,1.9051278108863707,0.8185481536761476,0.9104197369903999,0.45597802554632255,0.3625701281298252,0.2587152948180617
2024-07-31,39.89688505555988,54.69278203992278,0.6995882801111112,1.9051278108863707,0.8185481536761476,0.909805211349502,0.45597802554632255,0.3625701281298252,0.2587152948180617
2024-08-05,39.8919821263833,54.686060842605286,0.711791310126863,1.9048936896832718,0.818447562273598,0.9096934053649116,0.455921990395653,0.36252557187794515,0.2586835012891778
2024-08-07,39.44353014170256,54.02054261632049,1.8830832789182586,1.8817115213192377,0.8084872220779651,0.8986226218366571,0.4503735125989866,0.3581137094789785,0.25553537574686436
2024-08-08,39.40880414426355,54.02119840383747,1.9899345760798746,1.808896793653711,0.8084970367855225,0.8986335307514761,0.45037897995109444,0.3581180568344282,0.25553847784287165
2024-08-09,39.40928255699882,54.02185420727663,1.988744759121408,1.8089187531950286,0.8085068517313763,0.898644439931158,0.45038444743594674,0.3581224042954294,0.25554158001419625
2024-08-12,39.40952176772234,54.02218211496722,1.9881498398090551,1.8089297331656258,0.8085117592936666,0.8986498946203254,0.4503871812281537,0.358124578065513,0.25554313112810334
2024-08-13,39.40952176772234,54.02218211496722,1.9899708122398967,1.8089297331656258,0.8085117592936666,0.8986498946203254,0.4503871812281537,0.3563036056346714,0.25554313112810334
2024-08-14,39.410957093049134,54.024149644709276,1.9864012110150506,1.8089956157885032,0.8085412059185701,0.8986826241459784,0.45040358467836267,0.3563165824881387,0.2555524382069956
2024-08-21,38.87479472340667,54.024149644709276,2.522563580657509,1.8089956157885032,0.8085412059185701,0.8986826241459784,0.45040358467836267,0.3563165824881387,0.2555524382069956
2024-08-22,38.81409343167104,54.024149644709276,2.5832648723931375,1.8089956157885032,0.8085412059185701,0.8986826241459784,0.45040358467836267,0.3563165824881387,0.2555524382069956
