date,ABCI SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,PHILLIP SECURITIES (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,TOTAL_CCASS_PCT
2024-06-24,28.30682725969151,9.573480132529886,7.23145593286202,3.9396512883937334,3.25374245204716,4.219881345164168,2.45931689866206,1.7738343236092822,2.026844803913957,1.8329476051289966,64.61798204200278
2024-06-25,28.30682725969151,9.652257130424333,7.2219994875400015,3.941654772572127,3.287961961814128,4.215874376807381,2.4553099303052726,1.7738343236092822,2.027806476319586,1.8329476051289966,64.71647332421261
2024-06-26,28.30682725969151,9.678222285376318,7.241633632488262,3.941654772572127,3.2893243310554356,4.216114794908788,2.4553099303052726,1.7738343236092822,2.027806476319586,1.8357524829787482,64.76648028930533
2024-06-27,28.30682725969151,9.67573796499511,7.246041297680728,3.941654772572127,3.288843494852621,4.216114794908788,2.4574736932179384,1.7778412919660698,2.027806476319586,1.8357524829787482,64.77409352918322
2024-06-28,28.30682725969151,9.695131691841961,7.234020392610365,3.9449404866246938,3.2700107435757184,4.216114794908788,2.4526653311897926,1.7763186439904908,2.02299811429144,1.830142727279245,64.74917018600401
2024-07-02,28.30682725969151,9.722859912870934,7.239710287677004,3.950950939159875,3.278986352694923,4.2132297776919,2.4566722995465806,1.778802964371699,2.02299811429144,1.8357524829787482,64.80679039097461
2024-07-03,28.30682725969151,9.732957473130039,7.244037813502334,3.9449404866246938,3.2828330423174394,4.221243714405476,2.4566722995465806,1.778802964371699,2.021395326948725,1.8329476051289966,64.82265798566749
2024-07-04,28.30682725969151,9.73103412831878,7.25317370135581,3.9449404866246938,3.274097851299642,4.227735003143473,2.4566722995465806,1.7792838005745135,2.021395326948725,1.8357524829787482,64.83091234048247
2024-07-05,28.30682725969151,9.688960960572508,7.232337465900514,3.9485467581458025,3.271373112817026,4.259390053162096,2.456832578280852,1.7779214313332057,2.021395326948725,1.8351915074087979,64.79877645426103
2024-07-08,28.30682725969151,9.68479371348145,7.232337465900514,3.9563202767579706,3.2521396647044454,4.247369148091733,2.451783798151299,1.7788831037388348,2.021395326948725,1.8353517861430695,64.76720154360956
2024-07-09,28.30682725969151,9.68479371348145,7.224323529186938,3.9547174894152555,3.251017713564545,4.247369148091733,2.455790766508087,1.779764636777328,2.0213151875815893,1.8353517861430695,64.76127123044151
2024-07-10,28.30682725969151,9.924650839318765,7.224323529186938,3.9515920540969613,3.251017713564545,4.247369148091733,2.455790766508087,1.779764636777328,2.0213151875815893,1.8353517861430695,64.99800292096053
2024-07-11,28.30682725969151,9.946208329078283,7.224163250452667,3.9515920540969613,3.2401187596340817,4.247369148091733,2.455790766508087,1.7728726512036532,2.0212350482144537,1.8329476051289966,64.99912487210042
2024-07-12,28.30682725969151,9.978584633401129,7.218553494753165,3.9515920540969613,3.2412407107739822,4.248330820497362,2.455790766508087,1.7740747417106895,2.0213151875815893,1.8339092775346257,65.0302189465491
