date,BOCOM INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,GARY CHENG SECURITIES LTD,DBS BANK (HONG KONG) LTD,DL SECURITIES (HK) LTD,BANK OF CHINA (HONG KONG) LTD,SEAZEN RESOURCES SECURITIES LTD,TOTAL_CCASS_PCT
2024-04-05,0.0,1.087375,1.3698750000000002,1.478,0.0,1.2125000000000001,0.931,0.0,6.07875
2024-04-08,0.0,1.0968749999999998,1.376875,1.478,0.0,1.2125000000000001,0.931,0.0,6.09525
2024-04-09,0.0,1.099375,1.381875,1.478,0.0,1.2125000000000001,0.931,0.0,6.1027499999999995
2024-04-11,0.0,1.099375,1.376875,1.478,0.0,1.2125000000000001,0.931,0.0,6.09775
2024-04-12,0.0,1.105875,1.376375,1.478,0.0,1.2125000000000001,0.923,0.0,6.09575
2024-04-15,0.0,1.105875,1.401875,1.478,0.0,1.2125000000000001,0.923,0.0,6.12125
2024-04-16,0.0,1.105875,1.400875,1.478,0.0,1.2125000000000001,0.923,0.0,6.12025
2024-04-19,0.0,1.105875,1.399875,1.478,0.0,1.2125000000000001,0.923,0.0,6.11925
2024-04-22,0.0,1.105875,1.4003750000000001,1.478,0.0,1.2125000000000001,0.923,0.0,6.11975
2024-04-24,0.0,1.105875,1.386375,1.478,0.0,1.2125000000000001,0.9355,0.0,6.11825
2024-04-25,0.0,1.118375,1.388375,1.478,0.0,1.213,0.9355,0.0,6.133249999999999
2024-04-26,0.0,1.118375,1.3868749999999999,1.478,0.0,1.213,0.9355,0.0,6.131749999999999
2024-04-29,0.0,1.153875,1.394375,1.478,0.0,1.213,0.9355,0.0,6.1747499999999995
2024-04-30,0.0,1.153875,1.381875,1.478,0.0,1.213,0.946,0.0,6.17275
2024-05-07,0.0,1.153875,1.383875,1.478,0.0,1.213,0.946,0.0,6.1747499999999995
2024-05-08,0.0,1.1568749999999999,1.376875,1.478,0.0,1.2125000000000001,0.9535,0.0,6.17775
2024-05-09,0.0,1.1568749999999999,1.371375,1.478,0.0,1.2125000000000001,0.9535,0.0,6.17225
2024-05-10,0.0,1.1568749999999999,1.371375,1.478,0.0,1.213,0.9535,0.0,6.17275
2024-05-13,0.0,1.1568749999999999,1.371875,1.478,0.0,1.214,0.9535,0.0,6.17425
2024-05-17,0.0,1.1568749999999999,1.371875,1.478,0.0,1.2145,0.9535,0.0,6.1747499999999995
2024-05-20,0.0,1.1568749999999999,1.371875,1.478,0.0,1.2145,0.9565,0.0,6.17775
2024-05-24,0.0,1.1568749999999999,1.372875,1.478,0.0,1.2145,0.9565,0.0,6.17875
2024-05-27,0.0,1.1568749999999999,1.3743750000000001,1.478,0.0,1.2135,0.9565,0.0,6.17925
2024-05-28,0.0,1.1568749999999999,1.3868749999999999,1.478,0.0,1.2135,0.9565,0.0,6.19175
2024-06-04,0.0,1.1568749999999999,1.387375,1.478,0.0,1.213,0.9565,0.0,6.19175
2024-06-05,0.0,1.1568749999999999,1.388375,1.478,0.0,1.213,0.9565,0.0,6.19275
2024-06-11,0.0,1.1568749999999999,1.388375,1.4785,0.0,1.2125000000000001,0.9565,0.0,6.19275
2024-06-17,0.0,1.163375,1.388875,1.4785,0.0,1.2125000000000001,0.9565,0.0,6.19975
2024-06-21,0.0,1.163375,1.390375,1.478,0.0,1.2125000000000001,0.9615,0.0,6.20575
2024-06-24,0.0,1.163375,1.390375,1.478,0.0,1.214,0.9615,0.0,6.20725
2024-06-25,0.0,1.163375,1.389375,1.478,0.0,1.214,0.9615,0.0,6.20625
2024-06-27,0.0,1.163375,1.388875,1.4785,0.0,1.214,0.9615,0.0,6.20625
2024-06-28,0.0,1.163875,1.389875,1.4785,0.0,1.214,0.899,0.0,6.14525
2024-07-02,0.0,1.161875,1.3908749999999999,1.4785,0.0,1.214,0.899,0.0,6.1442499999999995
2024-07-05,0.0,1.161875,1.392875,1.4785,0.0,1.213,0.899,0.0,6.14525
2024-07-08,0.0,1.161875,1.393875,1.478,0.0,1.213,0.899,0.0,6.14575
2024-07-09,0.0,1.161875,1.3923750000000001,1.478,0.0,1.2125000000000001,0.899,0.0,6.14375
2024-07-10,0.0,1.161875,1.391875,1.478,0.0,1.2125000000000001,0.899,0.0,6.14325
2024-07-11,0.0,1.161875,1.3923750000000001,1.478,0.0,1.2125000000000001,0.899,0.0,6.14375
2024-07-12,0.0,1.161875,1.393375,1.478,0.0,1.2125000000000001,0.899,0.0,6.14475
2024-07-15,0.0,1.205375,1.359875,1.478,0.0,1.2125000000000001,0.9065,0.0,6.162249999999999
2024-07-16,0.0,1.205375,1.377875,1.478,0.0,1.2125000000000001,0.9065,0.0,6.18025
2024-07-17,0.0,1.218875,1.378875,1.478,0.0,1.2125000000000001,0.9065,0.0,6.19475
2024-07-18,0.0,1.224375,1.380375,1.478,0.0,1.2125000000000001,0.9065,0.0,6.2017500000000005
2024-07-19,0.0,1.224375,1.384375,1.478,0.0,1.2125000000000001,0.9065,0.0,6.20575
2024-07-22,0.0,1.224375,1.385375,1.478,0.0,1.2125000000000001,0.9065,0.0,6.2067499999999995
2024-07-23,0.0,1.224875,1.385875,1.478,0.0,1.2125000000000001,0.907,0.0,6.20825
2024-07-24,0.0,1.224875,1.386375,1.478,0.0,1.2125000000000001,0.907,0.0,6.208749999999999
2024-07-25,0.0,1.217375,1.399875,1.478,0.0,1.2125000000000001,0.907,0.0,6.21475
2024-07-26,0.0,1.217375,1.399875,1.478,0.0,1.2145,0.907,0.0,6.21675
2024-07-29,0.0,1.217375,1.399875,1.478,0.0,1.2149999999999999,0.907,0.0,6.21725
2024-07-31,0.0,1.217375,1.402375,1.478,0.0,1.2149999999999999,0.907,0.0,6.21975
2024-08-01,0.0,1.217375,1.402375,1.478,0.0,1.2149999999999999,0.9085,0.0,6.2212499999999995
2024-08-02,0.0,1.217375,1.404875,1.478,0.0,1.2149999999999999,0.9085,0.0,6.22375
2024-08-05,0.0,1.217375,1.412375,1.478,0.0,1.217,0.9085,0.0,6.23325
2024-08-06,0.0,1.217375,1.412875,1.478,0.0,1.2165000000000001,0.9085,0.0,6.23325
2024-08-07,0.0,1.217375,1.4108749999999999,1.482,0.0,1.2149999999999999,0.9085,0.0,6.23375
2024-08-08,0.0,1.217375,1.411375,1.482,0.0,1.2145,0.9085,0.0,6.23375
2024-08-09,0.0,1.217375,1.4108749999999999,1.4815,0.0,1.216,0.9085,0.0,6.23425
2024-08-13,0.0,1.217375,1.411875,1.481,0.0,1.216,0.9085,0.0,6.23475
2024-08-15,0.0,1.217375,1.411875,1.481,0.0,1.216,0.9135000000000001,0.0,6.23975
2024-08-16,0.0,1.217375,1.411875,1.4805000000000001,0.0,1.216,0.9135000000000001,0.0,6.239249999999999
2024-08-19,0.0,1.217375,1.405375,1.4805000000000001,0.0,1.216,0.9135000000000001,0.0,6.23275
2024-08-20,0.0,1.217375,1.403875,1.4805000000000001,0.0,1.216,0.9165,0.0,6.23425
2024-08-26,0.0,1.217375,1.4043750000000002,1.4805000000000001,0.0,1.216,0.9165,0.0,6.23475
2024-08-27,0.0,1.217375,1.403875,1.4805000000000001,0.0,1.216,0.9165,0.0,6.23425
2024-09-03,0.0,1.217375,1.402375,1.4805000000000001,0.0,1.216,0.9165,0.0,6.23275
2024-09-05,0.0,1.217375,1.403875,1.4805000000000001,0.0,1.216,0.9165,0.0,6.23425
2024-09-10,0.0,1.217375,1.403875,1.48,0.0,1.2135,0.9165,0.0,6.23125
2024-09-11,0.0,1.2073749999999999,1.412875,1.48,0.0,1.2135,0.9165,0.0,6.23025
2024-09-12,0.0,1.197875,1.424375,1.4795,0.0,1.2135,0.9165,0.0,6.23175
2024-09-16,0.0,1.197875,1.427375,1.4795,0.0,1.2135,0.9165,0.0,6.23475
2024-09-24,0.0,1.197875,1.427875,1.4795,0.0,1.2135,0.9165,0.0,6.23525
2024-09-25,0.0,1.197875,1.428375,1.4795,0.0,1.2135,0.9165,0.0,6.23575
2024-09-26,2.10325,1.197875,1.428875,1.4795,0.0,1.2135,0.9165,0.0,8.3395
2024-09-27,2.056,1.197875,1.428875,1.4795,0.0,1.2135,0.9165,0.0,8.29225
2024-09-30,2.054875,1.197875,1.428875,1.4795,0.0,1.2135,0.9165,0.0,8.291125000000001
2024-10-02,2.05225,1.199,1.428875,1.4795,0.0,1.2135,0.9165,0.0,8.289625000000001
2024-10-03,2.05225,1.199,1.430375,1.478,0.0,1.2135,0.9159999999999999,0.0,8.289125
2024-10-09,2.05225,1.199,1.429875,1.478,0.0,1.2135,0.9159999999999999,0.0,8.288625
2024-10-17,2.05225,1.199,1.428875,1.478,0.0,1.2135,0.9159999999999999,0.0,8.287625
2024-10-23,2.05225,1.189,1.4293749999999998,1.478,0.0,1.2135,0.9159999999999999,0.0,8.278125
2024-10-25,2.05225,1.189,1.432375,1.4785,0.0,1.2135,0.9159999999999999,0.0,8.281625
2024-10-30,2.05225,1.189,1.430375,1.4785,0.0,1.2135,0.9165,0.0,8.280125
2024-10-31,2.05225,1.188,1.4333749999999998,1.4785,0.0,1.2135,0.9165,0.0,8.282125
2024-11-08,2.05225,1.188,1.433875,1.4785,0.0,1.2135,0.9165,0.0,8.282625000000001
2024-11-12,2.05225,1.188,1.432875,1.4785,0.0,1.2135,0.9165,0.0,8.281625
2024-11-13,2.05225,1.188,1.432375,1.4785,0.0,1.2135,0.9165,0.0,8.281125
2024-11-14,2.05225,1.451,1.454375,1.4785,1.8735000000000002,1.2135,0.9165,0.6065,11.046125
2024-11-15,2.05225,1.451,1.453875,1.478,1.8735000000000002,1.2135,0.9165,0.6065,11.045125
2024-11-18,2.05225,1.494,1.453875,1.478,1.8735000000000002,1.2135,0.9165,0.6065,11.088125
2024-11-19,2.05225,1.494,1.4493749999999999,1.478,1.8780000000000001,1.2135,0.9165,0.6065,11.088125
2024-11-25,2.05225,1.494,1.4493749999999999,1.478,1.8780000000000001,1.213,0.9165,0.6065,11.087625
2024-11-26,2.05225,1.494,1.4493749999999999,1.353,1.8780000000000001,1.213,0.9165,0.6065,10.962625
2024-11-27,2.05225,1.4935,1.4508750000000001,1.2905,1.8780000000000001,1.213,0.9165,0.6065,10.901125
2024-11-28,2.05225,1.4925000000000002,1.4508750000000001,1.478,1.8780000000000001,1.213,0.9165,0.6065,11.087625
2024-12-04,2.05225,1.702,1.450375,1.478,1.7655,1.213,0.9145000000000001,0.6065,11.182125
2024-12-05,2.05225,1.7014999999999998,1.4468750000000001,1.478,1.7655,1.213,0.9145000000000001,0.6065,11.178125
2024-12-06,2.05225,1.9300000000000002,1.459375,1.345,1.526,1.2155,0.9185000000000001,0.6065,11.053125
2024-12-09,2.05225,1.9275,1.436375,1.4115,1.526,1.2155,0.9259999999999999,0.6065,11.101625
2024-12-10,2.05225,1.9275,1.436875,1.4120000000000001,1.526,1.2149999999999999,0.918,0.6065,11.094125
2024-12-11,2.05225,1.9269999999999998,1.449875,1.433,1.526,1.213,0.91,0.6065,11.117625
2024-12-12,2.05225,1.926,1.452375,1.439,1.526,1.214,0.9129999999999999,0.6065,11.129125
2024-12-13,2.05225,1.9255000000000002,1.469375,1.4765000000000001,1.526,1.2149999999999999,0.932,0.6065,11.203125
2024-12-16,2.05225,1.933,1.455875,1.4765000000000001,1.526,1.2155,0.932,0.6065,11.197625
2024-12-17,2.05225,1.95,1.445875,1.4949999999999999,1.526,1.2125000000000001,0.932,0.6065,11.220125
2024-12-18,2.05225,1.95,1.446375,1.4949999999999999,1.526,1.2125000000000001,0.932,0.6065,11.220625
2024-12-19,2.05225,1.95,1.446375,1.5355,1.526,1.2125000000000001,0.932,0.6065,11.261125
2024-12-20,2.05225,1.95,1.454375,1.4795,1.526,1.225,0.932,0.6065,11.225625
2024-12-23,2.05225,1.9460000000000002,1.452875,1.4024999999999999,1.526,1.2855,0.932,0.6065,11.203625
2024-12-27,2.05225,1.9460000000000002,1.454875,1.5485,1.526,1.2205000000000001,0.932,0.6065,11.286625
2024-12-30,2.05225,1.9465,1.452875,1.566,1.526,1.2205000000000001,0.932,0.6065,11.302624999999999
2025-01-03,2.05225,1.9545,1.4453749999999999,1.566,1.526,1.2229999999999999,0.932,0.6065,11.305625
2025-01-08,2.05225,1.9555,1.4453749999999999,1.566,1.526,1.2229999999999999,0.932,0.6065,11.306624999999999
2025-01-14,2.05225,1.9555,1.559375,1.566,1.4075,1.2229999999999999,0.932,0.6065,11.302125
2025-01-15,2.05225,1.9565,1.656875,1.566,1.3175,1.2229999999999999,0.932,0.6065,11.310625
2025-01-23,2.05225,1.9560000000000002,1.656875,1.566,1.3175,1.2229999999999999,0.932,0.6065,11.310125
2025-02-05,2.05225,1.955,1.657875,1.566,1.3175,1.2235,0.932,0.6065,11.310625
2025-02-06,2.05225,1.955,1.6583750000000002,1.566,1.3175,1.2235,0.9315,0.6065,11.310625
2025-02-07,2.05225,1.955,1.6603750000000002,1.566,1.3175,1.2235,0.9315,0.6065,11.312625
2025-02-10,2.05225,1.955,1.659875,1.566,1.3175,1.2235,0.9315,0.6065,11.312125
2025-02-11,2.05225,1.955,1.661375,1.566,1.3175,1.2235,0.9315,0.6065,11.313625
2025-02-12,2.05225,1.955,1.6603750000000002,1.566,1.3175,1.224,0.9315,0.6065,11.313125
2025-02-13,2.05225,1.955,1.662875,1.566,1.3175,1.224,0.9315,0.6065,11.315625
2025-02-14,2.05225,1.9555,1.6588749999999999,1.566,1.3175,1.224,0.9315,0.6065,11.312125
2025-02-17,2.05225,1.9595000000000002,1.6778749999999998,1.566,1.3175,1.224,0.9315,0.6065,11.335125
2025-02-18,2.05225,1.9689999999999999,1.675375,1.566,1.3175,1.2125000000000001,0.9315,0.6065,11.330625
2025-02-20,2.05225,1.975,1.675375,1.566,1.3175,1.2125000000000001,0.9315,0.6065,11.336625
2025-02-21,2.05225,1.9775,1.6763750000000002,1.566,1.3175,1.2125000000000001,0.9315,0.6065,11.340124999999999
2025-02-27,2.05225,1.9775,1.907375,1.566,1.3050000000000002,1.2125000000000001,0.9315,0.6065,11.558625
2025-02-28,2.05225,1.9775,1.9078749999999998,1.566,1.3050000000000002,1.2125000000000001,0.9315,0.6065,11.559125
2025-03-04,2.05225,1.9775,1.916375,1.5655,1.3050000000000002,1.2125000000000001,0.9315,0.6065,11.567125
2025-03-07,2.05225,1.9769999999999999,1.9113749999999998,1.5655,1.3050000000000002,1.2125000000000001,0.9315,0.6065,11.561625000000001
2025-03-11,2.05225,1.9769999999999999,1.911875,1.5655,1.3050000000000002,1.2125000000000001,0.9315,0.6065,11.562125
2025-03-12,2.05225,1.9765000000000001,1.912875,1.5655,1.3050000000000002,1.2125000000000001,0.9315,0.6065,11.562625
2025-03-13,2.05225,1.9765000000000001,1.912875,1.593,1.3050000000000002,1.2125000000000001,0.9315,0.6065,11.590125
2025-03-14,2.05225,1.9765000000000001,1.905375,1.593,1.3050000000000002,1.2125000000000001,0.9315,0.6065,11.582625
2025-03-18,2.05225,1.9765000000000001,1.905875,1.593,1.3050000000000002,1.2125000000000001,0.9315,0.6065,11.583124999999999
2025-03-19,2.05225,1.9775,1.900375,1.593,1.3050000000000002,1.2125000000000001,0.9315,0.6065,11.578624999999999
2025-03-20,2.05225,1.9775,1.902875,1.593,1.3050000000000002,1.2125000000000001,0.936,0.6065,11.585625
2025-03-24,2.05225,1.9769999999999999,1.9043750000000002,1.593,1.3050000000000002,1.2125000000000001,0.936,0.6065,11.586625
2025-03-25,2.05225,1.9765000000000001,1.9048749999999999,1.593,1.3050000000000002,1.2125000000000001,0.936,0.6065,11.586625
2025-03-26,2.05225,1.9765000000000001,1.926375,1.5965,1.3050000000000002,1.2125000000000001,0.895,0.6065,11.570625
2025-03-27,2.05225,1.9765000000000001,1.9258750000000002,1.5965,1.3050000000000002,1.2125000000000001,0.895,0.6065,11.570125
2025-03-28,2.05225,1.976,1.9258750000000002,1.5965,1.3050000000000002,1.2125000000000001,0.895,0.6065,11.569625
2025-03-31,2.05225,1.95,1.926375,1.5945,1.3050000000000002,1.2125000000000001,0.8905,0.6065,11.537625
2025-04-03,2.05225,1.9494999999999998,1.926375,1.5945,1.3050000000000002,1.2125000000000001,0.8905,0.6065,11.537125
2025-04-09,2.05225,1.9494999999999998,1.9238749999999998,1.5945,1.3050000000000002,1.2125000000000001,0.8905,0.6065,11.534625
2025-04-10,2.00475,1.9494999999999998,1.9273749999999998,1.5945,1.3050000000000002,1.2125000000000001,0.8905,0.6065,11.490625
2025-04-11,2.00475,1.9494999999999998,1.928375,1.5945,1.3050000000000002,1.2125000000000001,0.895,0.6065,11.496125
2025-04-17,2.00475,1.9494999999999998,1.916375,1.5945,1.3050000000000002,1.2125000000000001,0.895,0.6065,11.484125
2025-04-23,2.00475,1.949,1.9238749999999998,1.4695,1.3050000000000002,1.275,0.895,0.6065,11.428625
2025-04-24,2.00475,1.9429999999999998,1.935875,1.4695,1.3050000000000002,1.275,0.895,0.6065,11.434625
2025-04-25,2.00475,1.9445000000000001,1.8443749999999999,1.6115000000000002,1.298,1.2125000000000001,0.8985,0.6065,11.420625
2025-04-30,2.00475,1.9445000000000001,1.8518750000000002,1.6115000000000002,1.298,1.2125000000000001,0.898,0.6065,11.427624999999999
2025-05-02,2.00475,1.9445000000000001,1.8598750000000002,1.4865,1.298,1.2125000000000001,0.898,0.6065,11.310625
