date,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,BOCOM INTERNATIONAL SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),SINOPAC SECURITIES (ASIA) LTD
2025-02-12,35309200.0,10524478.0,6953618.0,7956800.0,4151000.0,0.0,10875600.0,0.0,0.0
2025-02-13,35139400.0,10521278.0,6950818.0,7951800.0,4183000.0,0.0,10875000.0,0.0,0.0
2025-02-14,35170200.0,10527878.0,6945618.0,0.0,4266800.0,0.0,10875400.0,0.0,0.0
2025-02-17,35015400.0,10530878.0,6939218.0,7951000.0,4326800.0,0.0,10875800.0,0.0,0.0
2025-02-18,0.0,10534878.0,6940018.0,7948000.0,4329600.0,0.0,10875400.0,0.0,0.0
2025-02-19,34938400.0,10532478.0,6968018.0,7947000.0,4370600.0,0.0,10875000.0,0.0,0.0
2025-02-20,34815400.0,10532678.0,6973218.0,0.0,4378600.0,0.0,10876600.0,0.0,0.0
2025-02-21,34776800.0,10537878.0,6979018.0,7946000.0,4366600.0,0.0,10875000.0,0.0,0.0
2025-02-24,34780600.0,10648678.0,6986018.0,0.0,4364200.0,0.0,10875200.0,0.0,0.0
2025-02-26,34781800.0,10547078.0,6986818.0,7911600.0,4346400.0,0.0,0.0,0.0,0.0
2025-03-03,34775000.0,10497478.0,6995418.0,7827400.0,4350400.0,0.0,0.0,0.0,0.0
2025-03-05,34764600.0,10488878.0,6987818.0,7809400.0,4368400.0,0.0,10876400.0,0.0,0.0
2025-03-10,34711200.0,10462278.0,7002618.0,7789400.0,4388800.0,0.0,10876600.0,0.0,0.0
2025-03-11,34679400.0,10467678.0,7001618.0,7789000.0,4420400.0,0.0,10875200.0,0.0,0.0
2025-03-12,34552600.0,10465278.0,7006218.0,7786400.0,4458400.0,0.0,10875600.0,0.0,0.0
2025-03-14,34516000.0,10450878.0,7044218.0,0.0,4490400.0,0.0,10875000.0,0.0,0.0
2025-03-17,34518400.0,10453878.0,7037818.0,7784800.0,4499000.0,0.0,0.0,0.0,0.0
2025-03-19,34519200.0,10445078.0,7181418.0,7774800.0,4545800.0,0.0,0.0,0.0,0.0
2025-03-20,34519600.0,10427678.0,7239218.0,7726800.0,4561800.0,0.0,0.0,0.0,0.0
2025-03-26,34562200.0,10401278.0,7368618.0,7710800.0,4579600.0,0.0,0.0,0.0,0.0
2025-03-28,34407200.0,10422278.0,8120218.0,7698000.0,0.0,0.0,0.0,0.0,8595800.0
2025-03-31,34407400.0,10432078.0,8136018.0,7697600.0,0.0,0.0,10875200.0,0.0,8580400.0
2025-04-01,34407800.0,10427078.0,8134618.0,7696400.0,0.0,0.0,10875400.0,0.0,8572000.0
2025-04-02,0.0,10414678.0,8130618.0,7659200.0,0.0,0.0,10875000.0,0.0,8570200.0
2025-04-03,34395400.0,10421478.0,8128818.0,0.0,4649600.0,0.0,10875400.0,0.0,8561000.0
2025-04-07,34402600.0,10425278.0,8131218.0,7652800.0,0.0,0.0,0.0,0.0,8557200.0
2025-04-08,34418000.0,10441278.0,8126418.0,0.0,4695400.0,0.0,0.0,0.0,8553400.0
2025-04-10,34454800.0,10391278.0,8107418.0,7652200.0,0.0,0.0,10875000.0,0.0,0.0
2025-04-11,34460600.0,10353878.0,8104818.0,0.0,4755400.0,0.0,10876200.0,0.0,8544600.0
2025-04-14,34420000.0,10331678.0,8104218.0,0.0,4815400.0,0.0,10875400.0,0.0,8533600.0
2025-04-15,34420400.0,10316078.0,8100418.0,0.0,4821400.0,0.0,10875200.0,0.0,8522400.0
2025-04-16,34429600.0,10545478.0,8099018.0,0.0,0.0,0.0,10875000.0,0.0,8506600.0
2025-04-17,34417800.0,10529278.0,8287218.0,7629200.0,0.0,0.0,0.0,0.0,8502400.0
2025-04-22,34409800.0,10545678.0,8288418.0,7557800.0,4753400.0,0.0,0.0,0.0,0.0
2025-04-23,34332200.0,10531678.0,8255818.0,7536400.0,4713400.0,0.0,0.0,0.0,8469600.0
2025-04-24,34044400.0,10544478.0,8311018.0,7451800.0,4723400.0,0.0,0.0,0.0,8448600.0
2025-04-25,33869800.0,10571478.0,8318218.0,7449200.0,7914189.0,0.0,0.0,0.0,0.0
2025-04-28,33616600.0,10854840.0,8356218.0,7096200.0,7932189.0,0.0,0.0,0.0,0.0
2025-04-29,33690000.0,10794078.0,8279018.0,7047000.0,7785189.0,0.0,0.0,0.0,0.0
