date,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,OSHIDORI SECURITIES LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,CCB INTERNATIONAL SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,ORIENT SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-07-22,0.0,0.0,0.0,0.0,0.43207117499101694,0.0,0.0,0.0,0.0,0.0
2024-07-24,0.0,0.0,0.0,0.0,0.4315824937118217,0.0,0.0,0.0,0.0,0.0
2024-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1108415379087315,0.0
2024-07-26,0.0,2.8746892418253687,0.0,0.0,0.4315968666906216,0.0,0.0,0.0,0.0,0.0
2024-07-29,28.30982680560546,2.8746604958677686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30,28.310114265181458,2.8746892418253687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,28.310976643909452,2.8746604958677686,0.0,0.0,0.43122316924182535,0.0,0.0,0.0,0.0,0.0
2024-08-02,28.31298886094143,2.8749479554437656,0.0,0.0,0.4305907581746317,0.0,0.0,0.0,0.0,0.0
2024-08-05,28.313563780093425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06,28.31212648221344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07,28.30818828602228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09,0.0,0.0,0.0,0.0,0.43001583902263746,0.0,0.0,0.0,0.0,0.0
2024-08-12,0.0,0.0,0.0,0.0,0.43841253323751345,0.0,0.0,0.0,0.0,0.0
2024-08-13,28.30804455623428,0.0,0.0,0.0,0.43840965864175346,0.0,0.0,0.0,0.0,0.0
2024-08-19,28.30798706431908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-20,28.31057420050305,2.874919209486166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-21,28.309769313690264,0.0,0.0,0.0,0.437259820337765,0.0,0.0,0.0,0.0,0.0
2024-08-27,28.30833201581028,2.878879310097018,0.0,0.0,0.43724544735896514,0.0,30.17524110671937,0.0,0.0,0.0
2024-08-28,28.308274523895076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-29,28.3058598634567,2.8789942939274162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-30,28.307095939633488,2.877844455623428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-03,28.307268415379088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,28.307383399209485,2.877442012217032,0.0,0.0,0.439660107797341,0.0,0.0,0.0,0.0,0.0
2024-09-05,28.298845849802372,0.0,0.0,0.0,0.44201727632051746,0.0,0.0,0.0,0.0,0.0
2024-09-09,0.0,2.8774132662594325,0.0,0.0,0.4455530291052821,0.0,0.0,0.0,0.0,0.0
2024-09-10,0.0,0.0,0.0,0.0,0.447565246137262,0.0,0.0,0.0,0.0,0.0
2024-09-11,0.0,0.0,0.0,0.0,0.4497786848724398,0.0,0.0,0.0,0.0,0.0
2024-09-12,0.0,2.877384520301833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-16,0.0,2.877355774344233,0.0,0.0,0.44966370104204095,0.0,0.0,6.055048508803449,0.0,0.0
2024-09-19,28.29832842256558,2.877327028386633,0.0,0.0,0.4504685878548329,0.0,0.0,0.0,0.0,17.25410805605462
2024-09-20,0.0,2.877298282429033,0.0,0.0,0.45167591807402085,0.0,0.0,0.0,0.0,0.0
2024-09-23,28.29812720086238,2.8772695364714336,0.0,0.0,0.45512543298598634,0.0,0.0,0.0,0.0,0.0
2024-09-25,28.298989579590373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26,28.299369026230686,0.0,0.0,0.0,0.4548092274523895,0.0,0.0,0.0,0.0,0.0
2024-09-27,28.299406395975566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,28.296388070427597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-02,0.0,2.8706004743083007,0.0,0.0,0.4548322242184693,0.0,0.0,0.0,0.0,0.0
2024-10-03,28.29635644987424,2.865713661516349,0.0,0.0,0.4556658569888609,0.0,0.0,0.0,0.0,17.25396432626662
2024-10-04,28.28509953287819,2.8528929644268777,0.0,0.0,0.4570370391663673,3.6992827883578867,30.176045993532156,0.0,0.0,17.25344689902982
2024-10-07,28.28573194394538,0.0,0.0,0.0,0.45749697448796267,0.0,0.0,0.0,0.0,17.25488419690981
2024-10-08,28.28794538268056,2.8493859575997127,0.0,0.0,0.4531563348904061,0.0,30.193839741286382,0.0,0.0,17.254539245418613
2024-10-09,28.28826158821416,2.8484287172116423,0.0,0.0,0.45435216672655404,0.0,30.205539346029465,6.055767157743442,4.112106360043119,17.25485545095221
2024-10-10,28.29277470355731,2.848313733381243,0.0,0.0,0.0,3.6987078692058932,30.206602946460652,6.056485806683435,0.0,17.256407732662595
2024-10-14,28.291624865253322,0.0,0.0,0.0,0.4581178871721164,0.0,0.0,0.0,0.0,0.0
2024-10-15,28.297517786561265,0.0,0.0,0.0,0.46458572763205175,0.0,0.0,6.050794107078692,0.0,0.0
2024-10-16,28.300248652533238,0.0,0.0,0.0,0.0,0.0,0.0,6.051369026230686,0.0,0.0
2024-10-17,28.302260869565217,2.8481700035932445,0.0,0.0,0.0,0.0,0.0,6.051541501976285,0.0,0.0
2024-10-18,28.3043305785124,2.844030585698886,0.0,0.0,0.4651031548688466,0.0,30.207235357527846,0.0,0.0,0.0
2024-10-21,28.296482932087674,2.8427945095220983,0.0,0.0,0.46524688465684516,0.0,30.212812073302192,0.0,0.0,0.0
2024-10-22,28.292544735896513,0.0,0.0,0.0,0.4646719655048509,0.0,0.0,0.0,0.0,17.256493970535395
2024-10-23,0.0,2.8416159252605104,0.0,0.0,0.4646144735896514,0.0,0.0,0.0,0.0,17.256695192238592
2024-10-24,28.292481494789794,2.8414721954725115,0.0,0.0,0.4657930578512397,3.697063600431189,0.0,0.0,0.0,17.256752684153792
2024-10-25,28.29823068630974,2.841529687387711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.257183873517786
2024-10-28,0.0,2.841443449514912,0.0,0.0,0.46579018325547966,0.0,0.0,0.0,0.0,17.258276219906577
2024-10-29,28.30072871002515,2.839931584620913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30,28.300720086237874,2.840926022278117,0.0,0.0,0.46576143729788,0.0,0.0,0.0,0.0,17.25856367948257
2024-10-31,28.300806324110674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,28.300461372619473,2.840322357168523,0.0,0.0,0.465157772188286,0.0,30.21338699245419,0.0,0.0,0.0
2024-11-04,28.301639956881065,2.8391725188645345,0.0,0.0,0.46512902623068636,0.0,0.0,0.0,0.0,0.0
2024-11-05,28.301582464965865,2.8485185770750987,0.0,0.0,0.46530150197628456,0.0,30.213358246496586,0.0,0.0,0.0
2024-11-06,0.0,2.844005461731944,0.0,0.0,0.4652756306144448,0.0,0.0,0.0,0.0,0.0
2024-11-07,28.284950053898672,2.8439479698167442,0.0,0.0,0.46958752425440176,0.0,0.0,0.0,0.0,17.258189982033777
2024-11-08,0.0,2.8453565217391303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-12,28.28503629177147,2.845212791951132,0.0,0.0,0.46935755659360406,0.0,0.0,0.0,0.0,0.0
2024-11-13,28.283598993891484,2.844982824290334,0.0,0.0,0.4684089399928136,0.0,30.215686669062165,0.0,0.0,0.0
2024-11-14,28.282535393460297,2.8445803808839383,0.0,0.0,0.0,0.0,30.216520301832556,0.0,0.0,0.0
2024-11-15,28.28397269134028,2.8443504132231405,0.0,0.0,0.4682364642472152,0.0,30.217008983111747,6.0514552641034856,0.0,0.0
2024-11-18,0.0,2.84437915918074,0.0,0.0,0.503203018325548,0.0,0.0,0.0,0.0,17.258218727991377
2024-11-19,28.286847287100255,2.8442641753503413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-20,28.28685591088753,2.843516780452749,0.0,0.0,0.5031742723679482,0.0,0.0,0.0,0.0,17.258419949694574
2024-11-21,0.0,2.8433155587495507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-22,28.288379446640317,2.840009773625584,0.0,0.0,0.5030305425799497,0.0,0.0,0.0,0.0,0.0
2024-11-25,28.288753144089114,2.8383712540424004,0.0,0.0,0.5030592885375493,0.0,0.0,0.0,0.0,0.0
2024-11-26,28.288810636004314,2.838026302551204,0.0,0.0,0.5029730506647503,0.0,0.0,0.0,0.0,0.0
2024-11-27,0.0,2.8378825727632053,0.0,0.0,0.5039216672655408,0.0,0.0,0.0,0.0,17.25879364714337
2024-11-28,0.0,2.837911318720805,0.0,0.0,0.503892921307941,0.0,0.0,0.0,0.0,0.0
2024-11-29,28.28889687387711,2.8378538268056053,0.0,0.0,0.5038066834351419,0.0,0.0,0.0,0.0,0.0
2024-12-02,28.2897592526051,2.836502766798419,0.0,0.0,0.503605461731944,0.0,0.0,0.0,0.0,0.0
2024-12-03,0.0,2.833915630614445,0.0,0.0,0.502196909809558,0.0,0.0,0.0,0.0,0.0
2024-12-04,28.2898167445203,2.829948688465685,0.0,0.0,0.5033754940711462,0.0,0.0,0.0,0.0,0.0
2024-12-05,0.0,2.8299199425080848,0.0,0.0,0.5037779374775423,0.0,0.0,0.0,0.0,0.0
2024-12-06,0.0,2.829862450592885,0.0,0.0,0.503892921307941,0.0,0.0,0.0,0.0,0.0
2024-12-09,0.0,2.829804958677686,0.0,0.0,0.5038641753503413,0.0,0.0,0.0,0.0,0.0
2024-12-10,28.286942148760332,2.831932159540065,0.0,0.0,0.5026855910887531,0.0,30.217928853754938,0.0,0.0,0.0
2024-12-11,0.0,2.8321333812432625,0.0,0.0,0.5021681638519583,0.0,0.0,0.0,4.113227452389507,0.0
