date,CHINA MERCHANTS BANK CO LTD,CMB INTERNATIONAL SECURITIES LTD,SHANXI SECURITIES INTERNATIONAL LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,WOCOM SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-05-29,0.0,74.83940968832339,0.0,17.272031550062486,0.030301809736951728,0.44240642215949527,7.415850529717678
2024-05-30,0.0,74.83374069389235,0.0,17.270723214640313,0.6605294141739629,0.44994778901299765,6.785058888280365
2024-06-12,0.0,74.82920611667407,0.0,17.269676689004868,0.6604893891584317,0.455980059946532,6.7846477452160965
2024-06-17,0.0,74.82467208897113,0.0,17.268630290190927,0.6604493689932669,0.4620115998691432,6.784236651975531
2024-06-18,0.0,74.81900532694627,0.0,17.26732246998112,0.6679727376545328,0.4619766099424773,6.783722855475609
2024-06-19,0.0,74.81900532694627,0.0,17.26732246998112,0.6831195117510075,0.4619766099424773,6.768576081379134
2024-06-20,0.0,74.80201018969169,0.0,17.26340019763716,0.7435376751789338,0.4618716719543275,6.729180265537899
2024-06-28,0.0,74.78162621378497,0.0,17.258695822276067,0.808433646411879,0.461745809280193,6.689498508246898
2024-07-03,0.0,74.77257023451811,0.0,17.256605811675165,0.8128769579710143,0.4692585790894124,6.688688416746304
2024-07-09,0.0,74.76351644832552,0.0,17.254516307209308,0.8173191934993882,0.4782830836033457,6.686364967362439
2024-07-10,0.0,74.7623848792123,0.0,17.254255154729538,0.8173068231187677,0.47978937579379505,6.686263767145594
2024-07-12,0.0,74.75559618378705,0.0,17.25268840584607,0.8611210265724922,0.48277259661972766,6.647821787174665
2024-07-17,0.0,74.75446485441066,0.0,17.252427308694664,0.8611079946181809,0.4842786612966923,6.647721180979802
2024-07-22,0.0,74.75333355927619,0.0,17.252166219445876,0.8610949630583073,0.4857846803896602,6.647620577829981
2024-07-23,0.0,74.75107107172668,0.0,17.251644064654712,0.861068901121801,0.48879658183188357,6.647419380664919
2024-07-26,0.0,74.75107107172668,0.0,17.251644064654712,0.885281734896755,0.4872832797209489,6.6247198490009
2024-08-01,0.0,74.74880872112614,0.0,17.251121941469712,0.8852549417333142,0.4902950446522971,6.624519351018543
2024-08-09,0.0,74.74767759717783,0.0,17.250860891728625,0.8852415457597583,0.49180085875542134,6.624419106578368
2024-08-14,0.0,74.74654650746209,0.0,17.250599849888005,0.8852281501916212,0.49330662728627095,6.624318865172013
2024-09-11,0.0,74.73976068796469,0.0,17.249033764733937,0.8881739315700721,0.4993141352949298,6.623717480436361
2024-09-16,0.0,74.73862983783347,0.0,17.248772778186524,0.888160493052236,0.5008196306648894,6.623617260262882
2024-09-17,0.0,74.73749902192239,0.0,17.248511799536708,0.8881470549410568,0.5023250804777357,6.62351704312212
2024-09-19,0.0,74.7363682402299,0.0,17.248250828784126,0.8881336172365161,0.5038304847355364,6.623416829013936
