date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,ICBC (ASIA) SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,FUTU SECURITIES INTERNATIONAL,UOB KAY HIAN (HONG KONG) LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-07-09,4.06680357442548,12.784668069616615,6.769556558580178,0.00961627182565269,4.604479772652976,0.31195911530090115,0.4537252071418617,0.8760655436442771,0.6262727588058002,0.8262289803959106,31.329375852389653
2024-07-10,4.06300196272935,12.784668069616615,6.775639137293984,0.009236110656039711,4.604479772652976,0.31195911530090115,0.4537252071418617,0.8760655436442771,0.6262157346303583,0.8262289803959106,31.331219634062276
2024-07-11,4.06300196272935,12.784668069616615,6.7794407489901145,0.009236110656039711,4.604479772652976,0.31195911530090115,0.4537252071418617,0.8760655436442771,0.6262157346303583,0.8224273686997808,31.331219634062276
2024-07-12,4.06300196272935,12.784477989031808,6.78134155483818,0.009236110656039711,4.604479772652976,0.31195911530090115,0.4537252071418617,0.8760655436442771,0.6262157346303583,0.8205265628517158,31.331029553477467
2024-07-15,4.048745918868864,12.784477989031808,6.788944778230439,0.009236110656039711,4.604479772652976,0.3123392764705141,0.4537252071418617,0.8760655436442771,0.6224141229342286,0.8205265628517158,31.320955282482725
2024-07-16,4.048745918868864,12.784477989031808,6.7893249394000525,0.009236110656039711,4.604479772652976,0.31195911530090115,0.4537252071418617,0.8760655436442771,0.6224141229342286,0.8205265628517158,31.320955282482725
2024-07-17,4.0449443071727345,12.784477989031808,6.793126551096182,0.009236110656039711,4.604479772652976,0.31195911530090115,0.4537252071418617,0.8760655436442771,0.6224141229342286,0.8205265628517158,31.320955282482725
2024-07-18,4.0407150141607895,12.784477989031808,6.79806864630115,0.009236110656039711,4.604479772652976,0.31195911530090115,0.4537252071418617,0.8760655436442771,0.6224141229342286,0.8205265628517158,31.321668084675746
2024-07-19,4.03691340246466,12.785618472540646,6.805671869693411,0.009236110656039711,4.604479772652976,0.31195911530090115,0.4537252071418617,0.8760655436442771,0.6224141229342286,0.8262289803959106,31.33231259742491
2024-07-22,7.488491701673293,12.785618472540646,6.845588792502773,0.009236110656039711,4.604479772652976,0.31195911530090115,0.4537252071418617,0.8760655436442771,0.6129100936939041,0.8262289803959106,34.81430379020259
2024-07-23,7.488491701673293,12.785618472540646,6.847489598350838,0.009236110656039711,4.604479772652976,0.31195911530090115,0.4537252071418617,0.8760655436442771,0.6129100936939041,0.8262289803959106,34.816204596050646
2024-07-24,7.484690089977164,12.785618472540646,6.851291210046968,0.009236110656039711,4.604479772652976,0.31195911530090115,0.4537252071418617,0.8760655436442771,0.6129100936939041,0.8262289803959106,34.816204596050646
2024-07-26,7.480888478281034,12.785618472540646,6.855472982912711,0.009236110656039711,4.604479772652976,0.31195911530090115,0.4537252071418617,0.8760655436442771,0.608633280535758,0.8262289803959106,34.81230794406211
