date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,SHANGHAI COMMERCIAL BANK LTD,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,HANG SENG BANK LTD,THE BANK OF EAST ASIA LTD,UOB KAY HIAN (HONG KONG) LTD
2024-06-06,23.62336226396505,4.221677005988296,1.8489809112268423,0.6840224686302244,0.0,1.0831414735420284,0.23310426794898215,0.0,0.0,0.5349539445703153
2024-06-07,23.618396383570143,4.215287962694336,1.8491756516344853,0.7045675816365883,0.0,1.0854296733318365,0.23329900835662537,0.0,0.0,0.5359276466085315
2024-06-11,23.61162253323068,4.2319857842073,1.851833858198816,0.7306627962607851,0.6492204103802973,1.09636317877856,0.23427271039484168,0.0,0.0,0.5407961567996131
2024-06-12,23.672886891773214,4.091765874789885,1.8535865218676055,0.7367971191015479,0.6494151507879407,1.10301745850773,0.23602537406363103,0.0,0.8928083334343467,0.5409908972072563
2024-06-13,23.698691066858185,4.045067125037031,1.8755902405272171,0.7411787782735212,0.6508757038452652,1.0989279099472216,0.23651222508273917,1.9331671894510234,0.0,0.5431330416913323
2024-06-14,23.696121954030353,4.045433139633197,1.8798763795292415,0.7464367692798892,0.0,1.0939133444504077,0.23797277814006362,0.0,0.0,0.5413803780225429
2024-06-17,23.695063637285017,4.0258859738458,1.8589421751884063,0.0,0.6528231079216977,1.0992200205586864,0.2391412205859232,0.0,0.0,0.0
2024-06-18,23.687367301634545,4.026717710126845,1.8575789923349035,0.7449762162225647,0.6534073291446275,1.0968831356669673,0.23816751854770687,0.0,0.0,0.5421593396531159
2024-06-19,23.679563079798243,4.008314644234353,1.8710160804622886,0.7780820855219189,0.6535046993484491,1.1073991176797033,0.23894648017827994,0.0,0.0,0.0
2024-06-20,23.672425843858118,4.006683206469321,1.8713081910737532,0.7778873451142757,0.6542836609790221,1.1124533128494727,0.24060177364324764,0.0,0.0,0.542938301283689
2024-06-21,23.692291312841807,4.0049305428005315,1.8723792633157914,0.7778579393127215,0.0,1.1151309934545675,0.0,0.0,0.0,0.5441067437295486
2024-06-24,23.683624780480457,4.006196355450213,1.8722818931119698,0.778539530739473,0.6551599928134169,1.116606736263688,0.24050440343942603,0.0,0.0,0.5440093735257269
2024-06-25,23.686569742295045,4.066125963238758,1.8618627944520363,0.8115772408961519,0.0,1.1140125992934724,0.24196495649675046,0.0,0.8958268097528174,0.5461515180098027
2024-06-26,23.70100545923282,4.048115396637871,1.8696524107577668,0.8144009768069792,0.0,0.0,0.24264654792350188,0.0,0.0,0.5507279175894194
2024-06-27,23.704956547363494,4.063357630973905,1.8694576703501233,0.0,0.0,1.1157089829844526,0.23544115284070125,0.0,0.0,0.5504844920798653
2024-06-28,23.72543155382311,4.071244617483457,1.8717945552418427,0.813427274768763,0.0,1.11740809304114,0.23992018221649625,0.0,0.0,0.0
2024-07-02,23.712244999230155,4.072706533723635,1.8747511041106824,0.809201018442089,0.0,1.1177654416891656,0.24060177364324764,0.0,0.8990400264789311,0.552918747175406
2024-07-03,23.695070063718468,4.072696796703252,1.884342069187113,0.8237091788115118,0.6561336948516332,1.1163048886318412,0.24069914384706928,0.0,0.0,0.5538924492136224
2024-07-04,23.682429561228545,4.06470046345481,1.8858026222444375,0.8563375446313246,0.6551599928134169,1.1210359120951263,0.24138073527382067,0.0,0.0,0.5543793002327305
2024-07-05,23.673179391865492,4.103796645063474,0.0,0.8603297229880116,0.648538818953546,1.1281926220760163,0.0,0.0,0.8980663244407149,0.0
2024-07-08,23.671668595782997,4.101721101798812,1.8860947328559023,0.8604270931918332,0.6495125209917624,1.1285719763901052,0.24099125445853417,0.0,0.0,0.0
2024-07-09,23.67009441169781,4.085573129826829,1.8863873303183862,0.8605244633956548,0.6504862230299786,1.1356137895304854,0.24128336506999906,0.0,0.0,0.5552556320671251
2024-07-10,23.630529392557744,4.085767870234473,1.892336649771888,0.8793463185347836,0.650096742214692,1.1389240843498096,0.24196495649675046,0.0,0.8985531754598229,0.0
2024-07-11,23.58949554389303,4.091902193075235,1.893119993061633,0.8852761639475207,0.6509730740490868,1.1393182389348795,0.24449658179611283,0.0,0.0,0.548439717799611
2024-07-12,23.62788072827339,4.092928767134127,1.8907831081699138,0.8859577553742722,0.6491230401764757,1.144815468532037,0.2424518075158586,0.0,0.0,0.0
2024-07-15,23.598397420037013,4.101527237723003,1.894055136499136,0.889170972100386,0.6489282997688325,1.152537217805704,0.24293865853496677,0.0,0.0,0.5485370880034326
2024-07-16,23.608103574064568,4.074280425698208,1.891620881403595,0.8992974732978356,0.6453256022274322,1.1527825907193345,0.2407965140508909,0.0,0.0,0.5483423475957894
2024-07-17,23.60869831126951,4.124457823352793,1.8899655879386272,0.8989079924825489,0.6472730063038649,1.1640464732676243,0.22794364714643578,0.0,0.0,0.5486344582072543
2024-07-18,23.61288523003384,4.114606977202363,1.890062958142449,0.9008553965589815,0.0,1.170234252350285,0.0,0.0,0.0,0.5567161851244496
2024-07-19,23.6292619246146,4.077503963665927,1.8897708475309842,0.8992974732978356,0.6461045638580053,1.173690894585953,0.22823575775790064,0.0,0.0,0.5568135553282713
2024-07-22,29.077217622239036,4.074702525531775,1.8898415382989586,0.9002711753360518,0.0,1.1749730654298762,0.23076738305726302,0.0,0.0,0.5573977765512009
2024-07-23,29.060070729346048,4.056393713996582,1.8888678362607423,0.8994341810640011,0.0,1.1739953712133033,0.22989105122286835,0.0,0.0,0.5586635892008822
2024-07-24,29.020977858324315,4.035650939476461,1.892135190820181,0.9008947341213256,0.6471756361000433,1.1827586895572502,0.2300857916305116,0.0,0.8984558052560013,0.5595399210352768
2024-07-25,29.00838604093631,4.055883883609372,1.899437956106803,0.8979736280066767,0.0,1.1833156471231097,0.23164371489165766,0.0,0.0,0.0
2024-07-26,29.029472240165305,4.029938521728857,1.904209096094063,0.9040105806436176,0.0,1.1716052248200939,0.22979368101904674,0.0,0.8985531754598229,0.5605136230734932
2024-07-29,29.01512298796852,4.0157515856618415,1.9057767563755914,0.9062500953315152,0.0,1.1652927145063374,0.22998842142668996,0.0,0.8997216179056825,0.5608057336849581
2024-07-30,29.014091545399438,4.016821586831637,1.905874126579413,0.9050816528856556,0.0,0.0,0.0,0.0,0.9006953199438987,0.5610004740926013
2024-07-31,29.011531682740966,4.0221368315178525,1.906102946558394,0.9059579847200503,0.0,1.1653900847101593,0.2300857916305116,0.0,0.0,0.5613899549078878
2024-08-01,29.028347127460147,4.013298051265944,1.9080503506348263,0.9257241360958411,0.6481493381382595,1.155801067037805,0.23174108509547933,0.0,0.9007926901477205,0.5616820655193527
2024-08-02,29.063309749176174,3.978720723446437,1.9074667136331196,0.9237767320194086,0.0,1.16446701517793,0.2320331957069442,0.0,0.0,0.5585662189970605
