date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,ABN AMRO CLEARING HONG KONG LTD,BOCI SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD
2024-06-06,17480933.0,14916200.0,7969050.0,3090600.0,6298500.0,0.0,2439600.0,3030800.0,2910000.0,1926400.0
2024-06-07,17626433.0,14941600.0,7994050.0,3119600.0,6308300.0,0.0,1857700.0,3021800.0,2916300.0,1936100.0
2024-06-11,17533433.0,14912000.0,8022150.0,3130300.0,6304200.0,3639968.0,2262000.0,2999300.0,2797500.0,1916000.0
2024-06-12,17499233.0,14956100.0,8028450.0,3109000.0,6289600.0,3614868.0,2145900.0,3001800.0,2814600.0,1915100.0
2024-06-13,17619933.0,15190800.0,8183150.0,3197500.0,6372700.0,3932368.0,282600.0,3054100.0,2972300.0,1943900.0
2024-06-14,17721833.0,14504100.0,8199350.0,3174300.0,6379700.0,0.0,730100.0,3052100.0,2871600.0,1948900.0
2024-06-17,17709833.0,15212500.0,8207250.0,3190000.0,6427100.0,0.0,64900.0,0.0,2871100.0,1931500.0
2024-06-18,17708833.0,15192500.0,8207750.0,3174900.0,6406600.0,3858568.0,109000.0,3056100.0,2867100.0,1955400.0
2024-06-19,17660833.0,15175500.0,8284750.0,3151800.0,6408800.0,3910568.0,60600.0,3059100.0,2846300.0,0.0
2024-06-20,17642833.0,15166400.0,0.0,3153900.0,6409800.0,0.0,97800.0,0.0,2839500.0,1935400.0
2024-06-21,17606033.0,15179900.0,8249750.0,3082500.0,6393400.0,3890368.0,266100.0,3064100.0,2849000.0,1946300.0
2024-06-24,17628733.0,15280600.0,0.0,3095900.0,6364500.0,3729968.0,278100.0,3065100.0,2848500.0,1972600.0
2024-06-25,17475433.0,15336500.0,8254050.0,3083100.0,0.0,3721968.0,629000.0,3064100.0,2840100.0,0.0
2024-06-26,17495433.0,15348800.0,8269350.0,3094600.0,6374500.0,3640968.0,508800.0,0.0,2845100.0,1972100.0
2024-06-27,17539633.0,15356800.0,8179950.0,3108900.0,0.0,0.0,538200.0,0.0,2821000.0,1981100.0
2024-06-28,17583133.0,15378700.0,8262250.0,3146000.0,6390500.0,3639068.0,416300.0,0.0,2852200.0,1991100.0
2024-07-02,17685633.0,15446100.0,8297750.0,3189900.0,6418900.0,3636068.0,124900.0,3102100.0,2828700.0,0.0
2024-07-03,17763633.0,15409000.0,8246250.0,3167300.0,6412700.0,3777912.0,18800.0,3112100.0,2817500.0,1994100.0
2024-07-04,17730633.0,15406500.0,0.0,3159300.0,6412600.0,0.0,228800.0,3122100.0,2809500.0,0.0
2024-07-05,17729633.0,15416700.0,8236250.0,3142700.0,6409600.0,0.0,329800.0,0.0,2812700.0,0.0
2024-07-08,17727833.0,15349200.0,8227250.0,3103800.0,6416000.0,0.0,419400.0,3157100.0,2807800.0,2001400.0
2024-07-09,17573633.0,15427700.0,8260250.0,3087000.0,6400300.0,0.0,639100.0,3152100.0,2811600.0,2012400.0
2024-07-10,17672933.0,15380800.0,8211350.0,3059200.0,6381300.0,3776312.0,966100.0,3169900.0,2804200.0,2018300.0
2024-07-11,17487933.0,15415800.0,8329850.0,3058900.0,6381700.0,0.0,1020700.0,3178500.0,2807200.0,1974300.0
2024-07-12,17700933.0,15446600.0,8342350.0,3082500.0,6374200.0,0.0,635500.0,3142100.0,2843100.0,2016800.0
2024-07-15,17661033.0,15434600.0,8371350.0,3095300.0,6371200.0,0.0,589400.0,3140400.0,2853100.0,2016700.0
2024-07-16,17080033.0,15330000.0,8295250.0,3205700.0,6315200.0,3910417.0,1215100.0,3358200.0,2814300.0,1972900.0
2024-07-17,17086433.0,15306300.0,8277250.0,3233000.0,6320300.0,0.0,1250000.0,3359000.0,2776400.0,2035700.0
2024-07-18,17275033.0,15164000.0,8275750.0,3279000.0,6288700.0,0.0,1168800.0,3361500.0,2771400.0,1987000.0
2024-07-19,17256433.0,14972000.0,8206150.0,3281300.0,6173000.0,3722417.0,2181100.0,3380200.0,2741400.0,1979700.0
2024-07-22,17114733.0,14398300.0,8199050.0,3180100.0,6133800.0,3721417.0,3208400.0,3377600.0,2756300.0,1947800.0
2024-07-23,16197833.0,13732900.0,8159750.0,3146900.0,6164400.0,3689417.0,2627500.0,3078100.0,2763500.0,1950600.0
2024-07-24,17150533.0,13757400.0,8160750.0,3182900.0,6178400.0,3684417.0,2525800.0,3076400.0,2770600.0,943700.0
2024-07-25,17219833.0,14674100.0,8170250.0,3187900.0,6187400.0,0.0,1277200.0,3347400.0,2773600.0,934300.0
2024-07-26,17227233.0,13931800.0,8139750.0,3218100.0,6194400.0,3827485.0,1931500.0,3344900.0,2806200.0,939300.0
2024-07-29,17105833.0,13796000.0,8173550.0,3218600.0,6265100.0,0.0,2235900.0,3107300.0,2758100.0,957300.0
2024-07-30,17362833.0,13891500.0,8263850.0,3219900.0,6272200.0,0.0,1311700.0,3380500.0,2755500.0,1011300.0
2024-07-31,17247833.0,14017000.0,8224350.0,3196000.0,6279000.0,3826485.0,1271300.0,3374500.0,2799100.0,977800.0
2024-08-01,17325733.0,14036000.0,8239350.0,3197700.0,0.0,3440685.0,1591100.0,3363300.0,2797100.0,1014200.0
2024-08-02,17267933.0,14229100.0,8307350.0,3180300.0,6287700.0,3437885.0,1219900.0,3401800.0,2778600.0,982700.0
2024-08-05,17123433.0,14597500.0,8271050.0,3171500.0,6258100.0,3353685.0,1340300.0,3342900.0,2748600.0,974300.0
2024-08-06,17080433.0,13910700.0,8161950.0,3187800.0,6257200.0,3347085.0,2180900.0,3332900.0,2728200.0,964500.0
2024-08-07,16764333.0,13932600.0,8107450.0,3212300.0,6219600.0,3346985.0,2718600.0,3059600.0,2732900.0,963600.0
2024-08-08,16789333.0,13834200.0,8204950.0,3258900.0,6255900.0,3347285.0,2477100.0,3064600.0,2757400.0,977100.0
2024-08-09,16801733.0,14078400.0,8507350.0,3342200.0,6279400.0,3347585.0,1404900.0,3070600.0,2804800.0,989700.0
2024-08-12,16725233.0,14005500.0,8516050.0,3425500.0,6292300.0,0.0,1275600.0,3069100.0,2899200.0,1034600.0
2024-08-13,16681033.0,14064500.0,8500050.0,3393300.0,6260800.0,3347885.0,1486200.0,3065400.0,2811200.0,1022600.0
2024-08-14,16684833.0,14184500.0,8492050.0,3363500.0,6239800.0,3260385.0,1380800.0,3328300.0,2822300.0,967200.0
2024-08-15,16473233.0,14276000.0,8324250.0,3299200.0,6230500.0,3157101.0,1894100.0,3315900.0,2833700.0,973500.0
2024-08-16,16427533.0,14230800.0,8324550.0,3261100.0,6203000.0,3156301.0,2154100.0,3300000.0,2806800.0,963000.0
2024-08-19,16492333.0,14048600.0,8330550.0,3275300.0,6213400.0,0.0,2187100.0,3305800.0,2807800.0,959400.0
2024-08-20,16478033.0,14126600.0,8289550.0,3258000.0,6212000.0,3143301.0,2568100.0,3045600.0,2799100.0,957400.0
2024-08-21,16470733.0,14546400.0,8117050.0,3213000.0,6110300.0,3089601.0,2561400.0,3272300.0,2660000.0,1031500.0
2024-08-22,16425633.0,14533100.0,8043050.0,3206500.0,6114200.0,3079601.0,2921100.0,3315700.0,2684200.0,996500.0
2024-08-23,16440933.0,14508900.0,8164850.0,3258000.0,6138400.0,0.0,2672500.0,0.0,2702800.0,1004500.0
2024-08-26,16367733.0,14488900.0,8114850.0,3212100.0,6147500.0,3072101.0,2793300.0,3305700.0,2704500.0,0.0
2024-08-27,16448733.0,13978600.0,8129850.0,3152100.0,6172500.0,3256074.0,3346300.0,3056100.0,2732400.0,0.0
2024-08-28,16474533.0,14219700.0,8053350.0,3142500.0,6166400.0,3255974.0,3084500.0,3307300.0,2721900.0,989400.0
2024-08-29,16488033.0,14149900.0,8249350.0,3184900.0,6171100.0,0.0,2869200.0,0.0,2722400.0,990400.0
2024-08-30,16445133.0,14156400.0,8138250.0,3231400.0,6176400.0,3254974.0,3049000.0,3301600.0,2700900.0,0.0
2024-09-02,16425833.0,13941700.0,8128250.0,3263700.0,6178000.0,3154974.0,3308200.0,3309300.0,2709500.0,988400.0
2024-09-03,16442133.0,13927300.0,8122250.0,3256200.0,6130700.0,3152974.0,3427500.0,3302300.0,2688200.0,972000.0
2024-09-04,16470133.0,13823700.0,8086750.0,3318200.0,6139300.0,3080174.0,3361200.0,3294500.0,2728200.0,968700.0
2024-09-05,15581733.0,13872500.0,8174750.0,3300300.0,6129300.0,3079174.0,3148900.0,3292900.0,2715500.0,1968200.0
2024-09-09,15727633.0,13902500.0,8079950.0,3271100.0,6134000.0,3099174.0,3100400.0,3277700.0,2707400.0,1960700.0
2024-09-10,15698133.0,13695800.0,0.0,3242800.0,6130400.0,0.0,1864500.0,3238600.0,2726400.0,1948300.0
2024-09-11,15661033.0,13509200.0,8047350.0,3271200.0,6155400.0,0.0,1974100.0,3249600.0,2707400.0,1961300.0
2024-09-12,15629533.0,13493200.0,7797350.0,3259000.0,6216800.0,0.0,1632400.0,0.0,2708400.0,0.0
2024-09-13,15543833.0,13474700.0,7766350.0,3323700.0,6196800.0,2987501.0,1816100.0,3252300.0,2738200.0,1941300.0
2024-09-16,15557833.0,13454700.0,7763450.0,3325900.0,6197300.0,0.0,1904500.0,3236600.0,2738100.0,1904700.0
2024-09-17,14770633.0,13210800.0,7661850.0,3024600.0,6119300.0,2843922.0,4357400.0,3204400.0,2673600.0,1893600.0
2024-09-19,14761433.0,13086700.0,7721050.0,3077000.0,6089700.0,2838222.0,456100.0,3191400.0,2700900.0,1840100.0
2024-09-20,14689433.0,12955300.0,7614050.0,3011000.0,6077600.0,2748922.0,1126400.0,3174200.0,2681000.0,1833100.0
2024-09-23,14632633.0,12814900.0,7765050.0,3057200.0,6094300.0,3148922.0,838800.0,3187500.0,2680800.0,1836200.0
2024-09-24,14673733.0,12798200.0,7675550.0,3066400.0,6055500.0,3127922.0,866000.0,3271500.0,2683900.0,1826800.0
2024-09-25,14614133.0,12862500.0,7565850.0,3041500.0,5975000.0,3126922.0,1131100.0,3265500.0,2626800.0,1870300.0
2024-09-26,14550433.0,12796000.0,7558650.0,3058800.0,5964600.0,3121922.0,1505500.0,3226500.0,2558700.0,1832300.0
2024-09-27,14557833.0,12810000.0,7519150.0,2883500.0,5931400.0,3042122.0,1011700.0,3228000.0,2557500.0,1862100.0
2024-09-30,14359233.0,12777500.0,7496650.0,2908800.0,5899400.0,0.0,1338500.0,3234400.0,2538600.0,1831500.0
2024-10-02,14181833.0,12735700.0,7465450.0,2863500.0,5896100.0,3040422.0,1741200.0,3219200.0,2505700.0,0.0
2024-10-03,13994333.0,12676900.0,7363950.0,2826200.0,5769800.0,2989922.0,564600.0,3003600.0,2447000.0,1831200.0
2024-10-04,14068833.0,12716400.0,7378550.0,2856700.0,5743700.0,0.0,335200.0,3022400.0,2426300.0,1882700.0
2024-10-07,14201033.0,12741000.0,7377750.0,2834900.0,5735800.0,2989422.0,146800.0,3022600.0,2423300.0,1914500.0
2024-10-08,14118833.0,12604200.0,7431050.0,2933200.0,5723900.0,2985422.0,143500.0,3025600.0,2441600.0,1908500.0
2024-10-09,14168233.0,12567000.0,7496650.0,2904500.0,5733900.0,2985222.0,400.0,3025100.0,2451600.0,1920500.0
2024-10-10,14134133.0,12578100.0,7474650.0,2905000.0,5708900.0,0.0,83800.0,3016700.0,2433800.0,1983200.0
2024-10-14,13915033.0,12548200.0,7312450.0,2837700.0,5636400.0,2846101.0,1003900.0,3004200.0,2349200.0,1971700.0
2024-10-15,13752333.0,12524200.0,7219150.0,2827600.0,5646100.0,2831101.0,1322300.0,3025100.0,2343700.0,1949000.0
2024-10-16,13805433.0,12715300.0,7260950.0,2926900.0,5717100.0,2956862.0,426400.0,3046300.0,2361200.0,1986200.0
2024-10-17,13824033.0,12770600.0,7269550.0,2970400.0,5766900.0,0.0,89000.0,3032300.0,2357900.0,0.0
2024-10-18,13839033.0,12703100.0,7310350.0,3040100.0,5811900.0,2956362.0,1532600.0,3016600.0,2367100.0,1992200.0
2024-10-21,13844033.0,12807100.0,7342950.0,3033700.0,5821600.0,0.0,1274800.0,3025600.0,2374200.0,1995600.0
2024-10-22,13867933.0,12805700.0,7409850.0,3159300.0,5837400.0,2955862.0,1010700.0,3032100.0,2406100.0,1993200.0
2024-10-23,13962533.0,12694100.0,7423950.0,3149400.0,5814900.0,3074890.0,882600.0,3045400.0,2416500.0,1988500.0
2024-10-24,13920133.0,12659600.0,7417050.0,3170000.0,5829200.0,2949229.0,1075000.0,3012100.0,2412100.0,1971200.0
2024-10-25,13821933.0,12628800.0,7371050.0,3176700.0,5857400.0,3111772.0,1166700.0,3013500.0,2414600.0,1990600.0
2024-10-28,13802633.0,12526200.0,7352150.0,3142400.0,5739800.0,3049072.0,803800.0,3013900.0,2380500.0,1913100.0
2024-10-29,13646633.0,12384700.0,7272250.0,3131600.0,5730200.0,3047572.0,1343000.0,3033900.0,2375900.0,1915100.0
2024-10-30,13637433.0,12466700.0,7266350.0,3164800.0,5730300.0,3045572.0,1276200.0,3050200.0,2339300.0,1965700.0
2024-10-31,13505533.0,12500400.0,7270650.0,3221900.0,5717700.0,2984572.0,1443100.0,3078700.0,2319200.0,1976400.0
2024-11-01,13421533.0,12459000.0,6993550.0,3205600.0,5678100.0,3116707.0,1037200.0,3122700.0,2370700.0,1931300.0
2024-11-04,13362533.0,12169500.0,6814450.0,3224000.0,5588000.0,3009907.0,2133600.0,3070400.0,2347500.0,1930200.0
2024-11-05,13442153.0,11920000.0,6802050.0,3280900.0,5532400.0,0.0,744500.0,3052200.0,2292300.0,1980400.0
2024-11-06,13351633.0,11890600.0,6785750.0,3282200.0,5529000.0,0.0,1069100.0,3053400.0,2283600.0,1929700.0
2024-11-07,13323133.0,11705400.0,6819250.0,3214000.0,5449600.0,3409707.0,1010200.0,3046100.0,2262200.0,1939700.0
2024-11-08,13079733.0,11700400.0,6870650.0,3279700.0,5410300.0,0.0,1271200.0,3058400.0,2221700.0,1922200.0
2024-11-11,12967833.0,11637300.0,7113650.0,3237000.0,5483200.0,3408707.0,972800.0,3150500.0,2222500.0,1912000.0
2024-11-12,12952533.0,11622400.0,7101850.0,3261900.0,5474300.0,3388707.0,1399300.0,3146700.0,2126300.0,1862400.0
2024-11-13,12937333.0,11515900.0,7084250.0,3221800.0,5481100.0,0.0,1458400.0,3160700.0,2123800.0,1968700.0
2024-11-14,13018033.0,11381100.0,7087250.0,3241200.0,5485300.0,3319807.0,1716500.0,3021400.0,2088100.0,2004700.0
2024-11-15,13063033.0,11612800.0,7132050.0,3285600.0,5572500.0,0.0,1215400.0,3010400.0,2109600.0,1889200.0
2024-11-18,13029033.0,11337400.0,7151450.0,3256900.0,5298800.0,3503087.0,1145200.0,2876000.0,2137200.0,1884700.0
2024-11-19,13068433.0,11310000.0,7273850.0,3307700.0,5352000.0,3376881.0,594900.0,2891200.0,2181600.0,1943000.0
2024-11-20,13076033.0,11415200.0,7335150.0,3374400.0,5379400.0,0.0,662800.0,2926900.0,2204100.0,1917200.0
2024-11-21,13233633.0,11507500.0,7449350.0,3475300.0,5439300.0,0.0,1244500.0,3137100.0,2233700.0,1917700.0
2024-11-22,13320233.0,11659100.0,7525050.0,3509000.0,5449100.0,3476679.0,883700.0,3124500.0,2229900.0,1895400.0
2024-11-25,13424133.0,11674000.0,7494750.0,3518800.0,5438900.0,0.0,656600.0,3128100.0,2255000.0,2019000.0
2024-11-26,13463733.0,11749700.0,7496850.0,3656600.0,5442500.0,0.0,150800.0,3132100.0,2247400.0,1990500.0
2024-11-27,13443233.0,11490400.0,7367550.0,3554700.0,5422000.0,3410979.0,971600.0,3145100.0,2207200.0,2031700.0
2024-11-28,13407133.0,11454100.0,7370850.0,3470300.0,5447400.0,0.0,1458600.0,3067300.0,2150200.0,2032500.0
2024-11-29,13470633.0,11489000.0,7374050.0,3621300.0,5422500.0,3416198.0,1101100.0,3117300.0,2156100.0,0.0
2024-12-02,13477533.0,11475500.0,7332650.0,3598600.0,5413100.0,3516873.0,1290100.0,3083000.0,2160000.0,2006500.0
2024-12-03,13350633.0,11213400.0,7271150.0,3632800.0,5389800.0,0.0,1676700.0,3105400.0,2159400.0,0.0
2024-12-04,13376533.0,11196300.0,7291650.0,3598300.0,5336700.0,0.0,1910200.0,3061900.0,2165800.0,1899600.0
2024-12-05,13331833.0,11194300.0,7288750.0,3609700.0,5385900.0,0.0,2081000.0,0.0,2190700.0,2008000.0
2024-12-06,13323233.0,11202300.0,7254250.0,3591100.0,5380900.0,0.0,569500.0,3041400.0,2190200.0,2007000.0
2024-12-09,13278433.0,11188600.0,7207550.0,3534600.0,5370900.0,0.0,570900.0,3069700.0,2185200.0,0.0
2024-12-10,13221233.0,11161500.0,7210850.0,3508000.0,5370100.0,3516773.0,693300.0,3061700.0,2177100.0,1991600.0
2024-12-11,13207933.0,11161400.0,7228350.0,3475700.0,5372100.0,0.0,749700.0,3072300.0,2158600.0,1992100.0
2024-12-12,13187733.0,11124100.0,7210150.0,3500800.0,5386300.0,0.0,829900.0,3074300.0,2151000.0,1888700.0
2024-12-13,13277433.0,11039200.0,7244150.0,3510000.0,5365800.0,3116773.0,1247100.0,3058000.0,2193200.0,1972200.0
2024-12-16,13309933.0,11044800.0,7301150.0,3484800.0,5392300.0,0.0,1004300.0,3086500.0,2239200.0,1974100.0
2024-12-17,13071633.0,11195400.0,7323650.0,3459500.0,5443400.0,0.0,1061600.0,3099600.0,2249900.0,1885300.0
2024-12-18,13265733.0,11211500.0,7338050.0,3455700.0,5384400.0,0.0,957700.0,3117400.0,2163400.0,1887300.0
2024-12-19,13265933.0,11221500.0,7324550.0,3459200.0,5389600.0,0.0,930500.0,3110300.0,2161500.0,1891800.0
2024-12-20,13284633.0,11266000.0,7325650.0,3473400.0,5373200.0,0.0,727500.0,0.0,2189500.0,1892300.0
2024-12-23,13389433.0,11360200.0,7321850.0,3552100.0,5415300.0,0.0,116100.0,3162500.0,2228600.0,1898200.0
2024-12-27,13573133.0,11435100.0,7368750.0,3624200.0,5422200.0,3048473.0,521000.0,3157200.0,2254300.0,1887200.0
2024-12-30,13409833.0,11539200.0,7396050.0,3616800.0,5413400.0,0.0,472100.0,3185200.0,2271200.0,1894800.0
2025-01-02,13444133.0,11530000.0,7389150.0,3616700.0,5362900.0,0.0,514300.0,3189600.0,2273200.0,1902000.0
2025-01-03,13450433.0,11536800.0,7400850.0,3626100.0,5387400.0,0.0,452400.0,3195100.0,2268200.0,1903500.0
2025-01-06,13440433.0,11531800.0,7395650.0,3659500.0,5366400.0,0.0,465100.0,0.0,2238200.0,1896200.0
2025-01-07,13450133.0,11523200.0,7409650.0,3633300.0,5412700.0,0.0,366200.0,3241900.0,2262200.0,1894100.0
