date,FUNDERSTONE SECURITIES LTD,YUANTA SECURITIES (HONG KONG) CO LTD,CITIBANK N.A.,KGI ASIA LTD,TFI SECURITIES AND FUTURES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT
2024-11-20,54.64559491902129,4.5184000467395515,22.033316536307137,13.664745963236422,4.312210464303885,0.3478688468719799,0.25171195777860544,0.2261512657411262
2024-11-21,54.6314977378539,4.543031884213165,22.027632497998262,13.661220804443005,4.311098023086302,0.34777910550922014,0.2516470224608353,0.22609292443531528
2024-11-22,53.30454756920214,6.147989842599054,21.930972319143986,13.553781887260602,4.243719469644104,0.3462530045747073,0.24763510894006358,0.22510079863534155
2024-11-25,51.59647865992913,8.173509175966037,21.758362221079,13.447105375765064,4.210318814937328,0.3435277827192784,0.24736885123732505,0.22332911836683672
2024-11-26,49.80467352575018,10.326784291840172,21.586079590172144,13.292932472847474,4.176981526265329,0.3455776082881387,0.2454101855959246,0.22156079924063554
2024-11-27,49.150393523189976,12.013437956291028,21.488859079523735,12.377877230261518,4.158169019100417,0.3463953750638066,0.24430489440757844,0.220562922161944
2024-11-28,48.95860185174236,13.011387151320225,21.405006562688456,11.674963639158557,4.141943265262685,0.34504369213305114,0.2433515827312609,0.21970225496340265
2024-12-02,48.67175909925541,14.510376477945721,21.27959711946057,10.619109082915429,4.11767610153831,0.3430221212826535,0.24192581411915728,0.21653418348274428
2024-12-03,48.6715302382335,14.51030824824434,21.279497059992146,10.619059150465864,4.1176567396829356,0.3430205083474593,0.24239488972325604,0.21653316531049352
2024-12-05,48.66901290903491,14.514729841240733,21.27839646794135,10.61850992451118,4.117443771290739,0.3430027670613902,0.24238235287203105,0.21652196604766302
2024-12-06,48.66443661392427,14.522767929553526,21.276395683131916,10.617511477406023,4.1170566124668255,0.3429705148789025,0.24235956191922445,0.21650160671930718
2024-12-11,48.66466540824027,14.522836207889533,21.27649571343609,10.617561395301822,4.117075968678817,0.34297212734397586,0.24189055451470268,0.21650262459479216
2024-12-12,48.38448563454353,15.941316975826355,21.174455900002105,9.613076647740431,4.092651988892242,0.3413272694520282,0.23722128253896957,0.21546430100433034
2024-12-13,47.8507441036715,17.369281772092076,21.1755457657097,8.717511996200521,4.092862640872009,0.34134483783195724,0.23723349250281334,0.21547539111941924
2024-12-16,47.35070052129641,18.38786511806381,21.177081676010072,8.192402362212095,4.093159505470337,0.34136959634624564,0.24193020056341194,0.2154910200376232
2024-12-19,47.34959265897063,18.387434897965868,21.176586196730977,8.194550380668499,4.093063737991512,0.3413616093363219,0.24192454013280112,0.21548597820339443
2024-12-23,47.34848484848485,18.38700469799914,21.17609074063676,8.196698298613061,4.092967974993917,0.34135362270013286,0.24191887996705785,0.21548093660508733
2024-12-30,47.34804173880492,18.386832623648868,21.175892564690468,8.197557437649152,4.0929296710495535,0.34135042815029715,0.24191661597491929,0.21547892003181882
2025-01-03,47.33287023718475,18.41298353202029,21.169107276924482,8.194930734381614,4.091618193597578,0.3412410509008156,0.241839099815931,0.21540987517453813
2025-01-24,45.93358385733695,19.841360780287953,21.165147075673996,8.170714882014419,4.090852755958909,0.3411772133842488,0.2417938578747863,0.21536957746874102
2025-01-27,44.3024984571653,21.8075009818039,21.157874067286293,7.844613169262993,4.0894470106408845,0.34105997419258316,0.2417107699212687,0.21529556972677802
2025-02-04,44.30094506999783,21.80673634113217,21.16063852416672,7.844338112057297,4.089303621560593,0.34104801554000824,0.24170229476927246,0.21528802077611214
2025-02-18,44.30239489463165,21.80745000409084,21.16133104246292,7.844594831515832,4.089437451056021,0.341059176922987,0.23843753287282163,0.2152950664469301
2025-02-20,44.3024984571653,21.80726721897032,21.161380509789986,7.844613169262993,4.0894470106408845,0.34105997419258316,0.23843809025115478,0.21529556972677802
2025-02-27,44.302912712141755,21.807471130020105,21.161578381411005,7.844686521108982,4.089485249427276,0.34106316330824255,0.23750525971293654,0.21529758286969938
2025-02-28,44.305087677874695,21.808541725597824,21.162617268134625,7.84507164080709,4.0896860147887,0.34107990714397596,0.2326076131653571,0.21530815248773258
2025-03-10,44.305191252998185,21.808592708961612,21.16266674147532,7.845089980783528,4.0896955755357,0.3410807045104942,0.23237437990639565,0.215308655828763
2025-03-28,44.30560555833493,21.808796644800516,21.16286463715126,7.845163341546776,4.089733818970717,0.3410838940138491,0.23144143596553157,0.21531066921641875
2025-04-22,44.305501981274325,21.80874566048322,21.16304894156702,7.845145001227339,4.089724258044909,0.3410830966324181,0.2314408949047936,0.21531016586597468
