date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA MERCHANTS BANK CO LTD,HANG SENG BANK LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),STANDARD CHARTERED BANK (HONG KONG) LTD
2024-06-04,11.15587422818553,0.0,64.82315522211351,1.9941108395331735,0.0,0.0,0.0,3.9620342510556696,1.5404876696950833
2024-06-05,11.156822839738059,0.0,64.69529388315468,1.9996587798252272,0.0,0.0,0.0,0.0,0.0
2024-06-06,12.198677848617171,3.3748149542366517,64.672110391727,2.0013835281025494,0.0,0.0,0.0,3.962149234274158,0.0
2024-06-07,0.0,3.375332378719848,64.5865485042695,2.003252005402982,0.0,5.3100687588062,0.0,3.9627241503665984,1.540947602569036
2024-06-11,12.20921318601115,3.375648582570691,64.52281905542245,0.0,0.0,0.0,0.0,3.9622929632972674,0.0
2024-06-12,11.222978808190678,3.3830506272608662,64.47205396445992,2.004516820806352,0.0,0.0,0.0,0.0,0.0
2024-06-13,12.196817995058126,3.3945633220119924,64.4151516442106,2.004804278852572,0.0,5.310169369122377,0.0,3.9623935736134452,1.54382218303124
2024-06-14,12.196329316379552,3.397538512790374,64.41262201340385,0.0,0.0,0.0,0.0,3.962149234274158,0.0
2024-06-17,12.186670726026547,3.4039344543187773,64.41186024958138,2.0036544466676904,0.0,0.0,0.0,0.0,0.0
2024-06-18,12.202051599976638,3.407340832166489,64.41042295935027,2.0042293627601313,0.0,0.0,0.0,0.0,1.5364632570479977
2024-06-19,12.18807251518894,3.4139667401318694,0.0,2.0050917368987924,0.0,0.0,0.0,0.0,0.0
2024-06-20,12.187756311338099,3.4171431515426045,0.0,0.0,0.0,0.0,0.0,0.0,1.5350259668168957
2024-06-21,12.18693705590637,3.416683218668652,0.0,2.0051061098011034,0.0,0.0,0.0,3.9620055052510477,1.5335886765857938
2024-06-24,12.207512239260055,3.4178330508535333,0.0,2.007118316124646,0.0,5.310284352340865,0.0,0.0,1.532941895981798
2024-06-25,12.207196035409213,3.417775559244289,0.0,2.0055660426750563,0.0,0.0,0.0,3.9618617762279373,1.5304266380773697
