date,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,EVERBRIGHT SECURITIES INVESTMENT,ICBC (ASIA) SECURITIES LTD,TOTAL_CCASS_PCT
2024-04-22,25.443670712126654,17.236949952624535,1.9441095943634776,2.6070483735112187,0.0,1.9919849854707838,2.4721117853165144,1.998840787566776,2.742032779485249,56.43674897046521
2024-04-23,25.443670712126654,17.236949952624535,1.9441095943634776,2.5906290155502294,0.0,1.9919849854707838,2.4721117853165144,1.998840787566776,2.742032779485249,56.42032961250422
2024-04-24,25.419473763552563,17.236949952624535,1.9441095943634776,2.5906290155502294,0.0,1.9787342755373538,2.4721117853165144,1.998840787566776,2.742032779485249,56.3828819539967
2024-04-25,25.419473763552563,17.236949952624535,1.9441095943634776,2.5906290155502294,0.0,1.9787342755373538,2.4729759620513034,1.998840787566776,2.742032779485249,56.38374613073148
2024-04-26,25.419473763552563,17.236949952624535,2.012379556411802,2.5171739930931714,0.0,1.9787342755373538,2.4729759620513034,1.998840787566776,2.742032779485249,56.37856107032275
2024-04-30,25.419473763552563,17.236949952624535,2.012379556411802,2.5171739930931714,0.0,1.9787342755373538,2.4703834318469364,1.998840787566776,2.742032779485249,56.37596854011838
2024-05-03,25.419473763552563,17.236949952624535,2.3848397291058276,2.538778411462894,0.0,1.9787342755373538,2.4721117853165144,1.5278644671068136,2.742032779485249,56.300785164191744
2024-05-06,25.423794647226504,17.236949952624535,2.3848397291058276,2.531864997584583,0.0,1.9787342755373538,2.46779090164257,1.5278644671068136,2.742032779485249,56.29387175031344
2024-05-07,25.423794647226504,17.236949952624535,2.3848397291058276,2.530136644115005,0.0,1.9787342755373538,2.449643190212002,1.5278644671068136,2.7359835423417262,56.26794644826977
2024-05-08,25.423794647226504,17.236949952624535,2.3848397291058276,2.530136644115005,0.0,1.9787342755373538,2.4487790134772136,1.5278644671068136,2.7359835423417262,56.26708227153499
2024-05-10,25.418609586817777,17.236949952624535,2.3848397291058276,2.5370500579933166,0.0,1.9787342755373538,2.441865599598902,1.5278644671068136,2.7359835423417262,56.26189721112625
2024-05-13,25.371944043139173,17.236949952624535,2.4608872817672527,2.5370500579933166,0.0,1.9787342755373538,2.434952185720591,1.5278644671068136,2.7359835423417262,56.28436580623076
2024-05-14,25.377129103547908,17.236949952624535,2.4487888074802076,2.593221545754596,0.0,1.9787342755373538,2.3770523444897327,1.5278644671068136,2.7359835423417262,56.27572403888287
2024-05-16,25.377129103547908,17.236949952624535,2.4487888074802076,2.593221545754596,0.0,1.9787342755373538,2.35544792612001,1.5278644671068136,2.7351193656069372,56.25325544377836
2024-05-17,25.377129103547908,17.236949952624535,2.6138465638248918,2.6105050804503747,0.0,1.9787342755373538,2.2059453510015268,1.510580932411035,2.7351193656069372,56.26881062500456
