date,BOCI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,J.P. MORGAN BROKING (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,EAST ASIA SECURITIES CO LTD,CELESTIAL SECURITIES LTD
2024-07-04,97.34201725048408,2.279528252068298,0.0,0.0,0.3784544974476325,0.0
2024-07-05,97.07886220405383,2.461250212910918,0.0,0.0,0.45988758303525806,0.0
2024-07-08,96.87185508218718,2.6752767527675276,0.0,0.0,0.4528681650452868,0.0
2024-07-09,96.78116942526823,2.769691424769192,0.0,0.0,0.44913914996257176,0.0
2024-07-10,96.9734251968504,2.731299212598425,0.0,0.0,0.2952755905511811,0.0
2024-07-11,96.99804751057599,2.7090790758216725,0.0,0.0,0.292873413602343,0.0
2024-07-12,97.0102090422946,2.6981040350024306,0.0,0.0,0.2916869227029655,0.0
2024-07-15,97.00972447325769,2.6985413290113454,0.0,0.0,0.2917341977309562,0.0
2024-07-16,95.71690152057957,2.810285805270281,0.0,0.0,0.07165034631000718,1.4011623278401402
2024-07-17,95.8711940060577,2.654232424677188,0.0,0.0,0.07173601147776185,1.4028375577873424
2024-07-18,96.34757698734782,2.1803135195352907,0.0,0.0,0.07161613750298401,1.4004933556139094
2024-07-19,96.34990059642146,2.1789264413518885,0.0,0.0,0.07157057654075547,1.3996023856858848
2024-07-22,96.34931997136722,2.179273045414778,0.0,0.0,0.07158196134574087,1.399825021872266
2024-07-25,96.29778996612357,2.2100338764316825,0.0,0.0,0.07259235360542023,1.419583803839329
2024-07-26,95.89592274678111,2.449928469241774,0.0,0.0,0.08047210300429185,1.5736766809728182
2024-07-29,95.88734912829683,2.4586499776486366,0.0,0.0,0.08046490835940992,1.5735359856951274
2024-07-30,95.80169718624386,2.5457793657882983,0.0,0.0,0.08039303260384101,1.5721304153640019
2024-07-31,96.01896582572911,2.325997495079621,0.0,0.0,0.08051529790660225,1.5745213812846663
2024-08-01,96.02542297019068,2.3185032673887744,0.0,0.0,0.08056575060424312,1.5755080118163103
2024-08-07,96.02186184033688,2.3205805931368158,0.0,0.0,0.08063793566884687,1.5769196308574502
2024-08-20,96.23742816091954,2.101293103448276,0.0,0.0,0.08081896551724138,1.5804597701149428
2024-08-22,96.21567919075144,2.113439306358382,0.0,0.0,0.08128612716763006,1.5895953757225432
2024-08-23,96.4922260144103,1.7538869927948424,0.0,0.0,0.08532423208191127,1.6685627607129314
2024-08-26,96.12769172648281,1.7472610502455612,0.0,0.0,0.08500188893086513,2.040045334340763
2024-08-28,95.8090035788284,1.7423243548690903,0.0,0.0,0.0847617253720098,2.363910340930495
2024-09-03,95.58395189326318,1.9731278774781547,0.0,0.0,0.08456262332049234,2.3583576059381754
2024-09-09,95.11032161555721,1.963350785340314,0.4955123410620793,0.0,0.08414360508601347,2.3466716529543756
2024-09-10,95.11032161555721,1.963350785340314,0.4955123410620793,0.0,0.08414360508601347,2.3466716529543756
2024-09-26,95.20823584464202,1.8624239588207767,0.4960224613944782,0.0,0.08423022929340197,2.3490875058493215
2024-10-02,95.43151969981238,1.6322701688555346,0.49718574108818014,0.0,0.08442776735459662,2.354596622889306
2024-10-04,95.45199850579006,1.6249533059394843,0.49495704146432573,0.0,0.08404930892790437,2.3440418378782217
2024-10-07,95.22966551756265,1.8540948476660764,0.49380415540855305,0.0,0.08385353582409391,2.3385819435386193
2024-10-09,94.81214806609434,1.8369795993722884,0.48924582294839847,0.4615526631588664,0.08307947936859596,2.3169943690575097
2024-10-14,94.7946469773881,1.855099215505307,0.48915551453622524,0.46146746654360865,0.08306414397784956,2.316566682048916
2024-10-31,94.86006950795684,1.8200109749405522,0.48472654106456925,0.45728918968355586,0.08231205414304006,2.2955917322114505
2024-11-01,94.85818847209515,1.8206770356816102,0.484903934126258,0.4574565416285453,0.08234217749313814,2.2964318389752973
2024-11-04,94.73684210526315,1.8183479532163742,0.48428362573099415,0.45687134502923976,0.18274853801169588,2.3209064327485383
2024-11-05,94.95375034343805,1.5935525231248284,0.48539243520468905,0.45791739170253687,0.18316695668101474,2.3262203498488874
2024-11-07,94.9523635031147,1.593990472700623,0.4855258336386955,0.4580432392817882,0.18321729571271528,2.326859655551484
2024-11-08,95.0165806927045,1.6028002947678703,0.48820928518791457,0.46057479734708917,0.09211495946941783,2.339719970523213
2024-11-14,95.0165806927045,1.6028002947678703,0.48820928518791457,0.46057479734708917,0.09211495946941783,2.339719970523213
2024-11-21,94.99674509439227,1.6181530735608667,0.4928857063145169,0.4649865153910537,0.09299730307821073,2.3342323072630893
2024-12-12,97.25792630676949,1.6566695229934303,0.5046177282681139,0.4760544606302961,0.09521089212605922,0.009521089212605922
2024-12-27,97.23820483314154,1.668584579976985,0.508247027234369,0.4794783275795934,0.09589566551591869,0.009589566551591868
2025-01-28,97.23820483314154,1.668584579976985,0.508247027234369,0.4794783275795934,0.09589566551591869,0.009589566551591868
