date,GET NICE SECURITIES LTD,FUTURE GROWTH FINANCIAL SERVICES LTD,CS WEALTH SECURITIES LTD,HEAD & SHOULDERS SECURITIES LTD,GREAT BAY SECURITIES LTD,CNCB (HONG KONG) CAPITAL LTD,MONMONKEY GROUP SECURITIES LTD,WINBULL SECURITIES INTERNATIONAL (HONG,ADVENT SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2025-02-06,47.365169968255856,37.37782138055646,5.945833457204864,0.0,5.190051959977934,0.0,2.4470407917207573,0.16119815150644295,0.2523675978502509,1.2605166929274312
2025-02-07,46.70425416182166,36.85626528824137,5.862867528508193,0.0,6.505177237742535,0.0,2.4128957028438163,0.16285743134744982,0.2488461550989033,1.2468364943960757
2025-02-10,46.69877838679316,36.851944126909686,5.8621801447958495,0.0,6.526560561206046,0.0,2.412612806258203,0.15241668376469208,0.24881697947911272,1.2466903107932505
2025-02-11,46.68296669130119,36.83946646177688,5.86019527472921,0.0,4.92516856200575,0.0,2.4117959219552216,1.7854061603674993,0.2487327327718398,1.2462681950924122
2025-02-12,46.668988344957995,36.82843556854538,5.858440548219847,0.0,4.94973132540708,0.0,2.4110737545118126,1.7887771807231267,0.24865825437999797,1.2458950232547543
2025-02-13,44.911970783258006,35.441900090519276,5.637879029908948,3.758586019939299,4.774657107329556,0.0,2.3203004363091937,1.7164209491056133,0.23929664326946867,1.1989889403606364
2025-02-14,44.91028279164748,35.440568026284055,5.637667133340224,3.7584447555601495,4.77197202464287,0.0,2.320213229099132,1.7226205129650685,0.2392876494373295,1.1989438770236875
2025-02-17,44.917035519510826,35.44589688409406,5.638514815197677,3.759009876798451,4.7651715204881695,0.0,2.3205620972769103,1.71536150711236,0.23932362882283476,1.199124150698706
2025-02-18,44.91365890176253,35.443232254891825,5.638090942406901,3.7587272949379336,4.768572028177926,0.0,2.320387650075018,1.7189912828849483,0.23930563777771513,1.1990340070852008
2025-02-19,44.91478438460261,35.44412042011095,5.638232226255995,3.758821484170663,4.772450344402018,0.0,2.3204457962280225,1.7127696562870987,0.2393116344921989,1.1990640534504415
2025-02-20,44.643496508286404,35.23003589786699,5.604176979909026,3.736117986606017,4.732416116367622,0.0,2.3064301703981145,1.7111420378655557,0.8443626649729599,1.1918216377273194
2025-02-21,44.65851296090395,35.24188600384326,5.606062021732834,3.737374681155223,5.12643227098458,0.0,2.307205969833157,1.7042428546067814,0.42606071365169534,1.192222523288516
2025-02-24,44.65295013406161,35.237496146312445,5.605363710252521,3.736909140168348,5.137004431351421,0.0,2.306918575863927,1.7052762042968226,0.4260076419791916,1.192074015713703
2025-02-25,44.67131272411204,35.25198682820906,5.607668798619268,3.7384458657461783,5.119178538828433,0.0,2.3078672477873075,1.684792936829611,0.42618282869506435,1.192564231173031
2025-02-26,44.69804892190388,35.27308547149755,5.611025040757863,3.740683360505242,5.0598976923100905,0.0,2.3092485278852357,1.6895419844948676,0.42643790309759755,1.1920310975476702
2025-02-27,44.72091144704382,35.29112723893049,5.613895013925578,3.7425966759503853,5.016327077998834,0.0,2.310429681286705,1.6854160364029904,0.42665602105834394,1.1926408074028563
2025-02-28,44.70418047531901,35.277924134770366,5.61179474548952,3.7411964969930134,3.2523468213859266,1.7945272530576488,2.3095653041436868,1.6897737511418442,0.4264964006572035,1.1921946170417737
2025-03-03,44.73486349299448,35.30213737743072,5.615646438900207,3.743764292600138,3.193430941587918,1.7957589390171995,2.3111504899651516,1.6834460102391955,0.4267891293564158,1.1930128879085773
2025-03-04,44.73263058066006,35.300375293636854,5.615366137470403,3.7435774249802685,3.1857843886582082,1.7956693048488688,2.311035130354486,1.6920969960910814,0.4267678264477505,1.1966969168520258
2025-03-05,44.75832253835469,35.320649883726375,5.618591294304934,3.745727529536622,3.240054313049178,1.7967006383344,2.312362461567275,1.5856913208371701,0.4270129383671749,1.1948870819221824
2025-03-06,44.77565333608126,35.33432633547859,5.620766859958594,3.7471779066390627,3.2063352287808247,1.7973963358845368,2.3132578276985143,1.5775618986950453,0.4271782813568531,1.200345989426713
2025-03-07,44.7555285047677,35.318444995864354,5.618240554333068,3.7454937028887123,3.2460945425035503,1.7965884794856188,2.3122181125832983,1.5830953384209625,0.42698628212931317,1.1973094870234249
2025-03-10,44.75832253835469,35.320649883726375,5.618591294304934,3.745727529536622,3.242551464735536,1.7967006383344,2.312362461567275,1.5806970174644546,0.4270129383671749,1.1973842336085403
2025-03-11,44.75161744373668,35.315358615287145,5.6177495919329115,3.745166394621941,3.255797985724674,1.7964314806203245,2.312016054279945,1.5829569961268737,0.4269489689869013,1.1959564686826065
2025-03-12,44.735980032758754,35.303018485297564,5.615786600109196,3.7438577334061307,3.283363232197176,1.7958037594571405,2.3112081740893844,1.5873956789641992,0.42679978160829884,1.1967865221121599
2025-03-13,44.75608728357799,35.318885951414096,5.618310698824212,3.745540465882808,3.25487466485216,1.7966109101351202,2.3122469809383204,1.5768725361366622,0.4269916131106401,1.1935788951279882
2025-03-14,44.73877162602767,35.30522144740332,5.616137033743623,3.7440913558290823,3.2848161495140484,1.7959158203460164,2.311352396998487,1.5837506435157018,0.42682641456451537,1.1931171120575341
2025-03-17,44.74547287155531,35.310509678365584,5.6169782529325305,3.744652168621687,3.2853081692707597,1.7961848235488693,2.3116986054291218,1.571505693431568,0.42689034722287234,1.1907993896216966
2025-03-18,44.66019417475729,35.31315438796878,5.617398957036261,3.7449326380241734,3.379177550377146,1.7963193553722618,2.3118717485402565,1.5591402882973977,0.4269223207347557,1.1908885788916872
2025-03-19,44.68808648702664,35.3352090509098,5.620907276889016,3.7472715179260105,3.2801116686912346,1.7974412380985096,2.3133156170663236,1.5988358476484312,0.42718895304356513,1.1916323427004711
2025-03-20,44.68417946612294,35.3321197398372,5.62041584832371,3.7469438988824737,3.2848208180203025,1.79728409016396,2.3131133669101143,1.6024430074220712,0.42715160447260203,1.1915281598446268
2025-03-21,44.684737570138985,35.33256103691723,5.620486047143388,3.746990698095592,3.284861845330469,1.7973065381865188,2.3131422576243454,1.601214024986183,0.42715693958289747,1.1915430419943982
2025-03-24,44.65016146393972,35.30522144740332,5.616137033743623,3.7440913558290823,3.31851297171651,1.7959158203460164,2.311352396998487,1.641160044305081,0.42682641456451537,1.1906210511536481
2025-03-25,44.547862819503116,35.22433313306832,5.696657649552828,3.7355132128215263,3.4603304061436737,1.791801171083392,2.3060568233818226,1.6249482475773642,0.42584850626165405,1.186648030606305
2025-03-26,45.02142832865216,34.96355484694272,5.654483263656504,3.7078578778075437,3.376622574056736,1.7785358287216853,2.28898426323319,1.607974366342538,0.42269579807005997,1.177862852516863
2025-03-27,45.02476723741012,34.966147837077,5.654902615160702,3.7081328624004595,3.370692771922018,1.778667729664754,2.2891540203885503,1.6068575737068658,0.42272714631365244,1.1779502059558795
2025-03-28,45.02588031705319,34.96701225259189,5.655042412818096,3.708224532995473,3.3707761004928853,1.778711700993495,2.2892106117025386,1.604425147942708,0.4227375967614839,1.1779793266482286
2025-03-31,45.01141457296522,34.955778183491965,5.653225582235897,3.707033168679277,3.394406704787324,1.77814024324316,2.288475142798007,1.6113237506525924,0.42260178122943753,1.177600869917117
2025-04-01,45.00196122639965,34.94843673268947,5.652038285610158,3.7062546135148575,3.4184021718652033,1.7777667962826267,2.287994514743172,1.6072790840609432,0.42251302594069373,1.1773535488932196
2025-04-02,45.00362917548222,34.949732058746314,5.652247772303986,3.706391981838679,3.420999799237101,1.7778326872886199,2.2880793167884113,1.6011613361543096,0.42252868592960946,1.1773971862307537
2025-04-03,45.0108583838153,34.95534624806542,5.653155727449932,3.7069873622622507,3.4079570483730963,1.7781182714317931,2.288446864969896,1.5989472155891176,0.42259655929789663,1.1775863187453084
2025-04-07,45.006409365395605,34.95189114889805,5.652596951304267,3.706620951674929,3.4236822190304097,1.7779425164867408,2.2882206675006564,1.5926114689029947,0.42255478849094197,1.1774699223154026
2025-04-08,45.00752153754436,34.9527548596546,5.652736634984571,3.706712547530866,3.4200601105218125,1.7779864519656388,2.2882772126757214,1.5938863954382723,0.42256523041851873,1.1774990192656385
2025-04-09,44.99695812089076,34.944551330551896,5.651409918687637,3.7058425696312374,3.4390219046177886,1.7775691525664505,2.2877401463190177,1.5984534283676073,0.42246605293796113,1.1759873754296462
2025-04-10,44.99695812089076,34.944551330551896,5.651409918687637,3.7058425696312374,3.4402571854743327,1.7775691525664505,2.2877401463190177,1.5972181475110634,0.42246605293796113,1.1759873754296462
2025-04-11,44.508728788966444,34.565393368258675,5.590090571686038,3.665633161761337,3.399263818673346,2.8469750889679712,2.262917538527332,1.579887892719136,0.4178821804407924,1.1632275899989308
2025-04-14,44.50764113106457,34.564548695219216,5.589953966881814,3.6655435848405338,3.401624446732015,2.846905517559481,2.2628622397082228,1.57984928506627,0.41787196867182086,1.1631991642560626
