date,FUTU SECURITIES INTERNATIONAL,FUTURE SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,PHILLIP SECURITIES (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,KGI ASIA LTD
2024-04-23,83.48532394380031,0.0,0.0,12.41854138122388,0.14167783883593363,1.070318369992781,1.9569711880804004,0.562046053891598,0.365121224175101
2024-04-24,83.48570916452537,0.0,0.0,12.418251706785277,0.14167453406388614,1.0702934037859264,1.9569255398425867,0.5620329436260578,0.3651127073708816
2024-04-25,83.48649982444985,0.0,0.0,12.417657154221429,0.1416677510674186,1.0702421610101869,1.956831847499699,0.5620060349970906,0.36509522675433537
2024-04-26,83.48810004578557,0.0,0.0,12.416361531766967,0.14165296986376028,1.0701304950366224,1.9566276773209177,0.5620701464524769,0.3650571337736769
2024-04-29,83.48924377503731,0.0,0.0,12.414578587699317,0.14163262901578824,1.0699768282145943,1.9563467127484093,0.5632167543790747,0.3650047129055063
2024-04-30,83.49102100620688,0.0,0.0,12.412780923350294,0.1416121202304081,1.0698218926938454,1.9560634284858793,0.5637487697907233,0.3649518592419702
2024-05-02,83.49129997300415,0.0,0.0,12.41220212530984,0.14160551697057452,1.069772007755172,1.955972218813655,0.5642133163177657,0.3649348418288463
2024-05-03,83.49346724790104,0.0,0.0,12.41057264182311,0.14158692688887878,1.0696315672593115,1.9557154372692616,0.564139245957595,0.36488693290080204
2024-05-06,83.49439879866469,0.0,0.0,12.409872247706703,0.1415789363913075,1.0695712023045223,1.9556050659249928,0.5641074086024539,0.364866340405328
2024-05-07,83.49561370687466,0.0,0.0,12.40895880895979,0.14156851535846643,1.0694924756456763,1.9554611220224913,0.5640658870175291,0.3648394841213858
2024-05-08,83.49915616782448,0.0,0.0,12.40629538050944,0.14153812943993094,1.0692629224066879,1.9550414066486124,0.5639448173005219,0.3647611758703246
2024-05-10,83.49965598988452,0.0,0.0,12.405458539115974,0.14152858227360637,1.0691907974534667,1.9549095333113398,0.5645199863131803,0.36473657164792495
2024-05-14,83.50317635677213,0.0,0.0,12.402811820633016,0.14149838699195763,1.0689626843985154,1.954492451171408,0.5643995453414047,0.3646587546915789
2024-05-22,83.5028527075892,0.0,0.0,12.403055149894364,0.1415011630316563,1.0689836562478159,1.954530796121838,0.564410618227655,0.3646659088874747
2024-05-23,83.50289316443154,0.0,0.0,12.403024733214558,0.1415008160207371,1.0689810347216517,1.9545260029207534,0.5644092340931134,0.3646650145976362
2024-05-24,83.50238370838319,0.0,0.0,12.403376429734555,0.1415020305664005,1.0689902101194797,1.954542779227404,0.5645366973377018,0.3646681446312609
2024-05-27,83.49534087801672,0.0,0.0,12.404092228420215,0.14764002810556015,1.069041333076639,1.954636252493878,0.5645636955132882,0.36468558437370097
2024-05-28,83.49546350262477,0.0,0.0,12.403969603812154,0.14764002810556015,1.069041333076639,1.954636252493878,0.5645636955132882,0.36468558437370097
2024-05-29,83.495524218271,0.0,0.0,12.403923973022685,0.14763948497854076,1.0690374003678724,1.9546290619251994,0.5645616186388719,0.3646842427958308
2024-05-30,83.49429797670142,0.0,0.0,12.403678724708769,0.14911097486204783,1.0690374003678724,1.9546290619251994,0.5645616186388719,0.3646842427958308
2024-05-31,83.49417653594018,0.0,0.0,12.403769984819018,0.1491120719465747,1.0690452658143408,1.9546434431154613,0.5645657724029852,0.36468692596144175
2024-06-03,83.49399200732805,0.0,0.0,12.403969603812154,0.14911152340229333,1.069041333076639,1.954636252493878,0.5645636955132882,0.36468558437370097
2024-06-04,83.49419677619115,0.0,0.0,12.403754774707386,0.1491118890980325,1.0690439548985586,1.9546410462357218,0.5645650801047217,0.3646864787644314
2024-06-05,83.49401224773084,0.0,0.0,12.403954393511695,0.1491113405550964,1.069040022170502,1.9546338556317735,0.5645630032201182,0.36468513717998086
2024-06-06,83.49360743024337,0.0,0.0,12.40425860660864,0.14911499758423893,1.0690662409041076,1.9546817939907635,0.5645768494061152,0.3646940812627686
2024-06-07,83.49346573943157,0.0,0.0,12.404365084717911,0.14911627758681792,1.0690754177647028,1.9546985729719388,0.5645816957316692,0.3646972117953919
2024-06-11,83.49334311091383,0.0,0.0,12.404487713235664,0.14911627758681792,1.0690754177647028,1.9546985729719388,0.5645816957316692,0.3646972117953919
2024-06-12,83.49297639996813,0.0,0.0,12.404824241383752,0.1491173747493761,1.0690832837706095,1.9547129551850784,0.5645858497912234,0.36469989515184587
2024-06-13,83.4933240461872,0.0,0.0,12.404716823796024,0.148872298470564,1.0690845947828476,1.9547153522411782,0.5645865421404256,0.3647003423817606
2024-06-18,83.49340619182746,0.0,0.0,12.404624617701376,0.14887266359437962,1.06908721681697,1.9547201463710144,0.5645879268439241,0.36470123684488054
2024-06-19,83.49350857980946,0.0,0.0,12.404517199473672,0.14887284615695906,1.0690885278388544,1.9547225434447508,0.5645886191982203,0.3647016840780859
2024-06-24,83.49170918367346,0.0,0.0,12.405808477237048,0.14889128728414444,1.0692209576138147,1.954964678178964,0.5646585557299844,0.3647468602825746
2024-06-25,83.49087091484631,0.0,0.0,12.405915907187124,0.14962697504540934,1.0692196462671135,1.9549622805113318,0.5646578632041513,0.3647464129385634
2024-06-26,83.49095306484628,0.0,0.0,12.405823692385807,0.14962734206650077,1.0692222689637325,1.9549670758524773,0.564659248257516,0.36474730762768304
2024-06-27,83.49062562472328,0.0,0.0,12.40616119731015,0.14962697504540934,1.0692196462671135,1.9549622805113318,0.5646578632041513,0.3647464129385634
2024-06-28,83.48980875861739,0.0,0.0,12.406222059784856,0.1503635830685209,1.0692248916732179,1.9549718712171478,0.5646606333176756,0.3647482023211918
2024-07-02,83.48874544832398,0.0,0.0,12.406191628472858,0.15146702250174462,1.0692222689637325,1.9549670758524773,0.564659248257516,0.36474730762768304
2024-07-03,83.4887049476487,0.0,0.0,12.406222059784856,0.15146739403721315,1.0692248916732179,1.9549718712171478,0.5646606333176756,0.3647482023211918
2024-07-04,83.48723319969045,0.0,0.0,12.406222059784856,0.15293914199546946,1.0692248916732179,1.9549718712171478,0.5646606333176756,0.3647482023211918
2024-07-09,83.48682362781639,0.0,0.0,12.40616119731015,0.15342897195230087,1.0692196462671135,1.9549622805113318,0.5646578632041513,0.3647464129385634
2024-07-10,83.47883151690596,0.0,0.0,12.408417101607492,0.15345080313280057,1.0693717839422505,1.9554857742151135,0.5696447080325546,0.3647983121638281
2024-07-11,83.4754193274569,0.0,0.0,12.408584529104527,0.15701013451352616,1.0693862130382197,1.9552668313637556,0.5695297301142985,0.364803234408771
2024-07-12,83.47533302259403,0.0,0.0,12.408188798665456,0.1582317297549248,1.0693521085297941,1.9552044746461252,0.5688982655839855,0.36479160022569485
2024-07-15,83.47398375978216,0.0,0.0,12.40831145892108,0.15945833231116455,1.0693521085297941,1.9552044746461252,0.5688982655839855,0.36479160022569485
2024-07-16,83.47396348890352,0.0,0.0,12.408326679006304,0.15945852790340248,1.069353420201433,1.9552068729078733,0.5688989633969083,0.36479204768055307
2024-07-17,83.47519113698448,0.0,0.0,12.408172677684105,0.1594597014669066,1.0693612902988399,1.9552212626019163,0.5677991985310082,0.364794732432754
2024-07-18,83.47322958563478,0.0,0.0,12.40826399851824,0.1594608750476849,1.06936916051209,1.9552356525077677,0.5696433105549606,0.36479741722447306
2024-07-19,83.47314849682856,0.0,0.0,12.408324879821109,0.1594616574444675,1.0693744073852827,1.955245245896009,0.5696461055170053,0.364799207107574
2024-07-22,83.47308767970169,0.0,0.0,12.408370541190324,0.15946224424709288,1.0693783425739658,1.9552524409989696,0.569648201756538,0.3648005495314263
2024-07-23,83.47312822450267,0.0,0.0,12.408340100240174,0.15946185304486274,1.0693757191116258,1.9552476442577786,0.569646804261802,0.3647996545810937
2024-07-24,83.47241661443121,0.0,0.0,12.40893551303392,0.15946635198639875,1.069405889705711,1.9553028082024586,0.5696628758652583,0.36480994677503836
