date,SOOCHOW SECURITIES INTERNATIONAL,MIGHTY DIVINE SECURITIES LTD,YUET SHEUNG INTERNATIONAL SECURITIES LTD,SUNHIGH FINANCIAL HOLDINGS LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2025-01-23,7.215000000000001,3.4924999999999997,2.3725,1.84625,0.77,0.27999999999999997,15.97625
2025-02-04,7.215000000000001,3.4924999999999997,2.3725,1.84625,0.77,0.27499999999999997,15.971250000000001
2025-02-05,7.215000000000001,3.4924999999999997,2.3725,1.84625,0.77,0.4,16.09625
2025-02-12,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.77,0.4,16.09625
2025-02-25,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.77,0.40499999999999997,16.10125
2025-02-28,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.77125,0.27999999999999997,15.9775
2025-03-03,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.7737499999999999,0.28375,15.983749999999999
2025-03-12,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.7737499999999999,0.28875,15.98875
2025-03-13,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.7737499999999999,0.2925,15.992500000000001
2025-03-18,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.7737499999999999,0.29875,15.998750000000001
2025-03-19,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.7775,0.30374999999999996,16.0075
2025-03-20,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.77875,0.30374999999999996,16.00875
2025-03-21,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.7825000000000001,0.31,16.01875
2025-03-25,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.7849999999999999,0.31124999999999997,16.0225
2025-03-27,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.7849999999999999,0.315,16.02625
2025-03-28,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.78625,0.315,16.0275
2025-04-01,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.7887500000000001,0.315,16.03
2025-04-25,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.7887500000000001,0.3175,16.0325
2025-04-28,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.76625,0.33999999999999997,16.0325
2025-04-30,7.215000000000001,3.6075000000000004,2.2575000000000003,1.84625,0.7587499999999999,0.3475,16.0325
