date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,SDICS INTERNATIONAL SECURITIES (HONG,SOOCHOW SECURITIES INTERNATIONAL
2024-06-21,60.75230092036815,14.929971988795518,13.237294917967187,11.080432172869148,0.0,0.0
2024-06-24,60.64324671158165,14.962303496952197,13.290022457491176,11.104427333974975,0.0,0.0
2024-06-25,60.61177792942877,14.97731925655333,13.295331379711776,11.11557143430613,0.0,0.0
2024-06-26,60.60265166733628,14.989955805544394,13.282442748091603,11.124949779027721,0.0,0.0
2024-06-27,60.576343394558094,14.995377999276558,13.303323821389816,11.124954784775532,0.0,0.0
2024-06-28,60.567683833876096,15.000201021187634,13.303582197563625,11.128532947372653,0.0,0.0
2024-07-02,60.500885810919634,15.022547914317927,13.331454340473506,11.145111934288936,0.0,0.0
2024-07-03,60.24804703229444,15.080132076991221,13.453330111943304,11.21849077877104,0.0,0.0
2024-07-10,60.24004188650368,15.083168875105724,13.456039308872688,11.220749929517902,0.0,0.0
2024-07-11,60.246446261023635,15.08073933878307,13.486087061571297,11.186727338621996,0.0,0.0
2024-07-12,60.32951577255374,15.049226441631506,13.457906369298774,11.163351416515974,0.0,0.0
2024-07-22,60.31994855098678,15.052855822179348,13.46115197556172,11.166043651272158,0.0,0.0
2024-08-15,60.32313813753466,15.051645834170651,13.460069932880511,11.165146095414173,0.0,0.0
2024-09-12,60.32154340836012,15.052250803858522,13.460610932475884,11.165594855305466,0.0,0.0
2024-09-24,60.32313813753466,15.051645834170651,13.460069932880511,11.165146095414173,0.0,0.0
2024-09-27,60.31108074434307,15.063703227362243,13.460069932880511,11.165146095414173,0.0,0.0
2024-09-30,60.20285439384221,15.169980756895447,13.49021808851828,11.136946760744067,0.0,0.0
2024-10-03,57.95107624531437,14.62302430729992,12.90335046566449,10.735402094524096,0.0,3.787146887197125
2024-10-04,58.113865220759095,14.655305964368706,12.908597986057318,10.526723470178156,0.0,3.7955073586367156
2024-10-07,58.041713597700706,14.60752709053482,12.98792092282596,10.556569697440478,0.0,3.806268691498039
2024-10-10,55.42670234909307,13.979333928040441,12.407077014570325,10.21781147784716,4.326494201605709,3.6425810288432947
2024-10-14,55.408167056812694,13.922639616542194,12.380633894400475,10.322149147252258,4.325047374874596,3.641362910117787
2024-10-16,55.29490616621984,13.948465892165624,12.429252308608877,10.344057193923145,4.334226988382484,3.6490914507000296
2024-11-18,55.069346584588,13.89156715864422,12.378550767633316,10.709782689312467,4.316546762589928,3.6342060372320697
2024-11-19,55.07267873034708,13.890536932660932,12.377632749925837,10.70898843073272,4.316226638979531,3.633936517353901
2025-01-06,59.539155117715815,12.509600935047589,11.14710302220738,9.64434797128068,3.887126398397061,3.2726665553514778
2025-02-06,59.540506244573564,12.509183196420222,11.1467307820744,9.644025913310626,3.886996593868964,3.272557269752221
