date,HUATAI FINANCIAL HOLDINGS (HONG KONG),CROSBY SECURITIES LTD,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.
2024-05-06,43.36637157730655,0.0,38.275344842798745,0.0,12.664333401958766,5.6939501779359425,0.0,0.0,0.0
2024-05-09,43.35362088735997,0.0,38.29349328158537,0.0,12.660609802710887,5.692276028343771,0.0,0.0,0.0
2024-05-10,43.34685717645675,0.0,38.3018756982419,0.0,12.659493149879461,5.691773975421885,0.0,0.0,0.0
2024-05-13,43.34685717645675,0.0,38.31363556182748,0.0,12.64773328629388,5.691773975421885,0.0,0.0,0.0
2024-05-14,43.34009465855308,0.0,38.322015462856804,0.0,12.646617867536818,5.6912720110532975,0.0,0.0,0.0
2024-05-17,43.33382331324416,0.0,38.3595472585624,0.0,12.644421578715273,5.662207849478172,0.0,0.0,0.0
2024-05-20,33.52514385789342,0.0,29.694998521618487,22.280346623604068,9.800532217344827,4.6989787795392,0.0,0.0,0.0
2024-05-22,33.53811149032992,0.0,29.72013651877133,22.28896473265074,9.804323094425484,4.648464163822526,0.0,0.0,0.0
2024-05-23,33.533533533533536,0.0,29.72972972972973,22.285922285922286,9.802984802984803,4.647829647829648,0.0,0.0,0.0
2024-05-24,33.5327706622381,0.0,29.7290533930887,22.285415292217394,9.802761789931068,4.64999886252474,0.0,0.0,0.0
2024-05-27,33.53124502377215,0.0,29.732250506153463,22.284401374007597,9.802315794262837,4.649787301803954,0.0,0.0,0.0
2024-05-28,33.53734841073013,0.0,29.74903870219108,22.28845760050966,9.80410002047735,4.621055266091784,0.0,0.0,0.0
2024-05-30,33.51371015415397,0.0,29.743986176162974,22.27274794234005,9.806284389068255,4.663271338274749,0.0,0.0,0.0
2024-05-31,33.51980715877564,0.0,29.747123300131896,22.267703643061807,9.803520261972984,4.66184563605767,0.0,0.0,0.0
2024-06-11,33.51980715877564,0.0,29.73802701596398,22.267703643061807,9.803520261972984,4.670941920225588,0.0,0.0,0.0
2024-06-12,33.53963775370893,0.0,29.755620278510968,22.280877400564304,9.750159279148084,4.673705288067716,0.0,0.0,0.0
2024-06-13,33.493487567173695,0.0,29.779579196648147,22.297112669642043,9.752709718553602,4.6771108479825125,0.0,0.0,0.0
2024-06-14,33.495024025870514,0.0,29.773860763817723,22.299651567944252,9.753820227277902,4.677643415089613,0.0,0.0,0.0
2024-06-18,33.55000570190443,0.0,29.807275630060442,22.33321929524461,9.579199452617173,4.730299920173338,0.0,0.0,0.0
2024-06-19,33.650546735599576,0.0,29.896600631376675,22.400146406185662,9.303655579448233,4.749050647389852,0.0,0.0,0.0
2024-06-20,33.669077923267096,0.0,29.89881878948814,22.41552971339621,9.264261514513324,4.7523120593352255,0.0,0.0,0.0
2024-06-21,33.66368359616397,0.0,29.84367489872056,22.411938385479846,9.329152457027764,4.75155066260786,0.0,0.0,0.0
2024-06-25,33.65987640192264,0.0,29.844357976653697,22.412451361867706,9.331654840924697,4.751659418631266,0.0,0.0,0.0
2024-06-26,33.70539295455066,0.0,29.884714996218285,22.442758589076576,9.209048612225253,4.758084847929225,0.0,0.0,0.0
2024-06-28,33.710028653295126,0.0,29.88882521489971,22.43209169054441,9.164469914040115,4.80458452722063,0.0,0.0,0.0
2024-07-02,32.63524145114465,0.0,28.872193781441837,21.64306451255457,8.902333621434746,4.68940451654367,0.0,3.257762116880526,0.0
2024-07-03,32.635195035460995,0.0,28.874113475177303,21.64450354609929,8.889627659574469,4.698581560283688,0.0,3.2579787234042556,0.0
2024-07-04,31.48687422380198,0.0,27.840349449702366,20.911310008136695,8.575649865102138,4.582244871739968,3.4559547770973404,3.147616804419511,0.0
2024-07-08,31.482829493876853,0.0,27.83677314378693,20.90862379035711,8.58739402243727,4.5816562473237985,3.455510833261968,3.1472124689560674,0.0
2024-07-10,31.513865672281515,0.0,27.864214992927867,20.92923578072093,8.583001157258582,4.586172903004586,3.3731944623033727,3.1503150315031503,0.0
2024-07-11,31.538197572170034,0.0,27.87715008793377,20.881053489469394,8.56818084330631,4.606871702483593,3.3757989104791317,3.152747394157766,0.0
2024-07-12,31.55399171833766,0.0,27.91306400051492,20.888669570254674,8.5047952112253,4.608551996395546,3.377030187302881,3.153897315969019,0.0
2024-07-15,31.5569286219991,0.0,27.91186629765506,20.88777327240351,8.504430284696745,4.608354251142434,3.3768852845894743,3.1537619875136773,0.0
2024-07-16,31.566409854711676,0.0,27.92025237676245,20.894048973109857,8.519861793677705,4.566817606283666,3.377899864798163,3.15470953065648,0.0
2024-07-19,31.297742409089942,0.0,27.657084494754987,20.7162159286763,8.44521990765368,4.527948592463349,3.349149945741218,3.110836861927357,0.8958018596931719
2024-07-22,31.215897751640092,0.0,27.528077960128233,20.712936031082144,8.48814250228233,4.551920341394026,3.341754952124159,3.1039680686185007,1.0573023927305152
2024-07-23,31.178167013020058,0.0,27.503286823020485,20.687900250222654,8.422749056363713,4.546418423173162,3.3377157640273123,3.1002162941600577,1.2235463760125536
2024-07-24,31.17618371111724,0.0,27.501537287165238,20.686584253938637,8.4285744577087,4.546129216937724,3.3375034456436463,3.10001908356481,1.223468543924005
2024-07-29,31.19073378730987,0.0,27.514372388043874,20.69623878317317,8.385837629139353,4.548250917499311,3.33906107469399,3.10146587751119,1.2240395426292454
2024-08-05,31.195366205550368,0.0,27.51845879657133,20.699312568955275,8.365866078248324,4.527709411864551,3.3395569888822885,3.1019265042858355,1.2518034456420266
2024-08-06,31.194704347272612,0.0,27.48817176924872,20.698873400801986,8.365688583370462,4.527613349457917,3.3394861349797385,3.1018606920841028,1.283601722784461
2024-08-07,31.19205719498483,0.0,27.487960625411034,20.705602817319726,8.362857203470735,4.527229140590194,3.339202749432505,3.1015974712009675,1.2834927975900035
2024-08-12,31.19205719498483,0.0,27.487960625411034,20.697116914525743,8.362857203470735,4.527229140590194,3.339202749432505,3.1015974712009675,1.291978700383987
2024-08-16,31.19205719498483,0.0,27.487960625411034,20.654687400555826,8.362857203470735,4.527229140590194,3.339202749432505,3.1015974712009675,1.3344082143539044
2024-08-21,31.19205719498483,0.0,27.487960625411034,20.654687400555826,8.348006873581264,4.527229140590194,3.339202749432505,3.1015974712009675,1.3492585442433758
2024-08-22,31.19205719498483,0.0,27.487960625411034,20.654687400555826,8.343763922184271,4.527229140590194,3.339202749432505,3.1015974712009675,1.3535014956403675
2024-08-27,31.18941049192847,0.0,27.48562822171782,20.652934812583528,8.334570755817653,4.526844996924121,3.338919411976835,3.101334294987378,1.3703570140641905
2024-08-29,31.100600250281037,0.0,27.494856512609502,20.6503064882177,8.333510085477338,4.526268903641801,3.3384944959382357,3.1009396143975225,1.4550236494368678
2024-08-30,31.09994061253924,0.0,27.49427335199797,20.649868499194028,8.335454314074827,4.526172902350047,3.338423687112921,3.1008738440654957,1.4549927886654788
2024-09-02,31.015101382879447,0.0,27.49427335199797,20.649868499194028,8.335454314074827,4.526172902350047,3.338423687112921,3.1008738440654957,1.5398320183252736
2024-09-03,31.015101382879447,0.0,27.49427335199797,20.649868499194028,8.271824891829983,4.526172902350047,3.321455841180962,3.1008738440654957,1.6204292865020786
2024-09-10,31.019048831190872,0.0,27.485045182639684,20.65249671206143,8.272877688685249,4.526748971193416,3.3218785796105386,3.1012685079122653,1.6206355267065462
2024-09-11,23.776075963774122,23.351706420825,21.067265011462855,15.79760336894135,6.372046892021527,3.469749443116596,2.546217257694747,2.377119815293563,1.242215826870234
2024-09-19,23.774916268331545,23.350567424316328,21.066237440249733,15.796832829317465,6.376613663707606,3.4695802035573764,2.546093064091308,2.377003869541183,1.242155236887458
2024-10-29,23.774916268331545,23.350567424316328,21.066237440249733,15.146489773355446,6.376613663707606,3.4695802035573764,2.546093064091308,2.377003869541183,1.892498292849478
2024-11-18,23.768346797132782,23.34411520894625,21.060416429627942,15.169936446532192,6.374851681484974,3.468621491149651,2.5453895291191913,2.376347057198121,1.891975358808901
