date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIBANK N.A.,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA INDUSTRIAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-03-18,12.370424013801978,3.9567817519227506,2.796699776930496,0.6150114073927034,2.6484163879855824,1.4443029149269238,4.107046554769931,31.651135164873846,0.0,11.072753562093615
2024-03-19,12.408745268946094,3.9527906166215425,0.0,0.0,2.625568210079905,1.4409030589295984,4.118206951630716,0.0,0.4525759330841407,11.068910246618376
2024-03-20,12.459520677022844,3.9648379324381517,2.79788266813287,0.6144940380018062,2.6263812191227434,1.4397944102348184,4.089954887392072,0.0,0.0,25.854347947342593
2024-03-21,12.4841670461565,3.96328582426546,2.798178825154202,0.0,2.6230552730384034,1.4392770408439208,4.086259391742806,0.0,0.0,0.0
2024-03-22,12.492353788533189,3.9370478051556663,2.798474797400752,0.0,2.604267373157531,1.4456332933606597,4.117449375022617,0.0,0.0,25.878294759149846
2024-03-25,12.520840442835649,3.9383042736764162,2.7950010314904414,0.6141983983498648,2.5829813182177546,0.0,4.115084257807086,0.0,0.0,25.879107768192682
2024-03-26,12.521176215570339,3.94333014775942,2.7940402026216318,0.0,2.558147587454682,1.4479984105761905,0.0,0.0,0.0,0.0
2024-03-27,12.534923459385613,3.9519979328047747,2.7951266413875597,0.6140505785238942,2.5577780378897557,0.0,4.114188100112139,0.0,0.0,25.879329497931643
2024-03-28,12.523827511968951,3.9507414642840235,2.8284206181603246,0.0,2.532177528734417,0.0,4.113522910895271,0.0,0.0,0.0
2024-04-02,12.561078108113561,3.858649712704297,2.8312291948537673,0.0,2.61014716542021,1.4282644638091062,4.071209485711167,0.0,0.4518368339542873,25.80268491816585
2024-04-03,12.588757370526569,3.800113061619912,2.8320422038966058,0.0,2.5291494026444514,1.4230907699001327,4.071577187528269,0.0,0.0,25.799137242342553
2024-04-05,12.586613983049993,3.81186473778458,2.8187384195592453,0.5940209921048685,2.527006015167877,1.3755666958505626,4.062486268231073,0.0,0.0,25.800024161298374
2024-04-08,12.603914445932036,3.843424270629318,2.826572870335691,0.0,2.501035919492655,1.3763057949804158,4.063070156543657,0.0,0.0,0.0
2024-04-09,12.601179779151577,3.8528108295784556,2.8062131283353597,0.0,2.493891639483666,1.3766753445453426,4.067284869331646,0.0,0.0,0.0
2024-04-10,12.602805797237254,3.8527369196654697,2.80732177703014,0.6014119834034019,2.486766576052054,1.3795578311517704,4.060078652815576,0.0,0.0,25.80268491816585
2024-04-11,12.55284269605917,3.8735056052143486,2.8168561558052483,0.0,2.4935662880467047,1.3874661918412012,4.0724216082841265,0.0,0.0,25.821531945977107
2024-04-12,12.563116173964131,3.827459729424486,2.8169300657182332,0.0,2.4972617836959716,1.3965571111383974,4.074489238099891,0.0,0.0,25.83150978423013
2024-04-15,12.528230695035052,3.8158558730857886,2.8253557957985618,0.0,2.4970400539570154,1.395965831834515,4.065398318802695,0.0,0.0,25.84422228926361
2024-04-16,12.531327520389137,3.8223599454284973,2.825873165189459,0.0,2.5019920181270328,1.3959473543562684,4.068214286487437,0.0,0.4520585636932434,25.84939598317258
2024-04-17,12.525041482289733,3.8194774588220697,2.8295686608387256,0.6042205600968447,2.595395707617206,1.3943952461835765,4.071078295615617,0.0,0.0,25.851613280562134
2024-04-18,12.525706671506603,3.816003692911759,2.825947075102444,0.6048857493137126,2.592971462471287,1.39513434531343,4.077303358036808,0.0,0.0,25.86173893864113
2024-04-19,12.520828617249572,3.7004824989156804,2.824394966929752,0.0,2.589497696560976,1.390995390186251,4.073829592126497,0.0,0.0,25.861812848554116
2024-04-22,12.492997839514944,3.661531974772409,0.0,0.0,2.5744311607989157,0.0,4.076564258906954,0.0,0.0,25.86203457829307
2024-04-23,12.49225874038509,3.6596103170347907,0.0,0.6042205600968447,2.5405804206516325,0.0,4.078633736470544,0.0,0.0,25.863882326117704
2024-04-24,12.180407577264678,3.6613841549464383,3.1369113192670315,0.6048857493137126,2.542428168476266,1.3931942470525214,4.0872072863768425,0.0,0.0,25.87437753376162
2024-04-25,12.20605431707059,3.650888947302521,3.1496977342134946,0.6053292087916247,2.5402847809996913,1.3985157607874654,4.085876907943106,0.0,0.0,25.880659876365375
2024-04-26,12.211745380370461,3.6618276144243502,0.0,0.0,2.5401369611737206,1.4033938150444976,4.082807798806391,0.0,0.0,25.88805086766391
2024-04-29,12.213371398456138,3.670992443634532,3.1487369053446854,0.6158983263485275,2.542132528824325,1.40398509434838,4.0714995821196345,0.0,0.0,0.0
2024-04-30,12.27330392571931,3.6800753026368773,3.149783583394187,0.0,2.5497226449152373,1.4018277723327472,4.090339757337236,0.0,0.45359111623754206,25.965675338087777
2024-05-02,12.274267539313458,3.7250686450713237,3.088631515785657,0.0,2.5724046264390275,1.400419414002839,4.087578633769389,0.0,0.0,25.969381544219118
2024-05-03,12.302845798295715,3.6793340614106094,3.088705639908284,0.0,2.561278002639769,1.3994558004086908,4.086022027194227,0.0,0.0,25.973903115699347
2024-05-06,12.403179877124753,3.6705874149406514,3.0912999842002207,0.0,2.555941065810642,1.399085179795557,4.079499104403071,0.0,0.0,25.977090452972295
2024-05-07,12.468845844366824,3.631251596165693,3.124878656494881,0.0,2.5802999944226785,1.4039032477662967,4.0655359728032545,0.0,0.0,25.97894355603797
2024-05-08,12.468326975508436,3.6387381325509964,3.143187314783692,0.6139771495091433,2.53889207286175,1.4042738683794307,4.0648317936383,0.0,0.0,25.979462424896354
2024-05-09,12.473145043479175,3.641777221578694,3.145781659075629,0.0,2.5387345591011683,0.0,4.060236098035441,0.0,0.0,25.979907169632117
2024-05-10,12.466547996565394,3.619319465525849,3.1203570850146485,0.0,2.541896953606855,1.4061269714450997,4.057271133130371,0.0,0.0,0.0
2024-05-13,12.447646345295569,3.615613259394511,3.120431209137275,0.6157561284521856,2.5478268834169966,1.4064975920582337,4.061088525445649,0.0,0.0,25.98702308540429
2024-05-14,12.456504177949466,3.5978234699640876,3.0834432719465195,0.6131617841602489,2.5916029595096663,1.4053116060962054,4.061014401323022,0.0,0.0,25.985392354706494
2024-05-16,12.472366740191594,3.600343690133397,3.0588340632344337,0.6110863087266994,2.5911582147739054,1.4114639082742269,4.05887592038524,0.0,0.0,0.0
2024-05-17,12.449017641564165,3.620727823855758,3.0575001625857037,0.0,2.568335397417125,1.3973803249751415,4.065676808636246,0.0,0.0,25.98576297531963
2024-05-20,12.400295744575407,3.576253350279699,3.0595757862674984,0.0,2.5761554923542485,1.3972320767298878,4.071958828028864,0.0,0.0,25.982056769188294
2024-05-21,12.393251432705696,3.611017563791652,3.058463924428097,0.0,2.4273741093487256,1.4010865311064797,4.071606738446387,0.0,0.4543323574638097,0.0
