date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BNP PARIBAS,HANG SENG SECURITIES LTD
2024-08-06,27.17270768287412,5.319406044623637,4.480631440410534,1.5197615129567636,1.1121951175362854,1.6775501175281495,0.3747227531719897,2.1172674644089207,0.45382293898953163
2024-08-07,27.174940424693794,5.349536604542271,4.477669239061225,1.5183677420358996,1.1178704346339532,1.6793837537935952,0.3713609584057206,2.1097281680666473,0.45515743128100955
2024-08-08,27.15116810739121,5.489255552793177,4.466658887744281,1.5089382053691593,1.1012777996748906,1.6747159829557878,0.37349287297106526,2.120670163470264,0.44462308038349274
2024-08-09,27.079081332354516,5.518518885353276,4.441042486783881,1.5126858867629756,1.1015001808052618,1.674626218131984,0.3731338136758493,2.3900373668307098,0.44612423997317274
2024-08-12,30.67014328327714,5.544999508375453,4.173467505454299,1.5141221239438394,1.2683084585691602,1.6530417725417845,0.3412897424313852,2.441182749033728,0.44614668117912376
2024-08-13,24.532738632189698,5.598357425176193,8.11379579081635,1.5216174867314722,1.824132247563443,1.6911469402465769,0.34717632882620003,3.7081047337962207,0.44688724097550664
2024-08-14,24.446454641399566,5.6163194898460045,7.428232332460085,1.534800236549296,1.8151100412259191,1.1437161622779664,0.34888186047847575,5.076510788934429,0.44702188821121264
2024-08-15,27.527591700874048,5.688445525772507,7.837102319155112,1.5469343536954414,1.2683628111699736,1.7239628279147485,0.36014734586587605,2.5197769464278688,0.45198139472638293
2024-08-16,31.14632552135434,5.705276430235754,4.364117140890889,1.5485052381120112,1.2222685741466266,1.7212782874322576,0.3570729006505895,2.1508808852013934,0.45251998366920676
2024-08-19,31.3684779758371,5.742214655231095,4.085813355614225,1.5540545444019855,1.2374388293695002,1.7203354650466387,0.35175433484020335,2.110536073922089,0.45462137819445814
2024-08-20,31.344831497596886,5.6823415177538354,4.0871135766458195,1.571258230957888,1.2355761756137587,1.70635347167887,0.39100400404849633,2.1041253507210826,0.46687427664370224
2024-08-21,31.2341112327643,5.715742391558136,4.05228243502144,1.5761966988424791,1.212484208351992,1.7039298214361625,0.3920475201252177,2.0863578400862646,0.4708912525089306
2024-08-22,31.107623327806426,5.793119669677171,4.13422659953693,1.5834915157931309,1.1643474849690152,1.7053211762051244,0.4015850326543912,2.0855149259495396,0.475065316815816
2024-08-23,31.131945847375913,5.813002578149755,4.108300352845965,1.583313422382704,1.1665246185643512,1.713355127935581,0.4073075401718953,2.1169752413516383,0.4771972313811606
2024-08-26,31.089149783170583,5.794219288768771,4.119779085792914,1.5951314214812207,1.10434169752338,1.7283234123048958,0.41442140245836123,2.0800736291838073,0.4800472645369372
2024-08-27,31.09863851973862,5.810332074641586,4.0400594506997285,1.6030324988312417,1.1091760943153735,1.7107743892512164,0.4141296667809983,2.0794524453824805,0.47616493590741477
2024-08-28,31.11238739385897,5.823684592182429,4.067535767588744,1.606398679723891,1.1008279657016027,1.6886249189775826,0.41594740446302897,2.104154658936055,0.47641178917287574
2024-08-29,31.134768434936817,5.808424572135751,4.0254016179735395,1.6089345359963536,1.0963110109883891,1.690049935555471,0.41765293611530474,2.0788899004523036,0.4763284986369886
2024-08-30,30.86691251214993,5.889370002000996,3.9717529416878934,1.621810177910738,1.0964382750673372,1.6910597898232658,0.43203774912989357,2.089146216028691,0.4898156634135376
2024-09-02,31.183985904357186,5.8685221216725205,3.917068637409418,1.6204423976286277,1.0976544537826456,1.690408994850687,0.4386320862779909,2.083483054280324,0.49461808148705083
2024-09-03,31.157176057623104,5.884702231163189,3.8844015573779074,1.6203065722296093,1.105805279313695,1.7117056992981827,0.4420207083765914,2.0780213696789853,0.4963460543452776
2024-09-04,31.135848216002348,6.029515333164969,3.8876460957137,1.6260066385411622,1.1022820099793886,1.6995425656727428,0.4312170742282656,2.073921944823093,0.4945507578691979
2024-09-05,31.451295720397248,6.073432773211069,3.6567395175397066,1.6096856768213423,1.1022819875381829,1.6869979315461354,0.42448471244296665,2.085657966196271,0.4906235468277734
2024-09-09,31.392771714559952,6.167461426145746,3.5708049699880395,1.612468386359266,1.1105179101221985,1.6873569908413515,0.42466424209057463,2.071218733257251,0.49253104933360814
2024-09-10,31.2965242883723,6.195573109678248,3.63098137792252,1.6150266838376794,1.0986913833654202,1.7527057825706533,0.42825483504273404,2.0764395227333083,0.0
2024-09-11,31.19930686349862,6.249566651196346,3.6091585057396944,1.645996894522412,1.1011033754016364,1.754860138341949,0.4395786675656069,2.09256926293722,0.5010138251830849
2024-09-12,31.063934776840423,6.2849115505691655,3.6234849379570013,1.6698820349879135,1.0952755400840013,1.7333165806289925,0.45203353686841,2.088412613006153,0.5080154814397958
2024-09-13,30.80261529289029,6.283407989770449,3.693763108882485,1.6765083508544911,1.3169767019150864,1.7286039273792833,0.4509114765708602,2.081332087131127,0.5090926593254436
2024-09-16,30.743295084286455,6.318034770552837,3.718334434102349,1.6767359944476579,1.3158995240294387,1.735874878107406,0.45017091677447735,2.092518478488153,0.5099229839456305
2024-09-17,30.611058314614688,6.362894741248879,3.6429026177890145,1.6875975381279402,1.3544198091619122,1.7336083163063554,0.44954256300784934,2.1029581948201743,0.5105173953882576
2024-09-19,30.513793639781877,0.0,3.696137971943455,1.6757952815353983,1.3322131025925006,1.7358802639968343,0.452549684605283,2.1489227328937277,0.5123956457821351
2024-09-20,30.47382275509673,0.0,3.7117949544821998,1.6832475684282078,1.3018277097348512,1.7346459976695296,0.45499577605394154,2.16653636417934,0.5129791171368611
2024-09-23,30.374421744781007,6.3431464800120025,3.772615739204357,1.6685485785303051,1.3026629601997444,1.7418047423678973,0.4477697077377206,2.1748592688776216,0.5118346156333602
2024-09-24,30.307120893531454,6.3881635391497005,3.801638176639176,1.6569708349826997,1.29612768830571,1.7422086840750153,0.4467374122639748,2.1917120198548625,0.513248411608273
2024-09-25,30.337565721923067,6.372252724130444,3.8037273631483894,1.6546614778019004,1.2944188690167624,1.7492327590964714,0.4569930433835802,2.164965951028095,0.5113125658593222
2024-09-26,30.063112701719753,6.4119960998696595,3.895890691823815,1.6469435880160577,1.2924879939949299,1.6892406720070692,0.44498699819979715,2.291269815655965,0.5112676834474201
2024-09-27,29.451984771118024,6.523865511535377,3.9046942534917584,1.65205009565081,1.560053101193893,1.6955578714822748,0.4672573704704917,2.4736371313152357,0.5103027115915273
