date,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,TIGER BROKERS (HK) GLOBAL LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD
2024-10-09,0.0,0.0,163451886.0,31462437.0,52891834.0,9292181.0,12597268.0,10432000.0,0.0
2024-10-10,0.0,165391420.0,170497522.0,31864437.0,52650352.0,10970181.0,12814632.0,10552000.0,0.0
2024-10-14,0.0,164827267.0,170629522.0,31886437.0,52012352.0,11016181.0,12632632.0,10716000.0,0.0
2024-10-15,0.0,166187979.0,170159270.0,31802437.0,52598352.0,10988181.0,11510632.0,10742000.0,0.0
2024-10-16,0.0,164789569.0,170289522.0,31804437.0,53243678.0,11042181.0,11341306.0,10778000.0,0.0
2024-10-17,0.0,163921569.0,170495668.0,31922437.0,54197456.0,11026181.0,11463613.0,11026000.0,122000.0
2024-10-18,0.0,163653420.0,169878215.0,31936437.0,52195388.0,11030181.0,11659609.0,11182000.0,0.0
2024-10-21,0.0,162737420.0,168802604.0,0.0,54010096.0,11888181.0,11227324.0,11172000.0,0.0
2024-10-22,0.0,159921420.0,169018658.0,31800437.0,72890409.0,13540181.0,11013586.0,11030000.0,0.0
2024-10-23,0.0,159537420.0,169507658.0,0.0,72726529.0,13542181.0,11061586.0,11042000.0,0.0
2024-10-24,0.0,159457420.0,168490779.0,31804437.0,72632645.0,0.0,12302849.0,11082000.0,0.0
2024-10-25,0.0,160774220.0,168118981.0,0.0,71847029.0,0.0,12303043.0,11106000.0,0.0
2024-10-28,0.0,160712220.0,167771107.0,31912437.0,74427353.0,13548181.0,12319968.0,11190000.0,0.0
2024-10-29,0.0,163848220.0,165290107.0,31922437.0,74267508.0,13550181.0,12307968.0,11138000.0,0.0
2024-10-30,0.0,165170220.0,164524227.0,31311437.0,73607051.0,13494181.0,13395968.0,11046000.0,0.0
2024-10-31,592567384.0,165560220.0,164455228.0,0.0,54968107.0,0.0,13390971.0,11036000.0,0.0
2024-11-01,0.0,165640220.0,164228314.0,31299437.0,55110857.0,0.0,13391135.0,11064000.0,0.0
2024-11-04,0.0,166396220.0,163980508.0,31171437.0,55292579.0,0.0,13572941.0,11056000.0,0.0
2024-11-05,0.0,167974220.0,162960370.0,31285437.0,55053703.0,0.0,13567079.0,11034000.0,0.0
2024-11-06,0.0,169166220.0,161205544.0,0.0,54995848.0,0.0,13567777.0,11070000.0,0.0
2024-11-07,0.0,169852220.0,160865544.0,0.0,54887848.0,0.0,13251777.0,11042000.0,0.0
2024-11-08,0.0,170418220.0,160842744.0,31235437.0,54908578.0,0.0,13189046.0,10978000.0,0.0
2024-11-11,0.0,171536220.0,160815137.0,31055437.0,54250578.0,0.0,13221653.0,10730000.0,0.0
2024-11-12,0.0,172432220.0,160905137.0,31015437.0,53975354.0,13492181.0,13415653.0,10524000.0,0.0
2024-11-13,0.0,172658220.0,162700071.0,30965437.0,53927259.0,0.0,13401919.0,10402000.0,0.0
2024-11-14,0.0,172736220.0,162326071.0,30973437.0,53118579.0,13484181.0,13415919.0,10184000.0,0.0
2024-11-15,0.0,174296220.0,160997285.0,30981437.0,49816479.0,13480181.0,13460100.0,10262000.0,0.0
2024-11-18,0.0,176260220.0,162029008.0,30985437.0,49038479.0,13460181.0,13446100.0,10260000.0,0.0
2024-11-19,0.0,176330220.0,160885729.0,0.0,48612956.0,13960181.0,13416902.0,10272000.0,0.0
2024-11-20,0.0,176714220.0,161365729.0,0.0,47342979.0,14272181.0,13446902.0,10266000.0,0.0
2024-11-21,0.0,178550220.0,158557729.0,0.0,47985664.0,14566181.0,13460902.0,10258000.0,0.0
2024-11-22,0.0,181184220.0,155699707.0,0.0,52555279.0,0.0,13500924.0,10074000.0,0.0
2024-11-25,0.0,181518220.0,154245707.0,0.0,52802484.0,14666181.0,13930287.0,10064000.0,0.0
2024-11-26,0.0,183280220.0,152076730.0,30973437.0,52349439.0,14660181.0,14318338.0,10056000.0,0.0
2024-11-27,0.0,183804220.0,152647248.0,29901437.0,52104090.0,14658181.0,14312338.0,9918000.0,0.0
2024-11-28,0.0,185220220.0,152715248.0,29881437.0,52018590.0,0.0,14320338.0,9864000.0,0.0
2024-11-29,0.0,186426220.0,153467988.0,29849437.0,50229250.0,0.0,14526338.0,9738000.0,0.0
2024-12-02,0.0,187994220.0,153269349.0,0.0,49485250.0,14694181.0,14538338.0,9714000.0,0.0
2024-12-03,0.0,188216220.0,153374349.0,0.0,49589254.0,14686181.0,14295338.0,0.0,0.0
2024-12-04,592609384.0,188426220.0,152834349.0,0.0,49892193.0,14734181.0,14363338.0,9706000.0,0.0
2024-12-05,592741384.0,189686220.0,153752346.0,0.0,48994534.0,14686181.0,13623338.0,9698000.0,0.0
2024-12-06,0.0,189912220.0,153985046.0,29851437.0,48878534.0,14704181.0,13627338.0,9708000.0,0.0
2024-12-09,0.0,190902220.0,153385046.0,0.0,49094912.0,14702181.0,13631338.0,9706000.0,0.0
2024-12-10,0.0,192052220.0,153350181.0,29855437.0,49022912.0,14678181.0,13460099.0,9736000.0,0.0
2024-12-11,0.0,192754220.0,152540051.0,29871437.0,49285411.0,14682181.0,13460372.0,9778000.0,0.0
2024-12-12,592755384.0,195694220.0,150504157.0,29879437.0,48820091.0,0.0,13282372.0,9880000.0,0.0
2024-12-13,592741384.0,195696220.0,150614157.0,29861437.0,50283140.0,14658181.0,13242372.0,9836000.0,0.0
2024-12-16,0.0,196602220.0,150242157.0,0.0,50315140.0,0.0,13280372.0,9856000.0,0.0
2024-12-17,0.0,196344220.0,150241178.0,29915437.0,50286291.0,14656181.0,13235103.0,10056000.0,0.0
2024-12-18,0.0,196088220.0,149969944.0,30546437.0,50407053.0,0.0,11903339.0,10266000.0,0.0
2024-12-19,0.0,195740220.0,150073944.0,0.0,50805053.0,14642181.0,11927339.0,10276000.0,0.0
2024-12-20,0.0,196704220.0,151650846.0,30556437.0,50671877.0,0.0,9861713.0,10286000.0,0.0
2024-12-23,592161384.0,196950220.0,151373846.0,0.0,50646877.0,14650181.0,9879713.0,10382000.0,0.0
2024-12-27,0.0,197836220.0,151826545.0,0.0,50363177.0,13932181.0,9857983.0,10410000.0,0.0
2024-12-30,582636384.0,199308220.0,152055809.0,30536437.0,64722101.0,13330181.0,10251069.0,10310000.0,0.0
2025-01-02,581830384.0,199952220.0,152087258.0,0.0,63731926.0,0.0,10615069.0,10408000.0,0.0
2025-01-03,582100384.0,201964220.0,152264738.0,30526437.0,61203102.0,13314181.0,10617893.0,10634000.0,0.0
2025-01-06,0.0,201882220.0,152251873.0,30556437.0,60887498.0,13318181.0,10431797.0,10818000.0,0.0
2025-01-07,0.0,203676220.0,151725873.0,0.0,60019498.0,13118181.0,10113797.0,10858000.0,0.0
2025-01-08,0.0,204402220.0,152057873.0,0.0,59751652.0,12450181.0,10032597.0,10860000.0,0.0
2025-01-09,0.0,203254220.0,152693873.0,30626437.0,59594440.0,11426181.0,10563253.0,10904000.0,0.0
2025-01-10,0.0,203178220.0,152313401.0,30666437.0,60700661.0,10838181.0,10594269.0,10944000.0,0.0
2025-01-13,0.0,202406220.0,153962401.0,0.0,60971276.0,10122181.0,10538269.0,10714000.0,0.0
2025-01-14,0.0,201892220.0,155031536.0,30706437.0,60705276.0,9454181.0,10622134.0,10738000.0,0.0
2025-01-15,0.0,201044200.0,155459536.0,30722437.0,60762160.0,8924181.0,10538134.0,10808000.0,0.0
2025-01-16,0.0,201424200.0,155343029.0,0.0,60495435.0,8918181.0,10614134.0,10800000.0,0.0
2025-01-17,0.0,201796200.0,155213756.0,0.0,60176415.0,8920181.0,10597134.0,10844000.0,0.0
2025-01-20,0.0,201820200.0,155073756.0,0.0,60280692.0,0.0,10539134.0,10970000.0,0.0
2025-01-21,0.0,202502200.0,154916556.0,30818437.0,58385492.0,8918181.0,11359804.0,10992000.0,0.0
2025-01-22,0.0,203166200.0,154279780.0,0.0,58229492.0,8722181.0,0.0,11002000.0,172000.0
2025-01-23,0.0,204032200.0,154662282.0,0.0,58235492.0,8732181.0,11359812.0,10932000.0,0.0
2025-01-24,0.0,204482200.0,153996282.0,0.0,57695492.0,8730181.0,0.0,10920000.0,0.0
2025-01-27,0.0,204808200.0,153628282.0,0.0,57575492.0,0.0,11556412.0,10930000.0,0.0
2025-02-03,0.0,205172200.0,153576183.0,30822437.0,56713291.0,0.0,11569412.0,10942000.0,0.0
2025-02-04,0.0,205016200.0,153844381.0,0.0,56737544.0,0.0,11537412.0,0.0,272000.0
2025-02-05,0.0,0.0,152801903.0,0.0,56448097.0,8728181.0,12172412.0,10882000.0,0.0
2025-02-06,0.0,0.0,152323903.0,30896437.0,56432097.0,0.0,12112412.0,10892000.0,0.0
2025-02-07,0.0,205128200.0,152425282.0,0.0,56564718.0,0.0,12434112.0,10862000.0,0.0
2025-02-10,0.0,204726200.0,152012667.0,0.0,57404097.0,9068181.0,12350112.0,10878000.0,0.0
2025-02-11,0.0,203562200.0,152548667.0,0.0,58110655.0,9066181.0,12280112.0,10900000.0,0.0
2025-02-12,591348384.0,203178200.0,155187667.0,30526437.0,46165861.0,8584181.0,0.0,10730000.0,292000.0
2025-02-13,597799404.0,203758200.0,154911556.0,30632437.0,38290111.0,9650181.0,12300223.0,10620000.0,0.0
2025-02-14,588674384.0,202864200.0,154790503.0,0.0,47996358.0,11278181.0,12307243.0,10574000.0,0.0
2025-02-17,588308384.0,202502200.0,154912776.0,30626437.0,46318358.0,12682181.0,11869243.0,10532000.0,0.0
2025-02-18,586976384.0,202374200.0,155294159.0,30608437.0,47194142.0,14788181.0,11279760.0,10484000.0,0.0
2025-02-19,585878384.0,204686200.0,155218159.0,30622437.0,46075685.0,0.0,11586260.0,10552000.0,0.0
2025-02-20,585456384.0,205102200.0,155335224.0,0.0,46072622.0,0.0,11862260.0,10476000.0,0.0
2025-02-21,585002384.0,205768200.0,155581224.0,30572437.0,45430495.0,14778181.0,11461460.0,10538000.0,0.0
2025-02-24,584138384.0,205394200.0,157856280.0,30584437.0,44932510.0,14762181.0,9985691.0,10584000.0,392000.0
2025-02-25,583480384.0,205248200.0,158791981.0,30634437.0,44288372.0,14758181.0,9987691.0,10626000.0,492000.0
2025-02-26,583386384.0,206340200.0,158376435.0,30684437.0,44442519.0,14754181.0,9961690.0,10594000.0,0.0
2025-02-27,0.0,207244200.0,157927998.0,30734437.0,44256956.0,14684181.0,0.0,10618000.0,0.0
2025-02-28,582884384.0,207828200.0,158279766.0,30632437.0,45060120.0,15184181.0,9961296.0,10644000.0,0.0
2025-03-03,581858384.0,208796200.0,158531768.0,0.0,44677544.0,14872181.0,9961690.0,0.0,0.0
2025-03-04,581826384.0,210004200.0,160473526.0,30732437.0,40241585.0,15362181.0,10015697.0,10668000.0,458000.0
2025-03-05,0.0,210746200.0,160613428.0,30766437.0,39807585.0,0.0,10066795.0,10676000.0,342000.0
2025-03-06,581446384.0,213134200.0,161107965.0,30682437.0,38721685.0,0.0,10026258.0,10652000.0,142000.0
2025-03-07,591498918.0,212870200.0,161253931.0,30412437.0,29361684.0,15214181.0,10056330.0,10428000.0,0.0
