date,MERRILL LYNCH FAR EAST LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,SDICS INTERNATIONAL SECURITIES (HONG,CITIBANK N.A.,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-10-04,87765972.0,64460180.0,48519502.0,0.0,23583532.0,7707572.0,0.0,7657000.0,0.0,5250500.0
2024-10-07,87772972.0,64942680.0,48589502.0,0.0,23923532.0,7747572.0,0.0,7797000.0,0.0,5360500.0
2024-10-08,87774972.0,62979180.0,48641502.0,25886476.0,0.0,7887572.0,0.0,7857000.0,0.0,6249500.0
2024-10-09,87783472.0,60476644.0,48993502.0,25977476.0,24023532.0,7925572.0,0.0,9312000.0,0.0,7633000.0
2024-10-10,87823972.0,61266644.0,49128502.0,26127476.0,23973532.0,7897572.0,0.0,9284000.0,0.0,8497500.0
2024-10-14,87830472.0,61331144.0,49111002.0,0.0,23974032.0,7762572.0,0.0,9224000.0,0.0,8808500.0
2024-10-15,87799972.0,61162644.0,49103002.0,0.0,0.0,0.0,0.0,9194000.0,0.0,9131000.0
2024-10-17,87827972.0,61587644.0,49383002.0,0.0,23987532.0,0.0,0.0,9104000.0,0.0,9031500.0
2024-10-21,87878472.0,61444644.0,49471002.0,0.0,23938532.0,0.0,0.0,0.0,0.0,8704500.0
2024-10-22,87880972.0,60754644.0,49571002.0,0.0,23957532.0,7873572.0,0.0,12865000.0,0.0,8974500.0
2024-10-28,87898472.0,60605144.0,0.0,0.0,23966532.0,7911072.0,0.0,13236500.0,0.0,9032500.0
2024-10-29,87900472.0,60665144.0,49621002.0,0.0,23970032.0,0.0,0.0,13246500.0,0.0,0.0
2024-10-30,87900972.0,60260144.0,49651002.0,0.0,0.0,0.0,0.0,13826500.0,0.0,9017500.0
2024-11-22,87703472.0,61829777.0,49723002.0,0.0,0.0,0.0,0.0,13908000.0,0.0,8384000.0
2024-11-27,87663972.0,61888277.0,0.0,0.0,23995532.0,0.0,0.0,13878000.0,0.0,8380500.0
2024-11-28,87657972.0,61812277.0,0.0,26057976.0,24105032.0,0.0,0.0,13877500.0,0.0,0.0
2024-12-09,87663972.0,61768777.0,0.0,0.0,24586032.0,0.0,0.0,13957000.0,0.0,7815000.0
2024-12-10,87660472.0,61578277.0,0.0,0.0,0.0,7960072.0,0.0,13943000.0,0.0,7765000.0
2024-12-11,87660972.0,61613777.0,49758002.0,0.0,0.0,0.0,0.0,14115000.0,0.0,7358500.0
2024-12-17,87677972.0,63480277.0,49755002.0,26082976.0,24956532.0,8004572.0,15839996.0,14074000.0,0.0,8263000.0
2024-12-18,87667972.0,64719277.0,49655002.0,0.0,25107032.0,7933572.0,0.0,14112500.0,0.0,8365500.0
2024-12-19,87668972.0,65132777.0,49510002.0,0.0,25258532.0,7881572.0,0.0,0.0,0.0,9031500.0
2024-12-20,87684472.0,65447777.0,49450002.0,0.0,25298532.0,0.0,15809996.0,14194000.0,0.0,9281500.0
2024-12-27,87664972.0,65386277.0,49370002.0,0.0,25451032.0,0.0,0.0,14179000.0,0.0,9371500.0
2024-12-30,87705472.0,65504277.0,0.0,0.0,25753032.0,0.0,0.0,14179500.0,0.0,10083000.0
2025-01-02,87646972.0,65135277.0,49320002.0,0.0,25947032.0,0.0,0.0,14158500.0,0.0,10157000.0
2025-01-03,87648472.0,65807277.0,0.0,0.0,0.0,7891572.0,0.0,14158000.0,0.0,10268000.0
2025-01-06,87647472.0,66096277.0,49300002.0,0.0,26115532.0,0.0,0.0,14447500.0,0.0,10477000.0
2025-01-07,87644472.0,66353277.0,49284002.0,0.0,0.0,0.0,0.0,14492000.0,0.0,10537500.0
2025-01-08,87647472.0,66041277.0,49214502.0,0.0,0.0,0.0,0.0,14642000.0,0.0,10647500.0
2025-01-09,87664472.0,65919777.0,49204502.0,0.0,26130532.0,0.0,15909996.0,14645000.0,0.0,10747500.0
2025-01-10,87700472.0,65941277.0,0.0,0.0,26290532.0,0.0,0.0,14831000.0,0.0,10737500.0
2025-01-15,87698472.0,65871777.0,49200002.0,0.0,0.0,0.0,0.0,14833500.0,0.0,10757500.0
2025-01-17,87727472.0,65961777.0,0.0,26122976.0,26419032.0,0.0,0.0,14808500.0,0.0,10617500.0
2025-01-21,87699972.0,66420777.0,0.0,0.0,26395532.0,0.0,0.0,14770000.0,0.0,10542500.0
2025-01-23,87642472.0,66607277.0,0.0,0.0,26434032.0,0.0,0.0,14804000.0,0.0,10584500.0
2025-01-24,87641972.0,66981277.0,49165502.0,0.0,26502032.0,0.0,0.0,14767500.0,0.0,11031000.0
2025-01-27,87641472.0,67491277.0,0.0,0.0,26518532.0,0.0,0.0,14760500.0,0.0,10809000.0
2025-02-03,0.0,67638161.0,49195502.0,0.0,26526032.0,0.0,0.0,14740500.0,0.0,10907500.0
2025-02-04,87640972.0,67873161.0,0.0,0.0,26526532.0,0.0,0.0,14713000.0,0.0,10911000.0
2025-02-05,87642472.0,67586161.0,0.0,0.0,26537532.0,0.0,0.0,14671500.0,0.0,11129500.0
2025-02-07,87635472.0,67141161.0,0.0,0.0,0.0,7889572.0,0.0,14660500.0,0.0,11135500.0
2025-02-12,87625472.0,65447661.0,49256502.0,26102976.0,0.0,7937072.0,15809996.0,14435500.0,0.0,10729500.0
2025-02-13,0.0,65340277.0,0.0,0.0,26538032.0,7977072.0,0.0,14434000.0,0.0,10692000.0
2025-02-14,87623972.0,65716277.0,49191002.0,0.0,0.0,8374072.0,0.0,14429000.0,0.0,10252000.0
2025-02-17,87622972.0,65669277.0,49170002.0,0.0,26538532.0,0.0,0.0,14418000.0,0.0,0.0
2025-02-18,0.0,65589277.0,48930376.0,26077976.0,0.0,8370572.0,0.0,14344000.0,0.0,10314000.0
2025-02-19,0.0,65281777.0,0.0,26277976.0,0.0,8395072.0,0.0,14387000.0,0.0,10540000.0
2025-02-24,0.0,66088777.0,49071876.0,0.0,0.0,8512072.0,0.0,14532000.0,17692824.0,11010000.0
2025-02-25,0.0,66188277.0,49119376.0,26679976.0,0.0,8586072.0,0.0,14562500.0,17114824.0,11013000.0
2025-02-26,87622472.0,67037277.0,49650376.0,0.0,0.0,8579072.0,0.0,14269500.0,16665324.0,11011000.0
2025-02-27,87626472.0,67665777.0,49680376.0,0.0,0.0,0.0,0.0,14042000.0,16599324.0,10935000.0
2025-02-28,87839972.0,68203277.0,49890376.0,0.0,0.0,8630572.0,0.0,13937500.0,16194824.0,10421000.0
2025-03-03,87818972.0,68327277.0,49807876.0,0.0,0.0,8622072.0,0.0,14127000.0,16091824.0,10459500.0
2025-03-04,87821472.0,68415277.0,49932876.0,0.0,0.0,8694572.0,0.0,14189000.0,15870824.0,10445500.0
2025-03-05,87960972.0,68157777.0,49930876.0,26849976.0,25665032.0,8758572.0,0.0,14120000.0,15734824.0,10574000.0
2025-03-06,88009972.0,68182277.0,49900876.0,0.0,25285032.0,0.0,0.0,14120500.0,15710324.0,10573500.0
2025-03-07,88013472.0,68463277.0,50031376.0,0.0,0.0,0.0,0.0,14126000.0,15433824.0,10371000.0
2025-03-10,88208972.0,68408777.0,50042876.0,0.0,25223532.0,8721572.0,0.0,14069000.0,15020824.0,10334000.0
2025-03-11,88225972.0,68587277.0,50116376.0,0.0,24853532.0,8759572.0,0.0,14258500.0,14754324.0,10450000.0
2025-03-12,88233472.0,68340277.0,0.0,0.0,0.0,0.0,0.0,14257500.0,14554324.0,10504000.0
2025-03-13,88152972.0,68154277.0,0.0,0.0,0.0,8762572.0,0.0,14363500.0,14326324.0,10541500.0
2025-03-14,88166472.0,67766777.0,49966376.0,0.0,0.0,8762072.0,0.0,14360500.0,14041824.0,10592000.0
2025-03-17,88176972.0,67617277.0,49956376.0,0.0,0.0,8754572.0,0.0,14375000.0,13970324.0,0.0
2025-03-18,88288972.0,67232777.0,0.0,0.0,0.0,8768572.0,0.0,14371000.0,13726324.0,0.0
2025-03-19,88671472.0,67756277.0,49998376.0,0.0,24858532.0,8799072.0,0.0,14310000.0,13299324.0,10582000.0
2025-03-20,0.0,67798777.0,50063376.0,0.0,0.0,8828572.0,0.0,14221000.0,0.0,10666000.0
2025-03-21,89017972.0,67303777.0,50324876.0,26829976.0,0.0,8909072.0,0.0,14462500.0,0.0,10597500.0
2025-03-24,88831472.0,67378661.0,0.0,0.0,24596032.0,8951572.0,0.0,14917500.0,12868824.0,10605000.0
2025-03-25,88872472.0,67253661.0,50364876.0,0.0,0.0,8968572.0,0.0,14922000.0,12601324.0,10728500.0
2025-03-26,89912972.0,67899161.0,50539876.0,0.0,24332032.0,8993572.0,0.0,14971000.0,11611824.0,11137500.0
2025-03-27,90480472.0,68932161.0,51653376.0,27010476.0,23842032.0,9001072.0,15809496.0,15647500.0,8139824.0,12049500.0
2025-03-28,88608577.0,68308161.0,51576376.0,0.0,0.0,11213467.0,0.0,15494500.0,0.0,12271000.0
2025-03-31,88736577.0,68159161.0,51497876.0,0.0,23589032.0,11338967.0,0.0,15836000.0,0.0,12273000.0
2025-04-01,88776077.0,68151161.0,51475876.0,0.0,23707532.0,11474967.0,0.0,15953000.0,0.0,12091500.0
2025-04-02,88591577.0,68408661.0,51566376.0,27020476.0,23597532.0,11623967.0,0.0,16646000.0,0.0,11697500.0
2025-04-03,88774077.0,68334161.0,51539376.0,0.0,23568032.0,12835949.0,0.0,17700500.0,0.0,11738000.0
2025-04-07,87953077.0,67618661.0,51593376.0,26838476.0,23538032.0,14118949.0,0.0,18293000.0,0.0,11631000.0
2025-04-08,87911577.0,67131661.0,51705876.0,0.0,0.0,14300449.0,0.0,17633000.0,0.0,11926500.0
2025-04-09,87668472.0,69082661.0,51618876.0,0.0,23632532.0,14016054.0,0.0,17039000.0,0.0,11605000.0
2025-04-10,87817472.0,71985161.0,51421876.0,26829476.0,23604032.0,13894054.0,0.0,16861000.0,0.0,10892500.0
2025-04-11,87814472.0,72543161.0,51482876.0,0.0,23645532.0,13879054.0,0.0,16889500.0,0.0,11532500.0
2025-04-14,88172472.0,72575161.0,51633876.0,0.0,0.0,13953054.0,0.0,16860500.0,0.0,11931500.0
2025-04-15,88434472.0,72834161.0,51598876.0,0.0,23443532.0,14121554.0,0.0,16838500.0,0.0,11601000.0
2025-04-16,88499972.0,73055161.0,51668876.0,0.0,23244532.0,14296554.0,0.0,17433500.0,0.0,11566000.0
2025-04-17,88497972.0,73277661.0,51569876.0,0.0,0.0,14349554.0,0.0,17399500.0,0.0,11421000.0
2025-04-22,88620972.0,73694661.0,0.0,0.0,23252532.0,14344554.0,0.0,17347000.0,0.0,0.0
2025-04-23,88629472.0,74445661.0,51469876.0,0.0,0.0,14293554.0,0.0,17338500.0,0.0,11403500.0
2025-04-24,88270472.0,73482161.0,51920376.0,26800476.0,22948532.0,15222054.0,15795996.0,17018500.0,0.0,10511000.0
2025-04-25,87758472.0,74447161.0,51957876.0,26812976.0,22748532.0,14104554.0,0.0,18370000.0,0.0,11366000.0
2025-04-28,87763472.0,75255161.0,51622376.0,26828976.0,22584032.0,14863587.0,0.0,16345000.0,10690824.0,12648500.0
2025-04-29,87874472.0,79120761.0,51799876.0,26591976.0,22535532.0,16262587.0,15803496.0,14413500.0,13690824.0,13618000.0
2025-04-30,88164972.0,78731261.0,52251876.0,26589476.0,22666532.0,15638287.0,0.0,14380600.0,14141824.0,13780000.0
2025-05-02,88726972.0,78390761.0,52463876.0,26597476.0,22678532.0,16416172.0,15806496.0,15059600.0,14140824.0,13788000.0
