date,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,EVERBRIGHT SECURITIES INVESTMENT,FUTU SECURITIES INTERNATIONAL,HANG SENG BANK LTD,THE HONGKONG AND SHANGHAI BANKING
2024-12-20,0.0634691068104579,0.0,0.0,0.03241674523798467,0.0,0.0,0.602009026042745,0.0,0.0
2025-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.6020848251352734,0.0,0.4716977528043148
2025-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.6020595587710973,0.0,0.0
2025-02-05,0.0,3.4217847522739513,2.012295358671179,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-06,0.06384810227309998,0.0,2.011916363208537,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,0.06455556047003183,0.0,2.01065304499973,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-10,0.06470715865508865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-18,0.0647324250192648,3.4219868831873606,0.0,0.0,0.0,0.0,0.6019079605860405,0.0,0.0
2025-02-19,0.06475769138344094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-26,0.0650103550252023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,0.06442922864915114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-07,0.062155255873298745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-19,0.062458452243412406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,0.06253425133594082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,0.0,0.0,2.0105267131788493,0.0,0.0,0.0,0.0,0.0,0.47328953374741145
2025-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4716977528043148
2025-04-07,0.06081613857196345,0.0,0.0,0.0,0.0,0.0,0.6020848251352734,0.0,0.0
2025-04-08,0.06038661038096911,3.4222395468291222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.6021353578636256,0.0,0.0
2025-04-23,0.0,3.422871205933525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-25,0.06036134401679297,0.0,0.0,0.0,0.0,0.0,0.6019079605860405,0.0,0.0
2025-05-02,0.06015921310338387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
