date,CHINA INTERNATIONAL CAPITAL CORPORATION,MORGAN STANLEY HONG KONG SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIC SECURITIES BROKERAGE (HK) LTD,CMB INTERNATIONAL SECURITIES LTD
2024-05-14,56.820972353801565,17.094182028903887,0.0,9.995857712050233,5.06217124451398,2.562512160411087,1.357465689135783,3.276764839208661,1.898576183772528,1.9314977882022726
2024-05-16,56.817216945453296,17.09369704065871,0.0,9.989393871599631,5.061836675791121,2.575077587626553,1.3564087724581162,3.2765482714604737,1.898450703187543,1.9313701317645526
2024-05-17,56.79368825013994,17.085973801991063,0.0,9.984290344420053,5.059740508127981,2.5691772238832082,1.3866234895268292,3.2751914132737605,1.8976645318373058,1.9476504367998522
2024-05-20,56.87323316267205,17.114906440732486,0.0,9.821263698769718,5.063599975866535,2.6134380120685687,1.39760167825656,3.2710652532030973,1.8961270614833068,1.9487647169476738
2024-05-21,56.87139782276165,17.115160898341134,0.0,9.819333223805451,5.063436569873781,2.617387513955894,1.3977179302268703,3.2707983400118357,1.8960658721069057,1.948701828916484
2024-05-22,56.89398073899095,17.122925619188692,0.0,9.813547298580513,5.065447196801682,2.6105173808639175,1.3821311816718191,3.265156174019452,1.8968187759987436,1.9494756338842365
2024-05-23,56.87965778533075,17.118937708585133,0.0,9.810269871275642,5.06417197990658,2.618735923577554,1.4051828993061237,3.2627204069262055,1.8913385680668275,1.9489848570251889
2024-05-24,56.86850464995494,17.113644831077927,0.0,9.80302184674846,5.06317898174419,2.615726421077924,1.4374991310543543,3.259015080853092,1.8909677086785603,1.9484413488105514
2024-05-27,56.854469645835714,17.07409531150278,0.0,9.800602485577514,5.061929401887948,2.632340560003084,1.4798903301000126,3.258210764116334,1.8905010225973282,1.9479604783792828
2024-05-28,56.83167982440429,17.034777333160143,0.0,9.796673964531445,5.059900353549512,2.649021897688241,1.5439547203721071,3.2565822453280493,1.8897432249960255,1.9376664359701892
2024-05-29,56.81876209848903,17.029615728796976,0.0,9.79444720034735,5.058750248429838,2.6485809846067703,1.5682680312717332,3.255036009569335,1.8893136901818843,1.93722600830709
2024-05-30,56.81253437192804,17.02694323309916,0.0,9.793373661665285,5.058195774658782,2.651675599924609,1.5764778400001462,3.254679235266885,1.8891066084255101,1.937013675031584
2024-05-31,44.13669389922893,13.227567597533119,0.0,7.60818059046028,3.929626464592295,2.0629219087513464,1.241769225751637,2.5285050690879074,1.4676148677550651,1.504833054864265
2024-06-03,56.79935075063499,17.02218630336219,0.0,9.790939913133734,5.057021996050656,2.6529940558727914,1.5983505957368032,3.2539239713283465,1.8886682321695831,1.9365641817109043
2024-06-04,56.82297574660827,17.02636458227621,0.0,9.794851118770826,5.059125402563488,2.648293753330797,1.566288522635896,3.255277401247951,1.8894538006451065,1.937369671921449
2024-06-05,56.83030531905722,17.023723696400104,0.0,9.796114552618812,5.059777977084254,2.6513763844878158,1.5610084998997564,3.2556972981512784,1.8896975205196602,1.9322987517811023
2024-06-06,56.830763480118804,17.02386094020475,0.0,9.796032289766929,5.059818768581614,2.6507528064987556,1.5610210846167918,3.255723545304482,1.889712755099472,1.9323143298083971
2024-06-07,56.81766298870886,17.014455802447987,0.0,9.793774131878402,5.058652391284276,2.686895616997768,1.5526011857061437,3.2548118425933144,1.8892771430436157,1.9318688973396285
2024-06-11,56.81363328329409,17.008896956733686,0.0,9.792757144124854,5.058293614138924,2.698955469380432,1.5520075007880685,3.2545810000662505,1.8891431489661956,1.9317318825075016
2024-06-12,56.78992455215366,16.995676371621773,0.0,9.788670557282293,5.056182752424994,2.7145859081468555,1.582456464693141,3.2532228403879113,1.8883547961639504,1.9309257571254228
2024-06-13,56.77638558791731,16.987436344411396,0.0,9.786336895780863,5.054977336534809,2.7076564626834982,1.6163900944680243,3.2524472579578196,1.8879046041932368,1.930465416053042
2024-06-14,56.74850469388637,16.969756124851703,0.0,9.772836903530491,5.052495014245545,2.741264892456876,1.6477973234927306,3.250850095045786,1.8869775203772279,1.9295174321132746
2024-06-17,56.75992797760565,16.970112370825706,0.0,9.772388583066766,5.053512064551087,2.74133358793548,1.633957735617496,3.251504480269941,1.8873573626251152,1.92990583750276
