date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CHINA GALAXY INTERNATIONAL SECURITIES,CHINA MERCHANTS BANK CO LTD,FUTU SECURITIES INTERNATIONAL,HUATAI FINANCIAL HOLDINGS (HONG KONG),REALORD ASIA PACIFIC SECURITIES LTD,RUISEN PORT SECURITIES LTD
2025-03-20,1.472222222222222,0.0,0.0,1.0875,1.4666666666666666,2.25625,0.0,0.0
2025-03-21,1.4777777777777779,0.0,0.0,1.0944444444444443,1.4659722222222222,0.0,0.0,0.0
2025-03-24,1.4784722222222222,0.0,0.0,1.1236111111111111,1.4493055555555556,2.254861111111111,0.0,0.0
2025-03-25,1.4777777777777779,0.0,0.0,1.1375,1.4347222222222222,0.0,0.0,0.0
2025-03-26,1.4833333333333334,0.0,0.0,1.1465277777777778,1.4291666666666667,2.256944444444444,0.0,0.0
2025-03-27,1.4874999999999998,0.0,17.78611111111111,0.0,1.4145833333333333,0.0,0.0,0.0
2025-03-28,1.4861111111111112,0.0,0.0,1.14375,1.4166666666666665,2.2576388888888888,0.0,0.0
2025-03-31,1.479861111111111,0.0,17.77777777777778,1.145138888888889,1.425,2.252083333333333,0.0,0.0
2025-04-01,1.476388888888889,0.0,0.0,0.0,1.4256944444444444,2.2493055555555554,0.0,0.0
2025-04-02,1.4715277777777778,0.0,0.0,0.0,1.426388888888889,0.0,0.0,0.0
2025-04-03,1.4659722222222222,0.0,0.0,0.0,1.4270833333333333,0.0,0.0,0.0
2025-04-07,0.0,0.0,0.0,0.0,1.4277777777777778,0.0,0.0,0.0
2025-04-08,1.4583333333333333,0.0,17.78611111111111,0.0,0.0,2.254861111111111,0.0,0.0
2025-04-09,1.4513888888888888,0.0,17.77777777777778,0.0,1.4361111111111111,0.0,0.0,0.0
2025-04-10,1.4493055555555556,0.0,0.0,0.0,1.4388888888888889,2.256944444444444,0.0,0.0
2025-04-11,1.4548611111111112,0.0,0.0,0.0,1.4416666666666667,2.254861111111111,0.0,0.0
2025-04-14,1.4520833333333334,0.0,0.0,0.0,1.44375,0.0,0.0,0.0
2025-04-15,1.4472222222222222,0.0,17.786805555555553,0.0,1.4513888888888888,0.0,0.0,0.0
2025-04-16,1.4305555555555556,0.0,17.78611111111111,0.0,1.4506944444444443,0.0,0.0,0.0
2025-04-17,1.3909722222222223,0.0,17.77777777777778,1.14375,1.4451388888888888,2.2493055555555554,0.0,0.0
2025-04-22,1.3895833333333334,0.0,0.0,0.0,1.4381944444444443,0.0,0.0,0.0
2025-04-23,1.3486111111111112,0.0,17.78611111111111,1.145138888888889,1.4402777777777778,2.260416666666667,0.0,0.0
2025-04-24,1.3465277777777778,0.0,17.77777777777778,0.0,1.4444444444444444,0.0,0.0,0.0
2025-04-25,1.3402777777777777,0.0,0.0,0.0,1.4451388888888888,0.0,0.0,0.0
2025-04-28,1.3430555555555554,0.0,0.0,0.0,1.448611111111111,2.259027777777778,0.0,0.0
2025-04-29,1.3423611111111111,0.0,0.0,0.0,1.4513888888888888,2.260416666666667,0.0,0.0
2025-04-30,1.3416666666666668,0.0,17.786805555555553,0.0,0.0,2.2597222222222224,0.0,0.0
2025-05-02,1.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
