date,EMPEROR SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,NANYANG COMMERCIAL BANK LTD
2024-05-16,36.02459841297965,21.620466629607833,14.447270336515277,10.871411167891367,6.275603775960952,5.840993276701272,4.919656400343644
2024-05-22,36.02416152684153,21.620204428706607,14.447095128118187,10.87127932551004,6.276740412906766,5.84092244040863,4.91959673750824
2024-05-27,36.02503530971465,21.618303290135536,14.44744554916213,10.87154301347059,6.27689265817881,5.84106411471208,4.919716064626199
2024-06-03,36.02490423958146,21.61858846680058,14.447392984921839,10.871503459461037,6.2768698209171765,5.841042863128426,4.9196981651894784
2024-06-04,36.024908608570534,21.618591088636194,14.447382609366008,10.871504777923386,6.276870582156553,5.841043571512057,4.919698761835272
2024-06-11,36.02556396893311,21.617165184434135,14.447645434235545,10.871702550897371,6.276984770154232,5.841149831002524,4.919788260343077
2024-07-10,36.06055110312598,21.638159239095692,14.36455910941661,10.882260878766468,6.283080822076399,5.8468226108417,4.9245662366771485
2024-07-22,36.06164554611741,21.638815960388136,14.361960061281366,10.882591156973133,6.283271514496786,5.847000062761674,4.924715697981501
2024-07-30,36.061623656606535,21.638802825571627,14.362012043790145,10.88258455121253,6.2832677005349415,5.846996513617715,4.9247127086665055
2024-08-16,36.06159738922857,21.638787063812867,14.362001582464213,10.882576624310392,6.28333596404001,5.846992254650651,4.924709121493301
2024-09-03,36.061686348236606,21.638840443728668,14.36179032528369,10.882603470132304,6.283351464166877,5.8470066783775145,4.924721270074341
2024-10-03,36.044183188867144,21.676874379547538,14.354819583470157,10.877321411466136,6.280301731522939,5.844168733176127,4.9223309719499575
2024-10-15,36.044185375700266,21.676875694703067,14.354814387299772,10.877322071403041,6.280302112554513,5.844169087747118,4.92233127059222
2024-10-29,36.04593492722106,21.673073962473204,14.355511156753161,10.877850046586108,6.280606952627816,5.844452758325567,4.922570196013077
2024-10-30,36.0460224092555,21.672883866173727,14.355545997001414,10.877876446690705,6.2806221954083075,5.844466942577369,4.922582142892975
2024-11-14,36.04601366103295,21.672878606253253,14.355566782560924,10.87787380667448,6.28062067112693,5.844465524149091,4.922580948202375
2024-11-18,35.713183812102386,22.39610986909962,14.22301506218255,10.777433266152933,6.222628737571705,5.790500816823209,4.8771284360675935
2024-12-10,35.720055064590674,22.38117880257897,14.225751584587027,10.779506855154043,6.223825977599972,5.7916149150048595,4.878066800484452
2025-01-02,35.72004647387459,22.38117341987862,14.225772213396656,10.779504262669715,6.22382448076236,5.791613522114526,4.878065627303536
2025-02-04,35.72097402484556,22.380850462595696,14.225566937441938,10.779348715891956,6.223734671823124,5.791529949920533,4.87799523748119
2025-02-11,35.7225204381533,22.377490215876307,14.226182783079489,10.779815369692928,6.224004106416752,5.791780673738437,4.878206413042784
2025-02-14,35.7225848749468,22.37735019928252,14.226208444471544,10.779834814478132,6.224015333364413,5.791791121035286,4.878215212421309
2025-02-18,35.722241214734396,22.37713492356971,14.227033609826387,10.779731109767654,6.223955456778245,5.79173540255428,4.8781682827693285
2025-03-05,35.72224551044624,22.377137614490554,14.227023295357439,10.77973240606422,6.223956205228461,5.791736099028676,4.878168869384406
