date,SHANXI SECURITIES INTERNATIONAL LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA PA SECURITIES (HONG KONG) CO LTD,HAFOO SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD
2024-12-20,80.88537141005938,16.285142541666,0.5657568600657255,0.5265933013858403,0.4793386795803529,0.4058346462502379,0.40931018941799246,0.23740675451443255,0.2052456170600336
2024-12-27,80.88606345625409,16.28528187552489,0.5657617006181679,0.5265978068592532,0.4793427807485048,0.4058381185260984,0.40931369143021173,0.23655319692020266,0.20524737311858648
2024-12-30,80.88606345625409,16.28528187552489,0.5631949341585303,0.5265978068592532,0.4793427807485048,0.4058381185260984,0.40931369143021173,0.23911996337984023,0.20524737311858648
2025-01-03,80.87139461210552,16.2824995948709,0.5630927976672557,0.5265023073278416,0.47925585100753226,0.40576451899787525,0.4092394616001161,0.25704070531271506,0.20521015111025115
2025-01-06,80.87153297256793,16.282527452114913,0.5630937610459663,0.5265032081049713,0.4792566709521058,0.4057652132083159,0.4092401617557325,0.25687005805186325,0.20521050219819195
2025-01-09,80.87014938924783,16.282248883964115,0.5630841274071963,0.5264942004723724,0.48113039670092517,0.40575827121080144,0.40923316030737467,0.25669457931654893,0.20520699137284315
2025-01-10,80.86669063805914,16.2815525052866,0.5630600447523513,0.5264716827392475,0.48110981914116946,0.40574091725617834,0.4092156577345421,0.25976298273583975,0.2063957522949398
2025-01-14,80.86046563141923,16.280641300986108,0.5630167011644093,0.5264311556730981,0.48107278396889963,0.40570968387833056,0.4091841568759507,0.26709872180021293,0.20637986423375732
2025-01-16,80.8499544627143,16.278524956911127,0.5629435138103244,0.5263627241269079,0.48101024862295316,0.4056569450906032,0.4091309664364605,0.2800631456701758,0.2063530366171548
2025-01-22,80.8505076139905,16.27863632972407,0.5626052802136721,0.526366325343687,0.48067145446333576,0.4056597204744406,0.409133765588516,0.280065061778694,0.20635444842308975
2025-01-23,80.85645446827401,16.279833683717804,0.5609361106662205,0.5264050415364351,0.4812199750039541,0.4056895582493359,0.4072822525177916,0.27837511035172363,0.203803799682728
2025-01-24,80.84829505429839,16.27819084761581,0.5608795052910418,0.526351920772224,0.4811714139705126,0.40564861916694456,0.40655700125936717,0.28912240426118396,0.2037832333645243
2025-02-03,80.84165810175087,16.2768545475721,0.5608334618876651,0.5263087117878031,0.481131913918723,0.40561531888974556,0.40635260258914024,0.29747883709745393,0.20376650450649567
2025-02-04,80.84304071033648,16.27713292532155,0.5608430536399586,0.5263177130745244,0.4811401425613636,0.4056222559966223,0.40635955230554033,0.2957736573052195,0.2037699894587493
2025-02-05,80.84013728692771,16.27654834304523,0.5642433234449277,0.5262988107280124,0.4811228627368972,0.4056076883462368,0.40634495817565397,0.2959340553986329,0.20376267119669236
2025-02-07,80.83944602637817,16.276409162977878,0.5642384986244494,0.5262943103694364,0.4811187486759163,0.405604220012276,0.40770963668055377,0.2947343908788869,0.20444500540243485
2025-02-10,80.8390312757229,16.27632565607998,0.5642356037717688,0.5262916101912336,0.48624682823752974,0.4056021390403707,0.4082205997031503,0.2896023307655277,0.20444395648752858
2025-02-11,80.8404137944577,16.27660401573865,0.5782689909971932,0.5263006108929933,0.48625514408866205,0.4056090756964295,0.40822758114043506,0.2738733340755311,0.20444745291240646
2025-02-12,80.8420728793609,16.276938059897137,0.5782808587908859,0.5263114121414912,0.48626512348548584,0.40561739999689383,0.40823595918039235,0.27182665836670117,0.20445164878012534
2025-02-14,80.8426259227951,16.27704941099691,0.5782848148303674,0.5323009181097982,0.48626845004211966,0.40562017483964435,0.4082387519367975,0.2651585090082994,0.20445304744097043
2025-02-18,80.85078419246699,16.278692016702028,0.5783431727005217,0.5323546354944942,0.4794757968695423,0.40566110818060064,0.40845099266188545,0.2617644050124579,0.2044736799114923
2025-02-19,80.85078419246699,16.278692016702028,0.5810798627686081,0.542617223249818,0.483238745713161,0.40566110818060064,0.40845099266188545,0.24500217834542912,0.2044736799114923
2025-02-21,80.8541032817882,16.27936029015634,0.5811037172801822,0.539560596075087,0.4832585836476538,0.4056777613951075,0.4074414595012862,0.24501223618372897,0.20448207397240642
2025-02-27,80.85451818711438,16.27944382819605,0.5811066992318404,0.5335765788433725,0.48326106350398923,0.4056798431430594,0.4074435502997094,0.25048712638912446,0.20448312327847937
2025-02-28,80.84635916390368,16.277801070771613,0.5808770260315943,0.5335227356718457,0.483212297667245,0.40563890602129393,0.4074024352023904,0.26072387582809564,0.20446248890223878
2025-03-03,80.84677398975509,16.277884592809684,0.5801958679524488,0.5335254731980048,0.4832147770485661,0.40564098737048876,0.4074045256003229,0.2608962482580741,0.2044635380073181
2025-03-05,80.84718881986349,16.277968115704873,0.5798567739293659,0.5335282107522565,0.48304622093223276,0.4056430687410427,0.4074066160197074,0.260897586933863,0.2044645871231634
2025-03-06,80.8469450244006,16.277884592809684,0.5798537986614326,0.5335254731980048,0.48150443059348497,0.40564098737048876,0.4074045256003229,0.2627776293586634,0.2044635380073181
