date,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD
2024-10-16,43579291.0,23374628.0,13181582.0,13167323.0,384333.0,2866628.0,2048434.0,2814410.0,0.0
2024-10-17,43674520.0,23431628.0,13503880.0,12972052.0,267333.0,2874853.0,1994434.0,2807385.0,130400.0
2024-10-18,43640920.0,23229431.0,13643477.0,12939052.0,283333.0,2883853.0,2002634.0,2806385.0,0.0
2024-10-21,43712920.0,23297473.0,13598277.0,12919125.0,265533.0,2882653.0,2023634.0,2822385.0,0.0
2024-10-22,43613920.0,23366441.0,13508680.0,12937125.0,266262.0,2884463.0,2049434.0,2812375.0,0.0
2024-10-23,43581920.0,23276417.0,13582471.0,12938125.0,265333.0,2884263.0,2070034.0,2822375.0,0.0
2024-10-24,43632920.0,23944902.0,12935530.0,12936325.0,271333.0,2887663.0,2076034.0,2814375.0,0.0
2024-10-25,43560720.0,23413637.0,12952130.0,12934125.0,263933.0,2879863.0,2095634.0,0.0,0.0
2024-10-28,43600320.0,23269064.0,13013330.0,12928125.0,264706.0,2877263.0,2120834.0,2815375.0,0.0
2024-10-29,43302120.0,23288250.0,13289990.0,12939525.0,263933.0,2862863.0,2117034.0,2817375.0,0.0
2024-10-30,43300720.0,23281880.0,13253990.0,12963325.0,0.0,2882263.0,2136634.0,0.0,0.0
2024-10-31,43346291.0,23220570.0,13359790.0,12972325.0,0.0,2902263.0,2132234.0,0.0,130000.0
2024-11-01,43063239.0,23486470.0,12779390.0,13088125.0,0.0,2870463.0,2032634.0,2816575.0,0.0
2024-11-04,43017039.0,23009070.0,13219590.0,13150325.0,271133.0,2867463.0,2013434.0,2817575.0,154600.0
2024-11-05,43265439.0,23253906.0,13261590.0,13146525.0,280306.0,2851663.0,2059434.0,2814575.0,0.0
2024-11-06,43098039.0,23560056.0,13572190.0,12882725.0,280133.0,2851063.0,2124434.0,0.0,130000.0
2024-11-07,43148439.0,23580670.0,13676790.0,12874925.0,280333.0,2842463.0,2123634.0,0.0,0.0
2024-11-08,43326639.0,23410621.0,13686990.0,12830725.0,305333.0,2891263.0,2130074.0,2811175.0,0.0
2024-11-11,43104239.0,23617666.0,13821390.0,12666325.0,293845.0,2889463.0,2134274.0,0.0,0.0
2024-11-12,42668839.0,23734581.0,14257000.0,12745725.0,312095.0,2818063.0,2092074.0,2754975.0,124400.0
2024-11-13,43500039.0,23492659.0,14310190.0,12825725.0,319715.0,2709233.0,2039424.0,0.0,134400.0
2024-11-14,43241439.0,23692315.0,14117445.0,12883325.0,348705.0,2728691.0,1937424.0,2726117.0,124400.0
2024-11-15,43807239.0,23477723.0,14090788.0,12845325.0,355705.0,2713091.0,1937224.0,2732317.0,0.0
2024-11-18,43882439.0,23374931.0,15626974.0,12825925.0,362080.0,2718491.0,1895024.0,2741917.0,0.0
2024-11-19,43834239.0,23347414.0,15516374.0,12805325.0,361158.0,2724691.0,1886824.0,2744117.0,0.0
2024-11-20,43893239.0,23166114.0,15486373.0,12781725.0,0.0,2737291.0,1891624.0,2739717.0,0.0
2024-11-21,44601039.0,22907742.0,15288573.0,12602325.0,361330.0,2741291.0,1881824.0,0.0,0.0
2024-11-22,44493239.0,23053961.0,15295573.0,12540525.0,358958.0,2729091.0,1867424.0,0.0,131400.0
2024-11-25,44649239.0,22849298.0,15341573.0,12521925.0,413730.0,2736891.0,1881824.0,2749717.0,0.0
2024-11-26,44469639.0,23126655.0,15320173.0,12523325.0,358958.0,2755533.0,1893824.0,2805317.0,0.0
2024-11-27,44529639.0,22961119.0,15472773.0,12523125.0,359158.0,2768733.0,1886224.0,2808317.0,135400.0
2024-11-28,44631639.0,22625828.0,15450310.0,12473639.0,358958.0,2774933.0,1889424.0,0.0,0.0
