date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA INTERNATIONAL CAPITAL CORPORATION,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),CMB INTERNATIONAL SECURITIES LTD,CHIEF SECURITIES LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-08-21,51.235213947660306,20.810329497123455,2.913387434566865,2.2491998123789214,0.5439771088358195,0.07312982366965727,0.0019386403918318568,0.03839584998266983,0.9927723595448945,0.35384629868496004,79.21219077283939
2024-08-22,51.235213947660306,20.810329497123455,2.913387434566865,2.2491998123789214,0.5458349725446584,0.07312982366965727,0.0019117148308341921,0.03839584998266983,0.9931493173988617,0.35341548970899744,79.21396785986524
2024-08-23,51.235213947660306,20.810329497123455,2.91344128568886,2.2491998123789214,0.5439771088358195,0.07312982366965727,0.0019117148308341921,0.03839584998266983,0.9931493173988617,0.3532539363430114,79.21200229391239
2024-08-26,51.235213947660306,20.810329497123455,2.91344128568886,2.2491998123789214,0.5439771088358195,0.07312982366965727,0.0019117148308341921,0.03839584998266983,0.9929339129108804,0.35298468073303474,79.21151763381444
2024-08-27,51.235213947660306,20.810329497123455,2.913387434566865,2.2491998123789214,0.5439771088358195,0.07312982366965727,0.0019117148308341921,0.03839584998266983,0.9933377963258454,0.35279620180605115,79.21167918718042
2024-08-28,51.235213947660306,20.810329497123455,2.913387434566865,2.2491998123789214,0.5440040343968172,0.07312982366965727,0.0019117148308341921,0.03839584998266983,0.9933377963258454,0.35233846726909085,79.21124837820447
2024-08-29,51.235213947660306,20.810329497123455,2.913387434566865,2.2491998123789214,0.5439771088358195,0.07312982366965727,0.0019117148308341921,0.039742128032553066,0.9934993496918313,0.386210823004153,79.2466016397944
2024-08-30,51.235213947660306,20.810329497123455,2.913387434566865,2.2491998123789214,0.5439771088358195,0.07312982366965727,0.0019117148308341921,0.039742128032553066,0.9937147541798128,0.386210823004153,79.24681704428238
2024-09-02,51.235213947660306,20.810329497123455,2.913387434566865,2.2491998123789214,0.5372457185864034,0.07312982366965727,0.0019117148308341921,0.039149765690604445,0.9932839452038501,0.3844337359783071,79.2372853956892
2024-09-03,51.235213947660306,20.810329497123455,2.913387434566865,2.2491998123789214,0.5359532916585155,0.07312982366965727,0.0020463426358225158,0.039149765690604445,0.9925838806179107,0.3831682346114169,79.23416203061348
