date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),HANG SENG SECURITIES LTD,ICBC (ASIA) SECURITIES LTD
2024-07-25,2.8213921962206365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-26,0.0,2.8799674189449505,0.0,0.0,0.0,1.1139308667683312,0.0,0.0,0.0,0.0
2024-07-29,2.8178244847108553,0.0,0.0,0.0,0.0,1.1141092523438205,0.0,0.0,0.0,0.0
2024-07-30,2.82638699233433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,0.0,2.8831783593037534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2.825138293305907,2.8835351304547316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06,2.8269221490607976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5385245703185393,0.0
2024-08-07,2.819429954890257,0.0,0.0,0.0,0.0,1.1148227946457767,0.0,0.0,0.0,0.0
2024-08-08,2.825673450032374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09,0.0,0.0,1.3777487728778217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12,0.0,2.918855474401565,0.0,0.0,0.0,1.1151795657967547,0.0,0.0,0.0,0.0
2024-08-13,2.831203402872535,0.0,0.0,0.0,0.0,1.1150011802212656,0.0,0.0,1.5451248366116344,0.0
2024-08-15,2.837446898014652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-16,2.8419065374018784,2.9233151137887914,0.0,0.0,0.0,1.1151795657967547,0.0,0.0,0.0,0.0
2024-08-19,2.8481500325439955,2.930450536808354,0.0,0.0,0.5558494532239061,1.1153579513722438,0.0,0.0,0.0,0.0
2024-08-23,2.85867478149785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-26,2.8636695776115437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-27,2.8577828536204044,2.9340182483181354,0.0,0.0,0.5758286376786806,0.0,0.0,0.0,1.5335297742048455,0.0
2024-08-28,0.0,0.0,0.0,0.0,0.0,1.1150011802212656,0.0,0.0,1.5349568588087579,0.0
2024-08-29,0.0,2.933304706016179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-30,2.8545719132616014,0.0,0.0,0.0,0.0,1.1153579513722438,2.476346864276142,0.0,0.0,0.0
2024-09-02,2.855285455563558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-03,2.8695563016026826,2.951143263565085,0.0,0.0,0.0,0.0,0.0,0.0,1.5554711999899997,0.0
2024-09-04,2.870448229480128,2.9538190471974204,0.0,0.0,0.0,1.115893108098711,0.0,0.0,0.0,0.0
2024-09-10,2.871340157357573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6440014637071625
2024-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5579685980468465,0.0
2024-09-12,2.9244990588533124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-13,2.941445688524773,0.0,0.0,0.0,0.0,1.116249879249689,0.0,0.0,1.562428237434073,0.0
2024-09-16,2.9696306094520444,2.954532589499377,0.0,0.0,0.0,1.1164282648251782,0.0,0.0,0.0,0.0
2024-09-17,2.967846753697154,2.9589922288866033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19,2.958927474922701,2.960776084641494,0.0,0.0,0.5876020856609585,0.0,0.0,0.0,0.0,0.0
2024-09-20,2.981404057434322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6322280157248847
2024-09-24,2.9742686344147597,0.0,0.0,0.0,0.0,1.1167850359761562,0.0,0.0,0.0,0.0
2024-09-25,2.951078509601182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26,0.0,2.958278686584647,0.0,0.0,0.0,1.118925662882025,0.0,0.0,0.0,0.0
2024-09-27,0.0,2.954710975074866,1.3784623151797781,0.0,0.0,0.0,0.0,0.0,1.5606443816791824,0.0
2024-09-30,2.9055901878514723,0.0,1.3766784594248875,0.0,0.0,0.0,0.0,0.0,1.6141600543258998,0.0
2024-10-02,2.893103197567238,2.9308073079593324,1.3984414996345527,0.0,0.0,1.1207095186369154,0.0,0.0,0.0,0.0
2024-10-03,2.910941755116144,2.8897786255968483,0.0,0.0,0.0,1.1199959763349592,0.0,0.0,1.590434772785855,0.0
2024-10-04,2.9177204069847282,2.8763997074351693,1.3975495717571074,0.0,0.0,1.1185688917310468,2.473314309492828,0.0,1.5884725314554755,0.0
2024-10-07,2.9118336829935894,2.8747942372557675,0.0,0.0,0.6131112229558939,0.0,2.458508306727236,0.0,1.5973918102299285,0.0
2024-10-08,2.9430511587041743,0.0,1.402187596719823,0.0,0.6457557832703915,0.0,2.4406697491783302,0.0,0.0,0.0
2024-10-09,2.9774795747735627,2.866945271934249,1.402365982295312,0.0,0.6680539802065238,1.122314988816317,2.3693155189827073,0.0,1.5897212304838988,1.6332983291778191
2024-10-10,2.9762308757451397,2.9015520735791265,1.4080743207109618,0.0,0.7215696528532414,1.1381913050348433,2.354509516217115,0.0,0.0,0.0
2024-10-14,0.0,2.8962005063144547,1.4098581764658522,0.0,0.0,1.1378345338838651,2.3527256604622244,0.0,0.0,1.6322280157248847
2024-10-15,2.9717712363579127,2.8958437351634765,0.0,0.0,0.0,1.162451743301355,2.3530824316132026,0.0,1.604884004400469,0.0
2024-10-16,0.0,0.0,0.0,0.0,0.0,1.164592370207224,0.0,0.0,0.0,0.0
2024-10-17,0.0,0.0,0.0,0.0,0.0,1.1654842980846691,0.0,0.0,1.5602876105282044,0.0
2024-10-18,2.977301189198074,2.898162747644834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-21,2.9887178660293734,2.9056549418153748,0.0,0.0,0.0,1.1667329971130926,0.0,0.0,0.0,0.0
2024-10-22,0.0,2.9022656158810825,1.4093230197393851,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-23,2.9922855775391546,0.0,0.0,0.0,0.0,1.1781496739443924,0.0,0.0,0.0,0.0
2024-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33418485687793,0.0,1.645250162735586
2024-10-25,2.987825938151928,2.89334633710663,0.0,0.0,0.0,0.0,0.0,33.3395364241426,0.0,1.6550613693874843
2024-10-28,0.0,0.0,0.0,0.0,0.0,1.1744035768591221,0.0,0.0,1.5608227672546715,0.0
2024-10-29,2.989788179482308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6532775136325937
2024-10-30,2.9888962516048627,2.9120768225329807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-31,2.9826527564627456,2.9133255215614042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,0.0,2.913503907136893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04,0.0,2.9184987032505867,0.0,0.0,0.0,0.0,0.0,33.34845570291706,0.0,0.0
2024-11-05,0.0,2.9158229196182512,0.0,0.0,0.7231751230326429,0.0,0.0,0.0,1.552973801933153,0.0
2024-11-06,2.9812035520474724,0.0,0.0,0.0,0.7265644489669351,0.0,0.0,0.0,1.5527954163576638,0.0
2024-11-07,2.9879822039160566,0.0,0.0,0.0,0.0,1.1747603480101003,0.0,0.0,1.5581469836223354,0.0
