date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),VALUABLE CAPITAL LTD,CCB INTERNATIONAL SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SKY SECURITIES LTD,WINBULL SECURITIES INTERNATIONAL (HONG
2024-12-23,0.0,0.0,182439547.0,145371436.0,217150830.0,60319016.0,0.0,0.0,136537333.0,0.0
2024-12-27,413360582.0,0.0,182487547.0,0.0,217030830.0,60295016.0,0.0,0.0,136897333.0,0.0
2024-12-30,414128582.0,0.0,181935547.0,145273303.0,216886830.0,0.0,0.0,0.0,137833333.0,0.0
2025-01-03,414032582.0,0.0,182199547.0,145264503.0,216790830.0,60319016.0,0.0,0.0,138457333.0,0.0
2025-01-06,414128582.0,0.0,182151547.0,145144503.0,216814830.0,60343016.0,0.0,0.0,0.0,0.0
2025-01-08,414344582.0,0.0,181959547.0,145000503.0,216670830.0,60271016.0,0.0,0.0,0.0,0.0
2025-01-10,414128582.0,0.0,182055547.0,145936503.0,216670830.0,60103016.0,0.0,0.0,141457333.0,0.0
2025-01-13,413864582.0,0.0,182103547.0,146264503.0,216694830.0,60223016.0,0.0,0.0,0.0,0.0
2025-01-20,414464582.0,0.0,0.0,146576503.0,216694830.0,60127016.0,0.0,161784000.0,0.0,0.0
2025-01-22,414056582.0,0.0,182223547.0,146216503.0,216694830.0,59719016.0,0.0,162216000.0,0.0,0.0
2025-01-23,414104582.0,237252854.0,182415547.0,145568503.0,216670830.0,59887016.0,0.0,162504000.0,0.0,0.0
2025-01-24,414080582.0,0.0,182391547.0,144824503.0,0.0,60007016.0,0.0,162672000.0,0.0,0.0
2025-01-27,414104582.0,0.0,182439547.0,144558103.0,0.0,59959016.0,0.0,162936000.0,0.0,0.0
2025-02-03,410600582.0,237708854.0,184191547.0,0.0,216646830.0,61615016.0,0.0,163320000.0,0.0,0.0
2025-02-04,408200582.0,237732854.0,184407547.0,143934103.0,216670830.0,60895016.0,0.0,164136000.0,0.0,0.0
2025-02-05,408320582.0,237804854.0,183615547.0,144174103.0,216694830.0,60511016.0,0.0,164568000.0,0.0,0.0
2025-02-06,408704582.0,237780854.0,183591547.0,144170103.0,216766830.0,59767016.0,0.0,164616000.0,0.0,0.0
2025-02-07,406136582.0,237996854.0,185151547.0,143450103.0,216646830.0,60343016.0,0.0,164712000.0,0.0,0.0
2025-02-10,405224582.0,238044854.0,184455547.0,143690103.0,0.0,61303016.0,0.0,164904000.0,0.0,0.0
2025-02-11,405248582.0,238113654.0,184863547.0,145010103.0,216742830.0,61879016.0,0.0,165000000.0,0.0,0.0
2025-02-12,406040582.0,238473654.0,185343547.0,147842103.0,217414830.0,62095016.0,0.0,165096000.0,0.0,0.0
2025-02-13,405728582.0,238881654.0,187839547.0,148994103.0,213262830.0,59143016.0,0.0,0.0,0.0,0.0
2025-02-14,405224582.0,238425654.0,187503547.0,148802103.0,212878830.0,60271016.0,0.0,0.0,0.0,0.0
2025-02-17,403856582.0,238377654.0,188991547.0,149282103.0,212542830.0,62839016.0,0.0,0.0,0.0,0.0
2025-02-19,403640582.0,238353654.0,191127547.0,149690103.0,212134830.0,60823016.0,0.0,165288000.0,0.0,0.0
2025-02-20,403784582.0,238521654.0,191103547.0,149427703.0,212086830.0,60799016.0,0.0,165768000.0,0.0,0.0
2025-02-21,403328582.0,238257654.0,192471547.0,148947703.0,212230830.0,60871016.0,0.0,165864000.0,0.0,0.0
2025-02-24,401984582.0,0.0,194895547.0,148755703.0,212518830.0,61063016.0,0.0,166152000.0,0.0,0.0
2025-02-25,423040582.0,229168084.0,194871547.0,0.0,212686830.0,61687016.0,0.0,167352000.0,0.0,0.0
2025-02-26,422824582.0,0.0,193863547.0,148371703.0,211894830.0,61735016.0,0.0,168360000.0,0.0,0.0
2025-02-27,423568582.0,229264084.0,193671547.0,0.0,0.0,62215016.0,0.0,168504000.0,0.0,0.0
2025-02-28,421888582.0,0.0,193887547.0,148434103.0,211798830.0,62023016.0,0.0,168864000.0,0.0,0.0
2025-03-03,417880582.0,0.0,193383547.0,148458103.0,0.0,61807016.0,0.0,169776000.0,0.0,0.0
2025-03-04,416090982.0,0.0,194991547.0,148602103.0,211990830.0,61759016.0,0.0,170592000.0,0.0,0.0
2025-03-05,414914982.0,229384084.0,198423547.0,148650103.0,212014830.0,62551016.0,0.0,170712000.0,0.0,0.0
2025-03-06,412250982.0,0.0,200149147.0,0.0,212878830.0,63559016.0,0.0,170952000.0,0.0,0.0
2025-03-07,413498982.0,229456084.0,202213147.0,147066103.0,211654830.0,63727016.0,0.0,173856000.0,0.0,0.0
2025-03-10,414613382.0,229576084.0,203197147.0,147090103.0,211702830.0,62647016.0,0.0,174720000.0,0.0,0.0
2025-03-11,415453382.0,229840084.0,203365147.0,147306103.0,0.0,62599016.0,0.0,174960000.0,0.0,0.0
2025-03-12,414925382.0,229912084.0,203149147.0,147330103.0,211822830.0,61711016.0,0.0,0.0,0.0,0.0
2025-03-13,413509382.0,229840084.0,210469147.0,148194103.0,211942830.0,62623016.0,0.0,175200000.0,0.0,0.0
2025-03-14,414037382.0,0.0,208741147.0,149394103.0,0.0,63175016.0,0.0,175296000.0,0.0,0.0
2025-03-17,412069382.0,0.0,209965147.0,150858103.0,211846830.0,63871016.0,0.0,0.0,0.0,0.0
2025-03-18,410133382.0,230440084.0,205909147.0,151458103.0,211966830.0,64519016.0,0.0,0.0,0.0,0.0
2025-03-19,411693382.0,231688084.0,203653147.0,156198103.0,211822830.0,61975016.0,0.0,0.0,0.0,0.0
2025-03-20,388061382.0,231640084.0,204613147.0,164310103.0,0.0,63031016.0,0.0,0.0,0.0,0.0
2025-03-21,383573382.0,232576084.0,203893147.0,168038103.0,210310830.0,60631016.0,0.0,0.0,0.0,0.0
2025-03-24,384461382.0,231784084.0,212149147.0,173174103.0,208510830.0,61831016.0,0.0,0.0,0.0,0.0
2025-03-25,388993382.0,229624084.0,209005147.0,175237787.0,208030830.0,62431016.0,0.0,0.0,141313333.0,0.0
2025-03-26,389569382.0,229528084.0,209053147.0,180277787.0,208078830.0,59887016.0,0.0,0.0,0.0,0.0
2025-03-28,386785382.0,0.0,209797147.0,178115387.0,208102830.0,61687016.0,0.0,0.0,0.0,0.0
2025-03-31,387145382.0,229576084.0,209941147.0,180275387.0,0.0,58231016.0,0.0,175392000.0,0.0,0.0
2025-04-01,385993382.0,233104084.0,212749147.0,183275387.0,209086830.0,56671016.0,0.0,175632000.0,0.0,0.0
2025-04-02,383285382.0,232960084.0,214093147.0,184523387.0,208582830.0,57679016.0,0.0,174816000.0,0.0,0.0
2025-04-03,378413382.0,0.0,214453147.0,184571387.0,208054830.0,57847016.0,0.0,174336000.0,0.0,0.0
2025-04-07,378749382.0,0.0,215077147.0,185003387.0,206254830.0,57535016.0,0.0,0.0,0.0,0.0
2025-04-08,409325382.0,233752084.0,216541147.0,186903387.0,203710830.0,57559016.0,0.0,174432000.0,0.0,0.0
2025-04-09,413189382.0,233704084.0,211309147.0,184095387.0,203374830.0,57727016.0,0.0,0.0,0.0,150072000.0
