date,ABN AMRO CLEARING HONG KONG LTD,BNP PARIBAS,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CHINA MERCHANTS SECURITIES (HK) CO LTD,BOOM SECURITIES (H.K.) LTD,HANG SENG BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,UBS SECURITIES HONG KONG LTD,IFAST SECURITIES (HK) LTD,LONG BRIDGE HK LTD
2025-01-03,7.171314741035857,24.43559096945551,0.0,51.79282868525896,0.0,13.280212483399733,3.3200531208499333,0.0,0.0,0.0
2025-01-07,8.269525267993874,12.863705972434916,0.0,59.724349157733535,0.0,15.313935681470136,3.828483920367534,0.0,0.0,0.0
2025-01-09,8.269525267993874,12.863705972434916,0.0,59.724349157733535,0.0,15.313935681470136,3.828483920367534,0.0,0.0,0.0
2025-01-10,6.31768953068592,15.162454873646208,0.0,55.95667870036101,0.0,18.050541516245488,4.512635379061372,0.0,0.0,0.0
2025-01-13,8.409785932721713,12.844036697247708,0.0,59.63302752293578,0.0,15.29051987767584,3.82262996941896,0.0,0.0,0.0
2025-01-15,7.493188010899182,11.444141689373296,0.0,64.03269754768392,0.0,13.623978201634879,3.4059945504087197,0.0,0.0,0.0
2025-01-16,33.5920177383592,9.312638580931264,0.0,43.23725055432372,0.0,11.086474501108649,2.771618625277162,0.0,0.0,0.0
2025-01-17,33.5920177383592,9.312638580931264,0.0,43.12638580931264,0.0,11.086474501108649,2.771618625277162,0.0,0.0,0.11086474501108648
2025-01-20,43.06083650190114,7.984790874524715,0.0,36.97718631178707,0.0,9.505703422053232,2.376425855513308,0.0,0.0,0.09505703422053231
2025-01-27,50.66539923954373,7.984790874524715,0.0,29.372623574144484,0.0,9.505703422053232,2.376425855513308,0.0,0.0,0.09505703422053231
2025-02-04,58.26996197718631,7.984790874524715,0.0,21.768060836501903,0.0,9.505703422053232,2.376425855513308,0.0,0.0,0.09505703422053231
2025-02-05,50.66539923954373,7.984790874524715,0.0,29.372623574144484,0.0,9.505703422053232,2.376425855513308,0.0,0.0,0.09505703422053231
2025-02-10,43.976897689768975,6.9306930693069315,0.0,38.696369636963695,0.0,8.25082508250825,2.0627062706270625,0.0,0.0,0.08250825082508251
2025-02-13,39.60372403915016,6.68417283361184,0.0,43.68584387682024,0.0,7.957348611442668,1.989337152860667,0.0,0.0,0.07957348611442668
2025-02-14,52.335481817458415,13.050051722765973,0.0,24.588207209357844,0.0,7.957348611442668,1.989337152860667,0.0,0.0,0.07957348611442668
2025-02-18,58.70136070661256,13.050051722765973,0.0,18.222328320203708,0.0,7.957348611442668,1.989337152860667,0.0,0.0,0.07957348611442668
2025-02-24,65.0672395957667,13.050051722765973,0.0,11.856449431049574,0.0,7.957348611442668,1.989337152860667,0.0,0.0,0.07957348611442668
2025-02-25,64.75805812940524,12.988041498376496,0.0,11.800110873524988,0.0,7.919537499010058,2.455056624693118,0.0,0.0,0.07919537499010057
2025-02-26,60.89967974975795,12.21419527817085,0.0,17.0551873091532,0.0,7.447680047665152,2.3087808147761972,0.0,0.0,0.07447680047665152
2025-02-27,60.57670646542014,12.315085980325899,0.0,17.19606517984531,0.0,7.509198768491402,2.3278516182323346,0.0,0.0,0.07509198768491403
2025-03-07,37.50871809178407,40.12647045148091,0.0,3.2082577765378715,13.019017064211653,4.649648951504162,1.44139117496629,0.0,0.0,0.046496489515041615
2025-03-10,22.395833333333336,42.038690476190474,0.0,5.133928571428571,20.833333333333336,7.440476190476191,2.083333333333333,0.0,0.0,0.0744047619047619
2025-03-11,19.38131313131313,35.66919191919192,0.0,19.507575757575758,17.67676767676768,6.313131313131313,1.3888888888888888,0.0,0.0,0.06313131313131314
2025-03-17,16.588785046728972,51.323987538940806,0.0,0.7009345794392523,21.806853582554517,7.78816199376947,1.7133956386292832,0.0,0.0,0.0778816199376947
2025-03-18,2.1023765996343693,60.237659963436926,0.0,0.8226691042047531,25.59414990859232,9.140767824497258,2.010968921389397,0.0,0.0,0.09140767824497258
